ئافرىقا	Afrique
رۇبىدىي	Rubidium
ئالتۇن	Or
قازان	Kazan
بانگلادېش	Bangladesh
مالى	Mali
ئانگولا	Angola
بۇتان	Bhoutan
برۇنېي	Brunei
تانزانىيە	Tanzanie
فىلىپپىن	Philippines
ئوتتۇرا ئافرىقا جۇمھۇرىيىتى	République centrafricaine
جەنۇبى قۇتۇپ	Pôle Sud
شىمالى قۇتۇپ	Pôle Nord
ئىسساك نيوتۇن	Isaac Newton
ئالبېرىت ئېينىشتېين	Albert Einstein
سترونتسىي	Strontium
ئىتترىي	Yttrium
ۋىسمۇت	Bismuth
سېرىق رەڭ	Jaune
توگو	Togo
تۇنىس	Tunisie
زامبىيە	Zambie
زىمبابۋې	Zimbabwe
بېيجىڭ شەھىرى	Pékin
تۇۋا	Touva
بېنىن	Bénin
بوتسۋانا	Botswana
بۇركىنا فاسو	Burkina Faso
بۇرۇندى	Burundi
كومور ئاراللىرى	Comores (pays)
كونگو جۇمھۇرىيىتى	République du Congo
كونگو دېموكراتىك جۇمھۇرىيىتى	République démocratique du Congo
San Antonio	San Antonio
جىبۇتى	Djibouti
پولونىي	Polonium
ئېكۋاتور گۋىنېيىسى	Guinée équatoriale
ئېرىترېيە	Érythrée
Yéngi Déhli	New Delhi
تبىلىسى	Tbilissi
ئاستاتىن	Astate
گابون	Gabon
گامبىيە	Gambie
ۋىنېيە	Guinée
گۋىنېيە بىسسائۇ	Guinée-Bissau
پىل چىشى قىرغىغى	Côte d'Ivoire
كامېرۇن	Cameroun
يېشىل تۇمشۇق ئاراللىرى	Cap-Vert
لېسوتو	Lesotho
لىبېرىيە	Liberia
لىۋىيە	Libye
ماداگاسكار	Madagascar
مالاۋى	Malawi
Shtutgart	Stuttgart
ماۋرىتانىيە	Mauritanie
ماۋرىتىئۇس	Maurice (pays)
ماراكەش	Maroc
موزامبىك	Mozambique
نامىبىيە	Namibie
نىگېر	Niger
نىگېرىيە	Nigeria
دارۋىن	Charles Darwin
ئۇگاندا	Ouganda
رۋاندا	Rwanda
سىركونىي	Zirconium
San Tomé we Prinsipé	Sao Tomé-et-Principe
سېنېگال	Sénégal
سېيشېل ئاراللىرى	Seychelles
سيېررا لېئونې	Sierra Leone
سومالى	Somalie
نىئوبىي	Niobium
جولیس سیزر	Jules César
سۇدان	Soudan
سۋازىلېند	Swaziland
مولبېدىن	Molybdène
تېخېتىسىي	Technétium
Hamburg	Hambourg
گۇجارات	Gujarat
بىرلەشكەن دۆلەتلەر تەشكىلاتى	Organisation des Nations unies
گېئولوگىيە	Géologie
Exmetabad	Ahmedabad
يۈرەك	Cœur
تېرە	Peau
پراگا	Prague
كۆك رەڭ	Bleu
كۈمۈش	Argent
قەلەي	Étain
ئۇران	Uranium
سۈرمە	Antimoine
پلوتونىي	Plutonium
نېپتونىي	Neptunium
كسېنون	Xénon
سېزىي	Césium
پروتاكتىنىي	Protactinium
بارىي	Baryum
تورىي	Thorium
گافنىي	Hafnium
ئاكتىنىي	Actinium
تانتال	Tantale (chimie)
بىل كلىنتون	Bill Clinton
رادىي	Radium
رادون	Radon
Bombay	Bombay
Michigan Shitati	Michigan
پوئېرتو رىكو	Porto Rico
Illinoyiz Shitati	Illinois
Shimaliy Dakota Shitati	Dakota du Nord
لومبارد	Lombardie
Jenubiy Dakota Shitati	Dakota du Sud
Montana Shitati	Montana
Wyoming Shitati	Wyoming
قۇدس	Jérusalem
Aydaxo Shitati	Idaho
Washin'giton Shitati	Washington (État)
رۇزېرفوردىي	Rutherfordium
Néwada shitati	Nevada
دۇبنىي	Dubnium
سىبورگىي	Seaborgium
بوھرىي	Bohrium
ھاسسىي	Hassium
مېيتنېرىي	Meitnérium
Kolorado Shitati	Colorado
دارمستادتىي	Darmstadtium
رۆنتگېنىي	Roentgenium
كوپېرنىي	Copernicium
تۈر:تۈرلەر يولباشچىسى	Catégorie:Accueil
ئاپېنىن تاغ تىزمىسى	Apennins
ئالپ تاغلىرى	Alpes
پاسكال	Blaise Pascal
Gant	Gand
Chikago	Chicago
ئۇنۇنترىي	Ununtrium
فلېروۋىي	Flérovium
ئۇنۇنپېنتىي	Ununpentium
لىۋىرمورىي	Livermorium
ئۇنۇنسېپتىي	Ununseptium
ئۇنۇنئوكتىي	Ununoctium
Arném	Arnhem
ئىسپان تىلى	Espagnol
مونتېۋىدېئو	Montevideo
Filadélfiye	Philadelphie
Kalkutta	Calcutta
Déhli	Delhi
داكا	Dacca
Ban'galor	Bangalore
Ömüchük	Araneae
ئىسلامئاباد	Islamabad
ظاصتاص يئضةن مئؤة	Fruit (botanique)
مايمۇن	Singe
Wirginiye Shitati	Virginie (État)
غەربىي ۋىرگىنىيە شىتاتى	Virginie-Occidentale
Nyuyork Shitati	État de New York
سېرىي	Cérium
پرازېئودىمىي	Praséodyme
Rodé Arili Shitati	Rhode Island
نېئودىي	Néodyme
Maryland Shitati	Maryland
Délawiyer Shitati	Delaware
يېۋروپىي	Europium
Oxayo Shtati	Ohio
Pénsilwaniye Shitati	Pennsylvanie
Yéngi Jérséy Shtati	New Jersey
فىنلاندىيە تىلى	Finnois
Indiyanna Shitati	Indiana
ئاپتوموبىل	Automobile
Giorgiye Shitati	Géorgie (États-Unis)
Zagréb	Zagreb
Téksas Shitati	Texas
Jenubiy Karolina Shitati	Caroline du Sud
سىتسىلىيە	Sicile
مانىلا	Manille
ساردىنىيە ئارىلى	Sardaigne
Bordo	Bordeaux
Buénos Ayrés	Buenos Aires
مېكسىكا شەھىرى	Mexico
توكيو	Tokyo
Barsélona	Barcelone
Missisipi Shitati	Mississippi (État)
Ténnéssi Shitati	Tennessee
Astana	Astana
Yéngi Méksika Shitati	Nouveau-Mexique
ئافېنا	Athènes
Minnésota Shitati	Minnesota
باغداد	Bagdad
Karakas	Caracas
Wiskonsin Shitati	Wisconsin
Puna	Pune
AC مىلان	Associazione Calcio Milan
Lowa Shitati	Iowa
Nébraska Shitati	Nebraska
گۋاتېمالا شەھىرى	Guatemala (ville)
Kanzas Shitati	Kansas
ھىندى تىلى	Hindi
ماراتىچە	Marathi (langue)
Missori Shitati	Missouri (État)
Loyizanna Shitati	Louisiane
Kéntukki Shitati	Kentucky
Arkanzas Shtati	Arkansas
ئوردو تىلى	Ourdou
Oklaxoma Shitati	Oklahoma
Potsdam	Potsdam
Hanofér	Hanovre
Myunxén	Munich
Drézdén	Dresde
ۋالىبول	Volley-ball
Wyéna	Vienne (Autriche)
Kopénhagén	Copenhague
Stokgolm	Stockholm
Xélsinki	Helsinki
دۇبلىن	Dublin
رېيكياۋىك	Reykjavik
Tallin	Tallinn
رىگا	Riga
براتىسلاۋا	Bratislava
Budapésht	Budapest
Danzig	Gdańsk
Frankfort	Francfort-sur-le-Main
Wroklaw	Wrocław
لانتان	Lanthane
جۈي	Prométhium
چالغا	Samarium
گادولنىي	Gadolinium
تېربىي	Terbium
Katolik dini	Catholicisme
ليۇكسېمبۇرگ شەھىرى	Luxembourg (ville)
دىسپروزىي	Dysprosium
ۋادۇز	Vaduz
ئىنجىل	Bible
گولمىي	Holmium
ئېربىي	Erbium
فنوم پېن	Phnom Penh
تۇلىي	Thulium
سايگون	Hô-Chi-Minh-Ville
ئىتتېربىي	Ytterbium
لۇتېتسىي	Lutécium
خانوي	Hanoï
ھەقىقى ئەيسا چېركاۋى	Véritable Jésus Église
ئىنگىلىز تىلى	Anglais
Bangkok	Bangkok
ئاندوررا كەنتى	Andorre-la-Vieille
كۇئالالۇمپۇر	Kuala Lumpur
تەيبېي شەھىرى	Taipei
ئامېرىتسىي	Américium
كىيۇرىي	Curium
Concepción, Chile	Concepción (Chili)
بېركېلىي	Berkélium
كالىفورنىي	Californium
ئېينشتېينىي	Einsteinium
فېرمىي	Fermium
مېندېلېيېۋىي	Mendélévium
كىيېۋ	Kiev
نوبېلىي	Nobélium
لاۋرېنسىي	Lawrencium
كارېلىيە	République de Carélie
Ottawa	Ottawa
Manitoba Ölkisi	Manitoba
Albérta	Alberta
Nowa Skotiye Ölkisi	Nouvelle-Écosse
يېرېۋان	Erevan
دارېسسالام	Dar es Salam
خارتۇم	Khartoum
Yéngi Brunswik Ölkisi	Nouveau-Brunswick
Britani Kolumbiye	Colombie-Britannique
Saskachéwan	Saskatchewan
Néwfundland Ölkisi	Terre-Neuve-et-Labrador
Gherbiy Shimal Rayoni	Territoires du Nord-Ouest
Yukon Rayoni	Yukon
Florénsa	Florence
Ésén	Essen
كومى	République des Komis
Léypzig	Leipzig
Nyurnbérg	Nuremberg
Édmonton	Edmonton
Man'géym	Mannheim
Wiktoriye, Britani Kolumbiye	Victoria (Colombie-Britannique)
Winnipég	Winnipeg
Halifaks	Halifax (Nouvelle-Écosse)
Kwébék Shehiri	Québec (ville)
ئېلېكترون	Électron
Birmin'gxam	Birmingham
مىنىسكى	Minsk
مىكروسوفىت شىركىتى	Microsoft
پروتون	Proton
Kurow	Kurów
Naplés	Naples
Braunshwéyg	Brunswick (Basse-Saxe)
Madrid	Madrid
سۇ ئاستى كېمىسى	Sous-marin
مايكېل جېكسۇن	Michael Jackson
Bogota	Bogota
لىما	Lima
Santiyago	Santiago
كىتو	Quito
سۇكرې	Sucre (Bolivie)
ئاسۇنسىئون	Asuncion
Öçke	Chèvre
Héydélbérg	Heidelberg
كاتماندۇ	Katmandou
سان خوسې (كوستارىكا)	San José (Costa Rica)
سان سالۋادور	San Salvador (Salvador)
Kanbérra	Canberra
Sidnéy	Sydney
يېشىل رەڭ	Vert
Mélburn	Melbourne
قىزىل رەڭ	Rouge
ماناگۇئا	Managua
رابات	Rabat
قۇيرۇقلۇق يۇلتۇز	Comète
ئالجىر	Alger
تۇنىس شەھىرى	Tunis
ترىپولى	Tripoli (Libye)
تېھران	Téhéran
جاكارتا	Jakarta
Enqere	Ankara
رىياد	Riyad
بېلگراد	Belgrade
ئادىگېيە	Adyguée
پرايا	Praia
دەمەشىق	Damas
يامۇسسۇكرو	Yamoussoukro
فرانسىيىگە قاراشلىق گۋىئانا	Guyane
لومې	Lomé
ئاممان	Amman
بېيرۇت	Beyrouth
مۇسكات	Mascate
نىكوسىيە	Nicosie
دوھا	Doha
نايروبى	Nairobi
لۇساكا	Lusaka
ئامازون	Amazon.com
قۇياش تۇتۇلۇشى	Éclipse solaire
كامپالا	Kampala
Mektep	École
ھارارې	Harare
Prétoriye	Pretoria
Astiraxan	Astrakhan
Tiktak top	Tennis de table
Wikipedia:Sandbox	Wikipédia:Bac à sable
قالماقىستان	Kalmoukie
Osasko	Osasco (Brésil)
Glasgow	Glasgow
Kuritiba	Curitiba
Orman	Forêt
بوغاز كۆۋرۈكى	Pont du Bosphore
كۇڭزى	Confucius
كوربين بيلو	Corbin Bleu
Surat	Surate
ياۋرۇ	Euro
ئامېرىكا دولىرى	Dollar américain
يەر ئوتتۇرا دېڭىزى	Mer Méditerranée
خاڭجۇ شەھىر	Hangzhou
مەسىھچىلىك	Christianisme
قېلىپ:ئاسىيا	Modèle:Palette Pays d'Asie
Séatl	Seattle
Baltimor	Baltimore
ئادېلايدې	Adélaïde (Australie)
داغىستان	Daguestan
Monzón	Monzón
گۇجارات تىل	Gujarati
پورتۇگال تىلى	Portugais
مۇستاپا كامال	Mustafa Kemal Atatürk
چېچېنىيە	Tchétchénie
كۋېچۇئا تىلى	Quechua
ئىنگۇشېتىيە	Ingouchie
شىمالىي ئوسېتىيە	Ossétie-du-Nord-Alanie
كاباردىنو-بالقارىستان	Kabardino-Balkarie
ئالماس	Diamant
ياپون تىلى	Japonais
Énsklopédiye	Encyclopédie
ئۇيغۇرچە ۋىكىپىدىيە	Wikipédia:Accueil principal
Latex	LaTeX
كوندېنساتور	Condensateur (électricité)
قاراچاي-چېركېسىيە	Karatchaïévo-Tcherkessie
موردوۋىيە	Mordovie
ۋاسكېتبول	Basket-ball
چاڭجياڭ دەرياسى	Yangzi Jiang
ئۇدمۇرتىيە	Oudmourtie
مارى	République des Maris
ھىمالايا تاغ تىزمىسى	Himalaya
ئاند تاغلىرى	Cordillère des Andes
قىيىلىق تاغلار	Montagnes Rocheuses
Kapétown	Le Cap
چۇۋاشىيە	Tchouvachie
تەڭرىتاغ	Monts Tian
كاۋكاز تاغ تىزمىسى	Géographie du Caucase
تاتارىستان	Tatarstan
1279-يىلى	1279
ۋېىنىست	Vincent van Gogh
باشقۇرتىستان	Bachkirie
Semerqend	Samarcande
Buxara	Boukhara
بېتلېخېم	Bethléem
Andalusiye	Andalousie
كايمان تاقىم ئاراللىرى	Îles Caïmans
Kordowa	Cordoue
شىئەن شەھىرى	Xi'an
كابۇل	Kaboul
لاسا شەھىرى	Lhassa
غىلاپ	Vagin
تامىل تىلى	Tamoul
پەلسەپە	Philosophie
ئالەم ئايرۇپىلانى	Vol spatial
ئالتاي تاغ تىزمىسى	Altaï
تۈر:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
ئالتاي	République de l'Altaï
پىئانىنو	Piano
Hebe Camargo	Hebe Camargo
Portland, Orégon	Portland
ئانارخىزم	Anarchisme
لىبېرالىزىم	Libéralisme
فاشىسىت	Fascisme
مىللەتچىلىك	Nationalisme
غەربىي ساھارا	Sahara occidental
ھىلاري كلىنتون	Hillary Clinton
خاكاسىيە	Khakassie
Strasburg	Strasbourg
ياكۇتىيە	République de Sakha
كرودىيە تىلى	Croate
گائۇس	Carl Friedrich Gauss
بۇرياتىيە	Bouriatie
جامىس جويىس	James Joyce
كاتالان تىلى	Catalan
Burχa	Bouddha
دىنسىزلىق	Athéisme
لى بەي	Li Bai
دۇنيا بانكىسى	Banque mondiale
كونسېرۋاتىپ	Conservatisme
شىمالىي ئاتلانتىك ئەھدى تەشكىلاتى	Organisation du traité de l'Atlantique Nord
نوبېل مۇكاپاتى	Prix Nobel
چىن شىخۇاڭ	Qin Shi Huang
خەن سۇلالىسى	Dynastie Han
فېمىنىزم	Féminisme
ئىدېئولوگىيە	Idéologie
پەي توپ	Badminton
يۈەن سۇلالىسى	Dynastie Yuan
كولۇمبو	Christophe Colomb
يەھۇدىلار	Juifs
سېرىق دەريا	Fleuve Jaune
قۇلاق	Oreille
بۇرۇن	Nez
كۆز	Œil
مۇسكۇل	Muscle
Töge	Camelus
پىل	Éléphant
چۈمۈلە	Fourmi
سۈي سۇلالىسى	Dynastie Sui
گوللاندىيە تىلى	Néerlandais
ماگرىت ساچىر	Margaret Thatcher
ياڭ جىيەن	Sui Wendi
دېئوكسىرىبونۇكلېئىك كىسلاتا	Acide désoxyribonucléique
سۇڭ سۇلالىسى	Dynastie Song
Çeyze	Aubergine
رۇس تىلى	Russe
ساخالىن	Sakhaline
نېفىت ئېكىسپورت قىلغۇچى دۆلەتلەر تەشكىلاتى (OPEC)	Organisation des pays exportateurs de pétrole
خەلقئارا پۇل فوندى تەشكىلاتى	Fonds monétaire international
دۇنيا سودا تەشكىلاتى	Organisation mondiale du commerce
سۋاھىلىچە	Swahili
توكيو ئۇنىۋېرستېتى	Université de Tokyo
خەنزۇ تىلى	Langues chinoises
ئۆپكە	Poumon
نەپەسلىنىش سىستېمى	Appareil respiratoire
رۇمىنىيە تىلى	Roumain
بۇلغارىيە تىلى	Bulgare
يەر تەۋرەش	Séisme
ماگادان	Magadan
تەبىئىي پەن	Science de la nature
فرانكلىن روزۋېلت	Franklin Delano Roosevelt
ﺋﯩﺒﯩﻦ ﺳﯩﻨﺎ	Avicenne
نىلسۇن ماندىلا	Nelson Mandela
مارتىن لوتىر كىڭ	Martin Luther King
Yanardag	Volcan
ئىسسىق بەلباغ سىكلونى	Cyclone tropical
تېلۇگۇ تىلى	Télougou
گرۇزىن تىلى	Géorgien
ئىقتىسادشۇناسلىق	Sciences économiques
يېن	Yen
قىزىل تۈلكە	Renard roux
ئىسكىرىپكا	Violon
چوڭ ئىسكىروپكا	Violoncelle
ئىسكەندەر زۇلقەرنەيىن	Alexandre le Grand
ئۆمەر ئىبنى خەتتاب	Omar ibn al-Khattâb
ئامۇ دەرياسى	Amou-Daria
سۈت	Lait
سۇن جۇڭشەن	Sun Yat-sen
شياڭگاڭ	Hong Kong
Miami	Miami
كاراچى	Karachi
Rio dé Janéyro	Rio de Janeiro
سوغۇق ئۇرۇش	Guerre froide
شاڭخەي شەھىرى	Shanghai
Bilbaw	Bilbao
Séwéliye	Séville
چىڭ سۇلالىسى	Dynastie Qing
توماس ئىدىسون	Thomas Edison
ئالبان تىلى	Albanais
باسكى تىلى	Basque
ئاراگون تىلى	Aragonais
ئەرمەن تىلى	Arménien
ئۇكرائىن تىلى	Ukrainien
Walénsiye	Valence (Espagne)
Malaga	Malaga
شۋېتسىيە تىلى	Suédois
دانىش تىلى	Danois
نورۋېگىيە تىلى	Norvégien
ليۇكسېمبۇرگ تىلى	Luxembourgeois
چېخ تىلى	Tchèque
سلوۋاك تىلى	Slovaque
كارل ماركىس	Karl Marx
سلوۋېن تىلى	Slovène
ماجار تىلى	Hongrois
ۋولتىر	Voltaire
ئېستون تىلى	Estonien
لاتۋىيە تىلى	Letton
لىتۋا تىلى	Lituanien
ھىندى دىنى	Hindouisme
بېلورۇس تىل	Biélorusse
يېلىن	Sein
ئاتوم	Atome
گرېك تىلى	Grec
ئرېلاندىيە تىلى	Irlandais
مالتا تىلى	Maltais
پارس تىلى	Persan
ئىسلام	Religion
كورىيەچە	Coréen
Injilning birinchi tomi	Livre de la Genèse
كانتونچە	Cantonais standard
ئېكسودۇس	Livre de l'Exode
ۋيېتنام تىلى	Vietnamien
كخمېر تىلى	Khmer
لائوس تىلى	Lao (langue)
تايلاندچە	Thaï
بىرما تىلى	Birman (langue)
مالاي تىلى	Malais (langue)
ھىندونېزىيە تىلى	Indonésien
موڭغۇل تىلى	Mongol
Baku	Bakou
قازاق تىلى	Kazakh
قىرغىز تىلى	Kirghize (langue)
تاجىك تىلى	Tadjik
