Saot Amerika	Amérique du Sud
Vienna	Vienne (Autriche)
Stockholm	Stockholm
Wrocław	Wrocław
Baebol	Bible
Ho Chi Minh City	Hô-Chi-Minh-Ville
Tru Jisas Jioj	Véritable Jésus Église
Andorra la Vella	Andorre-la-Vieille
Dong Hoi	Đồng Hới
Concepción	Concepción (Chili)
Końskowola	Końskowola
Kurów	Kurów
Kemistri	Chimie
Madrid	Madrid
Sydney	Sydney
Delmenhorst	Delmenhorst
Osasco	Osasco (Brésil)
Curitiba	Curitiba
Confucius	Confucius
Category:Matematikis	Catégorie:Mathématiques
Faroe aelan	Îles Féroé
Kristaniti	Christianisme
Céline Dion	Céline Dion
Kontinen	Continent
Kapitol	Capitale
Monzón	Monzón
Almazán	Almazán
Huang Xianfan	Huang Xianfan
Nambawan Pej	Wikipédia:Accueil principal
Template:Gud atikel	Modèle:Bon article
Category:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Kaontri	Pays
Indianapolis, Indiana	Indianapolis
Elmshorn	Elmshorn
Qin Shi Huang	Qin Shi Huang
Ae	Œil
Kamel	Camelus
Obesin	Aubergine
Dakdak	Anatidae
Toktok Rusia	Russe
Nelson Mandela	Nelson Mandela
Volkeno	Volcan
Bigwin	Cyclone tropical
Category:Franis	Catégorie:France
Kofi	Café
Seoul	Séoul
Toktok Ukraine	Ukrainien
Dipsi	Océan
Buddha	Siddhartha Gautama
Muhammed	Mahomet
Martin Luther	Martin Luther
Michael Schumacher	Michael Schumacher
Elisabet II	Élisabeth II
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Gordon Brown	Gordon Brown
Category:Venezuela	Catégorie:Venezuela
Lugo	Lugo (Espagne)
Category:Brazil	Catégorie:Brésil
Oktri	Chêne
Kanal	Canal (voie d'eau)
Leji	Litchi
Kokonas	Cocos nucifera
Santiago de Compostela	Saint-Jacques-de-Compostelle
Oviedo	Oviedo
Mérida	Mérida (Espagne)
Busan	Busan
Vermont	Vermont
Denver, Colorado	Denver
Phoenix, Arizona	Phoenix (Arizona)
Austin, Texas	Austin (Texas)
Columbus, Ohio	Columbus (Ohio)
Flaeg blong Rusia	Drapeau de la Russie
Sacramento, Kalifornia	Sacramento
Honolulu, Hawaii	Honolulu
Providence, Rhode Island	Providence (Rhode Island)
Naen	9 (nombre)
Bien Hoa	Biên Hòa
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Wikipedia:Gud atikel	Wikipédia:Bons contenus
Breinigerberg	Breinigerberg
Moai	Moaï
Seoul Stesen	Gare de Séoul
Cheongnyangni Stesen	Cheongnyangni (métro de Séoul)
Daejeon	Daejeon
Sejong	Sejong (ville)
Incheon	Incheon
Nashville, Tennessee	Nashville
Sol Lek Siti	Salt Lake City
Seven	7 (nombre)
Eit	8 (nombre)
Lord's Prayer	Notre Père
Galik	Ail cultivé
Kukamba	Concombre
Sikis	6 (nombre)
Moshchena	Mochtchena
Paltoga	Paltoga
Santiago de los Caballeros de Mérida	Mérida (Venezuela)
Atlanta, Georgia	Atlanta
Ten	10 (nombre)
Albany, Niu York	Albany (New York)
Ca Mau	Cà Mau
Harrisburg, Pennsylvania	Harrisburg
Da Lat	Đà Lạt
Phan Thiet	Phan Thiết
Hoknaet	Chouette effraie
Antoni Gaudí	Antoni Gaudí
Trenton, Niu Yersey	Trenton (New Jersey)
Thai Nguyen	Thái Nguyên
Jefferson City, Missouri	Jefferson City (Missouri)
Jackson, Mississippi	Jackson (Mississippi)
Augusta, Maine	Augusta (Maine)
Baton Rouge, Louisiana	Bâton-Rouge
Lansing, Michigan	Lansing (Michigan)
Concord, New Hampshire	Concord (New Hampshire)
Lincoln, Nebraska	Lincoln (Nebraska)
Annapolis, Maryland	Annapolis
Springfield, Illinois	Springfield (Illinois)
Frankfort, Kentucky	Frankfort (Kentucky)
Saint Paul, Minnesota	Saint Paul (Minnesota)
Montgomery, Alabama	Montgomery (Alabama)
Juneau, Alaska	Juneau
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Little Rock, Arkansas	Little Rock
Buon Ma Thuot	Buôn Ma Thuột
Hartford, Connecticut	Hartford (Connecticut)
Dover, Delaware	Dover (Delaware)
Tok Pisin	Tok pisin
Anastacia	Anastacia
Yufreres	Euphrate
Vinh Long	Vĩnh Long
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Bislama	Bichelamar
Boise, Idaho	Boise
Al Bayda	El Beïda (Libye)
Bambu	Bambou
Thanh Hoa	Thanh Hóa
Port Moresby	Port Moresby
Ben Tre	Bến Tre
Arancón	Arancón
Twelef	12 (nombre)
Tallahassee, Florida	Tallahassee
Bismarck, Not Dakota	Bismarck (Dakota du Nord)
Leven	11 (nombre)
Avoka	Avocatier
Cleveland, Ohio	Cleveland
John Calvin	Jean Calvin
Sint-Truiden	Saint-Trond
Port Vila	Port-Vila
Auckland Grammar School	Auckland Grammar School
Angers	Angers
Columbia, Saut Carolina	Columbia (Caroline du Sud)
Santa Fe, Niu Mexico	Santa Fe (Nouveau-Mexique)
Helena, Montana	Helena (Montana)
Des Moines, Iowa	Des Moines (Iowa)
Ágreda	Ágreda
Nawita	Octopoda
Pierre, Saut Dakota	Pierre (Dakota du Sud)
Carson City, Nevada	Carson City
Topeka, Kansas	Topeka
Raleigh, Not Carolina	Raleigh
Ulsan	Ulsan
Gwangju	Gwangju
Grepfrut	Citrus ×paradisi
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Sebastian Vettel	Sebastian Vettel
Kevin Rudd	Kevin Rudd
Montehermoso	Montehermoso
Salem, Oregon	Salem (Oregon)
Josef Smit	Joseph Smith
Oganaesesen blong ol Leba Raonwol	Organisation internationale du travail
Iolu Abil	Iolu Abil
Noryangjin Stesen	Noryangjin (métro de Séoul)
Namba	Adjectif numéral
Coronel Fabriciano	Coronel Fabriciano
Alla Pugacheva	Alla Pougatcheva
Flaeg blong Azerbaijan	Drapeau de l'Azerbaïdjan
Sompiniong	Champignon
Polanbol	Polandball
Dziecinów	Dziecinów (Otwock)
Gdov	Gdov
Singil Stesen	Singil (métro de Séoul)
Tenczynek	Tenczynek
Rudno	Rudno (Petite-Pologne)
Rudawa	Rudawa (Petite-Pologne)
Blumak	Acanthurus lineatus
François Arago	François Arago
Memba Kaontri blong Unaeted Neisen	Liste des États membres de l'Organisation des Nations unies
Natanggura	Cycas du Japon
St Peter's College (Auckland)	St Peter's College (Auckland)
Alan García	Alan García
John Wycliffe	John Wyclif
Caltojar	Caltojar
God	Divinité
Napoleong	Napoléon (poisson)
Flaeg blong Vanuatu	Drapeau du Vanuatu
Chang Myon	Chang Myon
Lou Reed	Lou Reed
Yun Chi-ho	Yun Chi-ho
Robert Gates	Robert Gates
William Tyndale	William Tyndale
Ana Paula Arósio	Ana Paula Arósio
Apaxco	Apaxco
Efate	Éfaté
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Kalkot Mataskelekele	Kalkot Matas Kelekele
Michael Somare	Michael Somare
Lluís Domènech i Montaner	Lluís Domènech i Montaner
Bry-sur-Marne	Bry-sur-Marne
Almaluez	Almaluez
Jacint Verdaguer	Jacint Verdaguer
Francesc Cambó	Francesc Cambó
Edward Natapei	Edward Natapei
Derek Sikua	Derek Sikua
Ambae Aelan	Ambae
Buk Blong Momon	Livre de Mormon
Sato Kilman	Sato Kilman
Ham Lini	Ham Lini
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Aliud	Aliud
Baraona	Baraona
Blufis	Scaridae
Tornesch	Tornesch
Eric A. Havelock	Eric Havelock
Markdorf	Markdorf
Tafea	Taféa
Shefa	Shéfa
Ivan Zaytsev	Ivan Zaytsev (volley-ball)
Serge Vohor	Serge Vohor
Sanma	Sanma (Vanuatu)
Malampa	Malampa
Yonawa	Jonava
Grin pijin	Ptilinopus
Waeldakdak	Canard à sourcils
Sigal	Mouette argentée
Pigazzano	Pigazzano
Torba	Torba
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Casarejos	Casarejos
Almazul	Almazul
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Almenar de Soria	Almenar de Soria
Ausejo de la Sierra	Ausejo de la Sierra
Arévalo de la Sierra	Arévalo de la Sierra
Las Aldehuelas	Las Aldehuelas
Penama	Pénama
Santiago Tequixquiac	Santiago Tequixquiac
Luganville	Luganville
Josias Moli	Josias Moli
Joan Alcover	Joan Alcover
Praem Minista blong Vanuatu	Premier ministre du Vanuatu
Kakao	Cacao
Isangel	Isangel
Oganaesesen blong Givhan long Ikonomi mo Sosaeti blong ol Kantri blong Esia mo Pasifik	Commission économique et sociale pour l'Asie et le Pacifique
Michał Winiarski	Michał Winiarski
Smalfala grin pijin	Ptilope de Grey
Pijin blong hariken	Puffin fouquet
Bigfala grin pijin	Ptilope de Tanna
Ni-vanuatu	Ni-Vanuatu
Pornopedia	Pornopedia
Category:Germany	Catégorie:Allemagne
Category:Itali	Catégorie:Italie
Category:Yunaeted Stet blong Amerika	Catégorie:États-Unis
Category:Rusia	Catégorie:Russie
Category:Kanada	Catégorie:Canada
Category:United Kingdom	Catégorie:Royaume-Uni
Category:Spain	Catégorie:Espagne
Category:China	Catégorie:Chine
Category:India	Catégorie:Inde
Category:Niu Zilan	Catégorie:Nouvelle-Zélande
Sola	Sola (Vanuatu)
Category:Bangladesh	Catégorie:Bangladesh
Category:Poland	Catégorie:Pologne
Category:Saot Koria	Catégorie:Corée du Sud
Category:Ukraine	Catégorie:Ukraine
Category:Vietnam	Catégorie:Viêt Nam
Category:Pijin	Catégorie:Oiseau
Category:Baeoloji	Catégorie:Biologie
Category:Histri	Catégorie:Histoire
Category:Jiografi	Catégorie:Géographie
Category:Sosaeti	Catégorie:Société
Category:Rilijin	Catégorie:Religion
Category:Saens	Catégorie:Sciences
Category:Yunaeted Nesen	Catégorie:Organisation des Nations unies
Category:Budisim	Catégorie:Bouddhisme
Category:Kristaniti	Catégorie:Christianisme
Category:Islam	Catégorie:Islam
Ba Ria	Bà Rịa
Bochotnica	Bochotnica
Benedicta Boccoli	Benedicta Boccoli
Kiai (tok tok)	Fortsenal
Category:Wikipedia Manejmen	Catégorie:Espace Wikipédia
Category:Kultur	Catégorie:Culture
Category:Kontinen	Catégorie:Continent
Bigfala Apostasi	Grande apostasie
Helena Ranaldi	Helena Ranaldi
Leandra Leal	Leandra Leal
Annarita Del Piano	Anna Rita Del Piano
Category:Pipol blong Yunaeted Stet blong Amerika	Catégorie:Personnalité américaine
Sergio Mattarella	Sergio Mattarella
Category:Kaontri	Catégorie:Pays
Category:Pipol	Catégorie:Personnalité
Category:Intanet	Catégorie:Internet
Template:Bot	Modèle:Bot
Kanada	Canada
Category:Hungary	Catégorie:Hongrie
Category:Czechia	Catégorie:République tchèque
Category:Litwania	Catégorie:Lituanie
Category:Slovakia	Catégorie:Slovaquie
Category:Yurop	Catégorie:Europe
Template:Documentation	Modèle:Documentation
Category:Wikipedians by language	Catégorie:Wikipédiens par langue
Sung Jae-ki	Sung Jae-ki
Template:Softredirect	Modèle:Redirection douce
Template:Delete	Modèle:Suppression Immédiate
Category:Toktok	Catégorie:Langue
Category:Wikipedia	Catégorie:Wikipédia
Category:Pages with broken file links	Catégorie:Page avec des liens de fichiers brisés
Wikipedia:Statistics	Wikipédia:Statistiques
Template:!	Modèle:!
Category:Buk	Catégorie:Livre
Template:Babel	Modèle:Boîte Babel
Template:Commons	Modèle:Commons
Template:User eo-1	Modèle:Utilisateur eo-1
Template:User en-2	Modèle:Utilisateur en-2
Template:User es-1	Modèle:Utilisateur es-1
Template:User sk	Modèle:Utilisateur sk
Template:User fr-2	Modèle:Utilisateur fr-2
Category:Azerbaijan	Catégorie:Azerbaïdjan
Category:Esia	Catégorie:Asie
Template:Mod	Modèle:Mod
Template:User it	Modèle:Utilisateur it
Template:States blog United States	Modèle:Palette États des États-Unis
Template:Quotation	Modèle:Aphorisme
Category:User en	Catégorie:Utilisateur en
Category:Croatia	Catégorie:Croatie
Category:User en-2	Catégorie:Utilisateur en-2
Template:Template other	Modèle:Template other
Template:Pp-template	Modèle:Protection
Category:Hed blong Stet	Catégorie:Chef d'État
Template:Purge	Modèle:Purger le cache
Template:Interwiki	Modèle:Interwiki
Category:Praem minista blong Vanuatu	Catégorie:Premier ministre de Vanuatu
Category:Galicia	Catégorie:Galice
Category:User sk	Catégorie:Utilisateur sk
Category:User eo	Catégorie:Utilisateur eo
Category:User fr	Catégorie:Utilisateur fr
Category:User fr-2	Catégorie:Utilisateur fr-2
Category:User it-N	Catégorie:Utilisateur it-M
Category:User sk-N	Catégorie:Utilisateur sk-M
Category:User de	Catégorie:Utilisateur de
Category:User eo-1	Catégorie:Utilisateur eo-1
Category:User es	Catégorie:Utilisateur es
Category:User es-1	Catégorie:Utilisateur es-1
Category:User it	Catégorie:Utilisateur it
Category:1969 births	Catégorie:Naissance en 1969
Category:Not Dakota	Catégorie:Dakota du Nord
Category:Louisiana	Catégorie:Louisiane
Category:Arizona	Catégorie:Arizona
Category:Kentucky	Catégorie:Kentucky
Category:Armenia	Catégorie:Arménie
Category:Vanuatu	Catégorie:Vanuatu
Category:Pipol blong Vanuatu	Catégorie:Personnalité vanuatuane
Category:Hed blong Stet blong Yunaeted Stet blong Amerika	Catégorie:Président des États-Unis
Category:Paraguay	Catégorie:Paraguay
Category:Papua Nui Guini	Catégorie:Papouasie-Nouvelle-Guinée
Category:Andorra	Catégorie:Andorre
Category:Peru	Catégorie:Pérou
Category:Albania	Catégorie:Albanie
Category:Fis	Catégorie:Poisson
Category:Dipsi	Catégorie:Océan
Category:Animol	Catégorie:Animal
Category:Asturias	Catégorie:Asturies
Category:Toktok long Vanuatu	Catégorie:Langue du Vanuatu
Category:Catalonia	Catégorie:Catalogne
Trojany	Trojany (Mazovie)
Category:Buk Blong Momon	Catégorie:Livre de Mormon
Category:Stesen blong Saot Koria	Catégorie:Gare en Corée du Sud
Category:Soria	Catégorie:Soria
Category:Aragón	Catégorie:Aragon
Wikipedia:Deletion log	Wikipédia:Historique des effacements
Yun Hyon-seok	Yun Hyon-seok
Special:RecentChanges	Spécial:Modifications récentes
