આફ્રિકા	Afrique
પ્રેમ	Amour
આકાશગંગા	Galaxie
ગુરુ (ગ્રહ)	Jupiter (planète)
યુરેનસ (ગ્રહ)	Uranus (planète)
નૅપ્ચ્યુન (ગ્રહ)	Neptune (planète)
ખગોળશાસ્ત્ર	Astronomie
સિંગાપુર	Singapour
વિજ્ઞાન	Science
પ્લૂટો	Pluton (planète naine)
ફ્રી સૉફ્ટવૅર	Logiciel libre
લીચેસ્ટેઈન	Liechtenstein
રમત-ગમત	Sport
ફેસબુક	Facebook
જુલિયન અસાંજે	Julian Assange
બીજું વિશ્વ યુદ્ધ	Seconde Guerre mondiale
ભ્રષ્ટાચાર	Corruption
વોડકા	Vodka
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu
ગણિત	Mathématiques
બહેરીન	Bahreïn
આર્મેનિયા	Arménie
ચંદ્ર	Lune
ઑસ્ટ્રેલિયા	Australie
ભૌતિકશાસ્ત્ર	Physique
આર્જેન્ટીના	Argentine
પેરુ (દેશ)	Pérou
જીવવિજ્ઞાન	Biologie
અજાણી ઊડતી વસ્તુ	Objet volant non identifié
ઉત્તર કોરિયા	Corée du Nord
કમ્બોડીયા	Cambodge
કુરાન	Coran
ડાયનાસોર	Dinosaure
પ્રાણીશાસ્ત્ર	Zoologie
ઇસ્લામ	Islam
વર્લ્ડ વાઈડ વેબ	World Wide Web
સ્ત્રી	Femme
કોમ્પ્યુટર વાયરસ	Virus informatique
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	Bombardements atomiques d'Hiroshima et Nagasaki
મિલાન	Milan
લીંબુ	Citron
કેળાં	Banane
ફૂલ	Fleur
માઉન્ટ એવરેસ્ટ	Everest
શહેર	Ville
નેપોલિયન બોનાપાર્ટ	Napoléon Ier
સૂર્ય	Soleil
લૂઈ પાશ્ચર	Louis Pasteur
પ્રકાશવર્ષ	Année-lumière
ગામ	Village
સૂર્યમંડળ	Système solaire
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Avenue des Champs-Élysées
ઉદકજન	Hydrogène
હીલિયમ	Hélium
નર્ક	Enfer
વિકિમીડિયા કૉમન્સ	Wikimedia Commons
લિથિયમ	Lithium
બેરિલિયમ	Béryllium
દિવસ	Jour
પૂર્વ તિમોર	Timor oriental
વર્ષ	Année (calendrier)
ઓસ્લો	Oslo
કૃષ્ણ વિવર	Trou noir
સિરસ (વામન ગ્રહ)	(1) Cérès
હૌમેયા (વામન ગ્રહ)	(136108) Hauméa
મેકમેક (વામન ગ્રહ)	(136472) Makémaké
બોરોન	Bore
કાર્બન	Carbone
નત્રલવાયુ	Azote
પ્રાણવાયુ (ઑક્સીજન)	Oxygène
ગ્રહ	Planète
સંગીત	Musique
ઉષ્ણતામાપક	Thermomètre
ફ્લોરિન	Fluor
નિયોન	Néon
ચૅડ	Tchad
ક્ષારાતુ	Sodium
ઉત્તર	Nord
મેગ્નેશિયમ	Magnésium
સ્ફટયાતુ	Aluminium
દક્ષિણ	Sud
ભારત	Inde
સિલિકોન	Silicium
ફ્રાંસીયમ	Francium
ફોસ્ફરસ	Phosphore
લોખંડ	Fer
પશ્ચિમ	Ouest
ગંધક	Soufre
સમોઆ	Samoa
નીરજી	Chlore
વિલિયમ શેક્સપીયર	William Shakespeare
આર્ગોન	Argon
નૌરુ	Nauru
પોટેશિયમ	Potassium
કેલ્શિયમ	Calcium
સીસું	Plomb
મંગોલિયા	Mongolie
સ્કેન્ડિયમ	Scandium
ટાઇટેનિયમ	Titane
વેનેઝુએલા	Venezuela
ચેસ	Échecs
વેનેડિયમ	Vanadium
વર્ણાતુ	Chrome
ઘોડો	Cheval
હથિયારો	Arme
પ્રાણી	Animal
સુરીનામ	Suriname
મેંગેનિઝ	Manganèse
ગુયાના	Guyana
કલા	Art
ઈક્વેડોર	Équateur (pays)
રિનીયમ	Rhénium
કોલમ્બિયા	Colombie
કોબાલ્ટ	Cobalt
ટંગસ્ટન	Tungstène
નિકલ	Nickel
બૌદ્ધ ધર્મ	Bouddhisme
બોલીવિયા	Bolivie
ઓસ્મીયમ	Osmium
તાંબુ	Cuivre
ટ્રિનિદાદ અને ટોબેગો	Trinité-et-Tobago
જસત	Zinc
ન્યૂ હેમ્પશાયર	New Hampshire
લિઓનાર્ડો દ વિન્ચી	Léonard de Vinci
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Honduras
હૈતી	Haïti
ઈરાન	Iran
ઈરાક	Irak
શાણપણ	Sagesse
ઈઝરાયલ	Israël
પનામા	Panama
યેમેન	Yémen
જૉર્ડન	Jordanie
કિર્ગિસ્તાન	Kirghizistan
કુવૈત	Koweït
લાઓસ	Laos
લેબેનાન	Liban
માલદીવ્સ	Maldives
અમેરિકા	Amérique
મલેશિયા	Malaisie
બર્મા	Birmanie
નેપાળ	Népal
ઓમાન	Oman
પાકિસ્તાન	Pakistan
જેમ્સ બોન્ડ	James Bond
કતાર (અરબસ્તાન)	Qatar
સાઉદી અરેબિયા	Arabie saoudite
શ્રીલંકા	Sri Lanka
સ્ટાલિન	Joseph Staline
સિરિયા	Syrie
પ્લેટો	Platon
ગેલિયમ	Gallium
તાજિકિસ્તાન	Tadjikistan
ચીની ગણતંત્ર	Taïwan
યુ ટ્યુબ	YouTube
જર્મેનિયમ	Germanium
એરિસ્ટોટલ	Aristote
થાઇલેન્ડ	Thaïlande
સોમલ	Arsenic
તુર્કમેનિસ્તાન	Turkménistan
સેલિનીયમ	Sélénium
ઈરિડીયમ	Iridium
બ્રોમિન	Brome
પ્લેટિનમ	Platine
વિયેતનામ	Viêt Nam
ચાર્લી ચૅપ્લિન	Charlie Chaplin
દક્ષિણ કોરિયા	Corée du Sud
ક્રિપ્ટોન	Krypton
અફઘાનિસ્તાન	Afghanistan
રુબિડીયમ	Rubidium
સોનું	Or
સુએઝ નહેર	Canal de Suez
બાંગ્લાદેશ	Bangladesh
સોક્રેટિસ	Socrate
ભૂતાન	Bhoutan
બ્રુનેઈ	Brunei
ટાન્ઝાનિયા	Tanzanie
પારો	Mercure (chimie)
ફીલીપાઈન્સ	Philippines
થેલીયમ	Thallium
આઇઝેક ન્યુટન	Isaac Newton
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સ્ટ્રોન્શિયમ	Strontium
ઈટ્રીયમ	Yttrium
બિસ્મથ	Bismuth
ટોગો	Togo
ટ્યુનિશિયા	Tunisie
બેઇજિંગ	Pékin
બેનિન	Bénin
પોલોનીયમ	Polonium
એસ્ટાટીન	Astate
મહાત્મા ગાંધી	Mohandas Karamchand Gandhi
મડાગાસ્કર	Madagascar
સ્ટુટગાર્ટ	Stuttgart
નાઈજર	Niger
નાઈજેરિયા	Nigeria
ચાર્લ્સ ડાર્વિન	Charles Darwin
ઝિર્કોનિયમ	Zirconium
નાયોબિયમ	Niobium
જવાહરલાલ નેહરુ	Jawaharlal Nehru
જુલિયસ સીઝર	Jules César
સુદાન	Soudan
સ્વાઝીલેન્ડ	Swaziland
મેઘધનુષ	Arc-en-ciel
મોલિબ્ડેનમ	Molybdène
ટેક્નેશિયમ	Technétium
ચયાપચય	Métabolisme
નરેન્દ્ર મોદી	Narendra Modi
ગુજરાત	Gujarat
ઉત્ક્રાંતિ	Évolution (biologie)
સંયુક્ત રાષ્ટ્રસંઘ	Organisation des Nations unies
અમદાવાદ	Ahmedabad
ભૂગોળ	Géographie
મગજ	Cerveau
સંજ્ઞા	Substantif
રુથેનિયમ	Ruthénium
રોડિયમ	Rhodium
પલેડિયમ	Palladium (chimie)
ચાંદી	Argent
કેડમિયમ	Cadmium
ઈંડિયમ	Indium
ટીન	Étain
યુરેનિયમ	Uranium
એંટિમની	Antimoine
ટેલુરિયમ	Tellure
પ્લુટોનીયમ	Plutonium
આયોડિન	Iode
નેપ્ચ્યુનીયમ	Neptunium
ઝેનોન	Xénon
સીસીયમ	Césium
પ્રોટેક્ટિનીયમ	Protactinium
બેરિયમ	Baryum
થોરીયમ	Thorium
હાફનીયમ	Hafnium
એક્ટિનીયમ	Actinium
ટેન્ટેલમ	Tantale (chimie)
રેડિયમ	Radium
રેડૉન	Radon
ઈન્દિરા ગાંધી	Indira Gandhi
જામનગર	Jamnagar
મુંબઈ	Bombay
આંધ્ર પ્રદેશ	Andhra Pradesh
અરુણાચલ પ્રદેશ	Arunachal Pradesh
આસામ	Assam
બિહાર	Bihar
છત્તીસગઢ	Chhattisgarh
ગોઆ	Goa
હરિયાણા	Haryana
હિમાચલ પ્રદેશ	Himachal Pradesh
જમ્મુ અને કાશ્મીર	Jammu-et-Cachemire
ઝારખંડ	Jharkhand
કર્ણાટક	Karnataka
કેરળ	Kerala
મધ્ય પ્રદેશ	Madhya Pradesh
યુસૈન બોલ્ટ	Usain Bolt
મહારાષ્ટ્ર	Maharashtra
મણિપુર	Manipur
મેઘાલય	Meghalaya
બ્રુસ સ્પ્રિન્ગસ્ટીન	Bruce Springsteen
રુથરફોર્ડીયમ	Rutherfordium
ડૂબનીયમ	Dubnium
સીબોર્ગીયમ	Seaborgium
હિંદ મહાસાગર	Océan Indien
કેરેબિયન સાગર	Mer des Caraïbes
બોહ્રીયમ	Bohrium
હેસીયમ	Hassium
માઈટનિરીયમ	Meitnérium
ડાર્મસ્ટેડીયમ	Darmstadtium
રેન્ટજિનીયમ	Roentgenium
કોપરનિસીયમ	Copernicium
ધ બિટલ્સ	The Beatles
શિયાળો	Hiver
ઉનાળો	Été
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Équinoxe
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Philadelphie
કોલકાતા	Calcutta
ચેન્નઈ	Chennai
દિલ્હી	Delhi
ઢાકા	Dacca
બેંગલોર	Bangalore
પશ્ચિમ બંગાળ	Bengale-Occidental
હૈદરાબાદ	Hyderabad
ઇસ્લામાબાદ	Islamabad
ત્રિપુરા	Tripura
વાંદરો	Singe
સિરીયમ	Cérium
પ્રેસિયોડિમિયમ	Praséodyme
નિયોડીમીયમ	Néodyme
લેનિન	Vladimir Ilitch Lénine
યુરોપિયમ	Europium
ઊએતેર્સેન્	Uetersen
ઇન્ડિયાના	Indiana
નોકિયા	Nokia
મોટરગાડી	Automobile
ટ્રાજન	Trajan
રોજર ફેડરર	Roger Federer
રાજસ્થાન	Rajasthan
તમિલનાડુ	Tamil Nadu
હોકી	Hockey sur gazon
ક્રોહનનો રોગ	Maladie de Crohn
ઉત્તર પ્રદેશ	Uttar Pradesh
ઉત્તરાખંડ	Uttarakhand
મિઝોરમ	Mizoram
સિક્કિમ	Sikkim
ટેનેસી	Tennessee
નાગપુર	Nagpur
કારાકાસ	Caracas
પુના	Pune
આયોવા	Iowa
નેબ્રાસ્કા	Nebraska
કેન્સાસ	Kansas
હિંદી ભાષા	Hindi
મરાઠી ભાષા	Marathi (langue)
ગણેશ	Ganesh
મિઝોરી	Missouri (État)
લ્યુઇસિયાના	Louisiane
નાગાલેંડ	Nagaland
અરકાનસાસ	Arkansas
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
ઉર્દુ ભાષા	Ourdou
ઓક્લાહોમા	Oklahoma
બુડાપેસ્ટ	Budapest
લેન્થેનમ	Lanthane
પ્રોમેથિયમ	Prométhium
સમેરિયમ	Samarium
ગેડોલિનીયમ	Gadolinium
ટર્બિયમ	Terbium
ડીસ્પ્રોસીયમ	Dysprosium
બાઇબલ	Bible
હોલ્મીયમ	Holmium
અર્બિયમ	Erbium
થુલિયમ	Thulium
ઈટરબિયમ	Ytterbium
લ્યુટેશિયમ	Lutécium
સત્ય ઇસુ દેવળ	Véritable Jésus Église
અંગ્રેજી ભાષા	Anglais
અમેરિસીયમ	Américium
ક્યુરીયમ	Curium
બર્કેલીયમ	Berkélium
કેલિફોર્નીયમ	Californium
આઇન્સ્ટેનીયમ	Einsteinium
ફર્મીયમ	Fermium
મેન્ડેલિવીયમ	Mendélévium
નોબેલીયમ	Nobélium
લોરેન્સીયમ	Lawrencium
ગુરુના ચંદ્રો	Satellites naturels de Jupiter
કઞ્સ્કવલા	Końskowola
૨૦૦૧	2001
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993
૧૯૧૦	1910
સાપ	Serpentes
મુખ મૈથુન	Sexualité orale
જાન્યુઆરી ૧	1er janvier
જાન્યુઆરી ૨	2 janvier
સુભાષચંદ્ર બોઝ	Subhas Chandra Bose
જાન્યુઆરી ૩	3 janvier
જાન્યુઆરી ૪	4 janvier
જાન્યુઆરી ૫	5 janvier
જાન્યુઆરી ૬	6 janvier
જાન્યુઆરી ૭	7 janvier
જાન્યુઆરી ૮	8 janvier
જાન્યુઆરી ૯	9 janvier
જાન્યુઆરી ૧૦	10 janvier
જાન્યુઆરી ૧૧	11 janvier
જાન્યુઆરી ૧૨	12 janvier
જાન્યુઆરી ૧૩	13 janvier
બર્મિંગહામ	Birmingham
જાન્યુઆરી ૧૪	14 janvier
જાન્યુઆરી ૧૫	15 janvier
જાન્યુઆરી ૧૬	16 janvier
જાન્યુઆરી ૧૭	17 janvier
જાન્યુઆરી ૧૮	18 janvier
જાન્યુઆરી ૧૯	19 janvier
જાન્યુઆરી ૨૦	20 janvier
જાન્યુઆરી ૨૧	21 janvier
જાન્યુઆરી ૨૨	22 janvier
જાન્યુઆરી ૨૩	23 janvier
જાન્યુઆરી ૨૪	24 janvier
જાન્યુઆરી ૨૫	25 janvier
જાન્યુઆરી ૨૬	26 janvier
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	27 janvier
જાન્યુઆરી ૨૮	28 janvier
જાન્યુઆરી ૨૯	29 janvier
જાન્યુઆરી ૩૦	30 janvier
જાન્યુઆરી ૩૧	31 janvier
ડિસેમ્બર ૨	2 décembre
ડિસેમ્બર ૧	1er décembre
ડિસેમ્બર ૩	3 décembre
ડિસેમ્બર ૭	7 décembre
ડિસેમ્બર ૫	5 décembre
ડિસેમ્બર ૮	8 décembre
ડિસેમ્બર ૧૦	10 décembre
ડિસેમ્બર ૬	6 décembre
ડિસેમ્બર ૯	9 décembre
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	4 décembre
ફેબ્રુઆરી ૧	1er février
ફેબ્રુઆરી ૨	2 février
ફેબ્રુઆરી ૩	3 février
કુરોવ	Kurów
ફેબ્રુઆરી ૪	4 février
ફેબ્રુઆરી ૫	5 février
ફેબ્રુઆરી ૬	6 février
ફેબ્રુઆરી ૭	7 février
ફેબ્રુઆરી ૮	8 février
ફેબ્રુઆરી ૯	9 février
ફેબ્રુઆરી ૧૦	10 février
રસાયણ શાસ્ત્ર	Chimie
ફેબ્રુઆરી ૧૪	14 février
ફેબ્રુઆરી ૧૩	13 février
ફેબ્રુઆરી ૧૫	15 février
ફેબ્રુઆરી ૧૧	11 février
ફેબ્રુઆરી ૧૨	12 février
ફેબ્રુઆરી ૧૯	19 février
ફેબ્રુઆરી ૧૭	17 février
ફેબ્રુઆરી ૧૬	16 février
ફેબ્રુઆરી ૧૮	18 février
ફેબ્રુઆરી ૨૦	20 février
ફેબ્રુઆરી ૨૧	21 février
ફેબ્રુઆરી ૨૨	22 février
ફેબ્રુઆરી ૨૩	23 février
ફેબ્રુઆરી ૨૪	24 février
ફેબ્રુઆરી ૨૫	25 février
ફેબ્રુઆરી ૨૬	26 février
ફેબ્રુઆરી ૨૭	27 février
ફેબ્રુઆરી ૨૮	28 février
ડિસેમ્બર ૧૧	11 décembre
ફેબ્રુઆરી ૨૯	29 février
ડિસેમ્બર ૧૨	12 décembre
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C sharp
ડિસેમ્બર ૧૩	13 décembre
ડિસેમ્બર ૧૪	14 décembre
ડિસેમ્બર ૧૫	15 décembre
માર્ચ ૨	2 mars
માર્ચ ૩	3 mars
માર્ચ ૫	5 mars
માર્ચ ૧	1er mars
માર્ચ ૭	7 mars
માર્ચ ૮	8 mars
માર્ચ ૪	4 mars
માર્ચ ૧૦	10 mars
માર્ચ ૧૧	11 mars
માર્ચ ૬	6 mars
માર્ચ ૧૩	13 mars
માર્ચ ૯	9 mars
માર્ચ ૧૨	12 mars
માર્ચ ૧૫	15 mars
માર્ચ ૧૪	14 mars
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	16 décembre
ડિસેમ્બર ૧૭	17 décembre
માર્ચ ૧૬	16 mars
માર્ચ ૧૭	17 mars
માર્ચ ૧૮	18 mars
માર્ચ ૧૯	19 mars
માર્ચ ૨૦	20 mars
માર્ચ ૨૧	21 mars
માર્ચ ૨૨	22 mars
ડિસેમ્બર ૧૮	18 décembre
માર્ચ ૨૩	23 mars
ડિસેમ્બર ૧૯	19 décembre
માર્ચ ૨૪	24 mars
માર્ચ ૨૫	25 mars
ડિસેમ્બર ૨૦	20 décembre
માર્ચ ૨૬	26 mars
માર્ચ ૨૭	27 mars
માર્ચ ૨૮	28 mars
માર્ચ ૨૯	29 mars
માર્ચ ૩૦	30 mars
માર્ચ ૩૧	31 mars
એપ્રિલ ૧૫	15 avril
એપ્રિલ ૧૩	13 avril
એપ્રિલ ૧૨	12 avril
એપ્રિલ ૧૪	14 avril
એપ્રિલ ૧૧	11 avril
એપ્રિલ ૧૦	10 avril
એપ્રિલ ૮	8 avril
એપ્રિલ ૯	9 avril
એપ્રિલ ૭	7 avril
એપ્રિલ ૬	6 avril
એપ્રિલ ૫	5 avril
એપ્રિલ ૪	4 avril
એપ્રિલ ૩	3 avril
એપ્રિલ ૧	1er avril
એપ્રિલ ૨	2 avril
એપ્રિલ ૧૬	16 avril
એપ્રિલ ૧૭	17 avril
એપ્રિલ ૧૮	18 avril
એપ્રિલ ૧૯	19 avril
એપ્રિલ ૨૦	20 avril
એપ્રિલ ૨૧	21 avril
એપ્રિલ ૨૨	22 avril
એપ્રિલ ૨૩	23 avril
એપ્રિલ ૨૪	24 avril
એપ્રિલ ૨૫	25 avril
એપ્રિલ ૨૬	26 avril
એપ્રિલ ૨૭	27 avril
એપ્રિલ ૨૮	28 avril
એપ્રિલ ૨૯	29 avril
એપ્રિલ ૩૦	30 avril
મે ૧	1er mai
મે ૨	2 mai
મે ૩	3 mai
મે ૪	4 mai
મે ૫	5 mai
મે ૬	6 mai
મે ૭	7 mai
મે ૮	8 mai
મે ૯	9 mai
મે ૧૦	10 mai
મે ૧૧	11 mai
મે ૧૨	12 mai
મે ૧૩	13 mai
મે ૧૪	14 mai
મે ૧૫	15 mai
મે ૧૬	16 mai
મે ૧૭	17 mai
મે ૧૮	18 mai
મે ૧૯	19 mai
મે ૨૦	20 mai
મે ૨૧	21 mai
મે ૨૨	22 mai
મે ૨૩	23 mai
મે ૨૪	24 mai
મે ૨૫	25 mai
મે ૨૬	26 mai
મે ૨૭	27 mai
મે ૨૮	28 mai
મે ૨૯	29 mai
મે ૩૦	30 mai
મે ૩૧	31 mai
ડિસેમ્બર ૨૧	21 décembre
જૂન ૧૪	14 juin
જૂન ૧૫	15 juin
જૂન ૧૩	13 juin
જૂન ૧૦	10 juin
જૂન ૭	7 juin
જૂન ૧૧	11 juin
જૂન ૯	9 juin
જૂન ૧૨	12 juin
જૂન ૬	6 juin
જૂન ૮	8 juin
જૂન ૫	5 juin
જૂન ૩	3 juin
જૂન ૨	2 juin
જૂન ૧	1er juin
જૂન ૪	4 juin
ડિસેમ્બર ૨૨	22 décembre
જૂન ૧૬	16 juin
જૂન ૩૦	30 juin
જૂન ૨૯	29 juin
જૂન ૨૮	28 juin
જૂન ૨૬	26 juin
જૂન ૨૫	25 juin
જૂન ૨૨	22 juin
જૂન ૨૭	27 juin
જૂન ૨૪	24 juin
જૂન ૨૦	20 juin
જૂન ૨૩	23 juin
જૂન ૧૯	19 juin
જૂન ૧૮	18 juin
જૂન ૨૧	21 juin
જૂન ૧૭	17 juin
ડિસેમ્બર ૨૩	23 décembre
આર્નોલ્ડ શ્વાર્ઝેનેગર	Arnold Schwarzenegger
જુલાઇ ૧૫	15 juillet
જુલાઇ ૧૩	13 juillet
જુલાઇ ૧૨	12 juillet
જુલાઇ ૧૦	10 juillet
જુલાઇ ૯	9 juillet
જુલાઇ ૧૪	14 juillet
જુલાઇ ૮	8 juillet
જુલાઇ ૭	7 juillet
જુલાઇ ૬	6 juillet
જુલાઇ ૫	5 juillet
જુલાઇ ૨	2 juillet
જુલાઇ ૪	4 juillet
જુલાઇ ૩	3 juillet
જુલાઇ ૧	1er juillet
જુલાઇ ૧૧	11 juillet
ડિસેમ્બર ૨૪	24 décembre
જુલાઇ ૩૧	31 juillet
જુલાઇ ૩૦	30 juillet
જુલાઇ ૨૯	29 juillet
જુલાઇ ૨૮	28 juillet
જુલાઇ ૨૭	27 juillet
જુલાઇ ૨૫	25 juillet
જુલાઇ ૨૪	24 juillet
જુલાઇ ૨૩	23 juillet
જુલાઇ ૨૬	26 juillet
જુલાઇ ૨૨	22 juillet
જુલાઇ ૧૯	19 juillet
જુલાઇ ૨૧	21 juillet
જુલાઇ ૨૦	20 juillet
જુલાઇ ૧૭	17 juillet
જુલાઇ ૧૮	18 juillet
જુલાઇ ૧૬	16 juillet
અસોસિએશન ફુટબોલ	Football
ડિસેમ્બર ૨૫	25 décembre
ડિસેમ્બર ૨૬	26 décembre
ઓગસ્ટ ૧૪	14 août
ઓગસ્ટ ૧૫	15 août
ઓગસ્ટ ૧૩	13 août
ઓગસ્ટ ૧૨	12 août
ઓગસ્ટ ૧૧	11 août
ઓગસ્ટ ૧૦	10 août
ઓગસ્ટ ૮	8 août
ઓગસ્ટ ૭	7 août
ઓગસ્ટ ૯	9 août
ઓગસ્ટ ૫	5 août
ઓગસ્ટ ૪	4 août
ઓગસ્ટ ૨	2 août
ઓગસ્ટ ૩	3 août
ઓગસ્ટ ૬	6 août
ઓગસ્ટ ૧	1er août
આઇપેડ (iPad)	IPad
ડિસેમ્બર ૨૭	27 décembre
સબમરીન	Sous-marin
ઓગસ્ટ ૧૬	16 août
ઓગસ્ટ ૨૯	29 août
ઓગસ્ટ ૨૮	28 août
ઓગસ્ટ ૩૦	30 août
ઓગસ્ટ ૨૫	25 août
ઓગસ્ટ ૨૬	26 août
ઓગસ્ટ ૨૩	23 août
ઓગસ્ટ ૨૭	27 août
ઓગસ્ટ ૨૧	21 août
ઓગસ્ટ ૨૦	20 août
ઓગસ્ટ ૨૪	24 août
ઓગસ્ટ ૧૮	18 août
ઓગસ્ટ ૧૭	17 août
ઓગસ્ટ ૨૨	22 août
ઓગસ્ટ ૧૯	19 août
ઓગસ્ટ ૩૧	31 août
માઇકલ જેકસન	Michael Jackson
ડિસેમ્બર ૨૮	28 décembre
સપ્ટેમ્બર ૧૫	15 septembre
સપ્ટેમ્બર ૧૪	14 septembre
સપ્ટેમ્બર ૧૩	13 septembre
સપ્ટેમ્બર ૧૨	12 septembre
સપ્ટેમ્બર ૮	8 septembre
સપ્ટેમ્બર ૧૧	11 septembre
સપ્ટેમ્બર ૭	7 septembre
સપ્ટેમ્બર ૧૦	10 septembre
સપ્ટેમ્બર ૫	5 septembre
સપ્ટેમ્બર ૪	4 septembre
સપ્ટેમ્બર ૯	9 septembre
સપ્ટેમ્બર ૨	2 septembre
સપ્ટેમ્બર ૬	6 septembre
સપ્ટેમ્બર ૧	1er septembre
સપ્ટેમ્બર ૩	3 septembre
ડિસેમ્બર ૨૯	29 décembre
સપ્ટેમ્બર ૩૦	30 septembre
સપ્ટેમ્બર ૨૯	29 septembre
સપ્ટેમ્બર ૨૮	28 septembre
સપ્ટેમ્બર ૨૭	27 septembre
