अफ्रीका	Afrique
स्टेफेन हार्पर	Stephen Harper
जर्ज डब्लु बुश	George W. Bush
आयत	Rectangle
लात्भिया	Lettonie
युक्रेन	Ukraine
चेक गणतन्त्र	République tchèque
स्लोभाकिया	Slovaquie
स्लोभेनिया	Slovénie
मोल्डोभा	Moldavie
रोमानिया	Roumanie
बुल्गेरिया	Bulgarie
रोम	Rome
म्यासेडोनिया	Macédoine (pays)
अल्बानिया	Albanie
ग्रीनल्याण्ड	Groenland
क्रोएशिया	Croatie
बोस्निया र हर्जगोभिना	Bosnie-Herzégovine
अजरबैजान	Azerbaïdjan
एण्डोरा	Andorre
साइप्रस	Chypre (pays)
जर्जिया (देश)	Géorgie (pays)
कजाख्स्तान	Kazakhstan
मोनाको	Monaco
मोन्टेनेग्रो	Monténégro
भ्याटिकन सिटी	Vatican
सान मारिनो	Saint-Marin
ब्रसेल्स	Région de Bruxelles-Capitale
क्युबा	Cuba
बेलिज	Belize
आइफिल टावर	Tour Eiffel
बार्बाडोस	Barbade
किबोर्ड	Clavier d'ordinateur
जावा	Java (langage)
इण्डोनेशिया	Indonésie
वोल्फगान्क आमडेयुस मोत्सार्ट	Wolfgang Amadeus Mozart
दक्षिण अफ्रिका	Afrique du Sud
लिंकिन पार्क	Linkin Park
अल्जेरिया	Algérie
वाइन	Vin
पानी	Eau
काठ	Bois
टेलिभिजन	Télévision
यौन	Sexe
चिली	Chili
जिसस क्राइस्ट	Jésus-Christ
बुधग्रह	Mercure (planète)
इतिहास	Histoire
एप्पल कम्पनी	Apple
शुक्रग्रह	Vénus (planète)
भाषा	Langage
माया	Amour
तारापुञ्ज	Galaxie
बृहस्पतिग्रह	Jupiter (planète)
आकाशगङ्गा	Voie lactée
युरेनस	Uranus (planète)
निकोला सार्कोजी	Nicolas Sarkozy
वरुणग्रह	Neptune (planète)
खगोलशास्त्र	Astronomie
सिङ्गापुर	Singapour
विज्ञान	Science
भविष्य	Futur
मेरी (यसुकी आमा)	Marie (mère de Jésus)
खेल	Sport
एडल्फ हिटलर	Adolf Hitler
फेसबुक	Facebook
गूगल+	Google+
विकिलिक्स	WikiLeaks
जुलियन असान्ज	Julian Assange
प्रथम विश्वयुद्ध	Première Guerre mondiale
दोस्रो विश्वयुद्ध	Seconde Guerre mondiale
भ्रष्टाचार	Corruption
उबुन्टु	Ubuntu
लिनक्स	Linux
गणित	Mathématiques
लेटिन	Latin
बहराइन	Bahreïn
आर्मेनिया	Arménie
जेना जेम्सन	Jenna Jameson
हिग्स बोसोन	Boson de Higgs
सर्बिया	Serbie
चन्द्रमा	Lune
इस्तानबुल	Istanbul
लिन्डा लभलेस	Linda Lovelace
अष्ट्रेलिया	Australie
बब मार्ली	Bob Marley
अर्जेन्टिना	Argentine
पेरू	Pérou
जीवशास्त्र	Biologie
उत्तर कोरिया	Corée du Nord
कम्बोडिया	Cambodge
कुरान	Coran
डायनोसर	Dinosaure
इस्लाम धर्म	Islam
हरियो स्याउ	Pyrus
लेक वालेसा	Lech Wałęsa
मन	Esprit
शान्ति	Paix
युरोपेली संघ	Union européenne
महिला	Femme
कविता	Poésie
कम्प्युटर भाइरस	Virus informatique
मित्रता	Amitié
मल	Matière fécale
काखी	Aisselle
कागती	Citron
केरा	Banane
फूल	Fleur
सगरमाथा	Everest
शहर	Ville
नेपोलियन बोनापार्ट	Napoléon Ier
शरीर क्रिया विज्ञान	Physiologie
तारा	Étoile
सूर्य	Soleil
आकाश	Ciel
लोइस पास्चर	Louis Pasteur
प्रकाश वर्ष	Année-lumière
गाउँ	Village
ओशिनिया	Océanie
सौर्यमण्डल	Système solaire
दाँत	Dent
हाइड्रोजन	Hydrogène
हीलियम	Hélium
विकिमिडिया कमन्स	Wikimedia Commons
एन्जेला मर्केल	Angela Merkel
लिथियम	Lithium
बेरिलियम	Béryllium
लाउड स्पीकर	Haut-parleur
पुस्तक	Livre (document)
दिन	Jour
पूर्वी टिमोर	Timor oriental
राती	Nuit
वर्ष	Année (calendrier)
शताब्दी	Siècle
मोन्ट ब्लाङ्क	Mont Blanc
ओस्लो	Oslo
क्याटोभिस	Katowice
ब्ल्याक होल	Trou noir
समलिङ्गी (पुरुष)	Gay (homosexualité)
लियोनेल मेस्सी	Lionel Messi
बोरोन	Bore
कार्बन	Carbone
नाइट्रोजन	Azote
प्राणवायु	Oxygène
इन्टर मिलान	FC Internazionale Milano
ग्रह	Planète
क्लियोपेट्रा सातौं	Cléopâtre VII
संगीत	Musique
भेनिस	Venise
थर्मामीटर	Thermomètre
फ्लोरिन	Fluor
नियोन	Néon
सेन्ट पिटर्सवर्ग	Saint-Pétersbourg
सोडियम	Sodium
उत्तर	Nord
म्याग्नेसियम	Magnésium
एलुमिनियम	Aluminium
न्यु जिल्यान्ड	Nouvelle-Zélande
दक्षिण	Sud
भारत	Inde
सिलिकॉन	Silicium
फोस्फरस	Phosphore
आन्द्रे मैरी एम्पीयर	André-Marie Ampère
फलाम	Fer
पश्चिम	Ouest
गन्धक	Soufre
पूर्व	Est
सोलोमन द्वीप	Salomon (pays)
भानुअटु	Vanuatu
क्लोरिन	Chlore
विलियम शेक्सपियर	William Shakespeare
और्गन	Argon
मोजिला फायरफक्स	Mozilla Firefox
पोटाशियम	Potassium
क्याल्सियम	Calcium
मङ्गोलिया	Mongolie
फिजी	Fidji
स्काण्डियम	Scandium
टाइटानियम	Titane
भेनेजुएला	Venezuela
बुद्धिचाल	Échecs
जंगेज खाँ	Gengis Khan
वनेडियम	Vanadium
मेन	Maine (État)
आम्स्टर्डम	Amsterdam
जनावर	Animal
पाराग्वे	Paraguay
गुयना	Guyana
इक्वेडर	Équateur (pays)
कोलम्बिया	Colombie
बुद्ध धर्म	Bouddhisme
बोलिभिया	Bolivie
अस्मियम	Osmium
तामा	Cuivre
ट्रिनिडाड र टोबागो	Trinité-et-Tobago
वनस्पति	Plante
न्यू ह्याम्प्सर	New Hampshire
लियोनार्दो दा भिञ्ची	Léonard de Vinci
ढुसी	Fungi
ग्रिनाडा	Grenade (pays)
म्यासेचुसेट्स	Massachusetts
ग्वाटेमाला	Guatemala
बहामस	Bahamas
कनेक्टिकट	Connecticut
कुखुरा	Gallus gallus domesticus
एन्टिगुआ र बर्बुडा	Antigua-et-Barbuda
हवाई	Hawaï
होन्डुरस	Honduras
डोमिनिका	Dominique (pays)
जर्सी	Jersey
डोमिनिकन गणतन्त्र	République dominicaine
आर्कटिक महासागर	Océan Arctique
हाइटी	Haïti
एल साल्भादोर	Salvador
इरान	Iran
ईराक	Irak
अलास्का	Alaska
कोस्टारिका	Costa Rica
इजरायल	Israël
पानामा	Panama
गणतन्त्र यमन	Yémen
विषाणु	Virus
जोर्डन	Jordanie
निकाराग्वा	Nicaragua
फ्लोरिडा	Floride
किर्गिजस्तान	Kirghizistan
एरिजोना	Arizona
कुवेत	Koweït
लाओस	Laos
ओरेगन	Oregon
मालदिभ्स	Maldives
युटा	Utah
गाई	Bos taurus
मलेशिया	Malaisie
म्यानमार	Birmanie
नेपाल	Népal
ओमान	Oman
पाकिस्तान	Pakistan
कतार	Qatar
साउदी अरब	Arabie saoudite
श्रीलंका	Sri Lanka
स्टालिन	Joseph Staline
सीरिया	Syrie
प्लेटो	Platon
ताजिकिस्तान	Tadjikistan
ताइवान	Taïwan
युट्युब	YouTube
जर्मेनियम	Germanium
अरस्तू	Aristote
थाइल्याण्ड	Thaïlande
रेडियो	Radiodiffusion
तुर्कमेनिस्तान	Turkménistan
इरिडियम	Iridium
संयुक्त अरब इमिरेट्स	Émirats arabes unis
भियतनाम	Viêt Nam
चार्ली च्याप्लिन	Charlie Chaplin
दक्षिण कोरिया	Corée du Sud
द सिम्प्सन्स	Les Simpson
अफगानिस्तान	Afghanistan
गङ्नम स्टाइल	Gangnam Style
सुन	Or
स्वेज नहर	Canal de Suez
वैज्ञानिक	Scientifique
बंगलादेश	Bangladesh
फ्रान्ज काफ्का	Franz Kafka
सुकरात	Socrate
अंगोला	Angola
भूटान	Bhoutan
ट्विटर	Twitter
ब्रुनेई	Brunei
तन्जानिया	Tanzanie
फिलिपिन्स	Philippines
मध्य अफ्रिकी गणतन्त्र	République centrafricaine
दक्षिणी ध्रुव	Pôle Sud
उत्तरी ध्रुव	Pôle Nord
आइज्याक न्यूटन	Isaac Newton
अल्बर्ट आइन्स्टाइन	Albert Einstein
पहेंलो	Jaune
प्रमात्रा यान्त्रिकी	Mécanique quantique
जिम्बाब्वे	Zimbabwe
बेइजिङ	Pékin
बेनिन	Bénin
बोत्स्वाना	Botswana
बुर्किना फासो	Burkina Faso
बुरूण्डी	Burundi
कोमोरोस	Comores (pays)
गणतन्त्र कङ्गो	République du Congo
प्रजातान्त्रिक गणतन्त्र कंगो	République démocratique du Congo
जिबुटी	Djibouti
इक्वेटोरियल गिनी	Guinée équatoriale
एरिट्रिया	Érythrée
नयाँ दिल्ली	New Delhi
गाबोन	Gabon
महात्मा गान्धी	Mohandas Karamchand Gandhi
गाम्बिया	Gambie
गिनी	Guinée
गिनी-बिसाउ	Guinée-Bissau
आइभोरी कोस्ट	Côte d'Ivoire
क्यामेरून	Cameroun
केप भर्ड	Cap-Vert
लिबिया	Libye
माडागास्कर	Madagascar
स्टटगर्ट	Stuttgart
मौरिसस	Maurice (pays)
नाइजेरिया	Nigeria
चार्ल्स डार्विन	Charles Darwin
युगाण्डा	Ouganda
रुवाण्डा	Rwanda
सोमालिया	Somalie
नायोबियम	Niobium
जवाहरलाल नेहरु	Jawaharlal Nehru
जुलियस सिजर	Jules César
इन्द्रेणी	Arc-en-ciel
ह्याम्बर्ग	Hambourg
नरेन्द्र मोदी	Narendra Modi
प्रतिरक्षा प्रणाली	Système immunitaire
गुजरात	Gujarat
क्रम-विकास	Évolution (biologie)
संयुक्त राष्ट्र संघ	Organisation des Nations unies
अहमदाबाद	Ahmedabad
भूगोल	Géographie
मुटु	Cœur
मस्तिष्क	Cerveau
रङ्ग	Couleur
प्राग	Prague
निलो	Bleu
चाँदी	Argent
प्लुटोनियम	Plutonium
नेप्ट्युनियम	Neptunium
विद्युत आवेश	Charge électrique
थोरियम	Thorium
बिल क्लिन्टन	Bill Clinton
ईन्दिरा गान्धी	Indira Gandhi
मुम्बई	Bombay
आन्ध्र प्रदेश	Andhra Pradesh
अरुणाचल प्रदेश	Arunachal Pradesh
आसाम	Assam
बिहार	Bihar
मिचिगन	Michigan
छत्तीसगढ	Chhattisgarh
गोआ	Goa
हरियाणा	Haryana
हिमाचल प्रदेश	Himachal Pradesh
जम्मू र कश्मीर	Jammu-et-Cachemire
प्युर्तो रिको	Porto Rico
झारखण्ड	Jharkhand
कर्नाटक	Karnataka
मध्य प्रदेश	Madhya Pradesh
युसेन बोल्ट	Usain Bolt
महाराष्ट्र	Maharashtra
मणिपुर	Manipur
श्लेसविग-होल्सटीन	Schleswig-Holstein
मेघालय	Meghalaya
उत्तरी राइन	Rhénanie-du-Nord-Westphalie
हेसे	Hesse (Land)
राइनल्यान्ड	Rhénanie-Palatinat
सारल्यान्ड	Sarre (Land)
स्याक्सोनी	Saxe (Land)
जोन लेनन	John Lennon
इलिनाय	Illinois
थाइरिन्जिया	Thuringe
नर्थ डेकोटा	Dakota du Nord
ब्रान्डेनबर्ग	Brandebourg
ब्रेमेन (राज्य)	Brême (Land)
साउथ डेकोटा	Dakota du Sud
मोन्टाना	Montana
वायोमिङ	Wyoming
जेरुसेलम	Jérusalem
आयडाहो	Idaho
वासिङ्टन डी.सी.	Washington (État)
रदर्फोर्डियम	Rutherfordium
नेवाडा	Nevada
दुब्नियम	Dubnium
सिबोर्गियम	Seaborgium
हिन्द महासागर	Océan Indien
वान कि मुन	Ban Ki-moon
कोफी अन्नान	Kofi Annan
कोलोराडो	Colorado
डार्मस्टासियम	Darmstadtium
डग हमरसल्ड	Dag Hammarskjöld
जाम	Confiture
ट्रेग्भी लाई	Trygve Lie
रेन्टगेनियम	Roentgenium
उनुन्बियम	Copernicium
आल्प्स	Alpes
ब्लेइज पास्कल	Blaise Pascal
शिकागो	Chicago
विटल्स	The Beatles
उनुन्ट्रियम	Ununtrium
उनुन्क्वाडियम	Flérovium
उनुन्पेन्टियम	Ununpentium
उनुन्हेक्सियम	Livermorium
उनुन्सेप्टियम	Ununseptium
उनुनक्टियम	Ununoctium
शिशिर ऋतु	Hiver
वसन्त	Printemps
गृष्म ऋतु	Été
शरद ऋतु	Automne
ओसामा बिन लादेन	Oussama ben Laden
स्पेनी भाषा	Espagnol
योहान सेबास्तियन बाख	Johann Sebastian Bach
फिलाडेल्फिया	Philadelphie
कोलकाता	Calcutta
चेन्नई	Chennai
दिल्ली	Delhi
ढाका	Dacca
बेंगलोर	Bangalore
पश्चिम बङ्गाल	Bengale-Occidental
माकुरा	Araneae
इस्लामाबाद	Islamabad
त्रिपुरा	Tripura
फल-फूल	Fruit (botanique)
बाँदर	Singe
मुद्रा	Monnaie
भर्जिनिया	Virginie (État)
वेस्ट भर्जिनिया	Virginie-Occidentale
न्यू योर्क	État de New York
रोड आइल्यान्ड	Rhode Island
किरा	Insecte
मेरिल्यान्ड	Maryland
डेलावेयर	Delaware
व्लादिमीर लेनिन	Vladimir Ilitch Lénine
ओहायो	Ohio
पेन्सिलभेनिया	Pennsylvanie
ऊएतेर्सेन्	Uetersen
माइक्रोसफ्ट विन्डोज	Microsoft Windows
न्यु जर्सी	New Jersey
गिब्राल्टार	Gibraltar
इन्डियाना	Indiana
रोजर फेडरर	Roger Federer
जर्जिया (संयुक्त राज्य)	Géorgie (États-Unis)
जग्रिब	Zagreb
राजस्थान	Rajasthan
टेक्सस	Texas
तमिलनाडु	Tamil Nadu
ब्रुनो मार्स	Bruno Mars
नर्थ क्यारोलाइना	Caroline du Nord
साउथ क्यारोलाइना	Caroline du Sud
टोकियो	Tokyo
बार्सिलोना	Barcelone
भुइँ कटहर	Ananas
मिसिसिपी	Mississippi (État)
फर्डिनान्ड म्यागलन	Fernand de Magellan
उत्तर प्रदेश	Uttar Pradesh
उत्तराखण्ड	Uttarakhand
स्वीमिङ्ग पुल	Piscine
मिजोरम	Mizoram
सिक्किम	Sikkim
टेनेसी	Tennessee
अबू धाबी	Abou Dabi (ville)
न्यू मेक्सिको	Nouveau-Mexique
मिनिसोटा	Minnesota
अन्तर्राष्ट्रिय प्रमाणिक समय	Temps universel coordonné
विस्कान्सिन	Wisconsin
पुणे	Pune
एसी मिलान	Associazione Calcio Milan
आयोवा	Iowa
नेब्रास्का	Nebraska
कन्सास	Kansas
सुर्ती	Tabac
हिन्दी	Hindi
इन्टरनेट एक्सप्लोरर	Internet Explorer
चुरोट	Cigarette
भगवान गणेश	Ganesh
मिसौरी	Missouri (État)
लुजियाना	Louisiane
केन्टकी	Kentucky
आर्कन्सास	Arkansas
निल आर्मस्ट्रङ	Neil Armstrong
उर्दू	Ourdou
ओक्लाहोमा	Oklahoma
भलिबल	Volley-ball
म्याडोना (मनोरञ्जनकर्मी)	Madonna
कोपनहेगन	Copenhague
स्टकहोम	Stockholm
हेल्सिन्की	Helsinki
ब्रातिस्लाभा	Bratislava
बुडापेस्ट	Budapest
बाइबल	Bible
अर्बियम	Erbium
हनोइ	Hanoï
साँचो येशु गिर्जाघर	Véritable Jésus Église
अङ्ग्रेजी भाषा	Anglais
क्वालालम्पुर	Kuala Lumpur
ताइपेइ	Taipei
एमेरिसियम	Américium
क्युरियम	Curium
बर्क्लियम	Berkélium
क्यालिफोर्नियम	Californium
आइन्स्टाइनियम	Einsteinium
मेन्देलिभियम	Mendélévium
नोबेलियम	Nobélium
लरेन्सियम	Lawrencium
येरवान प्रान्त	Erevan
कोन्स्कोभोला	Końskowola
शनिका प्राकृतिक उपग्रहहरु	Satellites naturels de Saturne
सन् २०००	2000
सन् २००३	2003
सन् २००२	2002
सन् २००१	2001
सन २०१२	2012
सन् २०११	2011
सन् २०१०	2010
सन् २००९	2009
सन २०१३	2013
सन् २०१४	2014
सन् २०१५	2015
सन् २००८	2008
जाभास्क्रिप्ट	JavaScript
सन् २००४	2004
सन् २००५	2005
सन् २००६	2006
सन् २००७	2007
सन् १९००	1900
सन् १९०१	1901
सन् १९०२	1902
फ्लोरेन्स	Florence
सन् १९०३	1903
सन् १९०४	1904
सन् १९०५	1905
सन् १९०७	1907
सन् १९०६	1906
सन् १९०८	1908
सन् १९०९	1909
सन् १९९२	1992
सन् १९९१	1991
सन् १९९०	1990
सन् १९९३	1993
सन् १९९४	1994
सन् १९९५	1995
सन् १९९६	1996
सन् १९१०	1910
सन् १९११	1911
सन् १९१२	1912
सन् १९१३	1913
सन् १९१४	1914
सन् १९१५	1915
सन् १९१६	1916
सन् १९९७	1997
सन् १९९८	1998
सन् १९९९	1999
सन् १९१७	1917
सन् १९१८	1918
खाद्यपदार्थ	Nourriture
सर्प	Serpentes
१ जनवरी	1er janvier
२ जनवरी	2 janvier
सुभाषचन्द्र बोस	Subhas Chandra Bose
सन् १९२०	1920
३ जनवरी	3 janvier
सन् १९१९	1919
सन् १९२१	1921
सन् १९२२	1922
४ जनवरी	4 janvier
सन् १९२३	1923
सन् १९२४	1924
५ जनवरी	5 janvier
६ जनवरी	6 janvier
इलेक्ट्रोन	Électron
७ जनवरी	7 janvier
८ जनवरी	8 janvier
९ जनवरी	9 janvier
१० जनवरी	10 janvier
११ जनवरी	11 janvier
१२ जनवरी	12 janvier
१३ जनवरी	13 janvier
१४ जनवरी	14 janvier
१५ जनवरी	15 janvier
१६ जनवरी	16 janvier
टम ह्याङ्क्स	Tom Hanks
१७ जनवरी	17 janvier
१८ जनवरी	18 janvier
१९ जनवरी	19 janvier
२० जनवरी	20 janvier
२१ जनवरी	21 janvier
२२ जनवरी	22 janvier
२३ जनवरी	23 janvier
२४ जनवरी	24 janvier
२५ जनवरी	25 janvier
मिन्स्क	Minsk
२६ जनवरी	26 janvier
माइक्रोसफ्ट	Microsoft
२७ जनवरी	27 janvier
२८ जनवरी	28 janvier
२९ जनवरी	29 janvier
३० जनवरी	30 janvier
३१ जनवरी	31 janvier
प्रोटोन	Proton
२ डिसेम्बर	2 décembre
१ डिसेम्बर	1er décembre
३ डिसेम्बर	3 décembre
७ डिसेम्बर	7 décembre
५ डिसेम्बर	5 décembre
८ डिसेम्बर	8 décembre
१० डिसेम्बर	10 décembre
६ डिसेम्बर	6 décembre
९ डिसेम्बर	9 décembre
४ डिसेम्बर	4 décembre
१ फेब्रुअरी	1er février
२ फेब्रुअरी	2 février
३ फेब्रुअरी	3 février
कुरुफ	Kurów
४ फेब्रुअरी	4 février
५ फेब्रुअरी	5 février
६ फेब्रुअरी	6 février
७ फेब्रुअरी	7 février
८ फेब्रुअरी	8 février
९ फेब्रुअरी	9 février
१० फेब्रुअरी	10 février
रसायनशास्त्र	Chimie
१४ फेब्रुअरी	14 février
१३ फेब्रुअरी	13 février
१५ फेब्रुअरी	15 février
११ फेब्रुअरी	11 février
१२ फेब्रुअरी	12 février
रोबिन भान पर्सी	Robin van Persie
१९ फेब्रुअरी	19 février
१७ फेब्रुअरी	17 février
१६ फेब्रुअरी	16 février
१८ फेब्रुअरी	18 février
२० फेब्रुअरी	20 février
न्यूट्रोन	Neutron
२१ फेब्रुअरी	21 février
२२ फेब्रुअरी	22 février
२३ फेब्रुअरी	23 février
२४ फेब्रुअरी	24 février
२५ फेब्रुअरी	25 février
२६ फेब्रुअरी	26 février
२७ फेब्रुअरी	27 février
२८ फेब्रुअरी	28 février
११ डिसेम्बर	11 décembre
२९ फेब्रुअरी	29 février
१२ डिसेम्बर	12 décembre
१३ डिसेम्बर	13 décembre
१४ डिसेम्बर	14 décembre
१५ डिसेम्बर	15 décembre
२ मार्च	2 mars
३ मार्च	3 mars
५ मार्च	5 mars
१ मार्च	1er mars
७ मार्च	7 mars
८ मार्च	8 mars
४ मार्च	4 mars
१० मार्च	10 mars
११ मार्च	11 mars
६ मार्च	6 mars
१३ मार्च	13 mars
९ मार्च	9 mars
१२ मार्च	12 mars
१५ मार्च	15 mars
१४ मार्च	14 mars
१६ डिसेम्बर	16 décembre
१७ डिसेम्बर	17 décembre
१६ मार्च	16 mars
१७ मार्च	17 mars
१८ मार्च	18 mars
१९ मार्च	19 mars
सन् १९८९	1989
सन् १९८८	1988
२० मार्च	20 mars
सन् १९८७	1987
सन् १९८६	1986
सन् १९८५	1985
सन् १९८४	1984
२१ मार्च	21 mars
सन् १९८३	1983
२२ मार्च	22 mars
सन् १९८२	1982
सन् १९८१	1981
१८ डिसेम्बर	18 décembre
सन् १९८०	1980
२३ मार्च	23 mars
१९ डिसेम्बर	19 décembre
२४ मार्च	24 mars
२५ मार्च	25 mars
२० डिसेम्बर	20 décembre
२६ मार्च	26 mars
२७ मार्च	27 mars
२८ मार्च	28 mars
२९ मार्च	29 mars
३० मार्च	30 mars
३१ मार्च	31 mars
सन् १९७०	1970
सन् १९७१	1971
सन् १९७२	1972
सन् १९७३	1973
सन् १९७४	1974
सन् १९७५	1975
सन् १९७६	1976
सन् १९७७	1977
सन् १९७८	1978
सन् १९७९	1979
सन् १९६९	1969
३० वर्षे युद्ध	Guerre de Trente Ans
सर्पिल गैलेक्सी	Galaxie spirale
डन्डीय सर्पिल गैलेक्सी	Galaxie spirale barrée
१५ अप्रिल	15 avril
१३ अप्रिल	13 avril
१२ अप्रिल	12 avril
१४ अप्रिल	14 avril
११ अप्रिल	11 avril
१० अप्रिल	10 avril
८ अप्रिल	8 avril
९ अप्रिल	9 avril
७ अप्रिल	7 avril
६ अप्रिल	6 avril
५ अप्रिल	5 avril
४ अप्रिल	4 avril
३ अप्रिल	3 avril
१ अप्रिल	1er avril
२ अप्रिल	2 avril
१६ अप्रिल	16 avril
१७ अप्रिल	17 avril
१८ अप्रिल	18 avril
१९ अप्रिल	19 avril
२० अप्रिल	20 avril
२१ अप्रिल	21 avril
२२ अप्रिल	22 avril
२३ अप्रिल	23 avril
२४ अप्रिल	24 avril
२५ अप्रिल	25 avril
२६ अप्रिल	26 avril
२७ अप्रिल	27 avril
२८ अप्रिल	28 avril
२९ अप्रिल	29 avril
३० अप्रिल	30 avril
१ मे	1er mai
२ मे	2 mai
३ मे	3 mai
४ मे	4 mai
५ मे	5 mai
६ मे	6 mai
७ मे	7 mai
८ मे	8 mai
९ मे	9 mai
१० मे	10 mai
११ मे	11 mai
१२ मे	12 mai
१३ मे	13 mai
१४ मे	14 mai
१५ मे	15 mai
१६ मे	16 mai
१७ मे	17 mai
१८ मे	18 mai
१९ मे	19 mai
२० मे	20 mai
२१ मे	21 mai
२२ मे	22 mai
२३ मे	23 mai
२४ मे	24 mai
२५ मे	25 mai
२६ मे	26 mai
२७ मे	27 mai
२८ मे	28 mai
२९ मे	29 mai
३० मे	30 mai
३१ मे	31 mai
पल मेकार्टनी	Paul McCartney
२१ डिसेम्बर	21 décembre
१४ जुन	14 juin
१५ जुन	15 juin
१३ जुन	13 juin
१० जुन	10 juin
७ जुन	7 juin
११ जुन	11 juin
९ जुन	9 juin
१२ जुन	12 juin
६ जुन	6 juin
८ जुन	8 juin
५ जुन	5 juin
३ जुन	3 juin
२ जुन	2 juin
१ जुन	1er juin
४ जुन	4 juin
२२ डिसेम्बर	22 décembre
जर्ज ह्यारिसन	George Harrison
सन् १९६८	1968
सन् १९६७	1967
सन् १९६६	1966
सन् १९६५	1965
सन् १९६४	1964
१६ जुन	16 juin
३० जुन	30 juin
२९ जुन	29 juin
२८ जुन	28 juin
२६ जुन	26 juin
२५ जुन	25 juin
२२ जुन	22 juin
२७ जुन	27 juin
२४ जुन	24 juin
२० जून	20 juin
२३ जुन	23 juin
१९ जून	19 juin
१८ जुन	18 juin
२१ जून	21 juin
१७ जुन	17 juin
२३ डिसेम्बर	23 décembre
अर्नोल्ड स्वार्जनेगर	Arnold Schwarzenegger
१५ जुलाई	15 juillet
१३ जुलाई	13 juillet
१२ जुलाई	12 juillet
१० जुलाई	10 juillet
९ जुलाई	9 juillet
१४ जुलाई	14 juillet
८ जुलाई	8 juillet
७ जुलाई	7 juillet
६ जुलाई	6 juillet
५ जुलाई	5 juillet
२ जुलाई	2 juillet
४ जुलाई	4 juillet
३ जुलाई	3 juillet
१ जुलाई	1er juillet
११ जुलाई	11 juillet
२४ डिसेम्बर	24 décembre
साशा ग्रे	Sasha Grey
३१ जुलाई	31 juillet
३० जुलाई	30 juillet
२९ जुलाई	29 juillet
२८ जुलाई	28 juillet
२७ जुलाई	27 juillet
२५ जुलाई	25 juillet
२४ जुलाई	24 juillet
२३ जुलाई	23 juillet
२६ जुलाई	26 juillet
२२ जुलाई	22 juillet
१९ जुलाई	19 juillet
२१ जुलाई	21 juillet
२० जुलाई	20 juillet
