Afrika	Afrique
Sankt Peterburg	Saint-Pétersbourg
Čad	Tchad
Natrij	Sodium
Sjever	Nord
Magnezij	Magnésium
Hidraulični ovan	Bélier hydraulique
Aluminij	Aluminium
Novi Zeland	Nouvelle-Zélande
Jug	Sud
Indija	Inde
Silicij	Silicium
Francij	Francium
Tuvalu	Tuvalu
Fosfor	Phosphore
André-Marie Ampère	André-Marie Ampère
Proza	Prose
Željezo	Fer
Tonga	Tonga
Zapad	Ouest
Alessandro Volta	Alessandro Volta
Sumpor	Soufre
Samoa	Samoa
Istok	Est
Solomonska Ostrva	Salomon (pays)
Vanuatu	Vanuatu
Molière	Molière
Hlor	Chlore
Papua Nova Gvineja	Papouasie-Nouvelle-Guinée
William Shakespeare	William Shakespeare
Basna	Fable
Palau	Palaos
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Savezne Države Mikronezije	Micronésie (pays)
Kalij	Potassium
Olympique Lyonnais	Olympique lyonnais
Kalcij	Calcium
Olovo (element)	Plomb
Maršalska Ostrva	Îles Marshall
Kiribati	Kiribati
Mongolija	Mongolie
Fidži	Fidji
Skandij	Scandium
Titanij	Titane
Venecuela	Venezuela
Šah	Échecs
Džingis-kan	Gengis Khan
Vanadij	Vanadium
Maine	Maine (État)
Hrom	Chrome
Konj	Cheval
Amsterdam	Amsterdam
Oružje	Arme
Životinje	Animal
Surinam	Suriname
Mangan	Manganèse
Paragvaj	Paraguay
Gvajana	Guyana
Umjetnost	Art
Ekvador	Équateur (pays)
Renij	Rhénium
Kolumbija	Colombie
Kobalt	Cobalt
Jean Racine	Jean Racine
Volfram	Tungstène
Nikl	Nickel
Jagoda	Fragaria
Pierre Corneille	Pierre Corneille
Budizam	Bouddhisme
Bolivija	Bolivie
Osmij	Osmium
Bakar	Cuivre
Trinidad i Tobago	Trinité-et-Tobago
Paul Verlaine	Paul Verlaine
Biljke	Plante
Sveti Vincent i Grenadini	Saint-Vincent-et-les-Grenadines
Cink	Zinc
New Hampshire	New Hampshire
Sveta Lucija	Sainte-Lucie
Białystok	Białystok
Leonardo da Vinci	Léonard de Vinci
Sveti Kristofor i Nevis	Saint-Christophe-et-Niévès
Gljive	Fungi
Dario Fo	Dario Fo
Jamajka	Jamaïque
Supetar	Supetar
Grenada	Grenade (pays)
Massachusetts	Massachusetts
Gvatemala	Guatemala
Google Chrome	Google Chrome
Bahami	Bahamas
Connecticut	Connecticut
Kokoška	Gallus gallus domesticus
Antigva i Barbuda	Antigua-et-Barbuda
Hawaii	Hawaï
Honduras	Honduras
Dominika	Dominique (pays)
Jersey	Jersey
Dominikanska Republika	République dominicaine
Svinja	Porc
Arktički okean	Océan Arctique
Haiti	Haïti
El Salvador	Salvador
Iran	Iran
Irak	Irak
Aljaska	Alaska
Mudrost	Sagesse
Kostarika	Costa Rica
Izrael	Israël
Panama	Panama
Jemen	Yémen
Lausanne	Lausanne
Virus (biologija)	Virus
Poljski jezik	Polonais
Jordan	Jordanie
Nikaragva	Nicaragua
Florida	Floride
Kirgistan	Kirghizistan
Arizona	Arizona
Kuvajt	Koweït
Laos	Laos
Liban	Liban
Oregon	Oregon
Maldivi	Maldives
Amerika	Amérique
Utah	Utah
Domaće govedo	Bos taurus
Malezija	Malaisie
Valais	Canton du Valais
Mihail Bulgakov	Mikhaïl Boulgakov
Mjanmar	Birmanie
Nepal	Népal
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Katar	Qatar
Tenis	Tennis
MySQL	MySQL
Saudijska Arabija	Arabie saoudite
Šri Lanka	Sri Lanka
Josif Staljin	Joseph Staline
Barkod	Code-barres
Sirija	Syrie
Platon	Platon
Galij	Gallium
Josif Brodski	Joseph Brodsky
Tadžikistan	Tadjikistan
Pokémon	Pokémon
Tajvan	Taïwan
YouTube	YouTube
Germanij	Germanium
Aristotel	Aristote
Tajland	Thaïlande
Voz	Train
Arsen	Arsenic
Radio	Radiodiffusion
Meryl Streep	Meryl Streep
Turkmenistan	Turkménistan
Selen	Sélénium
Iridij	Iridium
Ujedinjeni Arapski Emirati	Émirats arabes unis
Brom	Brome
Platina	Platine
Vijetnam	Viêt Nam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novossibirsk
Južna Koreja	Corée du Sud
Józef Piłsudski	Józef Piłsudski
Simpsoni	Les Simpson
Jekaterinburg	Iekaterinbourg
Kripton	Krypton
Afganistan	Afghanistan
Njižni Novgorod	Nijni Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Limunada	Limonade
Samara	Samara (Russie)
Rubidij	Rubidium
Zlato	Or
Omsk	Omsk
Sueski kanal	Canal de Suez
Kazanj	Kazan
Bangladeš	Bangladesh
Franz Kafka	Franz Kafka
Rostov na Donu	Rostov-sur-le-Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Oufa
Mali	Mali
Sokrat	Socrate
Volgograd	Volgograd
Angola	Angola
Perm (grad)	Perm
Butan (država)	Bhoutan
Twitter	Twitter
Krasnojarsk	Krasnoïarsk
Brunej	Brunei
Brač	Brač
Tanzanija	Tanzanie
Živa	Mercure (chimie)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipini	Philippines
Srednjoafrička Republika	République centrafricaine
Talij	Thallium
Južni pol	Pôle Sud
Sjeverni pol	Pôle Nord
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroncij	Strontium
Itrij	Yttrium
Bizmut	Bismuth
Žuta	Jaune
Kvantna mehanika	Mécanique quantique
Togo	Togo
Republika Tunis	Tunisie
Zambija	Zambie
Zimbabve	Zimbabwe
Peking	Pékin
Južni Sudan	Soudan du Sud
Vladivostok	Vladivostok
Tuva	Touva
Benin	Bénin
Bocvana	Botswana
Wikivijesti	Wikinews
Burkina Faso	Burkina Faso
Burundi	Burundi
Komori	Comores (pays)
Republika Kongo	République du Congo
Ob	Ob
Demokratska Republika Kongo	République démocratique du Congo
San Antonio	San Antonio
Džibuti	Djibouti
Polonij	Polonium
Bavarska	Bavière
Ekvatorijalna Gvineja	Guinée équatoriale
Baden-Württemberg	Bade-Wurtemberg
Eritreja	Érythrée
New Delhi	New Delhi
Papa Ivan Pavao II	Jean-Paul II
Fjodor Dostojevski	Fiodor Dostoïevski
Kamčatka	Kamtchatka
Tbilisi	Tbilissi
Astat	Astate
Gabon	Gabon
Mahatma Gandhi	Mohandas Karamchand Gandhi
Solidarnost (sindikat)	Solidarność
Strip	Bande dessinée
Gambija	Gambie
Gvineja	Guinée
Gvineja-Bisau	Guinée-Bissau
Obala Slonovače	Côte d'Ivoire
Kamerun	Cameroun
Maribor	Maribor
Zelenortska Ostrva	Cap-Vert
Celje	Celje
Lesoto	Lesotho
Liberija	Liberia
Koper	Koper
Libija	Libye
Aachen	Aix-la-Chapelle
Madagaskar	Madagascar
Malavi	Malawi
Kranj	Kranj
Stuttgart	Stuttgart
Triglav (planina)	Triglav
Mauritanija	Mauritanie
Poljaci	Polonais (peuple)
Mauricijus	Maurice (pays)
Maroko	Maroc
Mozambik	Mozambique
Namibija	Namibie
France Prešeren	France Prešeren
Niger	Niger
Nigerija	Nigeria
Charles Darwin	Charles Darwin
Uganda	Ouganda
Ruanda	Rwanda
Cirkonij	Zirconium
Sveti Toma i Princip	Sao Tomé-et-Principe
Senegal	Sénégal
Sejšeli	Seychelles
Carl von Linné	Carl von Linné
Sijera Leone	Sierra Leone
Somalija	Somalie
Niobij	Niobium
Džavaharlal Nehru	Jawaharlal Nehru
Julije Cezar	Jules César
Sudan	Soudan
Svazilend	Swaziland
Duga	Arc-en-ciel
Molibden	Molybdène
Tehnecij	Technétium
Hamburg	Hambourg
Metabolizam	Métabolisme
Imunološki sistem	Système immunitaire
Ontario (jezero)	Lac Ontario
Evolucija	Évolution (biologie)
Alessandro Manzoni	Alessandro Manzoni
Ujedinjeni narodi	Organisation des Nations unies
Dante Alighieri	Dante Alighieri
Geologija	Géologie
Geografija	Géographie
Srce	Cœur
Mozak	Cerveau
Koža	Peau
Boja	Couleur
Breaking Bad	Breaking Bad
Imenice	Substantif
Prag	Prague
Rutenij	Ruthénium
Rodij	Rhodium
Plava	Bleu
Paladij	Palladium (chimie)
Srebro	Argent
Kadmij	Cadmium
Zvjezdane staze	Star Trek
Indij	Indium
Kalaj	Étain
Berlinska glavna željeznička stanica	Gare centrale de Berlin
Uranij	Uranium
Antimon	Antimoine
Telur	Tellure
Plutonij	Plutonium
Jod	Iode
Neptunij	Neptunium
Ksenon	Xénon
Anime	Anime
Cezij	Césium
Protaktinij	Protactinium
Električni naboj	Charge électrique
Barij	Baryum
Torij	Thorium
Hafnij	Hafnium
Aktinij	Actinium
Tantal	Tantale (chimie)
Bill Clinton	Bill Clinton
Radij	Radium
Radon	Radon
Lorena (regija)	Lorraine
Alsace	Alsace
Indira Gandhi	Indira Gandhi
Merkur (mitologija)	Mercure (mythologie)
Hector Berlioz	Hector Berlioz
Auvergne	Auvergne
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Michigan	Michigan
Michigan (jezero)	Lac Michigan
Bourgogne	Bourgogne
Akvitanija	Aquitaine
Jammu i Kashmir	Jammu-et-Cachemire
Portoriko	Porto Rico
Kerala	Kerala
Usain Bolt	Usain Bolt
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Zapadno Pomorje	Mecklembourg-Poméranie-Occidentale
Donja Saksonija	Basse-Saxe
Sjeverna Rajna-Vestfalija	Rhénanie-du-Nord-Westphalie
Hessen	Hesse (Land)
Porajnje-Falačka	Rhénanie-Palatinat
Saarland	Sarre (Land)
Saksonija	Saxe (Land)
John Lennon	John Lennon
Illinois	Illinois
Tiringija	Thuringe
Saksonija-Anhalt	Saxe-Anhalt
Sjeverna Dakota	Dakota du Nord
Brandenburg	Brandebourg
Bremen (pokrajina)	Brême (Land)
Lombardija	Lombardie
Južna Dakota	Dakota du Sud
Montana	Montana
Wyoming	Wyoming
Pijemont	Piémont
Jerusalem	Jérusalem
Alster	Alster
Idaho	Idaho
Valle d'Aosta	Vallée d'Aoste
Washington	Washington (État)
Bruce Springsteen	Bruce Springsteen
Raderfordij	Rutherfordium
Nevada	Nevada
Don (rijeka)	Don (fleuve)
Dubnij	Dubnium
Siborgij	Seaborgium
Trentino-Južni Tirol	Trentin-Haut-Adige
Indijski okean	Océan Indien
Veneto	Vénétie
Kosovo	Kosovo
Karipsko more	Mer des Caraïbes
Borij	Bohrium
Furlanija-Julijska Krajina	Frioul-Vénétie julienne
Hasij	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Ligurija	Ligurie
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Majtnerij	Meitnérium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia-Romagna	Émilie-Romagne
U Thant	U Thant
Darmštatij	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Džem	Confiture
Trygve Lie	Trygve Lie
Rendgenij	Roentgenium
Toskana	Toscane
Gladwyn Jebb	Gladwyn Jebb
Leonard Cohen	Leonard Cohen
Kopernicij	Copernicium
Marche	Marches
Umbrija	Ombrie
Kategorija:Sadržaj	Catégorie:Accueil
Lazio	Latium
Abruzzo	Abruzzes
Alpi	Alpes
Blaise Pascal	Blaise Pascal
Dama (igra)	Dames
Dortmund	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtrij	Ununtrium
Flerovij	Flérovium
Ununpentij	Ununpentium
Livermorij	Livermorium
Ununseptij	Ununseptium
Ununoktij	Ununoctium
Como	Côme
Zima	Hiver
Proljeće	Printemps
Ljeto	Été
Jesen	Automne
Ravnodnevnica	Équinoxe
Sadam Husein	Saddam Hussein
Osama bin Laden	Oussama ben Laden
Španski jezik	Espagnol
Friedrich August von Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Opera (muzika)	Opéra
Philadelphia	Philadelphie
Kolkata	Calcutta
Chennai	Chennai
Delhi	Delhi
Dhaka	Dacca
Pauk	Araneae
Arachnide	Arachnida
Zglavkari	Arthropode
Islamabad	Islamabad
Plod	Fruit (botanique)
Majmun	Singe
Novac	Monnaie
Virginia	Virginie (État)
Zapadna Virginia	Virginie-Occidentale
Matterhorn	Cervin
Paprika	Capsicum annuum
New York (država)	État de New York
Cerij	Cérium
Prazeodij	Praséodyme
Rhode Island	Rhode Island
Neodij	Néodyme
Insekti	Insecte
Maryland	Maryland
Delaware	Delaware
Vladimir Iljič Lenjin	Vladimir Ilitch Lénine
Europij	Europium
Ohio	Ohio
Vergilije	Virgile
Niccolò Machiavelli	Nicolas Machiavel
Pennsylvania	Pennsylvanie
Francesco Petrarca	Pétrarque
Giovanni Boccaccio	Boccace
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Oktavijan August	Auguste
Microsoft Windows	Microsoft Windows
Tiberije	Tibère
New Jersey	New Jersey
Kaligula	Caligula
Gibraltar	Gibraltar
Klaudije	Claude (empereur romain)
Finski jezik	Finnois
Neron	Néron
Galba	Galba
Indiana	Indiana
Oton	Othon (empereur romain)
Vitelije	Vitellius
Nokia	Nokia
Vespazijan	Vespasien
Automobil	Automobile
Tit	Titus (empereur romain)
Juventus FC	Juventus Football Club
Domicijan	Domitien
Nerva	Nerva
Trajan	Trajan
Roger Federer	Roger Federer
Hadrijan	Hadrien
Georgia	Géorgie (États-Unis)
Antonin Pio	Antonin le Pieux
Marko Aurelije	Marc Aurèle
KDE	KDE
Lucije Ver	Lucius Aurelius Verus
Komod	Commode (empereur)
Zagreb	Zagreb
Pertinaks	Pertinax
Kampanija	Campanie
Texas	Texas
Didije Julijan	Didius Julianus
Septimije Sever	Septime Sévère
Molise	Molise
Karakala	Caracalla
Apulija	Pouilles
Genova	Gênes
Bruno Mars	Bruno Mars
Basilicata	Basilicate
Sjeverna Karolina	Caroline du Nord
Hokej na travi	Hockey sur gazon
Južna Karolina	Caroline du Sud
Kalabrija	Calabre
Sicilija	Sicile
Manila	Manille
Sardinija	Sardaigne
Loara	Loire
M. C. Escher	Maurits Cornelis Escher
Sena (rijeka)	Seine
Crohnova bolest	Maladie de Crohn
Ulcerozni kolitis	Rectocolite hémorragique
Mayon	Mayon
Lupus	Lupus érythémateux disséminé
Buenos Aires	Buenos Aires
Ciudad de México	Mexico
Tokio	Tokyo
La Paz	La Paz
Barcelona	Barcelone
Ananas	Ananas
Mississippi	Mississippi (État)
Ferdinand Magellan	Fernand de Magellan
Mississippi (rijeka)	Mississippi (fleuve)
Sikkim	Sikkim
Patagonija	Patagonie
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi (čvor)	Abou Dabi
Abu Dhabi (grad)	Abou Dabi (ville)
Astana	Astana
Novi Meksiko	Nouveau-Mexique
Ramzes II	Ramsès II
Atina (grad)	Athènes
Minnesota	Minnesota
Bagdad	Bagdad
Caracas	Caracas
Koordinirano svjetsko vrijeme	Temps universel coordonné
Wisconsin	Wisconsin
Ciceron	Cicéron
AC Milan	Associazione Calcio Milan
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Havana	La Havane
Duhan (proizvod)	Tabac
Hindu	Hindi
Avast!	Avast!
Internet Explorer	Internet Explorer
Cigara	Cigare
Cigareta	Cigarette
Missouri	Missouri (État)
Georg Simon Ohm	Georg Ohm
Louisiana	Louisiane
Luigi Galvani	Luigi Galvani
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Urdu jezik	Ourdou
Hamburg-Mitte	Arrondissement de Hambourg-Mitte
Edith Piaf	Édith Piaf
Osijek	Osijek
Laba	Elbe (fleuve)
Rijeka (grad)	Rijeka
Oklahoma	Oklahoma
Yohan Blake	Yohan Blake
Dunav	Danube
Split	Split
Jacques Brel	Jacques Brel
Aare	Aar
Sjeverno more	Mer du Nord
Skagerrak	Skagerrak
Moskovska oblast	Oblast de Moscou
Hannover	Hanovre
Düsseldorf	Düsseldorf
Mainz	Mayence
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Sarrebruck
München	Munich
Samarska oblast	Oblast de Samara
Erfurt	Erfurt
Dresden	Dresde
Odbojka	Volley-ball
Innsbruck	Innsbruck
Beč	Vienne (Autriche)
Madonna	Madonna
Kopenhagen	Copenhague
Kalinjingradska oblast	Oblast de Kaliningrad
Makrin	Macrin
Stockholm	Stockholm
Helsinki	Helsinki
Murmanska oblast	Oblast de Mourmansk
Dublin	Dublin
Heliogabal	Héliogabale
Reykjavík	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Louis Armstrong	Louis Armstrong
