Aprika	Afrique
Lyon	Lyon
Sofia	Sofia
Banana	Banane
San	Soleil
Osenia	Océanie
Wikimedia Commons	Wikimedia Commons
Buk	Livre (document)
De	Jour
Yia	Année (calendrier)
Oslo	Oslo
Katowice	Katowice
Planet	Planète
Lille	Lille
Mosko	Moscou
Tok Itali	Italien
Niu Silan	Nouvelle-Zélande
India	Inde
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Solomon Ailans	Salomon (pays)
Vanuatu	Vanuatu
Papua Niugini	Papouasie-Nouvelle-Guinée
Nauru	Nauru
Ol Masol Ailan	Îles Marshall
Kiribas	Kiribati
Fiji	Fidji
Abus	Animal
At	Art
Budisim	Bouddhisme
Sayor	Plante
Irak	Irak
Israel	Israël
Panama	Panama
Yemen	Yémen
Tok Polan	Polonais
Amerika (Kontinen)	Amérique
Malaysia	Malaisie
Platon	Platon
Ripablik bilong Saina	Taïwan
Aristoteles	Aristote
Tailan	Thaïlande
Vietnam	Viêt Nam
Saut Koria	Corée du Sud
Socrates	Socrate
Bhutan	Bhoutan
Brunai	Brunei
Albert Einstein	Albert Einstein
Yelo (kala)	Jaune
Beijing	Pékin
Gabon	Gabon
Gandi	Mohandas Karamchand Gandhi
Lesoto	Lesotho
Naijiria	Nigeria
Senegal	Sénégal
Sierra Leone	Sierra Leone
Julius Caesar	Jules César
Save long giraun	Géographie
Kala	Couleur
Blu (kala)	Bleu
Bill Clinton	Bill Clinton
Yerusalem	Jérusalem
Kolorado	Colorado
Chicago	Chicago
Tok Spen	Espagnol
Mani	Monnaie
Uetersen	Uetersen
Augustus Caesar	Auguste
Trajan	Trajan
Tokyo	Tokyo
Bagdad	Bagdad
Stockholm	Stockholm
Dublin	Dublin
Reykjavik	Reykjavik
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Katolik	Catholicisme
Baibel	Bible
Ho Chi Minh City	Hô-Chi-Minh-Ville
Tru Jisas Lotu	Véritable Jésus Église
Tokples Inglis	Anglais
Andorra la Vella	Andorre-la-Vieille
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Đồng Hới	Đồng Hới
Concepción	Concepción (Chili)
Ottawa	Ottawa
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Benoît XVI
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palerme
Soka	Football
1963	1963
1962	1962
Madrid	Madrid
Michael Jackson	Michael Jackson
Göttingen	Göttingen
Kambra	Canberra
Ret (kala)	Rouge
1961	1961
Dakar	Dakar
Grup:Ol templet bilong tokples	Catégorie:Espace Modèle
1960	1960
Freetown	Freetown
Wes Papua	Nouvelle-Guinée occidentale
Skul	École
Osasku	Osasco (Brésil)
Ples balus Dong Hoi	Aéroport de Đồng Hới
Kuritiba	Curitiba
Jonathan Winters	Jonathan Winters
Sean Connery	Sean Connery
Kongzi	Confucius
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Catégorie:Mathématiques
Euro	Euro
Jason Lee	Jason Lee
Lotu Kristen	Christianisme
Kontinen	Continent
Kapitol	Capitale
Monzón	Monzón
Mun (taim)	Mois
1948	1948
1949	1949
Almazán	Almazán
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Japonais
Ensaiklopedia	Encyclopédie
Fran pes	Wikipédia:Accueil principal
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Bethléem
Pilosopi	Philosophie
Grup:All articles proposed for deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Piano	Piano
Ti	Thé
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Catégorie:Astronomie
Carcassonne	Carcassonne
Sahara	Sahara
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Buda	Bouddha
Politikis	Politique
Gavman	Gouvernement
Kantri	État
Kamel	Camelus
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Russe
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Déclaration universelle des droits de l'homme
Tok Balgeria	Bulgare
Nelson Mandela	Nelson Mandela
Lajik	Logique
Grama	Grammaire
Ikonimikis	Sciences économiques
Yen bilong Siapan	Yen
Stadi bilong pasin bilong ol tokples	Linguistique
Hangul	Hangeul
Grup:Pranis	Catégorie:France
@@@u0026Weird Al@@@u0026 Yankovic	@@@u0026Weird Al@@@u0026 Yankovic
Alexander Makedon	Alexandre le Grand
Edukesen	Éducation
Famili	Famille
Kopi	Café
Sol	Séoul
Tokples long Albenia	Albanais
Valencia	Valence (Espagne)
Tok Denmak	Danois
Tok Nowe	Norvégien
Tok Slovakia	Slovaque
Tok Hangari	Hongrois
Tok Lituwenia	Lituanien
Tok Belaras	Biélorusse
Tok Gris	Grec
Tok Aialan	Irlandais
Imel	Courrier électronique
Tokples Pesia	Persan
Lotu	Religion
Tok Koria	Coréen
Tok Vietnam	Vietnamien
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Judaisim	Judaïsme
Immanuel Kant	Emmanuel Kant
Saikolosi	Psychologie
Sidarta	Siddhartha Gautama
Martin Luther	Martin Luther
Elisabet II	Élisabeth II
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Tableau périodique des éléments
Diwai	Arbre
Kubuntu	Kubuntu
Grup:Romenia	Catégorie:Roumanie
Egrikalsa	Agriculture
Elektroniks	Électronique
Ol kantri	Liste des pays du monde
Kensa	Cancer
Soria	Soria
Ponferrada	Ponferrada
Templet:Location map Iceland	Modèle:Géolocalisation/Islande
Villarreal	Villarreal
Templet:Location map Samoa	Modèle:Géolocalisation/Samoa
Mislata	Mislata
Kokonas	Cocos nucifera
Ferdinand de Saussure	Ferdinand de Saussure
Unserdeutsch	Unserdeutsch
Kyushu	Kyūshū
Honshu	Honshū
Shikoku	Shikoku
Ista Ailan	Île de Pâques
Ethnologue	Ethnologue, Languages of the World
Bensheim	Bensheim
Queen	Queen
Freddie Mercury	Freddie Mercury
Wol	Monde (univers)
Vemont	Vermont
Koria	Corée
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pyongyang
Nupela Testamen	Nouveau Testament
Nha Trang	Nha Trang
Maya Angelou	Maya Angelou
Pop	Pape
Rafael Correa	Rafael Correa
Busares	Bucarest
1928	1928
Olpela Testamen	Ancien Testament
Indo-Yuropien famili bilong tokples	Langues indo-européennes
Breinigerberg	Breinigerberg
Gyeonggi	Gyeonggi
Ol Tokples Siamanik	Langues germaniques
Sosiolosi	Sociologie
Taiwan	Taïwan (île)
Bahai	Bahaïsme
Aialan	Irlande (île)
7	7
Wik	Semaine
Antropolosi	Anthropologie
Ailan	Île
Moshchena	Mochtchena
Akiolosi	Archéologie
George H. W. Bush	George H. W. Bush
Paltoga	Paltoga
Quang Binh Provins	Province de Quảng Bình
Protestan	Protestantisme
Bryan Cranston	Bryan Cranston
Bikpela Briten	Grande-Bretagne
Kadinol daireksion	Point cardinal
Lila Downs	Lila Downs
Famili bilong tokples	Phylum (linguistique)
Pichilemu	Pichilemu
Pukpuk	Crocodilia
Amerika	Amerika (homonymie)
Cabañas Raras	Cabañas Raras
Ardón (León)	Ardón
Algadefe	Algadefe
Acebedo	Acebedo (León)
Los Barrios de Luna	Los Barrios de Luna
Fresno de la Vega	Fresno de la Vega
La Antigua (Spen)	La Antigua
Almanza	Almanza (León)
El Burgo Ranero	El Burgo Ranero
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Alija del Infantado	Alija del Infantado
Brazuelo	Brazuelo
Berlanga del Bierzo	Berlanga del Bierzo
Cabreros del Río	Cabreros del Río
Bercianos del Real Camino	Bercianos del Real Camino
Burón (León)	Burón
Bercianos del Páramo	Bercianos del Páramo
Kokomo	Bucerotidae
Danny DeVito	Danny DeVito
Jerry Springer	Jerry Springer
Sentrel Amerika	Amérique centrale
Kaunti	Comitat
Ecser	Ecser
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Rouen	Rouen
Valery Leontiev	Valery Leontiev
Tok Hawai	Hawaïen
Hiri Motu	Hiri motu
Niu Kaledonia	Nouvelle-Calédonie
Marlon Brando	Marlon Brando
Tok Pisin	Tok pisin
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Adjectif
Kristen Otodos	Église orthodoxe
Ido	Ido
44 yia i go bipo Jisas	44 av. J.-C.
Bislama	Bichelamar
Hokkaido	Hokkaidō
Charles Bronson	Charles Bronson
Borneo	Bornéo
Siligo	Siligo
Apia	Apia
Pot Mosbi	Port Moresby
.ru	.ru
.ad	.ad
Cork	Cork
Arancón	Arancón
.fi	.fi
.am	.am
.de	.de
.fr	.fr
Melanesia	Mélanésie
.au	.au
.cz	.cz
Maket	Marché
.at	.at
Pot Vila	Port-Vila
Auckland Grammar School	Auckland Grammar School
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Kaukau	Patate douce
Yokohama	Yokohama
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
Lubuntu	Lubuntu
.dk	.dk
.ca	.ca
.ch	.ch
Maikroekonomiks	Macroéconomie
.be	.be
Ágreda	Ágreda
.by	.by
.fj	.fj
.cl	.cl
.is	.is
.lt	.lt
.pt	.pt
.bt	.bt
Hobat	Hobart
Niugini	Nouvelle-Guinée
.et	.et
.tv	.tv
.eg	.eg
23 yia i go bipo Jisas	23 av. J.-C.
.se	.se
.cy	.cy
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.kh	.kh
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.sk	.sk
Julia Gillard	Julia Gillard
.to	.to
.lv	.lv
Saikoanalisis	Psychanalyse
.kg	.kg
.mh	.mh
.kr	.kr
.ki	.ki
.tj	.tj
.kp	.kp
Frank Gorshin	Frank Gorshin
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
.vu	.vu
.na	.na
.ye	.ye
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Kevin Rudd
.pg	.pg
Plak bilong Siapan	Drapeau du Japon
Jim Morrison	Jim Morrison
Dan Castellaneta	Dan Castellaneta
Cubillos del Sil	Cubillos del Sil
Igüeña	Igüeña
Noceda del Bierzo	Noceda del Bierzo
Castropodame	Castropodame
Páramo del Sil	Páramo del Sil
Molinaseca	Molinaseca
Congosto	Congosto
Toreno	Toreno
Folgoso de la Ribera	Folgoso de la Ribera
.nu	.nu
Sancedo	Sancedo
The Doors	The Doors
Pécs	Pécs
Plak bilong Pinlan	Drapeau de la Finlande
Templet:Commons category	Modèle:Commonscat
Morgan Freeman	Morgan Freeman
Plak bilong Albenia	Drapeau de l'Albanie
Dire Straits	Dire Straits
Richard Attenborough	Richard Attenborough
Templet:Taxobox	Modèle:Taxobox
Siete Aguas	Siete Aguas
Burjassot	Burjassot
János Áder	János Áder
Viktor Orbán	Viktor Orbán
Reyero	Reyero
La Ercina	La Ercina
Niu Briten	Nouvelle-Bretagne
La Robla	La Robla
Santa Colomba de Curueño	Santa Colomba de Curueño
Santa María del Monte de Cea	Santa María del Monte de Cea
San Cristóbal de la Polantera	San Cristóbal de la Polantera
Otto Sander	Otto Sander
Santa María del Páramo	Santa María del Páramo
Santa Elena de Jamuz	Santa Elena de Jamuz
San Justo de la Vega	San Justo de la Vega
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Drapeau des Salomon
Nonvailens	Non-violence
Debrecen	Debrecen
Plak bilong Kanada	Drapeau du Canada
Quintana y Congosto	Quintana y Congosto
Matallana de Torío	Matallana de Torío
Harrison Ford	Harrison Ford
Plak bilong Andora	Drapeau d'Andorre
Kimi ga Yo	Kimi ga yo
Szeged	Szeged
Plak bilong Ostrelia	Drapeau de l'Australie
Plak bilong Hangari	Drapeau de la Hongrie
Plak bilong Azerbaijan	Drapeau de l'Azerbaïdjan
Plak bilong Nowe	Drapeau de la Norvège
Robin Williams	Robin Williams
Gary Oldman	Gary Oldman
Tauns long Burgos provins	Liste des communes de la province de Burgos
Ol taun bilong León provins	Liste des communes de la province de León
Tauns long Soria provins	Liste des communes de la province de Soria
Plak bilong Aislan	Drapeau de l'Islande
Plak bilong Indonisia	Drapeau de l'Indonésie
Plak bilong Skotlan	Drapeau de l'Écosse
Miskolc	Miskolc
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Eli Wallach	Eli Wallach
Mickey Rooney	Mickey Rooney
Godelleta	Godelleta
Plak bilong Tuvalu	Drapeau des Tuvalu
Holly Hunter	Holly Hunter
Kristen	Chrétien
Stet	État fédéré
Meditesen	Méditation
James Garner	James Garner
Joey King	Joey King
Pacific Games	Jeux du Pacifique
Plak bilong Kiribas	Drapeau des Kiribati
Saut Ailan	Île du Sud
Plak bilong Spen	Drapeau de l'Espagne
Dziecinów	Dziecinów (Otwock)
Haus bilong binen	Alvéole d'abeille
Michael Caine	Michael Caine
Steve Irwin	Steve Irwin
Plak bilong Saut Koria	Drapeau de la Corée du Sud
Plak bilong Slovenia	Drapeau de la Slovénie
Plak bilong Romenia	Drapeau de la Roumanie
Grup:Manmeri bilong Hangari	Magyars
Dunedin	Dunedin
Kamikaze	Kamikaze
Lucillo	Lucillo
Cimanes de la Vega	Cimanes de la Vega
Cebrones del Río	Cebrones del Río
Quintana del Marco	Quintana del Marco
San Millán de los Caballeros	San Millán de los Caballeros
Cubillas de Rueda	Cubillas de Rueda
Cea (León)	Cea (León)
Garrafe de Torío	Garrafe de Torío
Santa María de Ordás	Santa María de Ordás
Cuadros	Cuadros
Llamas de la Ribera	Llamas de la Ribera
Riello	Riello
Palacios de la Valduerna	Palacios de la Valduerna
Castrocalbón	Castrocalbón
Carrocera	Carrocera
Murias de Paredes	Murias de Paredes
Rioseco de Tapia	Rioseco de Tapia
Santa Cristina de Valmadrigal	Santa Cristina de Valmadrigal
Kuman	Kuman
Grajal de Campos	Grajal de Campos
Santa María de la Isla	Santa María de la Isla
Campo de Villavidel	Campo de Villavidel
Crémenes	Crémenes
Cimanes del Tejar	Cimanes del Tejar
Castilfalé	Castilfalé
Quintana del Castillo	Quintana del Castillo
Campazas	Campazas
Pajares de los Oteros	Pajares de los Oteros
San Pedro Bercianos	San Pedro Bercianos
Santa Marina del Rey	Santa Marina del Rey
Cebanico	Cebanico
Gordaliza del Pino	Gordaliza del Pino
Castrillo de la Valduerna	Castrillo de la Valduerna
Pozuelo del Páramo	Pozuelo del Páramo
Prado de la Guzpeña	Prado de la Guzpeña
Matanza (León)	Matanza (León)
Santa Colomba de Somoza	Santa Colomba de Somoza
Cubillas de los Oteros	Cubillas de los Oteros
Mansilla Mayor	Mansilla Mayor
Gordoncillo	Gordoncillo
San Esteban de Nogales	San Esteban de Nogales
Regueras de Arriba	Regueras de Arriba
Luyego	Luyego
San Emiliano	San Emiliano
Maraña	Maraña
Castrotierra de Valmadrigal	Castrotierra de Valmadrigal
Magaz de Cepeda	Magaz de Cepeda
Matadeón de los Oteros	Matadeón de los Oteros
Castrillo de Cabrera	Castrillo de Cabrera
Gusendos de los Oteros	Gusendos de los Oteros
Chozas de Abajo	Chozas de Abajo
Roperuelos del Páramo	Roperuelos del Páramo
Phu Quoc	Phú Quốc
Lệ Thủy	District de Lệ Thủy
Buai	Palmier à bétel
Brobergen	Brobergen
Daka	Piper betle
Klostu Tudak	Twilight, chapitre I : Fascination
Plak bilong Niu Silan	Drapeau de la Nouvelle-Zélande
Kaunti Cork	Comté de Cork
St. Peter's College, Auckland	St Peter's College (Auckland)
Siaman Niugini	Nouvelle-Guinée allemande
Behaviourisim	Comportementalisme
Samuel L. Jackson	Samuel L. Jackson
Caltojar	Caltojar
Kumul	Paradisaeidae
Christopher Lee	Christopher Lee
Helen Clark	Helen Clark
Lev Vygotsky	Lev Vygotski
Plak bilong Fiji	Drapeau des Fidji
Plak bilong Papua Niugini	Drapeau de la Papouasie-Nouvelle-Guinée
Plak bilong Nauru	Drapeau de Nauru
Plak bilong Vanuatu	Drapeau du Vanuatu
Plak bilong Wels	Drapeau du pays de Galles
Mike Myers	Mike Myers
Zelda Williams	Zelda Williams
Plak bilong Tonga	Drapeau des Tonga
Plak bilong Samoa	Drapeau des Samoa
Plak bilong Palau	Drapeau des Palaos
Christopher Plummer	Christopher Plummer
E pluribus unum	E pluribus unum
Expo 2010	Exposition universelle de 2010
James Woods	James Woods
Nancy Reagan	Nancy Reagan
Ol provinis bilong Swidan	Provinces historiques de la Suède
Plak bilong ol Masol Ailan	Drapeau des Îles Marshall
Kina	Kina
Bogenvil	Bougainville (île)
Plak bilong Niue	Drapeau de Niue
Roger Ebert	Roger Ebert
Bill Cosby	Bill Cosby
Niu Ailan ailan	Nouvelle-Irlande
Jimmie Johnson	Jimmie Johnson
Rabaul	Rabaul
Saksak	Sagou
Plak bilong Hawai	Drapeau d'Hawaï
Nesenel mak bilong Ostrelia	Armoiries de l'Australie
Eartha Kitt	Eartha Kitt
Phyllis Diller	Phyllis Diller
Plak bilong Polinesia bilong Pranis	Drapeau de la Polynésie française
Rhea Perlman	Rhea Perlman
Ian McShane	Ian McShane
Plak bilong Nofok Ailan	Drapeau de l'île Norfolk
Shelley Duvall	Shelley Duvall
Plak bilong Guam	Drapeau de Guam
Julie Newmar	Julie Newmar
Carol Channing	Carol Channing
Dixie Carter	Dixie Carter
Makó	Makó
Joan Rivers	Joan Rivers
Camponaraya	Camponaraya
Elizabeth Peña	Elizabeth Peña
Edie McClurg	Edie McClurg
Plak bilong Tokelau	Drapeau des Tokelau
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Nesenel mak bilong Papua Niugini	Armoiries de la Papouasie-Nouvelle-Guinée
Marcus Stephen	Marcus Stephen
Carl Reiner	Carl Reiner
Martin Landau	Martin Landau
Tate Donovan	Tate Donovan
Dick Van Dyke	Dick Van Dyke
Don Ameche	Don Ameche
Brad Bird	Brad Bird
Wallace Shawn	Wallace Shawn
Gary Coleman	Gary Coleman
Rip Torn	Rip Torn
Jeff Gordon	Jeff Gordon
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Michael Somare	Michael Somare
Apisai Ielemia	Apisai Ielemia
Plak bilong Wolis na Futuna	Drapeau de Wallis-et-Futuna
Madang (provins)	Madang
Michael Jeter	Michael Jeter
Brad Dourif	Brad Dourif
Craig T. Nelson	Craig T. Nelson
Larry the Cable Guy	Larry the Cable Guy
Olaf Stapledon	Olaf Stapledon
Burgess Meredith	Burgess Meredith
Richard Schiff	Richard Schiff
Nicanor Parra	Nicanor Parra
David Cross	David Cross
Bobcat Goldthwait	Bobcat Goldthwait
Bry-sur-Marne	Bry-sur-Marne
Con Dao	Côn Đảo
Richard Kiel	Richard Kiel
Almaluez	Almaluez
Derek Sikua	Derek Sikua
Valencia de Don Juan	Valencia de Don Juan
Valdefresno	Valdefresno
Cesar Romero	Cesar Romero
Jackie Gleason	Jackie Gleason
Buk bilong Momon	Livre de Mormon
Astorga	Astorga
Fernanda Torres	Fernanda Torres
Ham Lini	Ham Lini
Ples balus Tan Son Nhat	Aéroport international de Tân Sơn Nhất
Michael Clarke Duncan	Michael Clarke Duncan
Aliud	Aliud
Baraona	Baraona
Medinaceli	Medinaceli
Burgo de Osma-Ciudad de Osma, Soria	El Burgo de Osma
San Esteban de Gormaz	San Esteban de Gormaz
Comares	Comares
.nl	.nl
Alcoy	Alcoy
Goroka	Goroka
Daru	Daru (Papouasie-Nouvelle-Guinée)
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros
Navaleno	Navaleno
Las Omañas	Las Omañas
Matt Frewer	Matt Frewer
Don Knotts	Don Knotts
Carrot Top	Carrot Top
Alotau	Alotau
Seeheim-Jugenheim	Seeheim-Jugenheim
Mike Connors	Mike Connors
Madang (taun)	Madang (ville)
Valdepiélago	Valdepiélago
Villademor de la Vega	Villademor de la Vega
Simbu	Simbu
Zotes del Páramo	Zotes del Páramo
Priaranza del Bierzo	Priaranza del Bierzo
Fuentes de Carbajal	Fuentes de Carbajal
Kundiawa	Kundiawa
Lae	Lae
Bulolo	Bulolo
Magani	Wallaby
Arawa	Arawa
O Arise, All You Sons	O Arise All You Sons of This Land
Villamartín de Don Sancho	Villamartín de Don Sancho
Sobrado	Sobrado (La Corogne)
Abajas (Burgos)	Abajas
Itero del Castillo (Burgos)	Itero del Castillo
Brisbane Broncos	Brisbane Broncos
Wes Niu Briten	Nouvelle-Bretagne occidentale
Blupela kumul	Paradisier bleu
Izagre	Izagre
Is Sepik	Sepik oriental
Cacabelos	Cacabelos
Ralph Waite	Ralph Waite
Histori long Koria	Histoire de la Corée
Paul Winchell	Paul Winchell
Soto de la Vega	Soto de la Vega
Jenny Slate	Jenny Slate
Junta de Traslaloma (Burgos)	Junta de Traslaloma
Mansilla de las Mulas	Mansilla de las Mulas
Atapuerca	Atapuerca
Oro	Province nord
Sandaun	Sandaun
Is Niu Briten	Nouvelle-Bretagne orientale
Valderas	Valderas
Gradefes	Gradefes
Onzonilla	Onzonilla
Ben Stein	Ben Stein
Sahagún	Sahagún (Espagne)
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Calatañazor	Calatañazor
Almazul	Almazul
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Cigudosa	Cigudosa
Ausejo de la Sierra	Ausejo de la Sierra
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Castillejo de Robledo	Castillejo de Robledo
Las Aldehuelas	Las Aldehuelas
Oncala	Oncala
Ciria	Ciria
Duruelo de la Sierra	Duruelo de la Sierra
Borjabad	Borjabad
Quintana Redonda	Quintana Redonda
Yelo (Spen)	Yelo
Langa de Duero	Langa de Duero
Miño de San Esteban	Miño de San Esteban
Deza	Deza
Niu Ailan	Nouvelle-Irlande (province)
Kinsale	Kinsale
Pilosopi long Wes	Philosophie occidentale
Trabadelo	Trabadelo
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Sepik	Sepik
Westen Provins	Province ouest
Sauten Hailans	Hautes-Terres méridionales
Westen Hailans	Hautes-Terres occidentales
Isten Hailans	Hautes-Terres orientales
Morobe	Morobe
Buñol	Buñol
Bill Cobbs	Bill Cobbs
Enga	Enga
Manus	Manus (province)
Sentral Provins	Province centrale (Papouasie-Nouvelle-Guinée)
Milen Be	Baie Milne (province)
Gulf Provins	Golfe (Papouasie-Nouvelle-Guinée)
Villadangos del Páramo	Villadangos del Páramo
Vega de Valcarce	Vega de Valcarce
Valverde de la Virgen	Valverde de la Virgen
Olmedillo de Roa (Burgos)	Olmedillo de Roa
Calzada del Coto	Calzada del Coto
Valdesamario	Valdesamario
Val de San Lorenzo	Val de San Lorenzo
Villaquilambre	Villaquilambre
Valdemora	Valdemora
Ileksen bilong PNG palamen, 2007	Élections législatives papou-néo-guinéennes de 2007
Espinosa del Camino (Burgos)	Espinosa del Camino
Villares de Órbigo	Villares de Órbigo
Orbaneja Riopico (Burgos)	Orbaneja Riopico
Nebreda (Burgos)	Nebreda
Paul L. Smith	Paul L. Smith
