Afraga	Afrique
798	798
Càrdamon	Cardamome
793	793
685	685
Hartford	Hartford (Connecticut)
799	799
683	683
Taigh-tasgaidh	Musée
Rolling Stone	Rolling Stone
274	274
Aibidil Eabhra	Alphabet hébreu
Dover, Delaware	Dover (Delaware)
579	579
Caisteal Cheatharlach	Château de Carlow
281	281
306	306
438	438
Friedrich II na Pruise	Frédéric II de Prusse
297	297
421	421
298	298
351	351
352	352
355	355
95	95
94	94
594	594
542	542
448	448
445	445
305	305
234	234
565	565
381	381
385	385
553	553
307	307
584	584
346	346
257	257
285	285
591	591
289	289
Bertrand Russell	Bertrand Russell
Làmh	Main
563	563
252	252
Nepali (canan)	Népalais
Àireamh-shluaigh	Population
595	595
246	246
Theodore Roosevelt	Theodore Roosevelt
596	596
593	593
357	357
573	573
Tel Aviv	Tel Aviv-Jaffa
Nice	Nice
Duilleag	Feuille
Sàrdais	Sarde
Actair	Acteur
Marlon Brando	Marlon Brando
Niue	Niue
Eas	Chute d'eau
559	559
599	599
326	326
341	341
322	322
Nathalia Dill	Nathalia Dill
Justin Bieber	Justin Bieber
Umha	Bronze
Modica	Modica
Hosni Mubarak	Hosni Moubarak
386	386
Funafuti	Funafuti
374	374
380	380
Pablo Neruda	Pablo Neruda
Àth nan Damh	Oxford
Walloon (cànan)	Wallon
136	136
Linus Torvalds	Linus Torvalds
Port-au-Prince	Port-au-Prince
Międzyrzec Podlaski	Międzyrzec Podlaski
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
370an	Années 370
Tasmania	Tasmanie
Rotterdam	Rotterdam
Innealan-ciùil	Instrument de musique
Eala	Cygne
Oilthigh Oxford	Université d'Oxford
Rathad	Route
Aleksandr Solženicyn	Alexandre Soljenitsyne
Heileacoptair	Hélicoptère
Each-aibhne	Hippopotamus amphibius
382	382
342	342
373	373
372	372
James A. Garfield	James Abram Garfield
Kyoto	Kyoto
Sionagog	Synagogue
Caolas Sasannach	Manche (mer)
1980an	Années 1980
Johannesburg	Johannesburg
Eaglais	Église (institution)
1990an	Années 1990
Albert Camus	Albert Camus
Gainmheach	Sable
Kingston, Iaimeuca	Kingston (Jamaïque)
Buadhair	Adjectif
Leopard	Léopard
Qaidam	Qaidam
Salzburg	Salzbourg
Sròn-adharcach	Rhinocéros
Dayton, Ohio	Dayton (Ohio)
Rudyard Kipling	Rudyard Kipling
Leth-eilean	Péninsule
Còd Àireamh fòn eadar-nàiseanta	Liste des indicatifs téléphoniques internationaux par indicatif
Dùn Breatann	Dumbarton (Écosse)
Friedrich Engels	Friedrich Engels
Bliadhna Ùr	Jour de l'an
Santo Domingo	Saint-Domingue (ville)
Ulysses S. Grant	Ulysses S. Grant
Oklahoma City, Oklahoma	Oklahoma City
375	375
Brisbane	Brisbane
Ptolomaidh	Claude Ptolémée
1970an	Années 1970
2000an	Années 2000
William McKinley	William McKinley
Càl	Chou cabus
Sheòirsea a Deas is na h-Eileanan Shandwich a Deas	Géorgie du Sud-et-les Îles Sandwich du Sud
Prìomh-bhailtean	Liste des capitales du monde
Noemi	Noemi (chanteuse)
Làrach-lìn	Site web
Wilhelm Conrad Röntgen	Wilhelm Röntgen
Urramachd Seapanais	Dénomination d'une personne en japonais
Grover Cleveland	Grover Cleveland
Cubhait (baile)	Koweït (ville)
Herbert Hoover	Herbert Hoover
Facal-fhreumachd	Étymologie
Pùma	Puma
44 RC	44 av. J.-C.
Warren G. Harding	Warren Gamaliel Harding
387	387
Nikita Hruŝëv	Nikita Khrouchtchev
Brad Pitt	Brad Pitt
Colombo	Colombo
Uinneag	Fenêtre
Almaty	Almaty
Chester A. Arthur	Chester Alan Arthur
Seann-Lochlannais	Vieux norrois
Uamh	Grotte
Hokkaidō	Hokkaidō
Arthur Conan Doyle	Arthur Conan Doyle
Dinnsear	Gingembre
Duais Nobel airson Sith	Prix Nobel de la paix
William Howard Taft	William Howard Taft
Linne Chluaidh	Firth of Clyde
Benjamin Harrison	Benjamin Harrison
Rutherford B. Hayes	Rutherford Birchard Hayes
Iaguar	Jaguar
1930an	Années 1930
Astràilia a Deas	Australie-Méridionale
1960an	Années 1960
1920an	Années 1920
Pàrlamaid	Parlement
Aiste	Essai
Osaka	Osaka
Boise, Idaho	Boise
Oilthigh Chambridge	Université de Cambridge
Baruch Spinoza	Baruch Spinoza
Cadal	Sommeil
Heactair	Hectare
Uachdar-fhiaclan	Dentifrice
Baisteadh	Baptême
Bàta	Bateau
Guaranaidh	Guarani (langue)
Ceilteach	Celtes
Calvin Coolidge	Calvin Coolidge
Seileach	Saule
Queensland	Queensland
Minneapolis, Minnesota	Minneapolis
Mathan coala	Koala
Charles Bronson	Charles Bronson
Muhammed Ali	Mohamed Ali (boxe anglaise)
Borneo	Bornéo
Ùir	Sol (pédologie)
Àlach	Ensemble
Bridgetown	Bridgetown
Siligo	Siligo
Riochdair	Pronom
Fuaimreag	Voyelle
Apia	Apia
Saint John's, Antigua agus Barbuda	Saint John's
Beath-eachdraidh	Biographie
Roseau	Roseau (Dominique)
1950an	Années 1950
Thales	Thalès
Calgary	Calgary
Jane Austen	Jane Austen
Aisling	Rêve
Fribourg	Fribourg (ville suisse)
Comann Iosaid	Compagnie de Jésus
Radan	Rattus
Obar Dheathain	Aberdeen
Porto	Porto
Flùr	Farine
The Lion King	Le Roi lion
Naisgear	Conjonction de coordination
Mìle-bliadhna	Millénaire
Francis Drake	Francis Drake
Port Moresby	Port Moresby
Àbhainn	Four
1940an	Années 1940
1900an	Années 1900
1910an	Années 1910
Den Haag	La Haye
Goiriola	Gorille
Siùrsachd	Prostitution
Corcaigh	Cork
Ealain-lèirsinneach	Arts visuels
Bruach-an-Iar	Cisjordanie
Victoria, Astràilia	Victoria (État)
Seulra	Shelta
Nòrnais	Norne (langue)
Mamot	Mammouth
Pāli	Pali
Ndebele (cànan)	Nrebele
Doras	Porte (architecture)
Ceithir-cheàrnach	Quadrilatère
Robert De Niro	Robert De Niro
Toshiro Mifune	Toshirō Mifune
Ceilt-Ìbeiris	Celtibère
Aodann	Visage
Zingiberaceae	Zingiberaceae
Thomas Mann	Thomas Mann
Tallahassee, Florida	Tallahassee
José Saramago	José Saramago
Alexander Fleming	Alexander Fleming
Pop	Pop (musique)
Trianaid	Trinité (christianisme)
30 an Gearran	30 février
Loidhne	Droite (mathématiques)
331	331
365	365
Niùclas	Noyau atomique
379	379
Milkshake	Milk-shake
Innd-Eòrpais	Indo-européen commun
Robert Koch	Robert Koch
Lèamur	Lemuriformes
Neach-teagaisg	Instituteur
Pàpa Iain Pòl I	Jean-Paul Ier
An Spiorad Naomh	Saint-Esprit
Cleveland, Ohio	Cleveland
Samuel Beckett	Samuel Beckett
Lublin	Lublin
John Michael Talbot	John Michael Talbot
Naypyidaw	Naypyidaw
Glùn	Genou
Abragod	Abricotier
Pierre Curie	Pierre Curie
Poileagan	Polygone
Jean Calvin	Jean Calvin
Leòmhann-làir	Chamaeleonidae
Bloemfontein	Bloemfontein
Baile nam Feusgan	Musselburgh
Arm	Armée de terre
Coimheatailt	Alliage
T. S. Eliot	T. S. Eliot
Charlotte's Web	Le Petit Monde de Charlotte (film, 1973)
Port Vila	Port-Vila
Auckland Grammar School	Auckland Grammar School
Milwaukee, Wisconsin	Milwaukee
Caol	Détroit
Duais Nobel ann an Litreachas	Prix Nobel de littérature
Mendel, Gregor	Gregor Mendel
Carinthia (stàit)	Carinthie (Land)
St. Louis, Missouri	Saint-Louis (Missouri)
Connrag	Consonne
Herta Müller	Herta Müller
Samurai	Samouraï
George Lucas	George Lucas
Eithne	Enya
1840an	Années 1840
Còmhlan (bith-eòlas)	Embranchement (biologie)
Rìgh Eanraig VIII Shasainn	Henri VIII
William Faulkner	William Faulkner
Romano Prodi	Romano Prodi
Xena: Warrior Princess	Xena, la guerrière
Turku	Turku
Devanāgarī	Devanagari
1880an	Années 1880
Còcaireachd	Cuisson des aliments
Blàr Stalingrad	Bataille de Stalingrad
Suva	Suva
Nuku'alofa	Nukuʻalofa
Meatailt throm	Heavy metal (musique)
A' Phruis	Prusse
1890an	Années 1890
Vorarlberg	Vorarlberg
Abhag	Groupe des terriers
Ceusair	Empereur
Cheyenne, Wyoming	Cheyenne (Wyoming)
Port of Spain	Port-d'Espagne
Bohemia	Bohême
Peata	Animal de compagnie
John Steinbeck	John Steinbeck
Luch	Mus (genre)
Ronaldinho	Ronaldinho
Anchorage, Alasca	Anchorage
Porthcawl	Porthcawl
1830an	Années 1830
Tractar-àiteachais	Tracteur agricole
Gamal Abdel Nasser	Gamal Abdel Nasser
Acfhainn	Outil
Peatrail	Essence (hydrocarbure)
Burbank, Calafòrnia	Burbank (Californie)
1800an	Années 1800
Linne	Baie (géographie)
Antoine Lavoisier	Antoine Lavoisier
Cladh (creideamh)	Cimetière
Fast	Rangifer tarandus
Nicolas Appert	Nicolas Appert
Des Moines, Iowa	Des Moines (Iowa)
Taigh-solais	Phare
The Rescuers	Les Aventures de Bernard et Bianca
Raon Ghàsa	Bande de Gaza
Pràis	Laiton
Sangiano	Sangiano
Mario Vargas Llosa	Mario Vargas Llosa
Gleann	Vallée
1860an	Années 1860
1870an	Années 1870
Briogais	Pantalon
Deichead	Décennie
Almon	Amandier
Sylvester Stallone	Sylvester Stallone
Prògram (coimpiutair)	Programme informatique
Abhainn Iòrdan	Jourdain
Clach-chreadha	Brique (matériau)
Will Smith	Will Smith
Beus-fhìdheall	Viole de gambe
Hobart	Hobart
1810an	Années 1810
William Butler Yeats	William Butler Yeats
Canale d'Agordo	Canale d'Agordo
Ìomaigh rìomhach	Icône gay
Carl Benz	Carl Benz
European Cup Winners Cup	Coupe d'Europe des vainqueurs de coupe de football
Iomadachadh	Multiplication
Gini-Nuadh	Nouvelle-Guinée
The Fox and the Hound	Rox et Rouky
Racine, Wisconsin	Racine (Wisconsin)
Joliet, Illinois	Joliet (Illinois)
Norman, Oklahoma	Norman (Oklahoma)
Prìosan	Prison
Caolas Chanso	Détroit de Canso
Desio	Desio
Buffalo, Eabhraig Nuadh	Buffalo (New York)
Na Slàbhaich	Slaves
John Wayne	John Wayne
Sumo	Sumo
Lisa Gerrard	Lisa Gerrard
Somma Lombardo	Somma Lombardo
Co-bhualadair Mòr Hadron	Large Hadron Collider
Tacloban	Tacloban
Ray Bradbury	Ray Bradbury
Eòin Baistidh	Jean le Baptiste
Paulínia	Paulinia
'100 Leabhar an Linn' le Le Monde	Les cent livres du siècle
Toirt air falbh	Soustraction
Partan	Brachyura
God Save the Queen	God Save the Queen
Knut Hamsun	Knut Hamsun
Tampere	Tampere
Crois	Croix
Breda	Bréda
Tenerife	Tenerife
Neul Oort	Nuage d'Oort
Doris Lessing	Doris Lessing
Buinneach	Diarrhée
Dumbo	Dumbo (film, 1941)
Frank Sinatra	Frank Sinatra
Honiara	Honiara
Mùn	Urine
1850an	Années 1850
Rèabhlaid Ameireaganach	Guerre d'indépendance des États-Unis
Ùrnaigh	Prière
Skype	Skype
Each-mara (mamal)	Morse (animal)
Harold Pinter	Harold Pinter
Bathais	Front (anatomie)
Topeka, Kansas	Topeka
Sailm	Livre des Psaumes
Heraclitus a Ephesus	Héraclite
Al Pacino	Al Pacino
Demi Lovato	Demi Lovato
Eibhir	Granite
Iolair-bhuidhe	Aigle royal
Bonn (airgead)	Pièce de monnaie
San Juan, Puerto Rico	San Juan (Porto Rico)
Boris Pasternak	Boris Pasternak
Opera	Opera
Bydgoszcz	Bydgoszcz
Johannes Vermeer	Johannes Vermeer
John Dalton	John Dalton
Basseterre	Basseterre
Poblachd Weimar	République de Weimar
Ball-coise Aimearaganach	Football américain
Steiermark	Styrie (Land)
José Luis Rodríguez Zapatero	José Luis Rodríguez Zapatero
Teletubbies	Les Télétubbies
Brot	Soupe
Kingstown	Kingstown
Neasgaid-fala	Pathologie hémorroïdaire
Wole Soyinka	Wole Soyinka
Lebhiticus	Lévitique
Freumh	Racine (botanique)
Henryk Sienkiewicz	Henryk Sienkiewicz
William Blake	William Blake
St. George’s	Saint-Georges (Grenade)
Buaidh an taigh-ghloine	Effet de serre
Julia Gillard	Julia Gillard
Còcein	Cocaïne
Dlighe Ohm	Loi d'Ohm
Coireaman	Coriandre
Haifa	Haïfa
Eilean Stiùbhairt	Île Stewart
Castries	Castries (Sainte-Lucie)
Bruich	Ébullition
Brachadh	Fermentation
Rosg-rann	Phrase
Làithean na seachdain	Noms des jours de la semaine
Haracleas	Héraclius
Paul Newman	Paul Newman
Sri Jayawardenapura	Sri Jayawardenapura Kotte
An Ostair Uachdar	Haute-Autriche
Democritus	Démocrite
Tahiti	Tahiti
Am Bàs Dubh	Peste noire
Anwar El Sadat	Anouar el-Sadate
J. M. G. Le Clézio	J. M. G. Le Clézio
Clach theinnteach	Roche magmatique
Gobi	Désert de Gobi
Tomas Tranströmer	Tomas Tranströmer
Henri Bergson	Henri Bergson
Abel Tasman	Abel Tasman
Hainan	Haïnan
Fàilte Mhoire	Je vous salue Marie
Obair	Travail d'une force
Mel Gibson	Mel Gibson
Sully Prudhomme	Sully Prudhomme
Mirante do Vale	Mirante do Vale
Eileanan a' Chaolais	Îles Anglo-Normandes
Savannah	Savane
Pàpa Pius XI	Pie XI
Neul (reul-eòlas)	Nébuleuse
Mihail Šolohov	Mikhaïl Cholokhov
Sasannaich	Anglais (peuple)
Evo Morales	Evo Morales
Anatole France	Anatole France
Anaximander	Anaximandre
Eabhraig	York
Asterix An Ceilteach	Astérix
An Ostair Ìochdarach	Basse-Autriche
Eaglais Ìosa Chrìost de Naoimh an Latha mu Dheireadh	Église de Jésus-Christ des saints des derniers jours
Spìosradh	Épice
Wisława Szymborska	Wisława Szymborska
Curcuma	Curcuma
Uilinn	Coude
Frédéric Mistral	Frédéric Mistral
Sagart	Prêtre
Deuteronomi	Deutéronome
Cat Manainneach	Manx (chat)
Heinrich Böll	Heinrich Böll
Palikir	Palikir
Johnny Cash	Johnny Cash
Audrey Hepburn	Audrey Hepburn
Leif Ericson	Leif Ericson
Port Adhair Long Thanh	Aéroport international de Long Thành
Tirol	Tyrol (Land)
Dustin Hoffman	Dustin Hoffman
Balla	Mur
Ola	Huile
Ailtire	Architecte
1600an	Années 1600
Bambi	Bambi (film, 1942)
Peabar	Poivrier noir
Àireamh (Bìoball)	Livre des Nombres
Barail-fhuasgladh	Référendum
Naomh	Saint
Sofia Rotaru	Sofia Rotaru
Crotal	Lichen
Cincinnati, Ohio	Cincinnati
Omaha, Nebraska	Omaha (Nebraska)
Dà-ghnèitheachd	Bisexualité
Clint Eastwood	Clint Eastwood
Burgenland	Burgenland
Ingrid Bergman	Ingrid Bergman
Fàire	Horizon (physique)
Morabhia	Moravie
Pieter Brueghel Mòr	Pieter Brueghel l'Ancien
Prionnsa Teàrlach, Prionnsa na Cuimrigh	Charles de Galles
Talmud	Talmud
J. M. Coetzee	J. M. Coetzee
Fresno, Calafòrnia	Fresno (Californie)
Cumhachd na Gaoithe	Énergie éolienne
Salzburg (stàit)	Salzbourg (Land)
Basalt	Basalte
1700an	Années 1700
Cogadh na Mìle Làithean	Guerre des Mille Jours
Raibeart Ò Baoghail	Robert Boyle
Richmond, Virginia	Richmond (Virginie)
Giosuè Carducci	Giosuè Carducci
Gustave Flaubert	Gustave Flaubert
Boireannach	Femelle
Gàirdean	Bras (segment de membre)
Desiderius Erasmus	Érasme
Guayaquil	Guayaquil
Gerhart Johann Robert Hauptmann	Gerhart Hauptmann
Cotonou	Cotonou
Drannd-eun	Trochilidae
Leiden	Leyde
Louisville, Kentucky	Louisville (Kentucky)
Montehermoso	Montehermoso
Pàpa Pius IX	Pie IX
Pàpa Leo XII	Léon XII
Pàpa Griogair XVI	Grégoire XVI
Yasunari Kawabata	Yasunari Kawabata
Pàpa Pius X	Pie X
Àilean	Oasis
Crith-thalmhainn Haiti 2010	Séisme de 2010 à Haïti
Madison, Wisconsin	Madison (Wisconsin)
Imleag	Nombril
Otto I, Impire Naomh Ròmanach	Otton Ier du Saint-Empire
Eduard Buchner	Eduard Buchner
Pàpa Leo XIII	Léon XIII
Seoc an Reubainnear	Jack l'Éventreur
1740an	Années 1740
Ketchikan, Alasca	Ketchikan
Wassily Leontief	Wassily Leontief
Dan Shechtman	Dan Shechtman
István Sándorfi	Etienne Sandorfi
1500an	Années 1500
Fireannach	Mâle (biologie)
William Golding	William Golding
Ùirsgeul	Légende
Tsar	Tsar
Cayenne	Cayenne
Selma Lagerlöf	Selma Lagerlöf
Anne Brontë	Anne Brontë
Bheactor	Vecteur euclidien
Teampall	Temple
Foileag	Pancake
Duais Nobel ann an Ceimigeachd	Prix Nobel de chimie
V. S. Naipaul	V. S. Naipaul
Ernst Otto Fischer	Ernst Otto Fischer
Aoine	Jeûne
1820an	Années 1820
Amazonas (Roinn)	Amazonas (Colombie)
Port	Port
Suharto	Soeharto
Viljandi	Viljandi
1770an	Années 1770
Alex MacFhearghais	Alex Ferguson
Tulsa, Oklahoma	Tulsa
Chubut	Province de Chubut
Biorra-crùidein	Alcedinidae
Elba	Île d'Elbe
The Doors	The Doors
Coimbra	Coimbra
Beirm	Levure
Ontonagon County, Michigan	Comté d'Ontonagon
Silesia Seiceach	Silésie tchèque
Boa	Boidae
Dennis Ritchie	Dennis Ritchie
Taghadh ceann-suidhe nan Stàitean Aonaichte, 2008	Élection présidentielle américaine de 2008
Cairdeanal	Cardinal (religion)
Himnusz	Himnusz
Srath Annan	Annandale (Écosse)
Breichinn	Brechin
Mohammad Hussein Tantawi	Mohamed Hussein Tantawi
Strabo	Strabon
Czesław Miłosz	Czesław Miłosz
1680an	Années 1680
1610an	Années 1610
Clive Dunn	Clive Dunn
Maigheach	Lièvre
Felix Mendelssohn Bartholdy	Felix Mendelssohn
Rhône (département)	Rhône (département)
Aardvark	Oryctérope du Cap
1510an	Années 1510
Bogha is saighead	Arc (arme)
Crùban-coille	Testudinidae
Bjørnstjerne Bjørnson	Bjørnstjerne Bjørnson
CSS	Feuilles de style en cascade
Ivan Bunin	Ivan Bounine
Bhampair	Vampire
Inndis Fìdi	Hindi des Fidji
Octavio Paz	Octavio Paz
Riese Pio X	Riese Pio X
Alcalá de Henares	Alcalá de Henares
Posterstein	Posterstein
Oulu	Oulu
Clach chruth-atharrachail	Roche métamorphique
Joseph Smith Jr	Joseph Smith
Peile	Seau
Sealtainn	Shetland
Encarnación	Encarnación
Atacama	Désert d'Atacama
Romain Rolland	Romain Rolland
Santa Mónica, Calafòrnia	Santa Monica
Duais Nobel ann an Eaconomachd	Prix de la Banque de Suède en sciences économiques en mémoire d'Alfred Nobel
Elfriede Jelinek	Elfriede Jelinek
Cnuimh	Ver
Palo Alto	Palo Alto
Marie Antoinette	Marie-Antoinette d'Autriche
Clàrsach	Harpe
Milton Friedman	Milton Friedman
Green Bay, Wisconsin	Green Bay
Nota (airgead)	Billet de banque
André Gide	André Gide
Gàsa (baile)	Gaza
Allt	Ruisseau
Los-leathann	Castor (genre)
Toruń	Toruń
Ivo Andrić	Ivo Andrić
Dùthaich nam Basgach (mòr-cheàrn)	Pays basque
Bolgan (innleachd)	Lampe à incandescence classique
Nadine Gordimer	Nadine Gordimer
Iosua	Livre de Josué
Rudolf Christoph Eucken	Rudolf Christoph Eucken
Kalahari	Désert du Kalahari
The Godfather	Le Parrain (film)
Imre Kertész	Imre Kertész
El Aaiún	Laâyoune
Armadillo	Dasypodidae
Green Day	Green Day
Robbie Williams	Robbie Williams
Sid Vicious	Sid Vicious
339	339
340	340
Nijmegen	Nimègue
Mario Monti	Mario Monti
Innis Mheadhran	Inchmurrin
354	354
356	356
Innis Mheàrnaig	Inchmarnock
358	358
361	361
363	363
364	364
368	368
369	369
370	370
Unnsa	Once (unité)
371	371
Teamplaid:Commonscat	Modèle:Commonscat
376	376
377	377
378	378
1780an	Années 1780
383	383
384	384
388	388
389	389
390	390
391	391
392	392
1730an	Années 1730
393	393
394	394
395	395
396	396
397	397
398	398
399	399
1540an	Années 1540
Dover, Hampshire Nuadh	Dover (New Hampshire)
Nashua, Hampshire Nuadh	Nashua (New Hampshire)
Medellín	Medellín
Parabòla	Parabole
Kobe	Kobe
Mariehamn	Mariehamn
An Talamh Ùr	Terre-Neuve
Manchester, Hampshire Nuadh	Manchester (New Hampshire)
Daibhidh MacDhùnleibh	David Livingstone
Richard Gere	Richard Gere
Ainneamhag	Phénix
1750an	Années 1750
1580an	Années 1580
1590an	Années 1590
Hermann Staudinger	Hermann Staudinger
Neuilly-sur-Seine	Neuilly-sur-Seine
Glenn Theodore Seaborg	Glenn Theodore Seaborg
Archer John Porter Martin	Archer John Porter Martin
Richard Laurence Millington Synge	Richard Laurence Millington Synge
Linus Carl Pauling	Linus Pauling
Sir Cyril Norman Hinshelwood	Cyril Norman Hinshelwood
Nikolay Nikolayevich Semyonov	Nikolaï Semionov
Patrick Swayze	Patrick Swayze
San Luis Obispo, Calafòrnia	San Luis Obispo
San Luis Obispo County, Calafòrnia	Comté de San Luis Obispo
Oilthigh Cholumbia	Université Columbia
Cambridge, Massachusetts	Cambridge (Massachusetts)
Oilthigh Yale	Université Yale
Ivy League	Ivy League
Oilthigh Bhrown	Université Brown
Oilthigh Chornell	Université Cornell
Colaiste Dartmouth	Dartmouth College
Oilthigh Phennsylvania	Université de Pennsylvanie
Brookline, Massachusetts	Brookline (Massachusetts)
New Haven, Connecticut	New Haven
New London, Connecticut	New London (Connecticut)
New Bedford, Massachusetts	New Bedford
Springfield, Massachusetts	Springfield (Massachusetts)
Lowell, Massachusetts	Lowell (Massachusetts)
Stamford, Connecticut	Stamford (Connecticut)
279	279
New Britain, Connecticut	New Britain (Connecticut)
Bridgeport, Connecticut	Bridgeport (Connecticut)
Waterbury, Connecticut	Waterbury (Connecticut)
Worcester, Massachusetts	Worcester (Massachusetts)
440	440
Northampton, Massachusetts	Northampton (Massachusetts)
517	517
572	572
Middletown, Connecticut	Middletown (Connecticut)
Warwick, Rhode Island	Warwick (Rhode Island)
Newton, Massachusetts	Newton (Massachusetts)
Cranston, Rhode Island	Cranston (Rhode Island)
Danbury, Connecticut	Danbury (Connecticut)
Pawtucket, Rhode Island	Pawtucket
Portland, Maine	Portland (Maine)
Rochester, Eabhraig Nuadh	Rochester (New York)
Irvine, Calafòrnia	Irvine (Californie)
Fremont, Calafòrnia	Fremont (Californie)
Scottsdale, Arizona	Scottsdale (Arizona)
Chesapeake, Virginia	Chesapeake (Virginie)
Norfolk, Virginia	Norfolk (Virginie)
Orlando, Florida	Orlando (Floride)
St. Petersburg, Florida	St. Petersburg
Toledo, Ohio	Toledo (Ohio)
Stockton, Calafòrnia	Stockton (Californie)
Lexington, Kentucky	Lexington (Kentucky)
Riverside, Calafòrnia	Riverside (Californie)
Santa Ana, Calafòrnia	Santa Ana (Californie)
Aurora, Colorado	Aurora (Colorado)
Anaheim, Calafòrnia	Anaheim
Tampa, Florida	Tampa
Bakersfield, Calafòrnia	Bakersfield (Californie)
Colorado Springs, Colorado	Colorado Springs
Virginia Beach, Virginia	Virginia Beach
Mesa, Arizona	Mesa (Arizona)
Wichita, Kansas	Wichita
Chula Vista, Calafòrnia	Chula Vista
Chandler, Arizona	Chandler (Arizona)
Accomack County, Virginia	Comté d'Accomack
Northampton County, Virginia	Comté de Northampton (Virginie)
Melvin Calvin	Melvin Calvin
Sir Robert Robinson	Robert Robinson
Linn na Deighe	Glaciation
Àrc	Liège (matériau)
Àrd-easbaig	Archevêque
Loch Nis	Loch Ness
Schaan	Schaan
Maurice Maeterlinck	Maurice Maeterlinck
Bàrd	Poète
23mh Linn	XXIIIe siècle
Banais	Noces
24mh Linn	XXIVe siècle
25mh Linn	XXVe siècle
26mh Linn	XXVIe siècle
27mh Linn	XXVIIe siècle
28mh Linn	XXVIIIe siècle
29mh Linn	XXIXe siècle
Solomon Burke	Solomon Burke
Caochladair	Variable (mathématiques)
Riaghailtean Astràilianach	Football australien
Parral	Parral (Chili)
Cali	Cali
Pereira (baile)	Pereira (Colombie)
Kórnik	Kórnik
Dàn Sholaimh	Cantique des Cantiques
Malachi	Livre de Malachie
Pago Pago	Pago Pago
Glendale, Arizona	Glendale (Arizona)
Gilbert, Arizona	Gilbert (Arizona)
Tempe, Arizona	Tempe (Arizona)
Peoria, Arizona	Peoria (Arizona)
Gravina in Puglia	Gravina in Puglia
Laphroaig	Laphroaig
Bogh Mòr	Bowmore
Middelburg	Middelbourg
Iron County, Wisconsin	Comté d'Iron (Wisconsin)
Formentera	Formentera
Ibiza	Ibiza
Menorca	Minorque
Château-d'Œx	Château-d'Œx
Jogaila	Ladislas II Jagellon
Meall (cnoc)	Colline
Oilthigh Chologne	Université de Cologne
Methuen, Massachusetts	Methuen (Massachusetts)
Norwalk, Connecticut	Norwalk (Connecticut)
West Haven, Connecticut	West Haven (Connecticut)
Meriden, Connecticut	Meriden (Connecticut)
Providence County, Rhode Island	Comté de Providence
Kent County, Rhode Island	Comté de Kent (Rhode Island)
Washington County, Rhode Island	Comté de Washington (Rhode Island)
Newport County, Rhode Island	Comté de Newport
Bristol County, Rhode Island	Comté de Bristol (Rhode Island)
Newport, Rhode Island	Newport (Rhode Island)
East Providence, Rhode Island	East Providence (Rhode Island)
Central Falls, Rhode Island	Central Falls
Motala	Motala
Rockingham County, Hampshire Nuadh	Comté de Rockingham (New Hampshire)
Hillsborough County, Hampshire Nuadh	Comté de Hillsborough (New Hampshire)
Merrimack County, Hampshire Nuadh	Comté de Merrimack
Strafford County, Hampshire Nuadh	Comté de Strafford
Belknap County, Hampshire Nuadh	Comté de Belknap
Cheshire County, Hampshire Nuadh	Comté de Cheshire (New Hampshire)
Sullivan County, Hampshire Nuadh	Comté de Sullivan (New Hampshire)
Grafton County, Hampshire Nuadh	Comté de Grafton
Carroll County, Hampshire Nuadh	Comté de Carroll (New Hampshire)
Banbh	Banff (Écosse)
Cuenca (provincia)	Province de Cuenca
Albacete (provincia)	Province d'Albacete
Guadalajara (provincia)	Province de Guadalajara
Toledo (provincia)	Province de Tolède
Ciudad Real (provincia)	Province de Ciudad Real
Alacant (provincia)	Province d'Alicante
Valencia (provincia)	Province de Valence
Teruel (provincia)	Province de Teruel
Zaragoza (provincia)	Province de Saragosse
Huesca (provincia)	Province de Huesca
Laurence Olivier	Laurence Olivier
Palencia (provincia)	Province de Palencia
Burgos (provincia)	Province de Burgos
Soria (provincia)	Province de Soria
Segovia (provincia)	Province de Ségovie
Ávila (provincia)	Province d'Ávila
Contae Laoise	Comté de Laois
An Muileann gCearr	Mullingar
Roinn-seòrsa:Film	Catégorie:Film
José María Aznar López	José María Aznar
Peter Ustinov	Peter Ustinov
All Blacks	Équipe de Nouvelle-Zélande de rugby à XV
Cabhlach na Gearmailte	Deutsche Marine
Katharine Hepburn	Katharine Hepburn
Grottammare	Grottammare
Lise Meitner	Lise Meitner
Sàmais	Langues sames
Otto Hahn	Otto Hahn
Nelly Sachs	Nelly Sachs
Fritz Haber	Fritz Haber
Johann Friedrich Wilhelm Adolf von Baeyer	Adolf von Baeyer
Pàpa Hadrianus VI	Adrien VI
Paul Ehrlich	Paul Ehrlich
Walther Hermann Nernst	Walther Nernst
Anna Cleves	Anne de Clèves
Otto Wallach	Otto Wallach
Georgi Parvanov	Gueorgui Parvanov
Traian Băsescu	Traian Băsescu
Jacob Zuma	Jacob Zuma
Ólafur Ragnar Grímsson	Ólafur Ragnar Grímsson
Toomas Hendrik Ilves	Toomas Hendrik Ilves
Ivan Gašparovič	Ivan Gašparovič
Juan Manuel Santos Calderón	Juan Manuel Santos
Václav Klaus	Václav Klaus
Hans-Adam II	Hans-Adam II de Liechtenstein
Mykola Azarov	Mykola Azarov
Margadh na Nollaige	Marché de Noël
Mark Rutte	Mark Rutte
Èideard I Shasainn	Édouard Ier (roi d'Angleterre)
