Āfrika	Afrique
Džordžs V. Bušs	George W. Bush
Taisnstūris	Rectangle
Latvija	Lettonie
Ukraina	Ukraine
Čehija	République tchèque
Slovākija	Slovaquie
Slovēnija	Slovénie
Viļņa	Vilnius
Moldova	Moldavie
Rumānija	Roumanie
Bulgārija	Bulgarie
Roma	Rome
Maķedonija	Macédoine (pays)
Albānija	Albanie
Grenlande	Groenland
Horvātija	Croatie
Bosnija un Hercegovina	Bosnie-Herzégovine
Nūka	Nuuk
Azerbaidžāna	Azerbaïdjan
Andora	Andorre
Kipra	Chypre (pays)
Gruzija	Géorgie (pays)
Valonija	Région wallonne
Kazahstāna	Kazakhstan
Malta	Malte
Flandrija	Flandre (Belgique)
Monako	Monaco
Melnkalne	Monténégro
Vatikāns	Vatican
Sanmarīno	Saint-Marin
Brisele	Ville de Bruxelles
Briseles galvaspilsētas reģions	Région de Bruxelles-Capitale
Kuba	Cuba
Beliza	Belize
Eifeļa tornis	Tour Eiffel
Barbadosa	Barbade
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Bezvadu sakari	Transmission sans fil
Datora klaviatūra	Clavier d'ordinateur
Java (programmēšanas valoda)	Java (langage)
Indonēzija	Indonésie
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Turc
Mandelbrota kopa	Ensemble de Mandelbrot
Dienvidāfrika	Afrique du Sud
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Algérie
Wikisource	Wikisource
Viesuļvētra Sendija	Ouragan Sandy
Uzbekistāna	Ouzbékistan
Rasenes	Droséra
Poznaņa	Poznań
Taškenta	Tachkent
Varšava	Varsovie
Eirovīzijas dziesmu konkurss	Concours Eurovision de la chanson
Modēna	Modène
Viskijs	Whisky
Vīns	Vin
Ūdens	Eau
Āda (materiāls)	Cuir
Koksne	Bois
Tūra	Tours
Televīzija	Télévision
Dzimums	Sexe
Pornogrāfija	Pornographie
Islandiešu valoda	Islandais
Klods Monē	Claude Monet
Djego Velaskess	Diego Vélasquez
Čīle	Chili
El Greko	El Greco
Jēzus Kristus	Jésus-Christ
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galilée (savant)
Merkurs (planēta)	Mercure (planète)
Vēsture	Histoire
Perlašēza kapsēta	Cimetière du Père-Lachaise
Apple Inc.	Apple
Venera (planēta)	Vénus (planète)
Valoda	Langage
Mīlestība	Amour
Diktatūra	Dictature
Galaktika	Galaxie
Jupiters (planēta)	Jupiter (planète)
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Voie lactée
Lanvairpulguingila	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Lielais sprādziens	Big Bang
Urāns (planēta)	Uranus (planète)
Bretaņa (vēsturisks reģions)	Bretagne
Vikipēdija angļu valodā	Wikipédia en anglais
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Neptune (planète)
Astronomija	Astronomie
Singapūra	Singapour
Zinātne	Science
Kosmoloģija	Cosmologie
Plutons (pundurplanēta)	Pluton (planète naine)
Monreāla	Montréal
Brīvā programmatūra	Logiciel libre
Kempēra	Quimper
Jaunava Marija	Marie (mère de Jésus)
Luijs IX	Louis IX
Lihtenšteina	Liechtenstein
Sports	Sport
Kembridža	Cambridge
Jeloustonas nacionālais parks	Parc national de Yellowstone
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google+
Kultūras piemineklis	Monument historique
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Première Guerre mondiale
Otrais pasaules karš	Seconde Guerre mondiale
Ķelne	Cologne
Korupcija	Corruption
Wikibooks	Wikibooks
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversité
Wikivoyage	Wikivoyage
Degvīns	Vodka
Pulkstenis	Horloge
Janka Kupala	Ivan Loutsévitch
Ubuntu Linux	Ubuntu
Skopje	Skopje
Gdiņa	Gdynia
GNU/Linux	Linux
Bobs Dilans	Bob Dylan
Ščecina	Szczecin
Metroloģija	Métrologie
Matemātika	Mathématiques
U2	U2
Latīņu valoda	Latin
Bahreina	Bahreïn
Armēnija	Arménie
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Cunéiforme
Higsa bozons	Boson de Higgs
Serbija	Serbie
Mēness	Lune
Stambula	Istanbul
Austrālija	Australie
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Exobiologie
Fizika	Physique
Argentīna	Argentine
Telesakari	Télécommunications
Peru	Pérou
Bioloģija	Biologie
Neidentificēts lidojošs objekts	Objet volant non identifié
Ziemeļkoreja	Corée du Nord
Kambodža	Cambodge
Dzīvnieku tiesības	Droits des animaux
Koipera josla	Ceinture de Kuiper
Korāns	Coran
Dinozauri	Dinosaure
Zooloģija	Zoologie
Islāms	Islam
Bumbieres	Pyrus
Aleksandrijas bibliotēka	Bibliothèque d'Alexandrie
Ščebžešina	Szczebrzeszyn
Ļubļana	Ljubljana
Vonhocka	Wąchock (ville)
Salvadors Aljende	Salvador Allende
Botānika	Botanique
Lehs Valensa	Lech Wałęsa
Ritenis	Roue
Enciklopēdija (Denī Didro)	Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Esprit
Miers	Paix
Encyclopædia Britannica	Encyclopædia Britannica
Liona	Lyon
Eiropas Savienība	Union européenne
Plovdiva	Plovdiv
Zvaigžņu kari	Star Wars
Rona-Alpi	Rhône-Alpes
DBpedia	DBpedia
Vispasaules tīmeklis	World Wide Web
Sieviete	Femme
Sofija	Sofia
Akvedukts	Aqueduc
Dons Kihots	Don Quichotte
Dzeja	Poésie
Datorvīruss	Virus informatique
Černobiļas AES katastrofa	Catastrophe nucléaire de Tchernobyl
Hirosimas un Nagasaki bombardēšana	Bombardements atomiques d'Hiroshima et Nagasaki
Milāna	Milan
Draudzība	Amitié
Atmiņa	Mémoire (psychologie)
Arturs Rembo	Arthur Rimbaud
Turīna	Turin
Izkārnījumi	Matière fécale
Anālā atvere	Anus
Citrons	Citron
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Banāni	Banane
Emīls Zolā	Émile Zola
Zieds	Fleur
Gugols	Gogol (nombre)
Gugolplekss	Gogolplex
Marianas dziļvaga	Fosse des Mariannes
Vladimirs Visockis	Vladimir Vyssotski
Everests	Everest
Anatomija	Anatomie
Pilsēta	Ville
Napoleons Bonaparts	Napoléon Ier
Olimpa kalns (Marss)	Olympus Mons
Fizioloģija	Physiologie
Zvaigzne	Étoile
Vezuvs	Vésuve
Saule	Soleil
Debesis	Ciel
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Année-lumière
Ciems	Village
Viktors Igo	Victor Hugo
Okeānija	Océanie
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Athlétisme
Cenzūra	Censure
Saules sistēma	Système solaire
Baltijas jūra	Mer Baltique
Trieste	Trieste
Visla	Vistule
Elizejas lauki	Avenue des Champs-Élysées
Odera	Oder
Zobi	Dent
Ūdeņradis	Hydrogène
Petija Smita	Patti Smith
Hēlijs	Hélium
Elle	Enfer
Vikikrātuve	Wikimedia Commons
Šķīstītava	Purgatoire
Angela Merkele	Angela Merkel
Litijs	Lithium
Berilijs	Béryllium
Skaļrunis	Haut-parleur
Grāmata	Livre (document)
Diennakts	Jour
Austrumtimora	Timor oriental
Nakts	Nuit
Gads	Année (calendrier)
Gadsimts	Siècle
Lodza	Łódź
Monblāns	Mont Blanc
Reina	Rhin
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	Toussaint
Katovice	Katowice
Melnais caurums	Trou noir
Luišs di Kamoinšs	Luís de Camões
Gejs	Gay (homosexualité)
Romas karalis	Le roi de Rome
Cerera	(1) Cérès
Lisabona	Lisbonne
Žešova	Rzeszów
Ihiro Suzuki	Ichiro Suzuki
Haumeja	(136108) Hauméa
Rona	Rhône
Makemake	(136472) Makémaké
Maikls Blumbergs	Michael Bloomberg
Sekss	Comportement sexuel humain
Erīda (pundurplanēta)	(136199) Éris
Dubaija	Dubaï (émirat)
Lionels Mesi	Lionel Messi
Paduja	Padoue
Bors	Bore
Nikolajs Koperniks	Nicolas Copernic
Versaļa	Versailles
Ogleklis	Carbone
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Volga
Slāpeklis	Azote
Bergamo	Bergame
Skābeklis	Oxygène
Milānas @@@u0026Internazionale"	FC Internazionale Milano
Nīls Jangs	Neil Young
Planēta	Planète
Kleopatra	Cléopâtre VII
Keita Buša	Kate Bush
Mūzika	Musique
Venēcija	Venise
Naruto	Naruto
Po (upe)	Pô
Šarm eš Šeiha	Charm el-Cheikh
Ņeva	Neva
Termometrs	Thermomètre
Renna	Rennes
Lille	Lille
Maskava	Moscou
Fluors	Fluor
Itāļu valoda	Italien
Čivava (suņu šķirne)	Chihuahua (chien)
Neons	Néon
Čivava	État de Chihuahua
Sanktpēterburga	Saint-Pétersbourg
Čada	Tchad
Nātrijs	Sodium
Ziemeļi	Nord
Magnijs	Magnésium
Alumīnijs	Aluminium
Jaunzēlande	Nouvelle-Zélande
Dienvidi	Sud
Indija	Inde
Silīcijs	Silicium
Francijs	Francium
Tuvalu	Tuvalu
Fosfors	Phosphore
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prose
Dzelzs	Fer
Tonga	Tonga
Rietumi	Ouest
Alesandro Volta	Alessandro Volta
Sērs	Soufre
Samoa	Samoa
Austrumi	Est
Zālamana Salas	Salomon (pays)
Vanuatu	Vanuatu
Moljērs	Molière
Hlors	Chlore
Delfta	Delft
Papua-Jaungvineja	Papouasie-Nouvelle-Guinée
Viljams Šekspīrs	William Shakespeare
Fabula	Fable
Dienvidholande	Hollande-Méridionale
Palau	Palaos
Argons	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Pasaka	Conte
Ziemeļholande	Hollande-Septentrionale
Mikronēzija (valsts)	Micronésie (pays)
Kālijs	Potassium
Lionas @@@u0026Olympique"	Olympique lyonnais
Zēlande (province)	Zélande
Kalcijs	Calcium
Flevolande	Flevoland
Svins	Plomb
Māršala Salas	Îles Marshall
Kiribati	Kiribati
Mongolija	Mongolie
Fidži	Fidji
Skandijs	Scandium
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn
Titāns	Titane
Venecuēla	Venezuela
Šahs	Échecs
Čingishans	Gengis Khan
Vanādijs	Vanadium
Meina	Maine (État)
Hroms	Chrome
Mājas zirgs	Cheval
Amsterdama	Amsterdam
Ierocis	Arme
Dzīvnieki	Animal
Surinama	Suriname
Mangāns	Manganèse
Paragvaja	Paraguay
Gajāna	Guyana
Māksla	Art
Ekvadora	Équateur (pays)
Rēnijs	Rhénium
Kolumbija	Colombie
Kobalts	Cobalt
Žans Rasins	Jean Racine
Volframs	Tungstène
Niķelis	Nickel
Zemenes	Fragaria
Pjērs Korneijs	Pierre Corneille
Budisms	Bouddhisme
Groningena	Groningue (ville)
Bolīvija	Bolivie
Osmijs	Osmium
Groningena (province)	Groningue (province)
Varš	Cuivre
Trinidāda un Tobāgo	Trinité-et-Tobago
Pols Verlēns	Paul Verlaine
Augi	Plante
Sentvinsenta un Grenadīnas	Saint-Vincent-et-les-Grenadines
Cinks	Zinc
Ņūhempšīra	New Hampshire
Sentlūsija	Sainte-Lucie
Bjalistoka	Białystok
Leonardo da Vinči	Léonard de Vinci
Sentkitsa un Nevisa	Saint-Christophe-et-Niévès
Sēnes	Fungi
Dario Fo	Dario Fo
Jamaika	Jamaïque
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Grenade (pays)
Frīzlande	Frise (province)
Masačūsetsa	Massachusetts
Drente	Drenthe
Overeisela	Overijssel
Gvatemala	Guatemala
Gelderlande	Gueldre (province)
Utrehta (province)	Utrecht (province)
Google Chrome	Google Chrome
Bahamas	Bahamas
Konektikuta	Connecticut
Mājas vista	Gallus gallus domesticus
Antigva un Barbuda	Antigua-et-Barbuda
Havajas	Hawaï
Hondurasa	Honduras
Dominika	Dominique (pays)
Džērsija	Jersey
Dominikāna	République dominicaine
Mājas cūka	Porc
Ziemeļu Ledus okeāns	Océan Arctique
Haiti	Haïti
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu
Salvadora	Salvador
Zvolle	Zwolle
Irāna	Iran
Irāka	Irak
Aļaska	Alaska
Asena	Assen
Gudrība	Sagesse
Kostarika	Costa Rica
Izraēla	Israël
Novi Sonča	Nowy Sącz
Utrehta	Utrecht
Panama	Panama
Jemena	Yémen
Lozanna	Lausanne
Vīruss	Virus
Poļu valoda	Polonais
Jordānija	Jordanie
Nikaragva	Nicaragua
Florida	Floride
Kirgizstāna	Kirghizistan
Arizona	Arizona
Kuveita	Koweït
Laosa	Laos
Libāna	Liban
Oregona	Oregon
Maldīvija	Maldives
Amerika	Amérique
Jūta	Utah
Liellops	Bos taurus
Čau	Ciao
Malaizija	Malaisie
Valē kantons	Canton du Valais
Mihails Bulgakovs	Mikhaïl Boulgakov
Mjanma	Birmanie
Nepāla	Népal
Omāna	Oman
Pakistāna	Pakistan
Džeimss Bonds	James Bond
Katara	Qatar
Teniss	Tennis
MySQL	MySQL
Saūda Arābija	Arabie saoudite
Andrejs Tarkovskis	Andreï Tarkovski
Šrilanka	Sri Lanka
Josifs Staļins	Joseph Staline
Svītrkods	Code-barres
Sīrija	Syrie
Platons	Platon
Gallijs	Gallium
Josifs Brodskis	Joseph Brodsky
Tadžikistāna	Tadjikistan
Pokemoni	Pokémon
Ķīnas Republika	Taïwan
YouTube	YouTube
Germānijs	Germanium
Aristotelis	Aristote
Taizeme	Thaïlande
Vilciens	Train
Arsēns	Arsenic
Radio	Radiodiffusion
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkménistan
Abakana	Abakan
Selēns	Sélénium
Irīdijs	Iridium
Apvienotie Arābu Emirāti	Émirats arabes unis
Broms	Brome
Platīns	Platine
Vjetnama	Viêt Nam
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Novossibirsk
Dienvidkoreja	Corée du Sud
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	Les Simpson
Jekaterinburga	Iekaterinbourg
Kriptons	Krypton
Afganistāna	Afghanistan
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Nijni Novgorod
Džons Ronalds Rūels Tolkīns	J. R. R. Tolkien
Samara	Samara (Russie)
Rubīdijs	Rubidium
Zelts	Or
Omska	Omsk
Suecas kanāls	Canal de Suez
Kazaņa	Kazan
Zinātnieks	Scientifique
Bangladeša	Bangladesh
Bleach (manga)	Bleach (manga)
Francs Kafka	Franz Kafka
Čeļabinska	Tcheliabinsk
Gordons Frīmens	Gordon Freeman
Rostova pie Donas	Rostov-sur-le-Don
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Oufa
Mali	Mali
Sokrats	Socrate
Volgograda	Volgograd
Angola	Angola
Perma	Perm
Butāna	Bhoutan
Twitter	Twitter
Krasnojarska	Krasnoïarsk
Bruneja	Brunei
Tanzānija	Tanzanie
Dzīvsudrabs	Mercure (chimie)
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Philippines
Centrālāfrikas Republika	République centrafricaine
Naruto Udzumaki	Naruto Uzumaki
Tallijs	Thallium
Dienvidpols	Pôle Sud
Ziemeļpols	Pôle Nord
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Strontium
Pedru I	Pierre Ier (empereur du Brésil)
Narkotikas	Narcotique
Itrijs	Yttrium
Bismuts	Bismuth
Dzeltenā krāsa	Jaune
Kvantu mehānika	Mécanique quantique
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Tunisie
Džons Bardīns	John Bardeen
Zambija	Zambie
Zimbabve	Zimbabwe
Pekina	Pékin
Dienvidsudāna	Soudan du Sud
Vladivostoka	Vladivostok
Tiva	Touva
Benina	Bénin
Botsvana	Botswana
Wikinews	Wikinews
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Comores (pays)
Kongo Republika	République du Congo
Alkmāra	Alkmaar
Oba	Ob
Kongo Demokrātiskā Republika	République démocratique du Congo
Sanantonio	San Antonio
Tomska	Tomsk
Džibutija	Djibouti
Mēme	Mème
Polonijs	Polonium
Bavārija	Bavière
Pasaules kauss kalnu slēpošanā	Coupe du monde de ski alpin
Ekvatoriālā Gvineja	Guinée équatoriale
Bādene-Virtemberga	Bade-Wurtemberg
Eritreja	Érythrée
Ņūdeli	New Delhi
Jānis Pāvils II	Jean-Paul II
Fjodors Dostojevskis	Fiodor Dostoïevski
Amersforta	Amersfoort
Kamčatkas pussala	Kamtchatka
Tbilisi	Tbilissi
Andrejs Saharovs	Andreï Sakharov
Astats	Astate
Gabona	Gabon
Mohandass Karamčands Gandijs	Mohandas Karamchand Gandhi
Čukču pussala	Péninsule tchouktche
Komikss	Bande dessinée
Gambija	Gambie
Gvineja	Guinée
Gvineja-Bisava	Guinée-Bissau
Kotdivuāra	Côte d'Ivoire
Kamerūna	Cameroun
Maribora	Maribor
Kaboverde	Cap-Vert
Lesoto	Lesotho
Libērija	Liberia
Lībija	Libye
Āhene	Aix-la-Chapelle
Madagaskara	Madagascar
Malāvija	Malawi
Štutgarte	Stuttgart
Mauritānija	Mauritanie
Poļi	Polonais (peuple)
Maurīcija	Maurice (pays)
Maroka	Maroc
Mozambika	Mozambique
Namībija	Namibie
Nigēra	Niger
Nigērija	Nigeria
Čārlzs Darvins	Charles Darwin
Uganda	Ouganda
Ruanda	Rwanda
Cirkonijs	Zirconium
Santome un Prinsipi	Sao Tomé-et-Principe
Karlsrūe	Karlsruhe
Senegāla	Sénégal
Seišelas	Seychelles
Kārlis Linnejs	Carl von Linné
Sjerraleone	Sierra Leone
Somālija	Somalie
Niobijs	Niobium
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Jules César
Sudāna	Soudan
Svazilenda	Swaziland
Varavīksne	Arc-en-ciel
Molibdēns	Molybdène
Tehnēcijs	Technétium
Hamburga	Hambourg
Vielmaiņa	Métabolisme
Narēndra Modi	Narendra Modi
Imūnsistēma	Système immunitaire
Gudžarāta	Gujarat
Ontārio ezers	Lac Ontario
Evolūcija	Évolution (biologie)
Apvienoto Nāciju Organizācija	Organisation des Nations unies
Augšezers	Lac Supérieur
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Géologie
Amdāvāda	Ahmedabad
Ģeogrāfija	Géographie
Sirds	Cœur
Smadzenes	Cerveau
Āda	Peau
Krāsa	Couleur
Pārkāpt robežu	Breaking Bad
Salerno	Salerne
Lietvārds	Substantif
Prāga	Prague
Rutēnijs	Ruthénium
Rodijs	Rhodium
Zilā krāsa	Bleu
Pallādijs	Palladium (chimie)
Sudrabs	Argent
Kadmijs	Cadmium
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Province de Limbourg (Pays-Bas)
Indijs	Indium
Limburga (Beļģija)	Province de Limbourg (Belgique)
Alva	Étain
Urāns (elements)	Uranium
Antimons	Antimoine
Telūrs	Tellure
Ziemeļbrabante	Brabant-Septentrional
Plutonijs	Plutonium
Jods (elements)	Iode
Neptūnijs	Neptunium
Ksenons	Xénon
Anime	Anime
Cēzijs	Césium
Protaktīnijs	Protactinium
Elektriskais lādiņš	Charge électrique
Bārijs	Baryum
Rietumflandrija	Province de Flandre-Occidentale
Austrumflandrija	Province de Flandre-Orientale
Torijs	Thorium
Antverpenes province	Province d'Anvers
Flāmu Brabante	Province du Brabant flamand
Hafnijs	Hafnium
Aktīnijs	Actinium
Valoņu Brabante	Province du Brabant wallon
Tantals	Tantale (chimie)
Bills Klintons	Bill Clinton
Namīras province	Province de Namur
Luksemburgas province	Province de Luxembourg
Ljēžas province	Province de Liège
Rādijs	Radium
Eno	Province de Hainaut
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radon
Lotringa	Lorraine
Elzasa	Alsace
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Mercure (mythologie)
Ektors Berliozs	Hector Berlioz
Overņa	Auvergne
Mumbaja	Bombay
Starptautiskā vieglatlētikas federācija	Association internationale des fédérations d'athlétisme
Āndhra Pradēša	Andhra Pradesh
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Michigan
Čhatīsgarha	Chhattisgarh
Mičigans	Lac Michigan
Goa	Goa
Burgundija	Bourgogne
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitaine
Džammu un Kašmīra	Jammu-et-Cachemire
Puertoriko	Porto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Kerala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Limousin
Mahārāštra	Maharashtra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Schleswig-Holstein
Meghālaja	Meghalaya
Mēklenburga-Priekšpomerānija	Mecklembourg-Poméranie-Occidentale
Lejassaksija	Basse-Saxe
Ziemeļreina-Vestfālene	Rhénanie-du-Nord-Westphalie
Hesene	Hesse (Land)
Reinzeme-Pfalca	Rhénanie-Palatinat
Zāra (zeme)	Sarre (Land)
Saksija	Saxe (Land)
Džons Lenons	John Lennon
Ilinoisa	Illinois
Tīringene	Thuringe
Saksija-Anhalte	Saxe-Anhalt
Ziemeļdakota	Dakota du Nord
Brandenburga (zeme)	Brandebourg
Brēmene (federālā zeme)	Brême (Land)
Lombardija	Lombardie
Dienviddakota	Dakota du Sud
Montāna	Montana
Vaiominga	Wyoming
Pjemonta	Piémont
Jeruzaleme	Jérusalem
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Vallée d'Aoste
Vašingtona (štats)	Washington (État)
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Rutherfordium
Nevada	Nevada
Dona	Don (fleuve)
Dubnijs	Dubnium
Sīborgijs	Seaborgium
Trentīno-Alto Adidže	Trentin-Haut-Adige
Indijas okeāns	Océan Indien
Veneto	Vénétie
Kosova	Kosovo
Karību jūra	Mer des Caraïbes
Borijs	Bohrium
Friuli-Venēcija Džūlija	Frioul-Vénétie julienne
Hasijs	Hassium
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Ligurie
Butross Butross-Gali	Boutros Boutros-Ghali
Meitnērijs	Meitnérium
Kurts Valdheims	Kurt Waldheim
Kolorādo	Colorado
Emīlija-Romanja	Émilie-Romagne
U Tans	U Thant
Kolorādo (upe)	Colorado (fleuve)
Darmštatijs	Darmstadtium
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Frédéric Chopin
Rentgenijs	Roentgenium
