Afrika	Afrique
Wikiarroud	Wikiquote
Horolaj	Horloge
Ubuntu	Ubuntu
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Valdemar	Valdemar
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matematik	Mathématiques
Latin	Latin
Bahrein	Bahreïn
Armenia	Arménie
Jenna Jameson	Jenna Jameson
Skritur gennheñvel	Cunéiforme
Bozon Higgs	Boson de Higgs
Serbia	Serbie
Loar	Lune
Istanbul	Istanbul
Aostralia	Australie
Bob Marley	Bob Marley
Fizik	Physique
Arc'hantina	Argentine
Pellgehenterezhioù	Télécommunications
Perou	Pérou
Bevoniezh	Biologie
Nijell dianavez	Objet volant non identifié
Republik Poblel ha Demokratel Korea	Corée du Nord
Kambodja	Cambodge
Gourizad Kuiper	Ceinture de Kuiper
Koran	Coran
Dinosaor	Dinosaure
Loenoniezh	Zoologie
Islam	Islam
Levraoueg Aleksandria	Bibliothèque d'Alexandrie
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Louzawouriezh	Botanique
Lech Wałęsa	Lech Wałęsa
Rod	Roue
Georges Brassens	Georges Brassens
Peoc'h	Paix
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unaniezh Europa	Union européenne
Plovdiv	Plovdiv
Star Wars	Star Wars
Rhône-Alpes	Rhône-Alpes
World Wide Web	World Wide Web
Maouez	Femme
Sofia	Sofia
Ñ	Ñ
Derwal	Derval (Loire-Atlantique)
Don Quijote de la Mancha	Don Quichotte
Barzhoniezh	Poésie
Leziregezh	Paresse
Bombezadennoù atomek Hiroshima ha Nagasaki	Bombardements atomiques d'Hiroshima et Nagasaki
Milano	Milan
Arthur Rimbaud	Arthur Rimbaud
Torino	Turin
Kaoc'h	Matière fécale
Fraezh	Anus
Kazel	Aisselle
Suraval	Citron
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Bananez	Banane
Émile Zola	Émile Zola
666	666
Bleuñv	Fleur
Gogol	Gogol (nombre)
Vladimir Vysotsky	Vladimir Vyssotski
Menez Everest	Everest
Korfadurezh	Anatomie
Kêr	Ville
Napoleon Iañ	Napoléon Ier
Olympus Mons	Olympus Mons
Steredenn	Étoile
Vesuvio	Vésuve
Heol	Soleil
Oabl	Ciel
Louis Pasteur	Louis Pasteur
Bloavezh-gouloù	Année-lumière
Victor Hugo	Victor Hugo
Okeania	Océanie
Giuseppe Garibaldi	Giuseppe Garibaldi
Atleterezh	Athlétisme
Koskoriad an Heol	Système solaire
Mor Baltel	Mer Baltique
Trieste	Trieste
Stêr Wisła	Vistule
Avenue des Champs-Élysées	Avenue des Champs-Élysées
Oder	Oder
Dant	Dent
Hidrogen	Hydrogène
Patti Smith	Patti Smith
Heliom	Hélium
Brigitte Fontaine	Brigitte Fontaine
Ifern	Enfer
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litiom	Lithium
Beriliom	Béryllium
Levr	Livre (document)
Deiz	Jour
Timor ar Reter	Timor oriental
Noz	Nuit
Bloaz	Année (calendrier)
Kantved	Siècle
Łódź	Łódź
Menez Gwenn	Mont Blanc
Roen	Rhin
Oslo	Oslo
Bonn	Bonn
Gouel an Hollsent	Toussaint
Katowice	Katowice
Toull du	Trou noir
Luís de Camões	Luís de Camões
Gae	Gay (homosexualité)
Keres (korrblanedenn)	(1) Cérès
Lisbon	Lisbonne
Ron	Rhône
Ì Chaluim Chille	Iona (Écosse)
136199 Eris	(136199) Éris
Dubai	Dubaï (émirat)
Lionel Messi	Lionel Messi
Padova	Padoue
Bor	Bore
Nicolaus Copernicus	Nicolas Copernic
Versailhez	Versailles
Karbon	Carbone
Volga	Volga
Nitrogen	Azote
Bergamo	Bergame
Oksigen	Oxygène
Football Club Internazionale Milano	FC Internazionale Milano
Jean Moulin	Jean Moulin
Neil Young	Neil Young
Planedenn	Planète
Kleopatra VII	Cléopâtre VII
Kate Bush	Kate Bush
Sonerezh	Musique
Venezia	Venise
Naruto	Naruto
Po	Pô
Neva	Neva
Roazhon	Rennes
Lille	Lille
Moskov	Moscou
Fluor	Fluor
Italianeg	Italien
Chihuahua (ki)	Chihuahua (chien)
Neon	Néon
Chihuahua (stad)	État de Chihuahua
Sant-Petersbourg	Saint-Pétersbourg
Tchad	Tchad
Sodiom	Sodium
Norzh	Nord
Magneziom	Magnésium
Aluminiom	Aluminium
Zeland-Nevez	Nouvelle-Zélande
Lugdunum	Lugdunum
Su	Sud
India	Inde
Silisiom	Silicium
Frankiom	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Fosfor	Phosphore
André-Marie Ampère	André-Marie Ampère
Komz-plaen	Prose
Houarn	Fer
Tonga	Tonga
Kornôg	Ouest
Alessandro Volta	Alessandro Volta
Sulfur	Soufre
Samoa	Samoa
Reter	Est
Inizi Salomon	Salomon (pays)
Vanuatu	Vanuatu
Molière	Molière
Klor	Chlore
Delft	Delft
Papoua Ginea-Nevez	Papouasie-Nouvelle-Guinée
William Shakespeare	William Shakespeare
Fablenn	Fable
Zuid-Holland	Hollande-Méridionale
Palau	Palaos
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kontadenn	Conte
Noord-Holland	Hollande-Septentrionale
Stadoù Kevreet Mikronezia	Micronésie (pays)
Potasiom	Potassium
Olympique lyonnais	Olympique lyonnais
Zeeland	Zélande
Kalsiom	Calcium
Flevoland	Flevoland
Plom	Plomb
Inizi Marshall	Îles Marshall
Kiribati	Kiribati
Mongolia	Mongolie
Fidji	Fidji
Skandiom	Scandium
Titaniom	Titane
Venezuela	Venezuela
Echedoù	Échecs
Genghis Khan	Gengis Khan
Vanadiom	Vanadium
Maine (stad)	Maine (État)
Krom	Chrome
Marc'h	Cheval
Amsterdam	Amsterdam
Arm	Arme
Loen	Animal
Surinam	Suriname
Manganez	Manganèse
Paraguay	Paraguay
Guyana	Guyana
Arz	Art
Ecuador	Équateur (pays)
Reniom	Rhénium
Croque-monsieur	Croque-monsieur
Kolombia	Colombie
Kobalt	Cobalt
Jean Racine	Jean Racine
Wolfram (tungsten)	Tungstène
Nikel	Nickel
Boudaegezh	Bouddhisme
Groningen (kêr)	Groningue (ville)
Bolivia	Bolivie
Osmiom	Osmium
Groningen (proviñs)	Groningue (province)
Kouevr	Cuivre
Trinidad ha Tobago	Trinité-et-Tobago
Plant	Plante
Sant Visant hag an Inizi Granadinas	Saint-Vincent-et-les-Grenadines
Zink	Zinc
New Hampshire	New Hampshire
Santez-Lusia (stad)	Sainte-Lucie
Białystok	Białystok
Leonardo da Vinci	Léonard de Vinci
Saint Kitts ha Nevis	Saint-Christophe-et-Niévès
Fungi	Fungi
Dario Fo	Dario Fo
Jamaika	Jamaïque
Grenada	Grenade (pays)
Friz	Frise (province)
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Gueldre (province)
Proviñs Utrecht	Utrecht (province)
Bahamas	Bahamas
Connecticut	Connecticut
Yar (evn)	Gallus gallus domesticus
Antigua ha Barbuda	Antigua-et-Barbuda
Hawaii	Hawaï
Honduras	Honduras
Dominika	Dominique (pays)
Jerzenez	Jersey
Republik Dominikan	République dominicaine
Pemoc'h	Porc
Meurvor skornek Arktika	Océan Arctique
Republik Haiti	Haïti
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu	Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu
El Salvador	Salvador
Zwolle	Zwolle
Iran	Iran
Sotoni	Stupidité
Irak	Irak
Alaska	Alaska
Assen	Assen
Costa Rica	Costa Rica
Israel	Israël
Utrecht (kêr)	Utrecht
Panamá	Panama
Yemen	Yémen
Randstad	Randstad (région)
Lausanne	Lausanne
Virus	Virus
Poloneg	Polonais
Jordania	Jordanie
Nicaragua	Nicaragua
Florida	Floride
Kirgizstan	Kirghizistan
Arizona	Arizona
Koweit	Koweït
Laos	Laos
Liban	Liban
Oregon	Oregon
Maldivez	Maldives
Amerika	Amérique
Utah	Utah
Bos taurus	Bos taurus
Ciao	Ciao
Malaysia	Malaisie
Valais	Canton du Valais
Myanmar	Birmanie
Nepal	Népal
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Katar	Qatar
Tennis	Tennis
Arabia Saoudat	Arabie saoudite
Sri Lanka	Sri Lanka
Jozef Stalin	Joseph Staline
Siria	Syrie
Platon	Platon
Galliom	Gallium
Iosif Brodskiy	Joseph Brodsky
Tadjikistan	Tadjikistan
Pokémon	Pokémon
Republik Sina	Taïwan
Germaniom	Germanium
Aristoteles	Aristote
Thailand	Thaïlande
Tren	Train
Arsenik	Arsenic
Skingomz	Radiodiffusion
Meryl Streep	Meryl Streep
Turkmenistan	Turkménistan
Seleniom	Sélénium
Iridiom	Iridium
Emirelezhioù Arab Unanet	Émirats arabes unis
Brom	Brome
Platin	Platine
Viêt Nam	Viêt Nam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novossibirsk
Republik Korea	Corée du Sud
Józef Piłsudski	Józef Piłsudski
The Simpsons	Les Simpson
Yekaterinbourg	Iekaterinbourg
Kripton	Krypton
Afghanistan	Afghanistan
Nijniy Novgorod	Nijni Novgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Samara (kêr Rusia)	Samara (Russie)
Rubidiom	Rubidium
Aour	Or
Omsk	Omsk
Kanol Suez	Canal de Suez
Kazan	Kazan
Bangladesh	Bangladesh
Franz Kafka	Franz Kafka
Rostov-an-Don	Rostov-sur-le-Don
Jorge Luis Borges	Jorge Luis Borges
Oufa (kêr)	Oufa
Mali	Mali
Sokrates	Socrate
Volgograd	Volgograd
Angola	Angola
Perm	Perm
Bhoutan	Bhoutan
Twitter	Twitter
Brunei	Brunei
Brač	Brač
Tanzania	Tanzanie
Bevargant	Mercure (chimie)
Roald Amundsen	Roald Amundsen
Filipinez	Philippines
Republik Kreizafrikan	République centrafricaine
Talliom	Thallium
Pennahel ar Su	Pôle Sud
Pennahel an Norzh	Pôle Nord
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontiom	Strontium
Pedro Iañ Brazil	Pierre Ier (empereur du Brésil)
Itriom	Yttrium
Bismut	Bismuth
Melen (liv)	Jaune
Togo	Togo
Donald Tusk	Donald Tusk
Tunizia	Tunisie
Zambia	Zambie
Zimbabwe	Zimbabwe
Beijing	Pékin
Roll ar rolloù	Wikipédia:Liste des listes
Soudan ar Su	Soudan du Sud
Vladivostok	Vladivostok
Touva	Touva
Benin	Bénin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komorez	Comores (pays)
Republik Kongo	République du Congo
Alkmaar	Alkmaar
Ob	Ob
Republik Demokratel Kongo	République démocratique du Congo
San Antonio (Texas)	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Poloniom	Polonium
Bavaria	Bavière
Ginea ar C'heheder	Guinée équatoriale
Baden-Württemberg	Bade-Wurtemberg
Eritrea	Érythrée
New Delhi	New Delhi
Yann-Baol II	Jean-Paul II
Fyodor Dostoyevskiy	Fiodor Dostoïevski
Amersfoort	Amersfoort
Ledenez Kamtchatka	Kamtchatka
Tbilisi	Tbilissi
Appingedam	Appingedam
Andrey Sac'harov	Andreï Sakharov
Astat	Astate
Gabon	Gabon
Mahatma Gandhi	Mohandas Karamchand Gandhi
Solidarność	Solidarność
Bannoù-treset	Bande dessinée
Gambia	Gambie
Ginea	Guinée
Ginea-Bissau	Guinée-Bissau
Aod an Olifant	Côte d'Ivoire
Kameroun	Cameroun
Kab Glas	Cap-Vert
Lesotho	Lesotho
Liberia	Liberia
Libia	Libye
Aachen	Aix-la-Chapelle
Madagaskar	Madagascar
Malawi	Malawi
Stuttgart	Stuttgart
Maouritania	Mauritanie
Maoris	Maurice (pays)
Maroko	Maroc
Mozambik	Mozambique
Namibia	Namibie
France Prešeren	France Prešeren
Niger	Niger
Nigeria	Nigeria
Biel/Bienne	Bienne
Charles Darwin	Charles Darwin
Ouganda	Ouganda
Rwanda	Rwanda
Zirkoniom	Zirconium
São Tomé ha Príncipe	Sao Tomé-et-Principe
Karlsruhe	Karlsruhe
Senegal	Sénégal
Sechelez	Seychelles
Carl von Linné	Carl von Linné
Sierra Leone	Sierra Leone
Somalia	Somalie
Niobiom	Niobium
Jawaharlal Nehru	Jawaharlal Nehru
Caius Julius Caesar	Jules César
Soudan	Soudan
Swaziland	Swaziland
Kanevedenn	Arc-en-ciel
Molibden	Molybdène
Teknetiom	Technétium
Hamburg	Hambourg
Metabolegezh	Métabolisme
Narendra Modi	Narendra Modi
Gujarat	Gujarat
Lenn Ontario	Lac Ontario
Alessandro Manzoni	Alessandro Manzoni
Aozadur ar Broadoù Unanet	Organisation des Nations unies
Lenn Superior	Lac Supérieur
Dante Alighieri	Dante Alighieri
Douarouriezh	Géologie
Douaroniezh	Géographie
Kalon	Cœur
Empenn	Cerveau
Kroc'hen	Peau
Liv	Couleur
Star Trek (heuliadenn orin)	Star Trek (série télévisée)
Salerno	Salerne
Anv-kadarn	Substantif
Praha	Prague
Ruteniom	Ruthénium
Rodiom	Rhodium
Glas (liv)	Bleu
Palladiom	Palladium (chimie)
Arc'hant (metal)	Argent
Kadmiom	Cadmium
Star Trek	Star Trek
Limburg (Izelvroioù)	Province de Limbourg (Pays-Bas)
Indiom	Indium
Limbourg (Belgia)	Province de Limbourg (Belgique)
Staen	Étain
Uraniom	Uranium
Antimon	Antimoine
Telluriom	Tellure
Noord-Brabant	Brabant-Septentrional
Plutoniom	Plutonium
Iod	Iode
Neptuniom	Neptunium
Ksenon	Xénon
Anime	Anime
Keziom	Césium
Protaktiniom	Protactinium
Bariom	Baryum
Proviñs Kornôg-Flandrez	Province de Flandre-Occidentale
Reter-Flandrez	Province de Flandre-Orientale
Toriom	Thorium
Antwerpen (proviñs)	Province d'Anvers
Brabant Flandrez	Province du Brabant flamand
Hafniom	Hafnium
Aktiniom	Actinium
Brabant Wallonia	Province du Brabant wallon
Tantalom	Tantale (chimie)
Bill Clinton	Bill Clinton
Namur (proviñs)	Province de Namur
Luksembourg (proviñs)	Province de Luxembourg
Liège (proviñs)	Province de Liège
Radiom	Radium
Hainaut (proviñs)	Province de Hainaut
Radon	Radon
Lorraine (rannvro)	Lorraine
Elzas	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merc'her (doue)	Mercure (mythologie)
Louis Hector Berlioz	Hector Berlioz
Auvergne (rannvro)	Auvergne
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Asam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Lenn Michigan	Lac Michigan
Goa	Goa
Bourgogn (rannvro)	Bourgogne
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Akitania (rannvro)	Aquitaine
Jammu ha Kachmir	Jammu-et-Cachemire
Puerto Rico	Porto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Limousin (rannvro)	Limousin
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Pomerania ar C'hornaoueg	Mecklembourg-Poméranie-Occidentale
Saks-Izel	Basse-Saxe
Nordrhein-Westfalen	Rhénanie-du-Nord-Westphalie
Hessen	Hesse (Land)
Rheinland-Pfalz	Rhénanie-Palatinat
Saarland	Sarre (Land)
Saks	Saxe (Land)
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Thuringe
Saks-Anhalt	Saxe-Anhalt
North Dakota	Dakota du Nord
Brandenburg	Brandebourg
Bremen	Brême (Land)
Lombardia	Lombardie
South Dakota	Dakota du Sud
Montana	Montana
Wyoming	Wyoming
Piemonte	Piémont
Jeruzalem	Jérusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Traoñienn Aosta	Vallée d'Aoste
Washington (stad)	Washington (État)
Rutherfordiom	Rutherfordium
Nevada	Nevada
Francesco Cossiga	Francesco Cossiga
Dubniom	Dubnium
Seaborgiom	Seaborgium
Trentino-Alto Adige	Trentin-Haut-Adige
Meurvor Indez	Océan Indien
Veneto	Vénétie
Kosovo	Kosovo
Mor Karib	Mer des Caraïbes
Bohriom	Bohrium
Friuli-Venezia Giulia	Frioul-Vénétie julienne
Hasiom	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria (Rannvro)	Ligurie
Meitneriom	Meitnérium
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia-Romagna	Émilie-Romagne
Colorado (stêr)	Colorado (fleuve)
Darmstadtiom	Darmstadtium
Frédéric Chopin	Frédéric Chopin
Kaotigell	Confiture
Roentgeniom	Roentgenium
Toskana	Toscane
Leonard Cohen	Leonard Cohen
Kopernisiom	Copernicium
Marche	Marches
Umbria	Ombrie
Rummad:Rummad pennañ	Catégorie:Accueil
Lazio	Latium
Abruzzo	Abruzzes
Alpoù	Alpes
Karpatoù	Carpates
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Dortmund	Dortmund
Gent	Gand
Chicago	Chicago
The Beatles	The Beatles
Fleroviom	Flérovium
Livermoriom	Livermorium
Maastricht	Maastricht
Arnhem	Arnhem
Goañv	Hiver
Nevezamzer	Printemps
Hañv	Été
Diskar-amzer	Automne
Kedez	Équinoxe
Saddam Husain	Saddam Hussein
Ousama ben Laden	Oussama ben Laden
Spagnoleg	Espagnol
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh
C'hoarigan	Opéra
Philadelphia	Philadelphie
Kolkata	Calcutta
Chennai	Chennai
Delhi	Delhi
Dhaka	Dacca
Bangalore	Bangalore
Kornôg Bengal	Bengale-Occidental
Kevnid	Araneae
Arthropoda	Arthropode
Islamabad	Islamabad
Tripura	Tripura
Frouezh	Fruit (botanique)
Marmouz (loen)	Singe
Arc'hant	Monnaie
Virginia	Virginie (État)
West Virginia	Virginie-Occidentale
Kevioù hag Erevent	Donjons et Dragons
Gary Gygax	Gary Gygax
Dave Arneson	Dave Arneson
Lenn Huron	Lac Huron
New York (Stad)	État de New York
Keriom	Cérium
Prazeodimiom	Praséodyme
Rhode Island	Rhode Island
Neodimiom	Néodyme
Amprevan	Insecte
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Ilitch Lénine
Europiom	Europium
Ohio	Ohio
Publius Vergilius Maro	Virgile
Niccolò Machiavelli	Nicolas Machiavel
Pennsylvania	Pennsylvanie
Petrarca	Pétrarque
Giovanni Boccaccio	Boccace
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Aogust (impalaer)	Auguste
Microsoft Windows	Microsoft Windows
Tiberius Caesar Augustus	Tibère
New Jersey	New Jersey
Caligula	Caligula
Jibraltar	Gibraltar
Glaoda Iañ	Claude (empereur romain)
Finneg	Finnois
Indiana	Indiana
Vitellius	Vitellius
Vespasianus	Vespasien
Karr-tan	Automobile
Titus (impalaer)	Titus (empereur romain)
Domitianus	Domitien
Roger Federer	Roger Federer
Hadrian	Hadrien
Georgia	Géorgie (États-Unis)
Antoninus Pius	Antonin le Pieux
Marcus Aurelius	Marc Aurèle
Zagreb	Zagreb
Rajasthan	Rajasthan
Campania	Campanie
Texas	Texas
Molise	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Puglia	Pouilles
Genova	Gênes
Bruno Mars	Bruno Mars
Basilicata	Basilicate
North Carolina	Caroline du Nord
South Carolina	Caroline du Sud
Calabria	Calabre
Heureuchin skouarnek	Hemiechinus auritus
Sikilia	Sicile
Manila	Manille
Sardigna	Sardaigne
Ferdinand Marcos	Ferdinand Marcos
Benigno Aquino III	Benigno Aquino III
Liger	Loire
Saena	Seine
Ar Mañs	Le Mans
Bourdel	Bordeaux
Lupus	Lupus érythémateux disséminé
Buenos Aires	Buenos Aires
Kêr-Vec'hiko	Mexico
Tokyo	Tokyo
La Paz (Bolivia)	La Paz
Barcelona	Barcelone
Mississippi (stad)	Mississippi (État)
Fernão de Magalhães	Fernand de Magellan
Mississippi (stêr)	Mississippi (fleuve)
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
José Rizal	José Rizal
Poull-neuial	Piscine
Mizoram	Mizoram
Sikkim	Sikkim
