Aphrika	Afrique
Kiribati	Kiribati
Mungul suyu	Mongolie
Phiyi	Fidji
Iskandyu	Scandium
Titanyu	Titane
Winisuyla	Venezuela
Qhapaq chunkana	Échecs
Wanadyu	Vanadium
Maine suyu	Maine (État)
Krumu	Chrome
Kawallu	Cheval
Amsterdam	Amsterdam
Ayñi	Arme
Uywa	Animal
Surinam	Suriname
Manganisu	Manganèse
Parawayi	Paraguay
Wayana	Guyana
Kapchiy	Art
Ikwadur	Équateur (pays)
Renyu	Rhénium
Kulumbya	Colombie
Kubaltu	Cobalt
Wolframyu	Tungstène
Nikil	Nickel
Muntipuquy	Fragaria
Budismu	Bouddhisme
Groningen	Groningue (ville)
Puliwya	Bolivie
Osmiyu	Osmium
Groningen pruwinsya	Groningue (province)
Anta	Cuivre
Trinidad Tubaguwan	Trinité-et-Tobago
Yura	Plante
Tsinku	Zinc
New Hampshire suyu	New Hampshire
Santa Lusiya wat'a	Sainte-Lucie
Białystok	Białystok
Leonardo da Vinci	Léonard de Vinci
San Kits Niwiswan	Saint-Christophe-et-Niévès
K'allampa	Fungi
Shamayka	Jamaïque
Grinada	Grenade (pays)
Friesland pruwinsya	Frise (province)
Massachusetts suyu	Massachusetts
Drenthe pruwinsya	Drenthe
Overijssel pruwinsya	Overijssel
Watimala	Guatemala
Gelderland	Gueldre (province)
Utrecht pruwinsya	Utrecht (province)
Bahamakuna	Bahamas
Connecticut suyu	Connecticut
Wallpa	Gallus gallus domesticus
Hawaii suyu	Hawaï
Unduras	Honduras
Duminika	Dominique (pays)
Duminikana	République dominicaine
Khuchi	Porc
Artiku mama qucha	Océan Arctique
Ayti (mama llaqta)	Haïti
Salwadur	Salvador
Zwolle	Zwolle
Iran	Iran
Iraq	Irak
Alaska suyu	Alaska
Assen	Assen
Kustarika	Costa Rica
Israyil	Israël
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht
Panama	Panama
Yaman	Yémen
Lausanne	Lausanne
Añaw	Virus
Pulaku simi	Polonais
Hurdanya	Jordanie
Nikarawa	Nicaragua
Florida suyu	Floride
Kirkisuyu	Kirghizistan
Arizona suyu	Arizona
Kuwait	Koweït
Florida pruwinsya	Province de Florida
Law suyu	Laos
Qincha pruwinsya (Beni)	Province de Cercado (Beni)
Libanu	Liban
Iténez pruwinsya	Province d'Iténez
Oregon suyu	Oregon
Maldiwakuna	Maldives
José Ballivián pruwinsya	Province de José Ballivián
Awya Yala (Mulanpi)	Amérique
Utah suyu	Utah
Waaka	Bos taurus
Mamuriy pruwinsya	Province de Mamoré
Malasya	Malaisie
Myanmar	Birmanie
Nipal	Népal
Marbán pruwinsya	Province de Marbán
Uman	Oman
Pakistan	Pakistan
Qatar	Qatar
Sawud Arabya	Arabie saoudite
Sri Lanka	Sri Lanka
Yosif Stalin	Joseph Staline
Sirya	Syrie
Platon	Platon
Galyu	Gallium
Tayiksuyu	Tadjikistan
Chunwa Republika	Taïwan
Germanyu	Germanium
Aristotelis	Aristote
Thaysuyu	Thaïlande
Antakuru	Train
Arsiniku	Arsenic
Ankichiy	Radiodiffusion
Turkminsuyu	Turkménistan
Silinyu	Sélénium
Iridyu	Iridium
Hukllachasqa Arab Imiratukuna	Émirats arabes unis
Bromu	Brome
Qullqiya	Platine
Witnam	Viêt Nam
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Novossibirsk
Tayhan Republika	Corée du Sud
Jekaterinburg	Iekaterinbourg
Kriptun	Krypton
Afgansuyu	Afghanistan
Nizhniy Novgorod	Nijni Novgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Samara	Samara (Russie)
Rubidyu	Rubidium
Quri	Or
Omsk	Omsk
Kazan	Kazan
Yachaq	Scientifique
Banladish	Bangladesh
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Oufa
Mali	Mali
Sokratis	Socrate
Angula	Angola
Butan	Bhoutan
Bruniy	Brunei
Tansanya	Tanzanie
Yaku qullqi	Mercure (chimie)
Roald Amundsen	Roald Amundsen
Philipinakuna	Philippines
Chawpi Aphrika Ripuwlika	République centrafricaine
Thalyu	Thallium
Urin qhipa	Pôle Sud
Chinchay qhipa	Pôle Nord
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istronsyu	Strontium
Itriyu	Yttrium
Wismutu	Bismuth
Q'illu	Jaune
Tugu	Togo
Donald Tusk	Donald Tusk
Tunisya	Tunisie
John Bardeen	John Bardeen
Sambya	Zambie
Simbabwi	Zimbabwe
Pikkin	Pékin
Urin Sudan	Soudan du Sud
Binin	Bénin
Butswana	Botswana
Burkina Phasu	Burkina Faso
Burundi	Burundi
Kumurakuna	Comores (pays)
Kungu Ripuwlika	République du Congo
Obi mayu	Ob
Kungu Runakamaq Ripuwlika	République démocratique du Congo
San Antonio (Texas)	San Antonio
Yiwuti	Djibouti
Polonyu	Polonium
Bayern	Bavière
Chawpipacha Khiniya	Guinée équatoriale
Baden-Württemberg	Bade-Wurtemberg
Iritriya	Érythrée
Musuq Dilhi	New Delhi
Huwan Pawlu II	Jean-Paul II
Fedor Dostoievski	Fiodor Dostoïevski
Tbilisi	Tbilissi
Astatu	Astate
Gabun	Gabon
Mohandas Gandhi	Mohandas Karamchand Gandhi
Siq'isqa rikchasapa willakuy	Bande dessinée
Gambya	Gambie
Khiniya	Guinée
Khiniya-Wisaw	Guinée-Bissau
Marphil Chala	Côte d'Ivoire
Kamirun	Cameroun
Q'umir Kawu	Cap-Vert
Suthusuyu	Lesotho
Libirya	Liberia
Libya	Libye
Aachen	Aix-la-Chapelle
Madagaskar	Madagascar
Malawi	Malawi
Stuttgart	Stuttgart
Muritanya	Mauritanie
Mawrisyu	Maurice (pays)
Maruku	Maroc
Musambik	Mozambique
Namiwya	Namibie
Niqir	Niger
Niqirya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Ouganda
Rwanda	Rwanda
Sirkonyu	Zirconium
Santu Tumiy Prinsipipas	Sao Tomé-et-Principe
Sinigal	Sénégal
Sichillakuna	Seychelles
Carl von Linné	Carl von Linné
Liyun Urqu	Sierra Leone
Sumalya	Somalie
Niyobyu	Niobium
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Jules César
Sudan	Soudan
Swasisuyu	Swaziland
K'uychi	Arc-en-ciel
Molibdenu	Molybdène
Teknesyu	Technétium
Hamburg	Hambourg
Imayay yamkiy	Métabolisme
Unquy hark'ay	Système immunitaire
Ontario qucha	Lac Ontario
Rikch'aqyay	Évolution (biologie)
Huñusqa Nasyunkuna	Organisation des Nations unies
Hananqucha	Lac Supérieur
Dante Alighieri	Dante Alighieri
Allpa saywachi	Géographie
Sunqu	Cœur
Ñutqu	Cerveau
Qara	Peau
Llimphi	Couleur
Salerno	Salerne
Sutirimana	Substantif
Praha	Prague
Ruthenyu	Ruthénium
Rodyu	Rhodium
Anqas	Bleu
Paladyu	Palladium (chimie)
Qullqi q'illay	Argent
Kadmiyu	Cadmium
Limburg (Urasuyu) pruwinsya	Province de Limbourg (Pays-Bas)
Indyu	Indium
Chayanta	Étain
Uranyu	Uranium
Antimunyu	Antimoine
Teluryu	Tellure
Noord-Brabant pruwinsya	Brabant-Septentrional
Plutonyu	Plutonium
Yudu	Iode
Neptunyu	Neptunium
Senun	Xénon
Anime	Anime
Sesyu	Césium
Protaktinyu	Protactinium
Pinchikilla chaqna	Charge électrique
Baryu	Baryum
Thoryu	Thorium
Hafniyu	Hafnium
Aktinyu	Actinium
Tantalyu	Tantale (chimie)
Bill Clinton	Bill Clinton
Radyu q'illay	Radium
Radun	Radon
Lorraine	Lorraine
Alsace	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Auvergne	Auvergne
Busto Arsizio	Busto Arsizio
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Michigan suyu	Michigan
Michigan qucha	Lac Michigan
Bourgogne	Bourgogne
Aquitaine	Aquitaine
Burinkin	Porto Rico
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklembourg-Poméranie-Occidentale
Niedersachsen	Basse-Saxe
Nordrhein-Westfalen	Rhénanie-du-Nord-Westphalie
Hessen	Hesse (Land)
Rheinland-Pfalz	Rhénanie-Palatinat
Saarland	Sarre (Land)
Sachsen	Saxe (Land)
John Lennon	John Lennon
Illinois suyu	Illinois
Thüringen	Thuringe
Sachsen-Anhalt	Saxe-Anhalt
North Dakota suyu	Dakota du Nord
Brandenburg	Brandebourg
Bremen suyu	Brême (Land)
Lombardia	Lombardie
South Dakota suyu	Dakota du Sud
Montana suyu	Montana
Wyoming suyu	Wyoming
Piemonte	Piémont
Yerushalayim	Jérusalem
Idaho suyu	Idaho
Washington suyu	Washington (État)
Rutherfordyu	Rutherfordium
Nevada suyu	Nevada
Dubniyu	Dubnium
Seaborgyu	Seaborgium
Trentino Urin Tirul	Trentin-Haut-Adige
Indiku mama qucha	Océan Indien
Luigi Einaudi	Luigi Einaudi
Veneto	Vénétie
Kusuwu	Kosovo
Bohriyu	Bohrium
Hasyu	Hassium
Kofi Annan	Kofi Annan
Liguria	Ligurie
Butros Butros-Ghali	Boutros Boutros-Ghali
Meitneryu	Meitnérium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado suyu	Colorado
Emilia-Romagna	Émilie-Romagne
U Thant	U Thant
Darmstadtiyu	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenyu	Roentgenium
Toscana	Toscane
Kopernisyu	Copernicium
Katiguriya:Qhapaq katiguriya	Catégorie:Accueil
Abruzzo	Abruzzes
Alpikuna	Alpes
Grenoble	Grenoble
Dortmund	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtriyu	Ununtrium
Ununkwadyu	Flérovium
Ununpentyu	Ununpentium
Ununheksiyu	Livermorium
Ununseptiyu	Ununseptium
Ununoktiyu	Ununoctium
Como	Côme
Maastricht	Maastricht
Arnhem	Arnhem
Chiri mit'a	Hiver
Ch'iraw mit'a	Printemps
Ruphay mit'a	Été
Puquy mit'a	Automne
Saddam Hussein	Saddam Hussein
Kastilla simi	Espagnol
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Taki aranway	Opéra
Philadelphia (Pennsylvania)	Philadelphie
Kolkata	Calcutta
Chennai	Chennai
Dilhi	Delhi
Bangalore	Bangalore
Kunti Banla	Bengale-Occidental
Awaq uru	Araneae
Pakcha	Arachnida
Sillwichaki	Arthropode
Ruru	Fruit (botanique)
K'usillu	Singe
Rantina qullqi	Monnaie
Virginia suyu	Virginie (État)
West Virginia suyu	Virginie-Occidentale
Wata uchu	Capsicum annuum
Huron qucha	Lac Huron
New York suyu	État de New York
Seryu	Cérium
Praseodimyu	Praséodyme
Rhode Island suyu	Rhode Island
Neodimyu	Néodyme
Palama	Insecte
Maryland suyu	Maryland
Delaware suyu	Delaware
Lenin	Vladimir Ilitch Lénine
Iwrupyu	Europium
Ohio suyu	Ohio
Pennsylvania suyu	Pennsylvanie
Petrarca	Pétrarque
Giovanni Boccaccio	Boccace
Uetersen	Uetersen
Augustus	Auguste
Windows	Microsoft Windows
New Jersey suyu	New Jersey
Phinis simi	Finnois
Indiana suyu	Indiana
Antawa	Automobile
Juventus FC	Juventus Football Club
Roger Federer	Roger Federer
Georgia suyu	Géorgie (États-Unis)
Zagreb	Zagreb
Texas suyu	Texas
Tamil Nadu	Tamil Nadu
Genova	Gênes
North Carolina suyu	Caroline du Nord
South Carolina suyu	Caroline du Sud
Sicilia	Sicile
Manila	Manille
Sardegna	Sardaigne
Bordeaux	Bordeaux
Corazón Aquino	Corazon Aquino
Buenos Aires	Buenos Aires
Mishiku llaqta	Mexico
Tokyo	Tokyo
Chuqiyapu	La Paz
Barcelona	Barcelone
Chirimaway	Ananas
Mississippi suyu	Mississippi (État)
Fernão de Magalhães	Fernand de Magellan
Mississippi mayu	Mississippi (fleuve)
Mizoram	Mizoram
Pataqunya	Patagonie
Tennessee suyu	Tennessee
Richard Wagner	Richard Wagner
Astana	Astana
Musuq Mishiku suyu	Nouveau-Mexique
Athina	Athènes
Minnesota suyu	Minnesota
Bagdad	Bagdad
Karakas	Caracas
Wisconsin suyu	Wisconsin
Marcus Tullius Cicero	Cicéron
AC Milan	Associazione Calcio Milan
Iowa suyu	Iowa
Nebraska suyu	Nebraska
Watimala llaqta	Guatemala (ville)
Kansas suyu	Kansas
La Habana	La Havane
Hindi simi	Hindi
Marathi simi	Marathi (langue)
Siyaru	Cigarette
Missouri suyu	Missouri (État)
Louisiana suyu	Louisiane
Luigi Galvani	Luigi Galvani
Kentucky suyu	Kentucky
Arkansas suyu	Arkansas
Neil Armstrong	Neil Armstrong
Urdu simi	Ourdou
Oklahoma suyu	Oklahoma
Danuwyu mayu	Danube
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	Munich
Makiyasiy	Volley-ball
Innsbruck	Innsbruck
Wien	Vienne (Autriche)
København	Copenhague
Stockholm	Stockholm
Helsinki	Helsinki
Baile Átha Cliath	Dublin
Reykjavík	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt am Main	Francfort-sur-le-Main
Wrocław	Wrocław
Lanthanu	Lanthane
Prometyu	Prométhium
Samaryu	Samarium
Kaliningrad	Kaliningrad
Gadolinyu	Gadolinium
Zinedine Zidane	Zinédine Zidane
Terbyu	Terbium
Laurent Blanc	Laurent Blanc
Luksimbur (llaqta)	Luxembourg (ville)
Disprosyu	Dysprosium
Vaduz	Vaduz
Dyuspa Simin Qillqa	Bible
Holmyu	Holmium
San Marino (uma llaqta)	Ville de Saint-Marin
Erbyu	Erbium
Phnom Penh	Phnom Penh
Thulyu	Thulium
Ho Chi Minh llaqta	Hô-Chi-Minh-Ville
Iterbyu	Ytterbium
Lutesyu	Lutécium
Ha Nui	Hanoï
Chiqap Jesuspa Inlisyan	Véritable Jésus Église
Inlish simi	Anglais
Bangkok	Bangkok
Andorra la Vella	Andorre-la-Vieille
T'aypik	Taipei
Amerisyu	Américium
Kuriyu	Curium
Dong Hoi	Đồng Hới
Concepción (Chile)	Concepción (Chili)
Berkelyu	Berkélium
Kalifornyu	Californium
Bologna	Bologne
Einsteinyu	Einsteinium
Fermyu	Fermium
Cagliari	Cagliari
Mendelewyu	Mendélévium
Kiyiw	Kiev
Nobelyu	Nobélium
Catania	Catane
Ontario pruwinsya	Ontario
Lawrensyu	Lawrencium
Caserta	Caserte
Mathieu Debuchy	Mathieu Debuchy
Karim Benzema	Karim Benzema
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Jérémy Toulalan	Jérémy Toulalan
Manitoba pruwinsya	Manitoba
Alberta pruwinsya	Alberta
Nova Scotia pruwinsya	Nouvelle-Écosse
Yerevan	Erevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salam
New Brunswick pruwinsya	Nouveau-Brunswick
British Columbia pruwinsya	Colombie-Britannique
Prince Edward Island pruwinsya	Île-du-Prince-Édouard
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan pruwinsya	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Chimlasay	Dioxyde de carbone
2013	2013
2014	2014
2015	2015
Newfoundland wan Labrador pruwinsya	Terre-Neuve-et-Labrador
2008	2008
2004	2004
2005	2005
2006	2006
Cesare Pavese	Cesare Pavese
2007	2007
Verona	Vérone
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	Associazione Calcio Fiorentina
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Saint John (Newfoundland wan Labrador)	Saint-Jean de Terre-Neuve
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Mikhuna	Nourriture
Edmonton	Edmonton
Mach'aqway	Serpentes
Jacques Chirac	Jacques Chirac
Arika Parinaqutapas suyu	Région d'Arica et Parinacota
Tarapaka suyu	Région de Tarapacá
Antofagasta suyu	Région d'Antofagasta
Atakama suyu	Région d'Atacama
Kukimpu suyu	Région de Coquimbo
Regina (Saskatchewan)	Regina
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
Charlottetown	Charlottetown
Santiago suyu	Région métropolitaine de Santiago
Victoria (British Columbia)	Victoria (Colombie-Britannique)
O'Higgins suyu	Région du Libertador General Bernardo O'Higgins
Winnipeg	Winnipeg
Fredericton	Fredericton
Halifax (Nova Scotia)	Halifax (Nouvelle-Écosse)
Quebec llaqta	Québec (ville)
1 ñiqin qhulla puquy killapi	1er janvier
2 ñiqin qhulla puquy killapi	2 janvier
1920	1920
3 ñiqin qhulla puquy killapi	3 janvier
1919	1919
1921	1921
1922	1922
Mawlli suyu	Région du Maule
4 ñiqin qhulla puquy killapi	4 janvier
1923	1923
Biyubiyu suyu	Région du Biobío
