Afrika	Afrique
Februaari 19	19 février
Februaari 17	17 février
Februaari 16	16 février
Februaari 18	18 février
Februaari 20	20 février
Februaari 21	21 février
Februaari 22	22 février
Februaari 23	23 février
Februaari 24	24 février
Februaari 25	25 février
Februaari 26	26 février
Februaari 27	27 février
Februaari 28	28 février
Decemberi 11	11 décembre
Februaari 29	29 février
Decemberi 12	12 décembre
Decemberi 13	13 décembre
Decemberi 14	14 décembre
Decemberi 15	15 décembre
Martsi 2	2 mars
Martsi 3	3 mars
Martsi 5	5 mars
Martsi 1	1er mars
Martsi 7	7 mars
Martsi 8	8 mars
Martsi 4	4 mars
Martsi 10	10 mars
Martsi 11	11 mars
Martsi 6	6 mars
Martsi 13	13 mars
Martsi 9	9 mars
Martsi 12	12 mars
Martsi 15	15 mars
Martsi 14	14 mars
Decemberi 16	16 décembre
Decemberi 17	17 décembre
Kristiansand	Kristiansand
Martsi 16	16 mars
Martsi 17	17 mars
Martsi 18	18 mars
Martsi 19	19 mars
Martsi 20	20 mars
Martsi 21	21 mars
Martsi 22	22 mars
Decemberi 18	18 décembre
Martsi 23	23 mars
Decemberi 19	19 décembre
Martsi 24	24 mars
Martsi 25	25 mars
Decemberi 20	20 décembre
Martsi 26	26 mars
Martsi 27	27 mars
Martsi 28	28 mars
Martsi 29	29 mars
Martsi 30	30 mars
Martsi 31	31 mars
Sana'a	Sanaa
Apriili 15	15 avril
Apriili 13	13 avril
Apriili 12	12 avril
Apriili 14	14 avril
Apriili 11	11 avril
Apriili 10	10 avril
Apriili 8	8 avril
Apriili 9	9 avril
Apriili 7	7 avril
Apriili 6	6 avril
Apriili 5	5 avril
Apriili 4	4 avril
Apriili 3	3 avril
Apriili 1	1er avril
Apriili 2	2 avril
Apriili 16	16 avril
Apriili 17	17 avril
Apriili 18	18 avril
Apriili 19	19 avril
Apriili 20	20 avril
Apriili 21	21 avril
Apriili 22	22 avril
Apriili 23	23 avril
Apriili 24	24 avril
Apriili 25	25 avril
Apriili 26	26 avril
Apriili 27	27 avril
Apriili 28	28 avril
Apriili 29	29 avril
Apriili 30	30 avril
Maaji 1	1er mai
Maaji 2	2 mai
Maaji 3	3 mai
Maaji 4	4 mai
Maaji 5	5 mai
Maaji 6	6 mai
Maaji 7	7 mai
Maaji 8	8 mai
Maaji 9	9 mai
Maaji 10	10 mai
Maaji 11	11 mai
Maaji 12	12 mai
Maaji 13	13 mai
Maaji 14	14 mai
Maaji 15	15 mai
Maaji 16	16 mai
Maaji 17	17 mai
Maaji 18	18 mai
Maaji 19	19 mai
Maaji 20	20 mai
Maaji 21	21 mai
Maaji 22	22 mai
Maaji 23	23 mai
Maaji 24	24 mai
Maaji 25	25 mai
Maaji 26	26 mai
Maaji 27	27 mai
Maaji 28	28 mai
Maaji 29	29 mai
Maaji 30	30 mai
Maaji 31	31 mai
Decemberi 21	21 décembre
Juuni 14	14 juin
Juuni 15	15 juin
Juuni 13	13 juin
Juuni 10	10 juin
Juuni 7	7 juin
Juuni 11	11 juin
Juuni 9	9 juin
Juuni 12	12 juin
Juuni 6	6 juin
Juuni 8	8 juin
Juuni 5	5 juin
Juuni 3	3 juin
Juuni 2	2 juin
Juuni 1	1er juin
Juuni 4	4 juin
Decemberi 22	22 décembre
Juuni 16	16 juin
Juuni 30	30 juin
Juuni 29	29 juin
Juuni 28	28 juin
Juuni 26	26 juin
Juuni 25	25 juin
Juuni 22	22 juin
Juuni 27	27 juin
Juuni 24	24 juin
Juuni 20	20 juin
Juuni 23	23 juin
Juuni 19	19 juin
Juuni 18	18 juin
Juuni 21	21 juin
Juuni 17	17 juin
Decemberi 23	23 décembre
Arnold Schwarzenegger	Arnold Schwarzenegger
Juuli 15	15 juillet
Juuli 13	13 juillet
Juuli 12	12 juillet
Juuli 10	10 juillet
Juuli 9	9 juillet
Juuli 14	14 juillet
Juuli 8	8 juillet
Juuli 7	7 juillet
Juuli 6	6 juillet
Juuli 5	5 juillet
Juuli 2	2 juillet
Juuli 4	4 juillet
Juuli 3	3 juillet
Juuli 1	1er juillet
Juuli 11	11 juillet
Decemberi 24	24 décembre
Juuli 31	31 juillet
Juuli 30	30 juillet
Juuli 29	29 juillet
Juuli 28	28 juillet
Juuli 27	27 juillet
Juuli 25	25 juillet
Juuli 24	24 juillet
Juuli 23	23 juillet
Juuli 26	26 juillet
Juuli 22	22 juillet
Juuli 19	19 juillet
Juuli 21	21 juillet
Juuli 20	20 juillet
Juuli 17	17 juillet
Juuli 18	18 juillet
Juuli 16	16 juillet
Decemberi 25	25 décembre
Decemberi 26	26 décembre
Aggusti 14	14 août
Aggusti 15	15 août
Aggusti 13	13 août
Aggusti 12	12 août
Aggusti 11	11 août
Aggusti 10	10 août
Aggusti 8	8 août
Aggusti 7	7 août
Aggusti 9	9 août
Aggusti 5	5 août
Aggusti 4	4 août
Aggusti 2	2 août
Aggusti 3	3 août
Aggusti 6	6 août
Aggusti 1	1er août
Decemberi 27	27 décembre
Madrid	Madrid
Aggusti 16	16 août
Aggusti 29	29 août
Aggusti 28	28 août
Aggusti 30	30 août
Aggusti 25	25 août
Aggusti 26	26 août
Aggusti 23	23 août
Aggusti 27	27 août
Aggusti 21	21 août
Aggusti 20	20 août
Aggusti 24	24 août
Aggusti 18	18 août
Aggusti 17	17 août
Aggusti 22	22 août
Aggusti 19	19 août
Aggusti 31	31 août
Decemberi 28	28 décembre
Bogotá	Bogota
Brasilia	Brasilia
Septemberi 15	15 septembre
Septemberi 14	14 septembre
Septemberi 13	13 septembre
Septemberi 12	12 septembre
Septemberi 8	8 septembre
Septemberi 11	11 septembre
Septemberi 7	7 septembre
Septemberi 10	10 septembre
Septemberi 5	5 septembre
Septemberi 4	4 septembre
Septemberi 9	9 septembre
Septemberi 2	2 septembre
Septemberi 6	6 septembre
Septemberi 1	1er septembre
Septemberi 3	3 septembre
Decemberi 29	29 décembre
Canadami nunatat killeqarfiillu	Provinces et territoires du Canada
Septemberi 30	30 septembre
Septemberi 29	29 septembre
Septemberi 28	28 septembre
Septemberi 27	27 septembre
Septemberi 26	26 septembre
Septemberi 25	25 septembre
Santiago (Chile)	Santiago
Septemberi 23	23 septembre
Septemberi 22	22 septembre
Septemberi 24	24 septembre
Septemberi 21	21 septembre
Septemberi 20	20 septembre
Septemberi 18	18 septembre
Septemberi 17	17 septembre
Septemberi 19	19 septembre
Septemberi 16	16 septembre
Decemberi 30	30 décembre
Sucre	Sucre (Bolivie)
Decemberi 31	31 décembre
Oktoberi 1	1er octobre
Oktoberi 15	15 octobre
Oktoberi 12	12 octobre
Oktoberi 10	10 octobre
Oktoberi 14	14 octobre
Oktoberi 9	9 octobre
Oktoberi 8	8 octobre
Oktoberi 13	13 octobre
Oktoberi 7	7 octobre
Oktoberi 11	11 octobre
Oktoberi 6	6 octobre
Oktoberi 4	4 octobre
Oktoberi 5	5 octobre
Oktoberi 3	3 octobre
Oktoberi 2	2 octobre
Oktoberi 31	31 octobre
Oktoberi 30	30 octobre
Oktoberi 29	29 octobre
Oktoberi 28	28 octobre
Oktoberi 26	26 octobre
Oktoberi 25	25 octobre
Oktoberi 24	24 octobre
Oktoberi 27	27 octobre
Oktoberi 22	22 octobre
Oktoberi 23	23 octobre
Oktoberi 20	20 octobre
Oktoberi 21	21 octobre
Oktoberi 19	19 octobre
Oktoberi 17	17 octobre
Oktoberi 16	16 octobre
Oktoberi 18	18 octobre
Novemberi 15	15 novembre
Novemberi 14	14 novembre
Novemberi 13	13 novembre
Novemberi 12	12 novembre
Novemberi 11	11 novembre
Novemberi 10	10 novembre
Novemberi 7	7 novembre
Novemberi 8	8 novembre
Novemberi 9	9 novembre
Novemberi 6	6 novembre
Novemberi 5	5 novembre
Novemberi 4	4 novembre
Novemberi 3	3 novembre
Novemberi 2	2 novembre
Novemberi 1	1er novembre
Novemberi 30	30 novembre
Novemberi 29	29 novembre
Novemberi 28	28 novembre
Novemberi 27	27 novembre
Novemberi 26	26 novembre
Novemberi 25	25 novembre
Novemberi 23	23 novembre
Novemberi 24	24 novembre
Novemberi 21	21 novembre
Novemberi 20	20 novembre
Novemberi 22	22 novembre
Novemberi 19	19 novembre
Novemberi 18	18 novembre
Novemberi 17	17 novembre
Novemberi 16	16 novembre
Canberra	Canberra
Sydney	Sydney
Melbourne	Melbourne
Tripoli	Tripoli (Libye)
Angol	Angol
Antofagasta	Antofagasta
Tehran	Téhéran
Jakarta	Jakarta
Ankara	Ankara
Riyadh	Riyad
Chiguayante	Chiguayante
Damascus	Damas
Chillán	Chillán
Amman	Amman
Coyhaique	Coyhaique
Beirut	Beyrouth
Masqat, Oman	Mascate
Nicosia	Nicosie
Doha	Doha
Dodoma	Dodoma
Copiapó	Copiapó
Nairobi	Nairobi
Manama	Manama
Kampala	Kampala
Antananarivo	Antananarivo
Osasco	Osasco (Brésil)
Mittarfik Dong Hoi	Aéroport de Đồng Hới
Arusha	Arusha
Kuritiba	Curitiba
Talca, Chile	Talca
Rancagua, Chile	Rancagua
Konfusiusi	Confucius
Corbin Bleu	Corbin Bleu
Sumut atassuseq:Matematikki	Catégorie:Mathématiques
Savalimmiut	Îles Féroé
Surat	Surate
Hangzhou	Hangzhou
Céline Dion	Céline Dion
Nunavissuaq	Continent
Illoqarfiit pingaarnersaat	Capitale
Monzón	Monzón
Ukiup qaammatai	Mois
Almazán	Almazán
Japanimiusut	Japonais
Encyklopædi	Encyclopédie
Saqqaa	Wikipédia:Accueil principal
Eurasia	Eurasie
Francisco Goya	Francisco de Goya
Tatarstan	Tatarstan
Salvador Dalí	Salvador Dalí
Vincent van Gogh	Vincent van Gogh
Henri Matisse	Henri Matisse
Michelangelo	Michel-Ange
Pablo Picasso	Pablo Picasso
Raphael	Raphaël (peintre)
Rembrandt	Rembrandt
Jericho	Jéricho
Bethlehem	Bethléem
Mekka	La Mecque
Xi'an	Xi'an
Kabul	Kaboul
Inuunerup isumalerineq	Philosophie
Sumut atassuseq:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Medan	Medan
Hebe Camargo	Hebe Camargo
Seinäjoki	Seinäjoki
Montpellier	Montpellier
Guovdageaidnu	Kautokeino
Airbus A330	Airbus A330
Sumut atassuseq:Ullorissanik ilisimatusarneq	Catégorie:Astronomie
Strasbourg	Strasbourg
Ekutaq	République de Sakha
Guitar	Guitare
Dijon	Dijon
Økologi	Écologie
Politikki	Politique
Naalakkersueriaaseq	Gouvernement
Nagguaatsoq	Éléphant
Sevastopol	Sébastopol
Angallassissutit	Transport
Inuttut pisinnaatitaafiit pillugit silarsuarmioqatigiinut nalunaarut	Déclaration universelle des droits de l'homme
WHO	Organisation mondiale de la santé
Swahilimiutut	Swahili
Kineserisut (oqaatsit)	Langues chinoises
Toulouse	Toulouse
Malagassiskisut	Malgache
Qagiirgiin	Anadyr (ville)
Leksikoni	Lexique
Palembang	Palembang
Suliffissualerineq	Industrie
Sumut atassuseq:Bulgaria	Catégorie:Bulgarie
Sumut atassuseq:Frankrigi	Catégorie:France
Sumut atassuseq:Nipilersorneq	Catégorie:Musique
Ilinniartitaaneq	Éducation
Hongkong	Hong Kong
Karachi	Karachi
Seoul	Séoul
Shanghai	Shanghai
Internetprotokol	Internet Protocol
Ukrainimiusut	Ukrainien
Cancún	Cancún
Guadalajara (Jalisco)	Guadalajara (Mexique)
Svenskisuut	Suédois
Qallunaatut	Danois
Slovakimiusut	Slovaque
Estlandimiutut	Estonien
Letlandimiutut	Letton
Litauenimiutut	Lituanien
Isarukitsoq	Manchot
Farsimiutut	Persan
Upperisarsiorneq	Religion
Koreamiusut	Coréen
Vietnamimiusut	Vietnamien
Thailandimiutut	Thaï
Indonesiamiutut	Indonésien
Mongoliamiutut	Mongol
Juutit	Judaïsme
Hebraimiutut	Hébreu
Aserbajdsjaniskisut	Azéri
Tarnip ilinniarnera	Psychologie
Taoisme	Taoïsme
Bengalimiutut	Bengali
Ukiuunerani OL 2010	Jeux olympiques d'hiver de 2010
Ronald Reagan	Ronald Reagan
Serang	Serang
Tangerang	Tangerang
Sasaskisut	Zazaki
Bandung	Bandung
Bekasi	Bekasi
Depok	Depok
Saskatoon	Saskatoon
Tórshavn	Tórshavn
Ingeniørilerineq	Ingénierie
Attaveqaqatigiinneq	Communication
Oqarasuaat	Téléphone
Kulturi	Culture
Aritmetikki	Arithmétique
Sumut atassuseq:Brazil	Catégorie:Brésil
Nikerartuusisitsineq	Image animée
Nunaateqarneq	Agriculture
Surabaya	Surabaya
Taparneq	Danse
Innallangialerineq	Électronique
Silasiorneq	Temps (météorologie)
Shenyang	Shenyang
Chongqing	Chongqing
Tianjin	Tianjin
Lahore	Lahore
Wuhan	Wuhan
Silarsuarmi nunat	Liste des pays du monde
Nagoya	Nagoya
Ursidae	Ursidae
Ullorsiut	Calendrier
Gregorianskit ullorsiutaat	Calendrier grégorien
Peqqinneq	Santé
Nantes	Nantes
Brest	Brest
Ilisserut:Kortpositioner Islandi	Modèle:Géolocalisation/Islande
Ilisserut:Kortpositioner Norge	Modèle:Géolocalisation/Norvège
Ilisserut:Kortpositioner Danmarki	Modèle:Géolocalisation/Danemark
Ilisserut:Kortpositioner Litaueni	Modèle:Géolocalisation/Lituanie
Ilisserut:Kortpositioner Franskit Nunaat	Modèle:Géolocalisation/France
Ilisserut:Kortpositioner Andorra	Modèle:Géolocalisation/Andorre
Ilisserut:Kortpositioner Spania	Modèle:Géolocalisation/Espagne
Ilusilersugaaneq	Architecture
Ilisserut:Kortpositioner Poleni	Modèle:Géolocalisation/Pologne
Ilisserut:Kortpositioner Tjekkia	Modèle:Géolocalisation/République tchèque
Malgrat de Mar	Malgrat de Mar
Hualqui	Hualqui
Ilisserut:Kortpositioner Grønland	Modèle:Géolocalisation/Groenland
Arabiamiutut	Arabe
Tartu	Tartu
Iquique	Iquique
La Serena	La Serena
Makassar	Makassar (ville)
Erfalasoq	Drapeau
Brno	Brno
Qungasersooq	Girafe
Shenzhen	Shenzhen
Queen	Queen
Franche-Comté	Franche-Comté
Wikipedia:Anbefalet	Wikipédia:Articles de qualité
Wikipedia:Katersortarfik	Wikipédia:Le Bistro
Busan	Busan
Guangzhou	Canton (Chine)
Nanjing	Nankin
ABBA	ABBA
Amaroq	Canis lupus
Pyongyang	Pyongyang
Bien Hoa	Biên Hòa
San Pedro de la Paz	San Pedro de la Paz
Nha Trang	Nha Trang
Simferopol	Simferopol
Bukarest	Bucarest
Tirana	Tirana
Motorhead	Motörhead
Ukioq ilassutilik	Année bissextile
Suwon	Suwon
Daejeon	Daejeon
Daegu	Daegu
Incheon	Incheon
Falköping	Falköping
Skövde	Skövde
Enköping	Enköping
Varberg	Varberg
Piteå	Piteå
Viborg	Viborg
Næstved	Næstved
Sønderborg	Sønderborg
Fredericia	Fredericia
Hjørring	Hjørring
Vung Tau	Vũng Tàu
Qarasaasialerinermik ilisimatusarneq	Informatique
Jean Dominique Ingres	Jean-Auguste-Dominique Ingres
Cervidae	Cervidae
Ataatarpooq	Notre Père
Inuup ineriartorneranik ilisimatusarneq	Anthropologie
Ulan Bator	Oulan-Bator
Marseille	Marseille
Moshchena	Mochtchena
Ittarnisarsiorneq	Archéologie
Paltoga	Paltoga
Entrena	Entrena
Wellington	Wellington
Inuiaqatigiinni erinaq	Hymne national
Palæstina	Palestine
Vancouver	Vancouver
Mittarfik Cam Ranh	Aéroport de Cam Ranh
Svalbard	Svalbard
Benetice	Benetice (Světlá nad Sázavou)
Savalimmiutut	Féroïen
Ca Mau	Cà Mau
Da Lat	Đà Lạt
Uppsala	Uppsala
Göteborg	Göteborg
Racibórz	Racibórz
Phan Thiet	Phan Thiết
Aarhus	Aarhus
Odense	Odense
Qeerlutooq	Canard colvert
Kalaallisut	Groenlandais
Jylland	Jutland
Aalborg	Aalborg
Helsingborg	Helsingborg
Västerås	Västerås
Linköping	Linköping
Jönköping	Jönköping
Stavanger	Stavanger
Oqaatsoq	Grand Cormoran
Karlstad	Karlstad
Mölnlycke	Mölnlycke
Sjælland	Seeland (Danemark)
Umeå	Umeå
Qussuk	Cygne chanteur
Norrköping	Norrköping
Örebro	Örebro
Gävle	Gävle
Karlskrona	Karlskrona
Trondheim	Trondheim
Kaniina	Leporidae
Borås	Borås
Tromsø	Tromsø
Växjö	Växjö
Esbjerg	Esbjerg
Luleå	Luleå
Kalmar	Kalmar (Kalmar)
Appaliarsuk	Mergule nain
Sundsvall	Sundsvall
Eskilstuna	Eskilstuna
Fyn	Fionie
Falun	Falun (Dalécarlie)
Östersund	Östersund
Södertälje	Södertälje
Halmstad	Halmstad
Drammen	Drammen
Roskilde	Roskilde
Zahlé	Zahlé
Thai Nguyen	Thái Nguyên
Ciudad Juárez	Ciudad Juárez
Fukuoka	Fukuoka
Qarsaaq	Plongeon catmarin
Bergen (Norge)	Bergen (Norvège)
Aarluk	Orque
Helsingør	Elseneur
Taliffak	Tournepierre à collier
Qaqulluk	Fulmar boréal
Kristianstad	Kristianstad
Trelleborg	Trelleborg
Niisa	Marsouin commun
Apparluk	Petit Pingouin
Vejle	Vejle
Kolding	Kolding
Herning	Herning
Mölndal	Mölndal
Uddevalla	Uddevalla
Frederikshavn	Frederikshavn
Kungälv	Kungälv
Afrika-Eurasia	Afro-Eurasie
Ippernaq	Nematocera
Ystad	Ystad
Kungsbacka	Kungsbacka
Lahti	Lahti
Akureyri	Akureyri
Augusto De Luca	Augusto De Luca
Chengdu	Chengdu
Nyborg	Nyborg
Pinnipedia	Pinnipède
Zhengzhou	Zhengzhou
Pleiku	Pleiku
Kraków	Cracovie
Invercargill	Invercargill
Siutitooq nimeruaartoq	Zèbre
Drake	Drake (chanteur)
Long Xuyen	Long Xuyên
My Tho	Mỹ Tho
Vinh	Vinh
Buon Ma Thuot	Buôn Ma Thuột
Nanoq	Ours blanc
Kasjubiskisut	Cachoube
Tel Aviv	Tel Aviv-Jaffa
Nice	Nice
Valparaíso	Valparaiso
Georges Seurat	Georges Seurat
Imermiutarsuaq	Hippopotamus amphibius
Kyoto	Kyoto
Siissisoq	Rhinocéros
Grækerit oqaluttuatoqqanik	Mythologie grecque
Inooqatigiinnik ilisimatusarneq	Sciences humaines et sociales
Tequixquiac	Tequixquiac
Luxembourg	Luxembourg
Kuwait Illoqarfik	Koweït (ville)
Medina	Médine
Afrodite	Aphrodite
Tuttorpak	Alces alces
Osaka	Osaka
