Afrika	Afrique
Sofia	Sofia
Derval	Derval (Loire-Atlantique)
Voina tao Chernobyl	Catastrophe nucléaire de Tchernobyl
Arthur Rimbaud	Arthur Rimbaud
Tay	Matière fécale
Fory	Anus
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Akondro	Banane
Émile Zola	Émile Zola
Vladimir Vysotsky	Vladimir Vyssotski
Tanàna	Ville
Napoleon	Napoléon Ier
Kintana	Étoile
Masoandro	Soleil
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Taon-kazavana	Année-lumière
Victor Hugo	Victor Hugo
Oseania	Océanie
Giuseppe Garibaldi	Giuseppe Garibaldi
Rafitry ny masoandro	Système solaire
Ranomasina Baltika	Mer Baltique
Nify	Dent
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Famoaham-peo	Haut-parleur
Boky	Livre (document)
Jorge Alessandri Rodríguez	Jorge Alessandri Rodríguez
Oslo	Oslo
Katowice	Katowice
Luís de Camões	Luís de Camões
Lisbon	Lisbonne
Lionel Messi	Lionel Messi
Nicolas Copernic	Nicolas Copernic
Karbônina	Carbone
Alessandro Del Piero	Alessandro Del Piero
Ôksizenina	Oxygène
Fajiry	Planète
Cléopâtre VII	Cléopâtre VII
Mozika	Musique
Lille	Lille
Môsikao	Moscou
Fiteny italiana	Italien
Tsady	Tchad
Viraty	Aluminium
India	Inde
Silisiôma	Silicium
André-Marie Ampère	André-Marie Ampère
Vy	Fer
Alessandro Volta	Alessandro Volta
Samoa	Samoa
Nosy Solomona	Salomon (pays)
Vanoato	Vanuatu
Molière	Molière
Papoa Ginea Vao	Papouasie-Nouvelle-Guinée
William Shakespeare	William Shakespeare
Palao	Palaos
Naoro	Nauru
Mozilla Firefox	Mozilla Firefox
Angano	Conte
Mongolia	Mongolie
Fiji	Fidji
Stevie Wonder	Stevie Wonder
Venezoela	Venezuela
Saginaw, Michigan	Saginaw (Michigan)
Maine	Maine (État)
Soavaly	Cheval
Fitaovam-piadiana	Arme
Biby	Animal
Sorinama	Suriname
Paragoay	Paraguay
Kanto	Art
Ekoadôra	Équateur (pays)
Kolombia	Colombie
Jean Racine	Jean Racine
Pierre Corneille	Pierre Corneille
Bolivia	Bolivie
Zavamaniry	Plante
New Hampshire	New Hampshire
Léonard de Vinci	Léonard de Vinci
Masina Kitts sy Nevis	Saint-Christophe-et-Niévès
Dario Fo	Dario Fo
Jamaika	Jamaïque
Massachusetts	Massachusetts
Goatemala	Guatemala
Bahamasy	Bahamas
Connecticut	Connecticut
Antigua sy Barbuda	Antigua-et-Barbuda
Hawaii	Hawaï
Hôndorasy	Honduras
Ranomasimbe Arktika	Océan Arctique
Haiti	Haïti
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu	Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu
Salvador	Salvador
Iran	Iran
Iraka	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Israely	Israël
Panama	Panama
Yemen	Yémen
Fiteny poloney	Polonais
Jordania	Jordanie
Nikaragoa	Nicaragua
Florida	Floride
Arizona	Arizona
Laôsa	Laos
Libana	Liban
Oregon	Oregon
Maldiva	Maldives
Amerika	Amérique
Utah	Utah
Malezia	Malaisie
Mikhail Bulgakov	Mikhaïl Boulgakov
Myanmara	Birmanie
Nepal	Népal
Omàna	Oman
Katara	Qatar
François Villon	François Villon
MySQL	MySQL
Arabia Saodita	Arabie saoudite
Andreï Tarkovski	Andreï Tarkovski
Sri Lanka	Sri Lanka
Joseph Stalin	Joseph Staline
Siria	Syrie
Plato	Platon
Joseph Brodsky	Joseph Brodsky
Taiwan	Taïwan
Aristotle	Aristote
Tailandy	Thaïlande
Fiarandalamby	Train
Radiô	Radiodiffusion
Meryl Streep	Meryl Streep
Vietnam	Viêt Nam
Charlie Chaplin	Charlie Chaplin
Korea Atsimo	Corée du Sud
Józef Piłsudski	Józef Piłsudski
Ny Simpsons	Les Simpson
Afganistana	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Volamena	Or
Lakandranon'i Suez	Canal de Suez
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Mali	Mali
Socrates	Socrate
Angola	Angola
Botàna	Bhoutan
Twitter	Twitter
Boroney	Brunei
Tanzania	Tanzanie
Filipina	Philippines
Repoblikan'i Afrika Afovoany	République centrafricaine
Tendrontany Avaratra	Pôle Nord
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Pedro I an'i Brazila	Pierre Ier (empereur du Brésil)
Togo	Togo
Tonizia	Tunisie
John Bardeen	John Bardeen
Beijing	Pékin
Benina	Bénin
Botsoana	Botswana
Komaoro	Comores (pays)
Repoblikan'i Kongo	République du Congo
Repoblika Demokratikan'i Kongo	République démocratique du Congo
San Antonio	San Antonio
Jibotia	Djibouti
Ginea Ekoatorialy	Guinée équatoriale
Eritrea	Érythrée
New Delhi	New Delhi
Joany Paoly II	Jean-Paul II
Fyodor Dostoyevsky	Fiodor Dostoïevski
Tbilisi	Tbilissi
Andreï Sakharov	Andreï Sakharov
Gabona	Gabon
Mohandas Karamchand Gandhi	Mohandas Karamchand Gandhi
Gambia	Gambie
Ginea	Guinée
Ginea-Bissau	Guinée-Bissau
Côte d'Ivoire	Côte d'Ivoire
Kamerona	Cameroun
Cabo Verde	Cap-Vert
Lesoto	Lesotho
Liberia	Liberia
Libia	Libye
Madagasikara	Madagascar
Malawi	Malawi
Maoritania	Mauritanie
Maorisy	Maurice (pays)
Marôka	Maroc
Mozambika	Mozambique
Namibia	Namibie
France Prešeren	France Prešeren
Nizeria	Nigeria
Charles Darwin	Charles Darwin
Oganda	Ouganda
Roanda	Rwanda
Senegala	Sénégal
Seychelles	Seychelles
Carl von Linné	Carl von Linné
Sierra Leone	Sierra Leone
Somalia	Somalie
Jawaharlal Nehru	Jawaharlal Nehru
Joliosy Kaisara	Jules César
Sodana	Soudan
Soazilandy	Swaziland
Gujarat	Gujarat
Firenena Mikambana	Organisation des Nations unies
Dante Alighieri	Dante Alighieri
Ahmedabad	Ahmedabad
Jeografia	Géographie
Bill Clinton	Bill Clinton
Indira Gandhi	Indira Gandhi
Hector Berlioz	Hector Berlioz
Jamnagar	Jamnagar
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Goa	Goa
Maurice Ravel	Maurice Ravel
Puerto Rico	Porto Rico
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Manipur	Manipur
John Lennon	John Lennon
Illinois	Illinois
Dakôta Avaratra	Dakota du Nord
Dakota Atsimo	Dakota du Sud
Montana	Montana
Wyoming	Wyoming
Jerusalem	Jérusalem
Idaho	Idaho
Washington	Washington (État)
Bruce Springsteen	Bruce Springsteen
Nevada	Nevada
Ranomasimbe Indiana	Océan Indien
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Kolorado	Colorado
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Blaise Pascal	Blaise Pascal
Chicago	Chicago
The Beatles	The Beatles
Lohataona	Printemps
Fararano	Automne
Saddam Hussein	Saddam Hussein
Osama Bin Laden	Oussama ben Laden
Fiteny espaniola	Espagnol
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh
Philadelphia	Philadelphie
Kolkata	Calcutta
Chennai	Chennai
Faritan'i Delhi	Delhi
Bangalore	Bangalore
Bengaly andrefana	Bengale-Occidental
Hyderabad, India	Hyderabad
Voankazo	Fruit (botanique)
Vola	Monnaie
Virjinia	Virginie (État)
West Virginia	Virginie-Occidentale
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Ilitch Lénine
Ohio	Ohio
Virgil	Virgile
Nicolas Machiavel	Nicolas Machiavel
Pennsylvania	Pennsylvanie
Petrarch	Pétrarque
Giovanni Boccaccio	Boccace
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Auguste	Auguste
Windows	Microsoft Windows
Tiberius	Tibère
New Jersey	New Jersey
Caligula	Caligula
Indiana	Indiana
Fiarakodia	Automobile
Domitian	Domitien
Trajan	Trajan
Roger Federer	Roger Federer
Georgia (U.S. state)	Géorgie (États-Unis)
Antoninus Pius	Antonin le Pieux
Marcus Aurelius	Marc Aurèle
Zagreb	Zagreb
Rajasthan	Rajasthan
Texas	Texas
Tamil Nadu	Tamil Nadu
North Carolina	Caroline du Nord
Karôlina Antsimo	Caroline du Sud
Manille	Manille
Ferdinand Marcos	Ferdinand Marcos
Quezon City	Quezon City
Le Mans	Le Mans
Bordeaux	Bordeaux
Corazon Aquino	Corazon Aquino
Buenos Aires	Buenos Aires
Mexico	Mexico
Tokyo	Tokyo
Barselona	Barcelone
Mississippi	Mississippi (État)
Ferdinand Magellan	Fernand de Magellan
Mississipi (renirano)	Mississippi (fleuve)
Uttarakhand	Uttarakhand
Sikkim	Sikkim
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Nagpur	Nagpur
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Astana	Astana
New Mexico	Nouveau-Mexique
Ramesses II	Ramsès II
Athens	Athènes
Minnesota	Minnesota
Baghdad	Bagdad
Wisconsin	Wisconsin
Pune	Pune
Cicero	Cicéron
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Havana	La Havane
Fiteny hindi	Hindi
Misoria	Missouri (État)
Georg Ohm	Georg Ohm
Louisiana	Louisiane
Luigi Galvani	Luigi Galvani
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Fiteny urdu	Ourdou
Charles Lindbergh	Charles Lindbergh
Sigfrid Edström	Sigfrid Edström
Édith Piaf	Édith Piaf
Adriaan Paulen	Adriaan Paulen
Oklahoma	Oklahoma
Jacques Brel	Jacques Brel
Jason Richardson	Jason Richardson (basket-ball)
Ranomasina Avaratra	Mer du Nord
Serge Gainsbourg	Serge Gainsbourg
Madonna	Madonna
Kaopenagy	Copenhague
Stockholm	Stockholm
Helsinki	Helsinki
Reykjavík	Reykjavik
Tallinn	Tallinn
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Franckfort/Main	Francfort-sur-le-Main
Zinedine Zidane	Zinédine Zidane
Laurent Blanc	Laurent Blanc
Katolisisma	Catholicisme
Vaduz	Vaduz
Baiboly	Bible
Phnom Penh	Phnom Penh
Hô-Chi-Minh-Ville	Hô-Chi-Minh-Ville
Hanoi	Hanoï
Tena Fiangonan'i Jesoa	Véritable Jésus Église
Fiteny anglisy	Anglais
Bangkok	Bangkok
Andorra la Vella	Andorre-la-Vieille
Taipei	Taipei
Đồng Hới	Đồng Hới
Corentin Martins	Corentin Martins
Concepción	Concepción (Chili)
Sabri Lamouchi	Sabri Lamouchi
Jürgen Locadia	Jürgen Locadia
Diplaomasia	Diplomatie
Memphis Depay	Memphis Depay
Kiev	Kiev
Ontario	Ontario
Hugo Lloris	Hugo Lloris
Mathieu Debuchy	Mathieu Debuchy
Adil Rami	Adil Rami
Yohan Cabaye	Yohan Cabaye
Olivier Giroud	Olivier Giroud
Karim Benzema	Karim Benzema
Florent Malouda	Florent Malouda
Laurent Koscielny	Laurent Koscielny
Patrice Évra	Patrice Évra
Philippe Mexès	Philippe Mexès
Franck Ribéry	Franck Ribéry
Mathieu Valbuena	Mathieu Valbuena
Samir Nasri	Samir Nasri
Blaise Matuidi	Blaise Matuidi
Anthony Réveillère	Anthony Réveillère
Jérémy Ménez	Jérémy Ménez
Steve Mandanda	Steve Mandanda
Yann M'Vila	Yann M'Vila
Alou Diarra	Alou Diarra
Marvin Martin	Marvin Martin
Hatem Ben Arfa	Hatem Ben Arfa
Gaël Clichy	Gaël Clichy
Ottawa	Ottawa
Cédric Carrasso	Cédric Carrasso
Sidney Govou	Sidney Govou
Éric Abidal	Éric Abidal
Djibril Cissé	Djibril Cissé
William Gallas	William Gallas
Bacary Sagna	Bacary Sagna
Nicolas Anelka	Nicolas Anelka
André-Pierre Gignac	André-Pierre Gignac
Sébastien Squillaci	Sébastien Squillaci
Abou Diaby	Abou Diaby
Jérémy Toulalan	Jérémy Toulalan
Yerevan	Erevan
Hermann Maier	Hermann Maier
Końskowola	Końskowola
Dar es Salam	Dar es Salam
Khartoum	Khartoum
2006	2006
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Titus Livius	Tite-Live
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
Seneca the Younger	Sénèque
Juan Manuel Fangio	Juan Manuel Fangio
1914	1914
1915	1915
1997	1997
Sakafo	Nourriture
Jacques Chirac	Jacques Chirac
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
Halifax	Halifax (Nouvelle-Écosse)
Québec (tanàna)	Québec (ville)
1920	1920
Tacitus	Tacite
1921	1921
1922	1922
1923	1923
Lance Armstrong	Lance Armstrong
1924	1924
Georges Pompidou	Georges Pompidou
6 Janoary	6 janvier
9 Janoary	9 janvier
10 Janoary	10 janvier
11 Janoary	11 janvier
13 Janoary	13 janvier
15 Janoary	15 janvier
Tom Hanks	Tom Hanks
17 Janoary	17 janvier
19 Janoary	19 janvier
23 Janoary	23 janvier
Empira Romana	Empire romain
25 Janoary	25 janvier
Minsk	Minsk
26 Janoary	26 janvier
29 Janoary	29 janvier
30 Janoary	30 janvier
31 Janoary	31 janvier
Pink Floyd	Pink Floyd
Kurów	Kurów
5 Febroary	5 février
7 Febroary	7 février
8 Febroary	8 février
9 Febroary	9 février
10 Febroary	10 février
Simia	Chimie
Led Zeppelin	Led Zeppelin
14 Febroary	14 février
13 Febroary	13 février
15 Febroary	15 février
11 Febroary	11 février
12 Febroary	12 février
Robin van Persie	Robin van Persie
23 Febroary	23 février
25 Febroary	25 février
27	27
12 Desambra	12 décembre
Civilization III	Civilization III
Sid Meier's Civilization IV	Civilization IV
4 Martsa	4 mars
21 Martsa	21 mars
1982	1982
Mogadishu	Mogadiscio
24 Martsa	24 mars
26 Martsa	26 mars
29 Martsa	29 mars
Sana'a	Sanaa
1972	1972
Tarawa	Tarawa
Konrad Adenauer	Konrad Adenauer
Benoît XVI	Benoît XVI
Ludwig Erhard	Ludwig Erhard
Kurt Georg Kiesinger	Kurt Georg Kiesinger
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
21 Aprily	21 avril
Gerhard Schröder	Gerhard Schröder
1 Mey	1er mai
6 Mey	6 mai
13 Mey	13 mai
Messier 86	M86
22 Mey	22 mai
25 Mey	25 mai
29 Mey	29 mai
31 Mey	31 mai
Matthew Vaughn	Matthew Vaughn
Paul McCartney	Paul McCartney
Erich Honecker	Erich Honecker
15 Jiona	15 juin
10 Jiona	10 juin
12 Jiona	12 juin
3 Jiona	3 juin
30 Jiona	30 juin
29 Jiona	29 juin
26 Jiona	26 juin
22 Jiona	22 juin
27 Jiona	27 juin
23 Desambra	23 décembre
Emperora Wilhelm II	Guillaume II (empereur allemand)
Arnold Schwarzenegger	Arnold Schwarzenegger
12 Jolay	12 juillet
10 Jolay	10 juillet
9 Jolay	9 juillet
14 Jolay	14 juillet
8 Jolay	8 juillet
7 Jolay	7 juillet
6 Jolay	6 juillet
4 Jolay	4 juillet
1 Jolay	1er juillet
11 Jolay	11 juillet
Baolina kitra	Football
Louis de Funès	Louis de Funès
Bourvil	Bourvil
Jaroslav Hašek	Jaroslav Hašek
12 Aogositra	12 août
10 Aogositra	10 août
8 Aogositra	8 août
9 Aogositra	9 août
4 Aogositra	4 août
2 Aogositra	2 août
3 Aogositra	3 août
1 Aogositra	1er août
Brothers Grimm	Jacob et Wilhelm Grimm
IPad	IPad
Madrid	Madrid
Elton John	Elton John
16 Aogositra	16 août
Coca-Cola	Coca-Cola
25 Aogositra	25 août
21 Aogositra	21 août
24 Aogositra	24 août
Michael Jackson	Michael Jackson
Gripa	Grippe
Bogotá	Bogota
Brasília	Brasilia
4 Septambra	4 septembre
1 Septambra	1er septembre
Lima	Lima
25 Septambra	25 septembre
Santiago	Santiago
24 Septambra	24 septembre
21 Septambra	21 septembre
Quito	Quito
Sucre	Sucre (Bolivie)
1 Oktobra	1er octobre
15 Oktobra	15 octobre
12 Oktobra	12 octobre
10 Oktobra	10 octobre
14 Oktobra	14 octobre
9 Oktobra	9 octobre
8 Oktobra	8 octobre
13 Oktobra	13 octobre
7 Oktobra	7 octobre
11 Oktobra	11 octobre
6 Oktobra	6 octobre
4 Oktobra	4 octobre
5 Oktobra	5 octobre
3 Oktobra	3 octobre
2 Oktobra	2 octobre
Asunción	Asuncion
22 Oktobra	22 octobre
23 Oktobra	23 octobre
20 Oktobra	20 octobre
21 Oktobra	21 octobre
19 Oktobra	19 octobre
16 Oktobra	16 octobre
9 Novambra	9 novembre
6 Novambra	6 novembre
4 Novambra	4 novembre
3 Novambra	3 novembre
2 Novambra	2 novembre
1 Novambra	1er novembre
Paramaribo	Paramaribo
22 Novambra	22 novembre
Charlemagne	Charlemagne
Loire-Atlantique	Loire-Atlantique
San José, Costa Rica	San José (Costa Rica)
Ain	Ain (département)
Aisne	Aisne (département)
Vosges	Vosges (département)
San Salvador	San Salvador (Salvador)
Allier	Allier (département)
Canberra	Canberra
Jura (departemanta)	Jura (département)
Hautes-Alpes	Hautes-Alpes
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Alpes-Maritimes	Alpes-Maritimes
Archèche	Ardèche (département)
Ardennes (departemanta)	Ardennes (département)
Jackie Stewart	Jackie Stewart
Voankazavana	Photon
Aveyron	Aveyron (département)
Valesa Atsimo Vaovao	Nouvelle-Galles du Sud
Soson-drivotry ny tany	Atmosphère terrestre
Tegucigalpa	Tegucigalpa
Bouches-du-Rhône	Bouches-du-Rhône
Cantal	Cantal (département)
Charente	Charente (département)
Charente-Maritime	Charente-Maritime
Cher (departemanta)	Cher (département)
Corrèze	Corrèze (département)
Haute-Corse	Haute-Corse
George Orwell	George Orwell
Corse-du-Sud	Corse-du-Sud
Côte-d'Or	Côte-d'Or
Creuse	Creuse (département)
Dordogne	Dordogne (département)
Doubs	Doubs (département)
Drôme	Drôme (département)
Essonne	Essonne (département)
Eure	Eure (département)
Eure-et-Loir	Eure-et-Loir
Finistère	Finistère
Alpha Lyrae	Véga
Rabat	Rabat
Algiers	Alger
Bussières, Loire	Bussières (Loire)
Tripoli	Tripoli (Libye)
Roanne	Roanne
Teheran	Téhéran
Addis Ababa	Addis-Abeba
Jakarta	Jakarta
Asmara	Asmara
N'Djamena	N'Djaména
Dennis Lawrence	Dennis Lawrence
Riyadh	Riyad
Dakar	Dakar
Conakry	Conakry
Bissau	Bissau
Sokajy:Endrika	Catégorie:Espace Modèle
Praia	Praia
Accra	Accra
Damaskosy	Damas
Yamoussoukro	Yamoussoukro
Quentin Tarantino	Quentin Tarantino
Ouagadougou	Ouagadougou
Freetown	Freetown
Amazôna	Amazone (fleuve)
Abuja	Abuja
Porto-Novo	Porto-Novo
Amman	Amman
Malabo	Malabo
Libreville	Libreville
Masqat	Mascate
Kinshasa	Kinshasa
Bujumbura	Bujumbura
Nicosia	Nicosie
Kigali	Kigali
Doha	Doha
Dodoma	Dodoma
Nairobi	Nairobi
Lilongwe	Lilongwe
Lusaka	Lusaka
Manama	Manama
Maputo	Maputo
Kampala	Kampala
Luanda	Luanda
Mbabane	Mbabane
Maseru	Maseru
Antananarivo	Antananarivo
Kalimantan Andrefana	Kalimantan occidental
Oniversite	Université
Gaborone	Gaborone
Harare	Harare
Grace Kelly	Grace Kelly
Port Louis	Port-Louis (Maurice)
São Tomé	São Tomé (ville)
Windhoek	Windhoek
Kinta-mazavabe	Supernova
Victoria, Seychelles	Victoria (Seychelles)
Trano	Maison
Hardware	Matériel informatique
Aljebra	Algèbre
Renirano	Rivière
Osasco	Osasco (Brésil)
Eschweiler	Eschweiler (Allemagne)
Franciszek Smuda	Franciszek Smuda
Seranam-piaramanidina Dong Hoi	Aéroport de Đồng Hới
Habakabaka	Espace (cosmologie)
Bernard Lacombe	Bernard Lacombe
Fleury Di Nallo	Fleury Di Nallo
Serge Chiesa	Serge Chiesa
Michel Platini	Michel Platini
Pierre Abélard	Pierre Abélard
Chrétien de Troyes	Chrétien de Troyes
Đorđe Gagić	Đorđe Gagić
Curitiba	Curitiba
Faure Gnassingbé	Faure Gnassingbé
Ala	Forêt
Kapila mangirana	Disque dur
Emily Dickinson	Emily Dickinson
Franz Beckenbauer	Franz Beckenbauer
Joachim Löw	Joachim Löw
Soltaniyeh	Sultaniya
Sean Connery	Sean Connery
Anne Frank	Anne Frank
Ariary	Ariary
Raúl Albiol	Raúl Albiol
Confucius	Confucius
Sarah Bernhardt	Sarah Bernhardt
Marlene Dietrich	Marlene Dietrich
Marilyn Monroe	Marilyn Monroe
Corbin Bleu	Corbin Bleu
Sokajy:Matematika	Catégorie:Mathématiques
Mohamed Morsi	Mohamed Morsi
Barbra Streisand	Barbra Streisand
NGC 4594	M104
NGC 4258	M106
Claude Debussy	Claude Debussy
Le Corbusier	Le Corbusier
Yassine Benzia	Yassine Benzia
NGC 3992	M109
Messier 108	M108
Yves Mariot	Yves Mariot
Kota Surakarta	Surakarta
Eugène Kaspersky	Eugène Kaspersky
Euro	Euro
Ranomasina Mediteranea	Mer Méditerranée
Larry Page	Larry Page
Villars-et-Villenotte	Villars-et-Villenotte
Vonges	Vonges
Alligny-Cosne	Alligny-Cosne
Villaines-les-Prévôtes	Villaines-les-Prévôtes
Sokajy:Radiô ao Italia	Catégorie:Station de radio en Italie
Hangzhou	Hangzhou
Herman Melville	Herman Melville
Abel Xavier	Abel Xavier
Kristianisma	Christianisme
Rindrin'i Berlin	Mur de Berlin
Durgapur	Durgapur
Vary	Riz
Celine Dion	Céline Dion
Kontinenta	Continent
Vorona	Oiseau
Eugen Polanski	Eugen Polanski
