Afrika	Afrique
Ciyaarta Teeniska	Tennis
Sacuudi Carabiya	Arabie saoudite
Siri Lanka	Sri Lanka
Suuriya	Syrie
Gaaliyaam	Gallium
Tadsjikistan	Tadjikistan
Pokemon	Pokémon
Taywan	Taïwan
YouTube	YouTube
Jermaaniyaam	Germanium
Tayland	Thaïlande
Tareen	Train
Aarsenik	Arsenic
Turkmenistan	Turkménistan
Seleniyaam	Sélénium
Iridiyaam	Iridium
Imaaraatka Carabta	Émirats arabes unis
Boromiin	Brome
Balatiniyaam	Platine
Fiyetnam	Viêt Nam
Charlie Chaplin	Charlie Chaplin
Koonfur Kuuriya	Corée du Sud
Kiribtoon	Krypton
Afgaanistan	Afghanistan
Gangnam Style	Gangnam Style
Rubiidhiyaam	Rubidium
Dahab	Or
Kanaalka Suweys	Canal de Suez
Bangladesh	Bangladesh
Maali	Mali
Sokrades	Socrate
Angola	Angola
Butaan	Bhoutan
Twitter	Twitter
Barunay	Brunei
Tansaaniya	Tanzanie
Meerkuri	Mercure (chimie)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filibiin	Philippines
Jamhuuriyadda Bartamaha Afrika	République centrafricaine
Cirifka Koonfur	Pôle Sud
Cirifka waqooyi	Pôle Nord
Isxaaq Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istoroontiyaam	Strontium
Itriyaam	Yttrium
Bismuth	Bismuth
Jaale	Jaune
Togo	Togo
Tunisiya	Tunisie
Saambiya	Zambie
Simbaabwi	Zimbabwe
Beijing	Pékin
Koonfur Suudaan	Soudan du Sud
Benin	Bénin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoros	Comores (pays)
Jamhuuriyadda Kongo	République du Congo
Jamhuuriyada Dimuqaraadiga Kongo	République démocratique du Congo
Jabuuti	Djibouti
Boloniyaam	Polonium
Ikweetiga Guinea	Guinée équatoriale
Eratareya	Érythrée
New Delhi	New Delhi
Astatiin	Astate
Gabon	Gabon
Mahatma Gandhi	Mohandas Karamchand Gandhi
Gambia	Gambie
Guinea	Guinée
Guinea-Bissau	Guinée-Bissau
Xeebta Foolmaroodi	Côte d'Ivoire
Kamiruun	Cameroun
Kab Ferde	Cap-Vert
Lesotho	Lesotho
Liberia	Liberia
Libiya	Libye
Madagaskar	Madagascar
Malaawi	Malawi
Mauritania	Mauritanie
Mauritius	Maurice (pays)
Marooko	Maroc
Musanbiig	Mozambique
Nambiya	Namibie
Nayjar	Niger
Nayjeeriya	Nigeria
Yugandha	Ouganda
Ruwanda	Rwanda
Sirkooniyaam	Zirconium
Sao Tome iyo Prinsipe	Sao Tomé-et-Principe
Sinigaal	Sénégal
Seyshelles	Seychelles
Sierra Leone	Sierra Leone
Soomaaliya	Somalie
Niyobiyaam	Niobium
Julius Caesar	Jules César
Suudaan	Soudan
Swasiland	Swaziland
Qaansa Roobaad	Arc-en-ciel
Molybdenum	Molybdène
Teknetiyaam	Technétium
Qaramada Midoobay	Organisation des Nations unies
Juquraafi	Géographie
Wadno	Cœur
Maskax	Cerveau
Maqaar	Peau
Midab	Couleur
Rutheniyaam	Ruthénium
Roodhiyaam	Rhodium
Baluug	Bleu
Baladiyaam	Palladium (chimie)
Naxaas	Argent
Kaadmiyaam	Cadmium
Limburg	Province de Limbourg (Pays-Bas)
Tin (curiye)	Étain
Antimony	Antimoine
Teluriyaam	Tellure
Waqooyiga Brabant	Brabant-Septentrional
Aaydhiin	Iode
Siinoon	Xénon
Kaasiyaam	Césium
Baariyaam	Baryum
Haafniyaam	Hafnium
Aktiiniyaam	Actinium
Tantalum	Tantale (chimie)
Bill Clinton	Bill Clinton
Raadhiyaam	Radium
Raadhoon	Radon
Lorraine	Lorraine
Buerto Riko	Porto Rico
Niedersachsen	Basse-Saxe
Lombardia	Lombardie
Qudus	Jérusalem
Rutherfordium	Rutherfordium
Dubniyaam	Dubnium
Siiborgiyaam	Seaborgium
Badweynta Hindiya	Océan Indien
Kosofo	Kosovo
Badda Karabiya	Mer des Caraïbes
Bohriyaam	Bohrium
Hasiyaam	Hassium
Meitneriyaam	Meitnérium
Darmstadtiyaam	Darmstadtium
Roentgeniyaam	Roentgenium
Dortmund	Dortmund
Ununtriyaam	Ununtrium
Lifermoriyaam	Livermorium
Ununoktiyaam	Ununoctium
Maastricht	Maastricht
Jiilaal	Hiver
Gu	Printemps
Xagaa	Été
Dayr	Automne
Sadaam Xuseen	Saddam Hussein
Usaama bin Laadin	Oussama ben Laden
Caarcaaro	Araneae
Miro	Fruit (botanique)
Lacagta	Monnaie
Xasharaad	Insecte
Faladimir Lenin	Vladimir Ilitch Lénine
Uetersen	Uetersen
Augustus Octavian	Auguste
Microsoft Windows	Microsoft Windows
Jibraltaar	Gibraltar
Nokia	Nokia
Baabuur	Automobile
Juventus FC	Juventus Football Club
Texas	Texas
Bruno Mars	Bruno Mars
Sasiiliya	Sicile
Sardiiniya	Sardaigne
Fuuqbax	Maladie de Crohn
Buenos Aires	Buenos Aires
Tokyo	Tokyo
Barcelona	Barcelone
Abidjan	Abidjan
Minnesota	Minnesota
Baqdaad	Bagdad
Isuduwaha Waqtiga Caalamiga	Temps universel coordonné
AC Milan	Associazione Calcio Milan
Buuri	Tabac
Internet Explorer	Internet Explorer
Sigaar	Cigarette
Nayl armistaroong	Neil Armstrong
Maxamed Faarax	Mohamed Farah
München	Munich
Fiyena	Vienne (Autriche)
Kobanhaygan	Copenhague
Stockholm	Stockholm
Helsinki	Helsinki
Dublin	Dublin
Bratislava	Bratislava
Budapest	Budapest
Frankfurt	Francfort-sur-le-Main
Lanthanum	Lanthane
Kitaabka quduska	Bible
Phnom Penh	Phnom Penh
Ho Chi Minh City	Hô-Chi-Minh-Ville
Luteetiyaam	Lutécium
Mida Rumeed Kaniisada Ciise	Véritable Jésus Église
Ingiriis (luqad)	Anglais
Bangkok	Bangkok
Dong Hoi	Đồng Hới
Concepción	Concepción (Chili)
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Dayaxa Cirjeex	Satellites naturels de Jupiter
Juba	Djouba
Końskowola	Końskowola
Dar es Salaam	Dar es Salam
Khartuum	Khartoum
Dayaxa raage	Satellites naturels de Saturne
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
Charles De Gaulle	Charles de Gaulle
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1997	1997
1998	1998
1999	1999
1918	1918
Cunto	Nourriture
Mas	Serpentes
Dayaxa docay	Satellites naturels de Neptune
Dashiishe	1er janvier
1920	1920
1919	1919
1921	1921
Georges Pompidou	Georges Pompidou
Malmö	Malmö
Birmingham	Birmingham
Microsoft	Microsoft
Borotoon	Proton
Kurów	Kurów
Kimisteri	Chimie
Robin van Persie	Robin van Persie
27	27
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
Muqdisho	Mogadiscio
Sana'a	Sanaa
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
18 Abriil	18 avril
25 Abriil	25 avril
26 Abriil	26 avril
Dayax	Satellite naturel
Kristian Wulff	Christian Wulff
15 Meey	15 mai
SSC Napoli	SSC Naples
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
27 Juun	27 juin
Kubadda Cagta	Football
AS Roma	Associazione Sportiva Roma
1963	1963
Holokost	Shoah
1962	1962
Michael Jackson	Michael Jackson
Bogota	Bogota
29 Diseembar	29 décembre
Quito	Quito
Adhi	Chèvre
21 Oktoobar	21 octobre
Paramaribo	Paramaribo
Wiil	Garçon
Gabar	Fille
Kanbera	Canberra
Sydney	Sydney
Cagaar	Vert
Gaduud	Rouge
Perth	Perth (Australie-Occidentale)
Galbeed Australia (gobol)	Australie-Occidentale
New South Wales	Nouvelle-Galles du Sud
Wabiga Niil	Nil
Jini	Djinn
Wabiga Nijer	Niger (fleuve)
Rabat	Rabat
Algiers	Alger
Tunis	Tunis
Triboli	Tripoli (Libye)
Rede Globo	Rede Globo
Jabuuti (magaalo)	Djibouti (ville)
Tahraan	Téhéran
Addis Abeba	Addis-Abeba
Ankara	Ankara
Asmara	Asmara
Nijamiina	N'Djaména
Niamey	Niamey
Nawakshot	Nouakchott
1961	1961
Bamako	Bamako
Belgaraad	Belgrade
Dakar	Dakar
Banjul	Banjul
Konakri	Conakry
Bissau	Bissau
Category:Template	Catégorie:Espace Modèle
Monrofia	Monrovia
Braia	Praia
1960	1960
Akara	Accra
Dimishiq	Damas
Yamoussoukro	Yamoussoukro
Faransiis Guyana	Guyane
Ougadougou	Ouagadougou
Freetown	Freetown
Abuja	Abuja
Lome	Lomé
Borto-Novo	Porto-Novo
Yawunde	Yaoundé
Malabo	Malabo
Librefille	Libreville
Bangui	Bangui
Kinshasa	Kinshasa
Barasafille	Brazzaville
Bujumbura	Bujumbura
Kigali	Kigali
Dodoma	Dodoma
Nayroobi	Nairobi
Lilongwe	Lilongwe
Lusaka	Lusaka
Qorax madoobaad	Éclipse solaire
Mabuto	Maputo
Kambaala	Kampala
Luanda	Luanda
Moroni	Moroni (Comores)
Mabane	Mbabane
Maseru	Maseru
Dugsi	École
Antananarifo	Antananarivo
Jaamacad	Université
Gaborone	Gaborone
Harare	Harare
Pretoria	Pretoria
Bort Lois	Port-Louis (Maurice)
Sao Tome	São Tomé (ville)
Windhoek	Windhoek
Wikipedia:Bacaadka	Wikipédia:Bac à sable
Fiktoria	Victoria (Seychelles)
Guri	Maison
Kombuyuuterka Dhabta	Ordinateur portable
Computer Hardware	Matériel informatique
Aljebra	Algèbre
Webiyada	Rivière
Osasko	Osasco (Brésil)
Garoonka ee Dong Hoi	Aéroport de Đồng Hới
Curitiba	Curitiba
Pangea	Pangée
Keyn	Forêt
Anne Frank	Anne Frank
Shilin Soomaali	Shilling somalien
Confucius	Confucius
Category:Taariikhda Ciraaq	Catégorie:Histoire de l'Irak
Corbin Bleu	Corbin Bleu
Category:Xisaab	Catégorie:Mathématiques
Jasiiradaha Feroe	Îles Féroé
Maxamed Morsi	Mohamed Morsi
Euro	Euro
Bada Dhexe	Mer Méditerranée
Masiixiyad	Christianisme
Windows 8	Windows 8
Template:Dalalka Aasiya	Modèle:Palette Pays d'Asie
Bariis	Riz
Céline Dion	Céline Dion
Qaaradaha	Continent
Adelaide	Adélaïde (Australie)
Shimbir	Oiseau
Bilaha	Mois
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
1948	1948
Jeejniya	Tchétchénie
1949	1949
Garoosni	Grozny
Huang Xianfan	Huang Xianfan
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Bill Gates	Bill Gates
Encyclopedia	Encyclopédie
DVD	DVD
Bogga Hore	Wikipédia:Accueil principal
CPU	Processeur
1959	1959
Template:Maqaal Cusub	Modèle:Bon article
Dhesibel	Décibel
Kubadda Koleyga	Basket-ball
Kab town	Le Cap
Bada Qaswiin	Mer Caspienne
Harta Fiktooriya	Lac Victoria
Harada malaawi	Lac Malawi
Salvador Dalí	Salvador Dalí
Finsent van Gogh	Vincent van Gogh
Hokusai	Hokusai
Mishelangelo	Michel-Ange
Bablo bekaso	Pablo Picasso
Rembrandt van Rijn	Rembrandt
Eminem	Eminem
Bas	Autobus
Baabiyloon	Babylone
Katalooniya	Catalogne
Samarqanda	Samarcande
Bukhaara	Boukhara
Mekka	La Mecque
Che Guvara	Che Guevara
Mao Zedong	Mao Zedong
Kabul	Kaboul
Luqada Tamil-ka	Tamoul
Filasoofiyada	Philosophie
50 Cent	50 Cent
Dr. Dre	Dr. Dre
Snoop Dogg	Snoop Dogg
Shaax	Thé
Tupac Shakur	Tupac Shakur
Xidig-dhul	Erinaceinae
1507	1507
Shuuciyad	Communisme
Amadeyo afogadro	Nombre d'Avogadro
Liberalinimo	Libéralisme
Wadan	Pays
Qaran	Nation
Jow Bayden	Joe Biden
Hillary Clinton	Hillary Clinton
Dabaal	Natation
Category:Xiddigis	Catégorie:Astronomie
1542	1542
1543	1543
Jaan Jaak Rosoo	Jean-Jacques Rousseau
Saxaara	Sahara
Hambeegar	Hamburger
Shaydaanka	Diable
1606	1606
Maktabad	Bibliothèque
FC Barcelona	FC Barcelone (football)
Midowga afrika	Union africaine
Siyaasadda,	Politique
Jaamacada Carabta	Ligue arabe
Dimoqraadi	Démocratie
Hay'ada laanqayrta cas	Mouvement international de la Croix-Rouge et du Croissant-Rouge
Gaashaanbuurta NATO	Organisation du traité de l'Atlantique Nord
Qin Shi Huang	Qin Shi Huang
Bariga Dhexe	Moyen-Orient
Jamhuriyadda	République
Hantiwadaag	Socialisme
Dowlad	État
Xisbi	Parti politique
Kilimanjaaro	Kilimandjaro
Kristoffer Kolombus	Christophe Colomb
Rixlaat Ibn Batuuta	Ibn Battûta
Kanaalka Banama	Canal de Panama
Dheg	Oreille
San	Nez
Muruq	Muscle
Hees	Chanson
Kaneeco	Culicidae
Libaax Badeed	Requin
Geel	Camelus
Naasley	Mammifère
Maroodi	Éléphant
Quraansho	Fourmi
Shini	Abeille
Software	Logiciel
Af-Holandees	Néerlandais
DNA	Acide désoxyribonucléique
Nuucyada dhirta	Espèce
Hooyo	Mère
Aabe	Père
Waalid	Parent (famille)
Gaadiidka Dadweynaha	Transport
Debian	Debian
1669	1669
1670	1670
1671	1671
1672	1672
1673	1673
1674	1674
1675	1675
1676	1676
1677	1677
1678	1678
1679	1679
1680	1680
1856	1856
Af-Ruush	Russe
Faladimir Putin	Vladimir Poutine
Dastuur	Constitution
Dalalka Kommonwels	Commonwealth of Nations
OPEC	Organisation des pays exportateurs de pétrole
Rooti	Pain
UNESCO	Organisation des Nations unies pour l'éducation, la science et la culture
Baaqa Caalamiga ee Xuquuqda Aadanaha	Déclaration universelle des droits de l'homme
1796	1796
1797	1797
1899	1889
Sawaaxili	Swahili
1893	1893
Unug	Cellule (biologie)
Dhiig	Sang
Qolfoof	Squelette
Sambab	Poumon
Hab Neefsi	Appareil respiratoire
Habdhiska Taranka	Système reproducteur
Af-Romani	Roumain
Roob	Pluie
Dhulgariir	Séisme
Ibn Siinaa	Avicenne
Nelson Mandela	Nelson Mandela
Martin Luther King,	Martin Luther King
Ensiim	Enzyme
Borotiin	Protéine
Daad	Inondation
Tsunami	Tsunami
Fulkaano	Volcan
Caad	Nuage
Tirignoometeri	Trigonométrie
Joomitiri	Géométrie
Qarnigii 2aad	IIe siècle
Qarnigii 1aad	Ier siècle
Dhaqaale	Sciences économiques
Warshad	Industrie
Farta laatiinka	Alphabet latin
Suugaan	Littérature
Category:Faransiiska	Catégorie:France
Category:Muusig	Catégorie:Musique
Kun Habeen Iyo Habeen	Les Mille et Une Nuits
Category:Suugaanta	Catégorie:Littérature
Category:Gabayada	Catégorie:Poésie
Waxbarasho	Éducation
Qoys	Famille
Hugo Chavez	Hugo Chávez
Nin	Homme
Guur	Mariage
Midab Takoor	Racisme
Adoon	Esclavage
Dagaal Sokeeye	Guerre civile
Cumar	Omar ibn al-Khattâb
Suldaan Suleymaan kan 1aad	Soliman le Magnifique
Bun	Café
Caano	Lait
Buur	Montagne
Salaaxudiin al-Ayyuubi	Saladin
Karaaji	Karachi
Riyaal Madrid	Real Madrid Club de Fútbol
Dagaalkii qaboobaa	Guerre froide
Seoul	Séoul
Tomas Edison	Thomas Edison
Michael Faraday	Michael Faraday
Internet protocol	Internet Protocol
HTML	Hypertext Markup Language
Af-Iswiidhan	Suédois
Muxamed bin Muuse al-Khwarizmī	Al-Khwârizmî
Karl Marx	Karl Marx
Nabi Muuse C.S.	Moïse
Aqoon	Connaissance
Naas	Sein
Atom	Atome
Ileys	Lumière
Af Giriig	Grec
Operating system	Système d'exploitation
Naf	Âme
Af-Faarsi	Persan
Diin	Religion
Nabi Ibraahiim C.S.	Abraham
Saladh	Salade (mets)
Yuhuuda	Judaïsme
Af-Hebrow	Hébreu
Ibn Khalduun	Ibn Khaldoun
Beer (xubin)	Foie
Bakeyle	Lapin
Cilminafsi	Psychologie
Badweyn	Océan
Gootama buuda	Siddhartha Gautama
Muxamed	Mahomet
BBC	British Broadcasting Corporation
Shahrukh Khan	Shahrukh Khan
Al-Ghazaali	Al-Ghazâlî
Gerald Ford	Gerald Ford
Shiica	Chiisme
Suufi	Soufisme
Carab	Langue (anatomie humaine)
Chelsea FC	Chelsea Football Club
Arsenal F.C.	Arsenal Football Club
Ganac	Pancréas
Qolfoofta Dadka	Squelette humain
Qoor	Cou
Af	Bouche
Sakaar	Torse
Elizabeth II	Élisabeth II
Caajiska	Fatigue (physiologie)
Schiphol	Aéroport d'Amsterdam-Schiphol
Haarlem	Haarlem
Ronald Reagan	Ronald Reagan
Af-Zulu	Zoulou
Foosto	Tonneau (récipient)
Sabool	Pauvreté
Gordon Brown	Gordon Brown
Jadwalka Curiyayaasha	Tableau périodique des éléments
Robert Mugabe	Robert Mugabe
Xamaam(Shinbir)	Columbidae
Bakteeri	Bacteria
Geed	Arbre
Canab	Raisin
Malab	Miel
Hilib	Viande
Barandho	Pomme de terre
Sonkor	Sucre
Khudaar	Légume
Robot	Robot
Makiinad	Machine
Saxaafad	Journalisme
Taleefoon	Téléphone
Dhaqan	Culture
RNA	Acide ribonucléique
Xidigisyahan	Astronome
Habdhiska Wareega Dhiiga	Appareil cardiovasculaire
Mindhicirka weyn	Gros intestin
Mindhicirka yar	Intestin grêle
Ibn Haytham	Alhazen
Isku dhis	Composé chimique
Sharci dajinta	Pouvoir législatif
Windows 7	Windows 7
Boqolleey	Pourcentage
Windows Vista	Windows Vista
Fidel Castaro	Fidel Castro
Category:Barasiil	Catégorie:Brésil
Tamar	Énergie
Abala-abalayn bayoloji	Classification scientifique des espèces
Awood	Force (physique)
Cufisjiidad	Gravitation
Cuf	Masse
Bir	Métal
Hawo	Gaz
Dareere	Liquide
Adke	État solide
Bushkuleeti	Bicyclette
Markab	Navire
Beeraha	Agriculture
Cudbi	Coton
Tiknolajiga nano	Nanotechnologie
Xaansho	Papier
Bac	Matière plastique
Bed	Aire (géométrie)
Lambar	Nombre
Kiilogaraam	Kilogramme
Cristiano Ronaldo	Cristiano Ronaldo
Mitir	Mètre
Ilbiriqsi	Seconde (temps)
Galley	Maïs
Kelvinka	Kelvin
Dalalka	Liste des pays du monde
Ludwik Lejzer Zamenhof	Ludwik Lejzer Zamenhof
Mesobotaamiya	Mésopotamie
Buti	Ursidae
Britney Spears	Britney Spears
Habdhiska Dheefshiidka	Digestion
Habka Samayska Cuntada	Photosynthèse
Kansar	Cancer
Boqortooyo	Roi
Qamadi	Blé
Kalandar	Calendrier
Dhagool	Surdité
