Naakaii Łizhiní Bikéyah	Afrique
Hashkʼaan Bikéyah	Barbade
Indoníízha	Indonésie
Tʼóok bizaad	Turc
Kéyah Naakai Łizhinii Bikéyah Shádiʼááhjí Siʼánígíí	Afrique du Sud
Aljííya	Algérie
Ózbeʼ Bikéyah	Ouzbékistan
Tó	Eau
Níłchʼi naalkidí	Télévision
Chíilii	Chili
Doodaatsaahii (Jíísas)	Jésus-Christ
Mókiwii	Mercure (planète)
Ákáʼátʼįįł (béésh ntsékeesígíí álʼíní)	Apple
Biinis	Vénus (planète)
Jíbitoo	Jupiter (planète)
Yoowéinis	Uranus (planète)
Néʼtoon	Neptune (planète)
Sį́ʼgaboo	Singapour
Tłóotoo	Pluton (planète naine)
Łííhtensain	Liechtenstein
Dágháilchįįh	Adolf Hitler
Naaltsoos biniiʼ	Facebook
Naaki góneʼ yéigo daʼahijoogą́ą́ʼ	Seconde Guerre mondiale
Ałhíʼayiiltááh	Mathématiques
Aooméénii Bikéyah	Arménie
Ooljééʼ	Lune
Nahatʼeʼiitsoh Bikéyah	Australie
Béésh Łigaii Bikéyah	Argentine
Kolíya Bikéyah Náhookǫsjí Siʼánígíí	Corée du Nord
Naayééʼ	Dinosaure
Bilasáana bitseeʼ nineezígíí	Pyrus
Naturalis Historia of Pliny the Elder	Histoire naturelle (Pline l'Ancien)
Encyclopædia Britannica	Encyclopædia Britannica
Tó yaʼnidaʼaazgééd	Aqueduc
Chʼil łitsooí díkʼǫ́zhígíí	Citron
Hashkʼaan (łitsooígíí)	Banane
Sǫʼ	Étoile
Jóhonaaʼéí	Soleil
Háájiʼjin	Hydrogène
Níłchʼi Ászólí	Hélium
Haʼaʼaahjí Tíímow	Timor oriental
Séwes	(1) Cérès
Haʼooméya	(136108) Hauméa
Maakiimaakii	(136472) Makémaké
Ééwis	(136199) Éris
Káábin	Carbone
Níłchʼi Yáʼátʼéehii	Oxygène
Hadoh dóó hakʼaz neiłkidígíí	Thermomètre
Níłchʼi Łitsxooí	Néon
Chihuahua Hahoodzo	État de Chihuahua
Soodin	Sodium
Béésh Łikoní	Magnésium
Béésh Ászólí	Aluminium
Tó Wónaanídę́ę́ʼ Bitsįʼ Yishtłizhii Bikéyah	Inde
Tʼoobááloo	Tuvalu
Béésh (Fe)	Fer
Tʼónga	Tonga
Łeetsoii	Soufre
Samóa	Samoa
Sólomon Tó Bináhaazyínígíí	Salomon (pays)
Banoʼáátʼoo	Vanuatu
Páápowa Bigíní Ániidí	Papouasie-Nouvelle-Guinée
Níłchʼi Dootłʼizhí	Argon
Eʼeʼaahjí Tónteel bikáaʼgi Kéyah Yázhí dah Ndaaʼeełgo Ałhidadiidzooígíí	Micronésie (pays)
Káálsiiyin	Calcium
Dilyį́hí	Plomb
Kílíbas	Kiribati
Chʼah Diʼilii Bikéyah	Mongolie
Fííjii	Fidji
Béésh doo Ńdiniichxíihii	Titane
Táłkááʼ Bighan Dineʼé Bikéyah	Venezuela
Méíin Hahoodzo	Maine (État)
Łį́į́ʼ	Cheval
Naaldeehii	Animal
Sówinam	Suriname
Kéyah Nahasdzáán Ałníiʼgi Siʼánígíí	Équateur (pays)
Kolámbiya	Colombie
Béésh Łibáhí	Cobalt
Bolíbiya	Bolivie
Béésh Łichíiʼii	Cuivre
Niihémpshoo Hahoodzo	New Hampshire
Chʼosh doo yitʼíinii dláádí dóó Ábishjaaʼ	Fungi
Jaméíkʼa	Jamaïque
Méésíchóoshish Hahoodzo	Massachusetts
Kanédikiʼ Hahoodzo	Connecticut
Naaʼahóóhai	Gallus gallus domesticus
Antíígwa dóó Hashkʼaan Bikéyah Yázhí	Antigua-et-Barbuda
Kéyah Ałkéé Nitį́įgo Dah Ndaaʼeełí	Hawaï
Damóo Bikéyah	Dominique (pays)
Domingo Bikéyah	République dominicaine
Bisóodi	Porc
Héítii	Haïti
Iiwą́ą́	Iran
Iiwááʼ	Irak
Hakʼaz Dineʼé Bikéyah Hahoodzo	Alaska
Ízrel Bikéyah	Israël
Shádiʼááhjí Ásáí Bikéyah	Yémen
Jóoʼdan	Jordanie
Gah Bikeeʼ Taahíʼahí	Floride
Kíígiz Bikéyah	Kirghizistan
Hoozdo Hahoodzo	Arizona
Kóóweiʼ	Koweït
Lááʼos	Laos
Łíbanoo	Liban
Óogin Hahoodzo	Oregon
Naakaii Dootłʼizhí Bikéyah Yázhí (Tó Bináhaazyínígíí)	Maldives
Kéyah dah siʼánígíí	Amérique
Áshįįh Biiʼtó Hahoodzo	Utah
Béégashii	Bos taurus
Maléízha	Malaisie
Dziłgaiitsoh Honeezkʼazii Bikéyah	Népal
Omą́ą́	Oman
Eʼeʼaahjí Naakaii Dootłʼizhí Bikéyah	Pakistan
Kʼatár	Qatar
Ásáí Bikéyah Saʼoodí	Arabie saoudite
Swii Lankʼa	Sri Lanka
Sííwiya	Syrie
Tʼajiʼ Bikéyah	Tadjikistan
Tʼáí Bikéyah	Thaïlande
Kǫʼ naʼałbąąsii diné bee nágéhéʼ	Train
Tʼóokmen Bikéyah	Turkménistan
Ásáí Bikéyah Yázhí Ałhidadiidzooígíí	Émirats arabes unis
Biʼednam	Viêt Nam
Kolíya Bikéyah Shádiʼááhjí Siʼánígíí	Corée du Sud
Óola	Or
Naʼałkaahí	Scientifique
Bangla Bikéyah	Bangladesh
Angóola	Angola
Iiʼniʼ Tłʼiishtsoh Bikéyah	Bhoutan
Bwoonéí	Brunei
Tʼanzanííya	Tanzanie
Béésh Tózháanii	Mercure (chimie)
Kéyah Dańlíinii	Philippines
Naakaii Łizhinii Bikéyah Beʼałnííʼ	République centrafricaine
Hastiin Albert Einstein	Albert Einstein
Tʼóogo	Togo
Hooghan Tsé Bee Ádaalyaaí Bikéyah	Zimbabwe
Shádiʼááhjí Soodą́ą	Soudan du Sud
Tswana Dineʼé Bikéyah	Botswana
Wóndii Dineʼé Bikéyah	Burundi
Ooljééʼ Bikéyah Yázhí	Comores (pays)
Kéyah Káango Náhookǫsjí Siʼánígíí	République du Congo
Kéyah Káango Shádiʼááhjí Siʼánígíí	République démocratique du Congo
Jibótii	Djibouti
Gíní Nahasdzáán Ałníiʼgi Siʼánígíí	Guinée équatoriale
Gabǫ́ǫ́ (Kéyah)	Gabon
Géémbiya	Gambie
Gíní	Guinée
Gíní Bisó	Guinée-Bissau
Chį́į́h Yee Adilohii Bideeʼ Tónteel Bibąąh	Côte d'Ivoire
Táłtłʼááh Chʼosh Daadánígíí Bitooh (Łizhinii Bikéyahdi)	Cameroun
Tónteel Bibąąh Dootłʼizhí	Cap-Vert
Sotho Dineʼé Bikéyah	Lesotho
Łíbya	Libye
Madaʼgéésgáá	Madagascar
Malááwii	Malawi
Moowitéínya	Mauritanie
Moroko	Maroc
Namííbya	Namibie
Yogénda	Ouganda
Wánda Dineʼé Bikéyah	Rwanda
Seishel	Seychelles
Náshdóítsoh Bitsiijįʼ Daditłʼooʼígíí Bidził	Sierra Leone
Soomáálii Bikéyah	Somalie
Soodą́ą	Soudan
Swáazi Dineʼé Bikéyah	Swaziland
Nahasdzáán Bikáaʼgi Kéyah Naaznilgo Ałhidadiidzooígíí	Organisation des Nations unies
Nidaashchʼąąʼígíí	Couleur
Béésh Łigaii	Argent
Béésh Dildǫʼí	Étain
Łéétsoh	Uranium
Hastiin alą́ąjįʼ dahsidáhígíí Bill Clinton	Bill Clinton
Míshigin Hahoodzo	Michigan
Tó Nitsaa Nílį́bąąh Hahoodzo	Illinois
Náhookǫsjí Dzígaii	Dakota du Nord
Ałnííʼjí Dzígaii	Dakota du Sud
Ayání Naakaii Hahoodzo	Montana
Tóʼííbézhí	Wyoming
Nímasii Kʼidadilyéhé	Idaho
Ahééhałtį́į́h Hahoodzo	Washington (État)
Naʼazhǫǫsh Hahoodzo	Nevada
Kayíbíyinsíí (tónteel)	Mer des Caraïbes
Dibé Nitsaa Hahoodzo	Colorado
Naakaii bizaad	Espagnol
Naʼashjéʼii	Araneae
Chʼosh bijáád tseebíhígíí	Arachnida
Chʼosh bideeʼ ádaadinígíí	Chelicerata
Chʼosh bijáád dahólónígíí	Arthropode
Béeso	Monnaie
Bijíniyah Hahoodzo	Virginie (État)
Eʼeʼaahjí Bijiniyah Hahoodzo	Virginie-Occidentale
Kin Yótʼááh Deezʼá Hahoodzo	État de New York
Wóód Áalin Hahoodzo	Rhode Island
Chʼosh bijáád hastání	Insecte
Méelin Hahoodzo	Maryland
Déláwee Hahoodzo	Delaware
Oohááyoo Hahoodzo	Ohio
Pénsówéíniyah Hahoodzo	Pennsylvanie
Niijéízii Hahoodzo	New Jersey
Índíʼyéenah Hahoodzo	Indiana
Chidí	Automobile
Jóojah Hahoodzo	Géorgie (États-Unis)
Akałii Bikéyah	Texas
Náhookǫsjí Kééláanah Hahoodzo	Caroline du Nord
Shádiʼááhjí Kééláanah Hahoodzo	Caroline du Sud
Méhigoʼ sídii	Mexico
Bilasáana diwozhí	Ananas
Mísísípii Hahoodzo	Mississippi (État)
Ténésii Hahoodzo	Tennessee
Yootó Hahoodzo	Nouveau-Mexique
Mínisóodah Hahoodzo	Minnesota
Wiskaansin Hahoodzo	Wisconsin
Haʼaʼaahjí Dzígaii	Iowa
Nabeeskah Hahoodzo	Nebraska
Shádiʼááhjí Dzígaii	Kansas
Tó Dzígaii Nílį́	Missouri (État)
Tónteel Chʼínílį́	Louisiane
Kentákii Hahoodzo	Kentucky
Dził Biiʼ Dzígaii	Arkansas
Halgai Hóteel Hahoodzo	Oklahoma
Ho Chi Min Sídii	Hô-Chi-Minh-Ville
Bilagáana bizaad	Anglais
Náhookǫsjí Hakʼaz Dineʼé Bikéyah	Nunavut
1901 – 1950	1902
Tłʼiish	Serpentes
1951 – 2000	1979
Pope Benedict XVI	Benoît XVI
Maʼii Ashkii	Geronimo
Tsin naaʼeeł táłtłʼááh naagháhígíí	Sous-marin
Tahoniigááh	Grippe
Tłʼízí	Chèvre
Kǫʼ	Feu
Tʼááłáhági átʼéego:Templates	Catégorie:Espace Modèle
Dloziłchííʼ	Écureuil roux
Tʼááłáhági átʼéego:Bideeʼtsʼinígíí	Catégorie:Bovidae
Tʼááłáhági átʼéego:Ndaaʼnaʼii	Catégorie:Squamate
Tiníléítsoh	Dragon de Komodo
Chʼosh bijáád neeznánígíí	Decapoda
Aymara bizaad	Aymara
Łeeyiʼ chʼoshtsoh binááʼ hólónígíí	Gymnophiona
Tʼááłáhági átʼéego:Dééł dóó Tóidoozohii	Catégorie:Gruiformes
Médíwííyin Sii	Mer Méditerranée
Jóojah (Ałtsʼáʼáztiin)	Georgia
Alóós	Riz
Tsídii	Oiseau
Kéłánii bikágí yilzhólígíí	Onychophora
Kéchwa bizaad	Quechua
Ínsadoobíídiiya	Encyclopédie
Íiyisíí Naaltsoos	Wikipédia:Accueil principal
Dziłgaiitsoh Honeezkʼazii	Himalaya
Tʼááłáhági átʼéego:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Chʼil ahwééh	Thé
Adijiłii	Erinaceinae
Kéyah Sahééwa Eʼeʼaahjí Siʼánígíí	Sahara occidental
1801 – 1850	1815
Łį́į́ʼ Bideeʼłáaʼii	Licorne
Hastiin Hernán Cortés	Hernán Cortés
Tsʼíʼii daʼaneezí	Culicidae
Dibé	Mouton
Łóóʼ hashkéhé	Requin
Ghą́ą́ʼaskʼidii	Camelus
Bidił Daazdoígíí dóó Daʼałtʼoʼígíí	Mammifère
Bíchį́į́h yee adilohii	Éléphant
Mágí dóó Mágí Ndahalinígíí	Primates
(*wálá-)	Fourmi
Tsísʼná	Abeille
Naayízítsʼósí	Courgette
Jiłtʼoʼí	Rheum rhabarbarum
Sęęschʼil	Chou-fleur
Ayęęzhii yiltʼąąʼí	Aubergine
Naalʼeełí	Anatidae
Yas	Neige
Jádí dághaaʼígíí	Gnou
1851 – 1900	1865
Biʼééʼ Łichííʼí bizaad	Russe
1751 – 1800	1784
Bááh	Pain
Bee Hazʼą́ą Ił Chʼétʼaah	Déclaration universelle des droits de l'homme
Kéyah haʼdéísná	Séisme
Tó nitéél nitságoʼ atságáá	Tsunami
Níyoltsoh	Tornade
Saad bee alʼį́į́hni	Système d'écriture
Tʼááłáhági átʼéego:Dáághahii	Catégorie:France
Mąʼii łitsooí	Renard roux
Naaltéʼ	Esclavage
Ahwééh	Café
Abeʼ	Lait
Dził	Montagne
Doo Nidahałtingóó	Désert
Cryptographic	Cryptographie
Guadalajara	Guadalajara (Mexique)
Tsídii naʼałkʼaiʼí	Manchot
Kolíya Dineʼé bizaad	Coréen
Gah	Lapin
Tó niteel	Océan
Hodíłchʼil Níłtsánígíí	Forêt humide
HiTSʼezh	IPod
Hazéí	Sciuridae
Hazéí naatʼáʼii	Pteromyinae
Ééʼ néíshoodí	Église catholique
Kwį́į́n Elizabeth II	Élisabeth II
Hastiin alą́ąjįʼ dahsidáhígíí Ronald Reagan	Ronald Reagan
Hastiin Emperor Yongle	Ming Yongle
Naʼashjéʼiitsoh	Lycosidae
Naaldlooshii dadichʼízhii	Reptile
Tsin Deigházhígíí	Rodentia
Hasbídí	Columbidae
Tééh hóyáanii	Phocoenidae
Biyáázh Tsʼǫʼasánígíí (Táyiʼ dóó Niʼkáágóó Ndaakaaígíí)	Amphibia
Géeso	Fromage
Chʼil naʼatłʼoʼii (chʼiyáán)	Raisin
Tsísʼná bitłʼizh	Miel
Atsįʼ	Viande
Naʼashjéʼii tsiizisí	Pholcidae
Nímasii	Pomme de terre
Áshįįh łikan	Sucre
Haʼałtsédii	Fruit à coque
Wááshindoon bisiláołtsooí	Forces armées des États-Unis
Naʼiiniʼ bá Hooghantsoh	World Trade Center
Áshįįh	Sel alimentaire
Wááshindoondi bee hazʼáanii ádeiłʼíní	Congrès des États-Unis
Tsin naaʼeeł	Navire
Nidaʼąnyéézh	Irrigation
Naadą́ą́ʼ	Maïs
Naʼashchʼąąʼ	Peinture
Wótáahgoo ałnaaʼáłtʼahiʼ	Astronaute
Azhish	Danse
Naʼashjéʼii nahachaʼígíí	Salticidae
Kéyah Daʼnaaznilígíí	Liste des pays du monde
Shash	Ursidae
Hastiin alą́ąjįʼ dahsidáhígíí John Adams	John Adams (homme politique)
Hastiin alą́ąjįʼ dahsidáhígíí Thomas Jefferson	Thomas Jefferson
Hastiin alą́ąjįʼ dahsidáhígíí Andrew Jackson	Andrew Jackson
Ńdíshchííʼ	Pin (plante)
Tłʼoh naadą́ą́ʼ	Blé
Naałniih yichʼą́ą́h naabaahígíí bąąh dahooʼaahgo	Syndrome d'immunodéficience acquise
Abeʼ bee neezmasí	Crêpe
Jéíʼádįįh	Tuberculose
Łóódtsoh	Variole
Zelda bahaneʼ	The Legend of Zelda (série)
Naakáí dinéʼiʼ biempire Méhigodi	Aztèques
Łéétsoh bee atsiniltłʼish álʼį́	Énergie nucléaire
Łéétsoh beeʼeldǫǫhtsoh beeʼalį́į́h	Arme nucléaire
Chidí naaʼnaʼí beeʼeldǫǫh bikááʼ dah naaznilígíí	Char de combat
Dah woozh	Fragaria ×ananassa
Jalisco Hahoodzo	Jalisco
Dzidzé łikaní dootłʼizhígíí	Bleuet (fruit)
Dzidzé łikaní dinilchííʼígíí	Framboise
Mágí bichʼiyąʼ	Cocos nucifera
Dzidzétsoh	Pêcher
Chʼil łitsxooí	Orange (fruit)
Chʼil dishooí	Kiwi
Chʼil dootłʼizhí díkʼǫ́zhígíí	Lime (fruit)
Abeʼ yistiní	Crème glacée
Méhigo bizaad	Nahuatl
Diné bizaad	Navajo (langue)
Jeeʼiighááh	Dermaptera
Tenochtitlan	Mexico-Tenochtitlan
Ásáí Bizaad	Arabe
Honeezílígi	Zone subtropicale
Atʼaʼ yiltʼąąʼí	Arecaceae
Niłchiis	Gulo gulo
Tsin yilátah ayání	Girafe
Naalʼeełídaaʼí	Ornithorynque
Naʼashǫ́ʼii	Lacertilia
Béésh bee akʼeʼelchí áłtsisígíí	Ordinateur personnel
Wikiibíídiiya:Naaltsoos nizhónígo ádaalyaaígíí	Wikipédia:Articles de qualité
Bimááʼ Hahoodzo	Vermont
Hoozdoh	Phoenix (Arizona)
Tʼáyaałchííʼ	Pic flamboyant
Táłkááʼ tsʼin bíchį́į́hnézí	Gavial du Gange
Tsin naaʼeeł chidí naatʼaʼí bee nágéhéʼ	Porte-avions
Tsídiitsoh	Autruche d'Afrique
Kolíya bikéyah (Ałtsʼáʼáztiin)	Corée
Mąʼiitsoh	Canis lupus
Chʼídeeldlóohiitsoh	Bec-en-sabot du Nil
Hodíłchʼilgi dlǫ́ʼiitsoh	Paradoxurus hermaphroditus
Tóidoozohii bidaaʼ łichííʼígíí	Gallinule poule-d'eau
Táłtłʼááh yilcháazhii	Porifera
Tónteel naʼashjéʼii	Pycnogonida
Séigoʼ bíláshgaanézí	Amblypygi
Naʼashjéʼii jáádnézí	Opiliones
Séigoʼchilí bitseeʼ ádinígíí	Pseudoscorpionida
Séigoʼ	Scorpiones
Zahalchíʼii	Solifugae
Hastiin Emperor Qianlong	Qianlong
Séigoʼ bitseeʼ áłtsʼózígíí	Uropygi
Yaaʼ doo yitʼíinii	Acari
Hodíłchʼilgi naaʼahóóhai	Tinamiformes
Tłʼiishkʼosí (tsídii)	Anhingidae
Télii	Âne commun
Náshdóítsoh noodǫ́zígíí	Tigre
Kʼíneeshbízhiinééz	Spaghetti
Chʼosh yoołgai bitsʼaʼígíí	Ostreidae
Tábąąhgi łeeyiʼ chʼosh	Arenicola marina
Azeeʼ hókániitsoh	Cirse commun
Táłkáaʼgi Tsídii	Anseriformes
Tązhii dóó Naaʼahóóhai Ndahalinígíí	Galliformes
Naalʼeełii keelóól	Podicipediformes
Tsídii Deílʼésígíí	Ciconiiformes
Daʼałtʼoʼígíí Biyęęzhii Deiłchíhígíí	Monotremata
Adijiłii bíchį́į́hnézí	Échidné
Biyázhí neiyéhé	Didelphidae
Hazéítsʼósii	Tamia
Chidí bikʼah	Pétrole
Chéłchaaʼ	Coleoptera
Łį́į́ʼ ałchiní	Cheval de Przewalski
Dlǫ́ʼii yił aheełtʼéhii noodǫ́zígíí	Mangouste rayée
Naʼastsʼǫǫsíʼniiʼí	Peramelidae
Shash naʼazísí	Vombatidae
Nahatʼeʼiitsohchilí	Potoroidae
Náʼagéédí łichíiʼii	Chrysochloridae
Bįįh Danilínígíí	Cervidae
Tin	Glace
Tłʼohchin díchʼííʼí	Ail cultivé
Taʼneeskʼání áłtsʼóózígíí	Concombre
Tłʼohchin (chʼil daadánígíí)	Oignon
Chʼil łichxíʼí	Tomate
Béésh Łichíiʼii Bikéyah Náhookǫsjígo Siʼanígíí	Chypre du Nord
Naʼazhǫǫsh Hátsoh	Las Vegas
Náshdóí dilwoʼí	Guépard
Tsékǫʼ	Charbon
Néʼéshjaaʼ	Strigiformes
Bíígháán Dahólónígíí	Vertébrés
Kʼishchííʼ	Bouleau
Ǫǫbǫʼii	Huppe fasciée
Náshdóí Ndahalinígíí	Felidae
Yádiłhił yiiyídíʼ nahosdzáán yináádáłiʼ	Station spatiale internationale
Tó wónaanídę́ę́ʼ toohjįʼ noołnahii	Héron cendré
Hashkʼaan dijéʼé	Phoenix dactylifera
Wááshindoon (Ałtsʼáʼáztiin)	Washington
Bidił Daazdoígíí dóó Daʼalghałígíí	Carnivora
Chʼoshtsoh	Blattaria
Dlǫ́ʼii yázhí	Belette
Tsʼíʼii dóó Tséʼédǫ́ʼii	Diptera
Biniiʼłigaii (néʼéshjaaʼ)	Chouette effraie
Mąʼii Ndahalinígíí	Canidae
Bijáád Ádaadinígíí	Mollusca
Chʼosh łitsxooí dóó Chʼosh łichííʼí	Coccinellidae
Táłkááʼ naalzheehí	Balbuzard pêcheur
Bizaʼazis Dahólónígíí	Marsupialia
Dlǫ́ʼiiłgaii	Hermine
Naalʼeełí bitsiiʼ dootłʼizhí	Canard colvert
Sǫʼ łóóʼ	Étoile de mer
Giníłbáhí	Autour des palombes
Tʼádootłʼizhii	Geai des chênes
Zhį́ʼii	Grand Corbeau
Táłkááʼ tsʼin Danilínígíí	Crocodilia
Chʼosh bikágí dantłʼizí	Crustacé
Dééł	Gruidae
Chʼosh bitsʼaʼígíí	Bivalvia
Atsá dóó Giní Ndahalinígíí	Falconiformes
Łóóʼ ooshgę́ęzhii	Chondrichthyes
Tániilʼáí	Odonata
Wóláchííʼ yildeełí bikágí ntłʼizí	Pangolin
Gah Danilínígíí	Lagomorpha
Tsísʼnátsoh	Bombus
Hazéí yiltseeʼí	Achillée millefeuille
Chʼosh bikǫʼí	Lampyridae
Zéédzísgaii	Faisan de Colchide
Dlǫ́ʼii Ndahalinígíí	Mustelidae
Tsin yiłkaałii	Picidae
Bideeʼtsʼinígíí	Bovidae
Dééł dóó Tóidoozohii Ndahalinígíí	Gruiformes
Gáagii dóó Joogii Ndahalinígíí	Corvidae
Chʼiltaatʼagii	Busard Saint-Martin
Tsin naaʼeeł diné bee nágéhéʼ	Ferry (bateau)
Gad	Genévrier
Jááłánii	Myriapoda
Biishchʼid Dahólónígíí	Placentalia
Chʼosh Deildeełii	Insectivora
Tó wónaanídę́ę́ʼ naalʼeełítsoh łibáhígíí	Oie cendrée
Tónteel dóó Tábąąhgi Tsídii	Charadriiformes
Ńdíshchíitah dlǫ́ʼii	Martre des pins
Biyaatsʼiin Dahólónígíí	Gnathostomata (Vertebrata)
Tooh łéʼétsoh	Rat musqué
Chaatʼíní	Oseille commune
Łóóʼ hashkéhé dootłʼizhígíí	Requin bleu
Wóʼatsʼǫǫsii Ádaatʼéhígíí	Hemiptera
Atsáłgaii	Buse pattue
Béégashiiʼilí	Yak
Tó wónaanídę́ę́ʼ dlǫ́ʼii	Mustela putorius
Tsxį́į́łnaalkʼįhii	Apodidae
Dziłditłʼoii Bił Hahoodzo	Comté de San Juan (Utah)
Hakʼaz naalʼeełí	Eider à duvet
Naalʼeełítsoh bitsiiʼ halzhinígíí	Bernache du Canada
Chʼó	Picea
Łóóʼtsoh łizhin dóó łigaígíí	Orque
Jáádtsʼósí	Recurvirostridae
Téél dzítsooii dóó Tsétah chʼosh	Carabidae
Naalʼeełítsoh diłhiłígíí	Bernache cravant
Tábąąh dlǫ́ʼii	Vison d'Amérique
Dlǫ́ʼii bitéél halgaií	Fouine
Tábąąstííntsoh łibáhígíí	Phoque gris
Naakaii Łizhiní Bikéyahdi Hadahóólįįdígíí	Afrotheria
Diné Nááhódlóonii bizaad	Langues athapascanes
Łį́į́ʼ bitsísʼná	Oestridae
Tónteel tsídii	Laridae
Ałtį́į́ jikʼáshí (chʼil)	Equisetum
Hazaʼaleehtsoh (dííshjį́ ááłjiní)	Céleri
Kʼaalógii dóó Iichʼąhii	Lepidoptera
Díłdánii yił aheełtʼéhii	Caille des blés
Chʼałdą́ą́ʼ / Jádí nátʼoh (chʼil daadánígíí)	Asperge
Tséʼédǫ́ʼii dootłʼizhí	Calliphoridae
Jaaʼabaní Danilínígíí	Chiroptera
Wóónałchídii	Elateridae
Tsídii bidaanézí	Cigogne
Dlǫ́ʼii	Mustela
Lókʼaaʼ	Roseau commun
Tsídiiłbáhí	Passeridae
Biłʼeʼeliníʼ	Levure chimique
Táłtłʼááh chʼoshchilí	Euphausiacea
Tsiiʼyiishbizhí Dinéʼiʼ Bikéyah	Monde chinois
Naalʼeełí binááʼ łitsooígíí	Garrot à œil d'or
Tábąąstíín	Loutre d'Europe
Jélii łóóʼ	Méduse (animal)
Náshdóíłgaii łikizhígíí	Once (félin)
Tábąąstííntsoh Danilínígíí	Pinnipède
Dlǫ́ǫ́ʼ	Chien de prairie
Náshdóí bijaałizhiní	Caracal
Chʼóhojilyééh	Datura stramonium
Chʼah Diʼilii Bikéyahdę́ę́ʼ naalʼeełítsoh	Oie cygnoïde
Tsídii yáłtiʼí	Psittaciformes
Tééh łį́į́ʼ	Zèbre
Náshdóí łikizhígíí	Ocelot
Dííłdzid jeeshóóʼ	Percnoptère
Tʼáadoo leʼé danílʼį́ bił hazʼą́	Musée
Shash łizhin dóó łigaígíí	Panda géant
Shash łigaígíí	Ours blanc
Gaantsʼosí	Crinoidea
Hastiin alą́ąjįʼ dahsidáhígíí Theodore Roosevelt	Theodore Roosevelt
Neeshchʼííłgai	Anacardier
Beeʼódleehí	Piégeage animal
Dilní bee Nidaʼanéhígíí	Instrument de musique
Dééłgai	Cygne
Bikááʼ náʼoobałí	Hélicoptère
Dziʼizítsoh	Motocyclette
Tééhoołtsódii	Hippopotamus amphibius
Séí	Sable
Naakaii Łizhiní Bikéyahdę́ę́ʼ náshdóítsoh łikizhígíí	Léopard
Déélgééd	Rhinocéros
Beeʼeldííl Dahsinil	Albuquerque
Hashkʼaan dootłʼizhí (babáayah)	Papayer
Chʼil łigaii (atʼééké bijish)	Chou cabus
Náshdóítsoh	Puma
Ásáí dinéʼiʼ	Arabes
