אפריקע	Afrique
אויגוסט	Août
סעפטעמבער	Septembre
אקטאבער	Octobre
נאוועמבער	Novembre
דעצעמבער	Décembre
דינסטיק	Mardi
מיטוואך	Mercredi
דאנערשטיק	Jeudi
פרייטיק	Vendredi
זונטיק	Dimanche
לייב	Lion
פראנקרייך	France
עספעראנטא	Espéranto
הונט	Chien
פאראייניגטע קעניגרייך	Royaume-Uni
קאץ	Chat
כינע	Chine
פראנצויזיש	Français
וויקיווערטערבוך	Wiktionnaire
פיש	Poisson
עטאנאל	Éthanol
אלקאהאליש געטראנק	Boisson alcoolisée
בראזיל	Brésil
אלקאהאל	Alcool (chimie)
פראנצווא האלאנד	François Hollande
רוסלאנד	Russie
וואלפיש	Cetacea
אפטישע פיברע	Fibre optique
קוואדראט	Carré
ים	Mer
שווארצער ים	Mer Noire
פי	Pi
פי (אות)	Pi (lettre grecque)
וויקי	Wiki
טאראנטא	Toronto
אלאבאמא	Alabama
סאו פאולא	São Paulo
קוויבעק	Québec
פיצא	Pizza
וויקימעדיע פונדאציע	Wikimedia Foundation
זשימי וויילס	Jimmy Wales
דייטשלאנד	Allemagne
בעלארוס	Biélorussie
דייטשיש	Allemand
איסלאנד	Islande
גאט	Dieu
עסטלאנד	Estonie
דייוויד קאמעראן	David Cameron
סאטורן	Saturne (planète)
שאקאלאד	Chocolat
עראפלאן	Avion
מלחמה	Guerre
1 (נומער)	1 (nombre)
2 (נומער)	2 (nombre)
3 (נומער)	3 (nombre)
4 (נומער)	4 (nombre)
5 (נומער)	5 (nombre)
0 (נומער)	Zéro
אומענדלעכקייט	Infini
סטיוון הארפער	Stephen Harper
דזשארדזש וו. בוש	George W. Bush
גראדעק	Rectangle
לעטלאנד	Lettonie
אוקראינע	Ukraine
טשעכיי	République tchèque
סלאוואקיי	Slovaquie
סלאוועניע	Slovénie
ווילנע	Vilnius
מאלדאווע	Moldavie
רומעניע	Roumanie
בולגאריע	Bulgarie
רוים	Rome
מאקעדאניע	Macédoine (pays)
אלבאניע	Albanie
גרינלאנד	Groenland
קראאטיע	Croatie
באסניע און הערצעגאווינע	Bosnie-Herzégovine
אזערביידזשאן	Azerbaïdjan
אנדארע	Andorre
ציפערן	Chypre (pays)
גרוזיע	Géorgie (pays)
וואלאניע	Région wallonne
קאזאכסטאן	Kazakhstan
מאלטא	Malte
פלאנדערן	Flandre (Belgique)
מאנאקא	Monaco
מאנטענעגרא	Monténégro
וואטיקאן	Vatican
סאן מארינא	Saint-Marin
בריסל	Ville de Bruxelles
בריסל ראיאן	Région de Bruxelles-Capitale
קובא	Cuba
בעליז	Belize
אייפל טורעם	Tour Eiffel
קלאוויאטור	Clavier d'ordinateur
אינדאנעזיע	Indonésie
וואלפגאנג אמאדעוס מאצארט	Wolfgang Amadeus Mozart
לודוויג וואן בעטהאוון	Ludwig van Beethoven
טערקיש	Turc
דרום אפריקע	Afrique du Sud
אלזשיר	Algérie
וויקיביבליאטעק	Wikisource
הוראגאן סענדי	Ouragan Sandy
אוזבעקיסטאן	Ouzbékistan
פויזן	Poznań
טאשקענט	Tachkent
ווארשע	Varsovie
וויסקי	Whisky
וויין	Vin
וואסער	Eau
קאניאק	Cognac (Charente)
האלץ	Bois
טעלעוויזיע	Télévision
געשלעכט	Sexe
פארנאגראפיע	Pornographie
קלאד מאנע	Claude Monet
דיעגא וועלאזקעז	Diego Vélasquez
טשילע	Chili
יעזוס	Jésus-Christ
עלוויס פרעסלי	Elvis Presley
סעוואסטיאן פיניערא	Sebastián Piñera
גאלילעא גאלילעי	Galilée (savant)
מערקור	Mercure (planète)
היסטאריע	Histoire
עפל (פירמע)	Apple
ווענוס	Vénus (planète)
שפראך	Langage
ליבע	Amour
דיקטאטור	Dictature
גאלאקסיע	Galaxie
יופיטער	Jupiter (planète)
מיטשעל באטשעלעט	Michelle Bachelet
מילכיגער וועג	Voie lactée
ביג בענג	Big Bang
אוראנוס	Uranus (planète)
ענגלישע וויקיפעדיע	Wikipédia en anglais
ניקאלא סארקאזי	Nicolas Sarkozy
נעפטון	Neptune (planète)
אסטראנאמיע	Astronomie
סינגאפור	Singapour
וויסנשאפט	Science
קאסמאלאגיע	Cosmologie
פלוטאן	Pluton (planète naine)
מאנטרעאל	Montréal
ליכטנשטיין	Liechtenstein
ספארט	Sport
אדאלף היטלער	Adolf Hitler
פייסבוק	Facebook
ערשטע וועלט מלחמה	Première Guerre mondiale
צווייטע וועלט-מלחמה	Seconde Guerre mondiale
קעלן	Cologne
וויקיביכער	Wikibooks
וואדקע	Vodka
זייגער	Horloge
אובונטו	Ubuntu
סקאפיע	Skopje
לינוקס	Linux
שטעטין	Szczecin
מאטעמאטיק	Mathématiques
לאטיין	Latin
באכריין	Bahreïn
ארמעניע	Arménie
סערביע	Serbie
לבנה	Lune
סטאמבול	Istanbul
אויסטראליע	Australie
פיזיק	Physique
ארגענטינע	Argentine
טעלעקאמוניקאציע	Télécommunications
פערו	Pérou
ביאלאגיע	Biologie
אומאידענטיפיצירטער פליענדער אביעקט	Objet volant non identifié
צפון קארעע	Corée du Nord
קאמבאדיע	Cambodge
קאראן	Coran
דינאזאווער	Dinosaure
זאאלאגיע	Zoologie
איסלאם	Islam
באטאניק	Botanique
לעך וואלענסא	Lech Wałęsa
ראד	Roue
שכל	Esprit
פרידן	Paix
ליאן	Lyon
אייראפעישער פארבאנד	Union européenne
פלאוודיוו	Plovdiv
World Wide Web	World Wide Web
פרוי	Femme
סאפיע	Sofia
דאן קיכאטע	Don Quichotte
דיכטונג	Poésie
פוילקייט	Paresse
קאמפיוטער ווירוס	Virus informatique
שמייכל	Sourire
ביל מאהער	Bill Maher
מילאן	Milan
פריינטשאפט	Amitié
זכרון	Mémoire (psychologie)
טורין	Turin
צואה	Matière fécale
לימענע	Citron
באנאן	Banane
בלום	Fleur
גוגאל	Gogol (nombre)
וולאדימיר וויסאצקי	Vladimir Vyssotski
עווערעסט	Everest
אנאטאמיע	Anatomie
שטאט	Ville
נאפאלעאן באנאפארטע	Napoléon Ier
פיזיאלאגיע	Physiologie
שטערן	Étoile
זון	Soleil
הימל	Ciel
לואי פאסטער	Louis Pasteur
ליכט יאר	Année-lumière
דארף	Village
וויקטאר הוגא	Victor Hugo
אקעאניע	Océanie
אטלעטיק	Athlétisme
צענזור	Censure
זון סיסטעם	Système solaire
באלטישער ים	Mer Baltique
ווייסל	Vistule
שאמס עליזע	Avenue des Champs-Élysées
הידראגען	Hydrogène
העליום	Hélium
צאן	Dent humaine
וויקיקאמאנס	Wikimedia Commons
אנגעלא מערקל	Angela Merkel
ליטיום	Lithium
בעריליום	Béryllium
בוך	Livre (document)
טאג	Jour
מזרח טימאר	Timor oriental
נאכט	Nuit
יאר	Année (calendrier)
יארהונדערט	Siècle
לאדזש	Łódź
מאן בלאנק	Mont Blanc
ריין (טייך)	Rhin
אסלא	Oslo
באן, דייטשלאנד	Bonn
קאטאוויץ	Katowice
שווארצע לאך	Trou noir
צערעס	(1) Cérès
ליסבאן	Lisbonne
ריישע	Rzeszów
איטשירא סוזוקי	Ichiro Suzuki
מייקל בלומבערג	Michael Bloomberg
סעקס	Comportement sexuel humain
דוביי	Dubaï (émirat)
ליאנעל מעסי	Lionel Messi
באר (עלעמענט)	Bore
ניקאליי קאפערניק	Nicolas Copernic
ווערסיי	Versailles
קוילנשטאף	Carbone
וואלגא	Volga
אזאט	Azote
זויערשטאף	Oxygène
פלאנעט	Planète
מוזיק	Musique
ווענעציע	Venise
שארם אל שייך	Charm el-Cheikh
נעווא טייך	Neva
ליל	Lille
מאסקווע	Moscou
פלואר	Fluor
איטאליעניש	Italien
נעאן	Néon
פעטערבורג	Saint-Pétersbourg
טשאד (לאנד)	Tchad
נאטריום	Sodium
צפון	Nord
מאגנעזיום	Magnésium
אלומיניום	Aluminium
ניו זילאנד	Nouvelle-Zélande
דרום	Sud
אינדיע	Inde
סיליציום	Silicium
פאספאר	Phosphore
פראזע (ליטעראטור)	Prose
אייזן	Fer
מערב	Ouest
שוועבל	Soufre
מיזרח	Est
סאלאמאן אינזלען	Salomon (pays)
מאליער	Molière
כלאר	Chlore
דעלפט	Delft
וויליאם שייקספיר	William Shakespeare
משל	Fable
ארגאן (עלעמענט)	Argon
Mozilla Firefox	Mozilla Firefox
קאליום	Potassium
קאלציום	Calcium
בליי	Plomb
מאנגאליי	Mongolie
פידזשי	Fidji
סקאנדיום	Scandium
טיטאניום	Titane
ווענעזועלע	Venezuela
שאך (שפיל)	Échecs
דזשינגיס כאן	Gengis Khan
וואנאדיום	Vanadium
מעין	Maine (État)
כראם	Chrome
פערד	Cheval
אמסטערדאם	Amsterdam
געווער	Arme
בעלי חיים	Animal
סורינאם	Suriname
מאנגאן	Manganèse
פאראגוויי	Paraguay
גויאנע	Guyana
קונסט	Art
עקוואדאר	Équateur (pays)
רעניום	Rhénium
קאלאמביע	Colombie
קאבאלט	Cobalt
וואלפראם	Tungstène
ניקל	Nickel
טרוסקאווקע	Fragaria
בודהיזם	Bouddhisme
באליוויע	Bolivie
אסמיום	Osmium
קופער	Cuivre
פלאנץ	Plante
צינק	Zinc
ניו העמפשער	New Hampshire
ביאליסטאק	Białystok
לעאנארדא דא ווינטשי	Léonard de Vinci
שוואם	Fungi
דזשאמייקע	Jamaïque
מאסאטשוסעטס	Massachusetts
גוואטעמאלע	Guatemala
גוגל כראם	Google Chrome
באהאמאס	Bahamas
קאנעטיקעט	Connecticut
האן	Gallus gallus domesticus
האוואי	Hawaï
האנדוראס	Honduras
דאמיניקאנישע רעפובליק	République dominicaine
חזיר	Porc
ארקטישער אקעאן	Océan Arctique
האיטי	Haïti
על סאלוואדאר	Salvador
איראן	Iran
שטות	Stupidité
איראק	Irak
אלאסקע	Alaska
קלוגשאפט	Sagesse
קאסטא ריקא	Costa Rica
ישראל	Israël
צאנז	Nowy Sącz
פאנאמא	Panama
תימן	Yémen
ווירוס	Virus
פויליש	Polonais
יארדאניע	Jordanie
ניקאראגוא	Nicaragua
פלארידע	Floride
קירגיזסטאן	Kirghizistan
אריזאנע	Arizona
קואווייט	Koweït
לאאס	Laos
לבנון	Liban
ארעגאן	Oregon
מאלדיוון	Maldives
אמעריקע	Amérique
יוטא	Utah
אקס	Bos taurus
מאלייזיע	Malaisie
מיאנמאר	Birmanie
נעפאל	Népal
אמאן	Oman
פאקיסטאן	Pakistan
דזשעימס באנד	James Bond
קאטאר	Qatar
טעניס	Tennis
סאודי אראביע	Arabie saoudite
סרי לאנקא	Sri Lanka
יאזעף סטאלין	Joseph Staline
סיריע	Syrie
פלאטאן	Platon
גאליום	Gallium
טאדזשיקיסטאן	Tadjikistan
רעפובליק פון כינע	Taïwan
יוטוב	YouTube
גערמאניום	Germanium
אריסטו	Aristote
טיילאנד	Thaïlande
באן	Train
ארסעניק	Arsenic
ראדיא	Radiodiffusion
טורקמעניסטאן	Turkménistan
סעלעניום	Sélénium
אירידיום	Iridium
פאראייניגטע אראבישע עמיראטן	Émirats arabes unis
בראם	Brome
פלאטין	Platine
וויעטנאם	Viêt Nam
טשארלי טשאפלין	Charlie Chaplin
דרום קארעע	Corée du Sud
די סימפסאנס	Les Simpson
קריפטאן	Krypton
אפגאניסטאן	Afghanistan
רובידיום	Rubidium
גאלד	Or
סועץ קאנאל	Canal de Suez
באנגלאדעש	Bangladesh
פראנץ קאפקא	Franz Kafka
טשעליאבינסק	Tcheliabinsk
כארכע לויס בארכעס	Jorge Luis Borges
מאלי	Mali
סאקראטעס	Socrate
אנגאלא	Angola
בהוטאן	Bhoutan
טוויטער	Twitter
ברוניי	Brunei
טאנזאניע	Tanzanie
קוועקזילבער	Mercure (chimie)
ראאלד אמונדסען	Roald Amundsen
הארי מוליש	Harry Mulisch
פיליפינען	Philippines
צענטראל-אפריקאנישע רעפובליק	République centrafricaine
טאליום	Thallium
דרום פאלוס	Pôle Sud
צפון פאלוס	Pôle Nord
אייזיק ניוטאן	Isaac Newton
אלבערט איינשטיין	Albert Einstein
סטראנטיום	Strontium
איטריום	Yttrium
ביסמוט	Bismuth
געל	Jaune
קוואנטן-מעכאניק	Mécanique quantique
טאגא	Togo
טוניסיע	Tunisie
זאמביע	Zambie
זימבאבווע	Zimbabwe
בייזשינג	Pékin
דרום סודאן	Soudan du Sud
וולאדיוואסטאק	Vladivostok
בענין	Bénin
באצוואנע	Botswana
וויקינייעס	Wikinews
בורקינע פאסא	Burkina Faso
בורונדי	Burundi
קאמאראס	Comores (pays)
רעפובליק פון קאנגא	République du Congo
דעמאקראטישע רעפובליק פון קאנגא	République démocratique du Congo
סאן אנטאניא	San Antonio
דזשיבוטי	Djibouti
פאלאניום	Polonium
בייערן	Bavière
עקוואטארישע גינע	Guinée équatoriale
באדן-ווירטמבורג	Bade-Wurtemberg
עריטרעא	Érythrée
ניי דעלי	New Delhi
פיאדאר דאסטאיעווסקי	Fiodor Dostoïevski
טביליסי	Tbilissi
אנדריי סאכאראוו	Andreï Sakharov
גאבאן	Gabon
מאהענדאס קערעמטשענד גאנדי	Mohandas Karamchand Gandhi
קאמיקס	Bande dessinée
די גאמביע	Gambie
גינע	Guinée
גינע-ביסאו	Guinée-Bissau
בארטן פון העלפאנדביין	Côte d'Ivoire
קאמערון	Cameroun
קאפווערדישע אינזלען	Cap-Vert
לעסאטא	Lesotho
ליבעריע	Liberia
ליביע	Libye
מאדאגאסקאר	Madagascar
מאלאווי	Malawi
שטוטגארט	Stuttgart
מאריטאניע	Mauritanie
מאריציוס	Maurice (pays)
מאראקא	Maroc
מאזאמביק	Mozambique
נאמיביע	Namibie
ניזשער	Niger
ניגעריע	Nigeria
טשארלס דארווין	Charles Darwin
אוגאנדע	Ouganda
רוואנדע	Rwanda
צירקאניום	Zirconium
סאא טאמע און פרינסיפע	Sao Tomé-et-Principe
קארלסרוע	Karlsruhe
סענעגאל	Sénégal
סיישעל	Seychelles
קארל פאן לינע	Carl von Linné
סיערע לעאנע	Sierra Leone
סאמאליע	Somalie
דזשאווארהארלאל נעהרו	Jawaharlal Nehru
יוליוס קייסער	Jules César
סודאן	Soudan
סוואזילאנד	Swaziland
רעגנבויגן	Arc-en-ciel
האמבורג	Hambourg
מעטאבאליזם	Métabolisme
נארענדרא מאדי	Narendra Modi
אימון-סיסטעם	Système immunitaire
גודזשאראט	Gujarat
עוואלוציע	Évolution (biologie)
פאראייניגטע פעלקער	Organisation des Nations unies
דאנטע אליגערי	Dante Alighieri
געאלאגיע	Géologie
געאגראפיע	Géographie
הארץ	Cœur
מוח	Cerveau
הויט	Peau
קאליר	Couleur
סובסטאנטיוו	Substantif
פראג	Prague
רוטעניום	Ruthénium
רהאדיום	Rhodium
בלוי	Bleu
פאלאדיום	Palladium (chimie)
זילבער	Argent
קאדמיום	Cadmium
שטערן רייזע	Star Trek
אינדיום	Indium
צין	Étain
אוראניום	Uranium
שפיזגלאז	Antimoine
טעלור	Tellure
פלוטאניום	Plutonium
יאד	Iode
קסענאן	Xénon
אנימע	Anime
צעז	Césium
באריום	Baryum
טאנטאלום	Tantale (chimie)
ביל קלינטאן	Bill Clinton
ראדיום	Radium
ראדאן	Radon
לאטארינגיע	Lorraine
עלזאס	Alsace
העקטאר בערליאז	Hector Berlioz
מומביי	Bombay
אנדרא פראדעש	Andhra Pradesh
ארונאטשאל פראדעש	Arunachal Pradesh
אסאם	Assam
מישיגן	Michigan
טשאטיסגארה	Chhattisgarh
האריאנא	Haryana
אקוויטאניע	Aquitaine
דזשארקהאנד	Jharkhand
קארנאטאקא	Karnataka
קעראלא	Kerala
מאדהיא פראדעש	Madhya Pradesh
מאהאראשטרא	Maharashtra
מעקלענבורג-מערב פאמעראניע	Mecklembourg-Poméranie-Occidentale
אונטער-זאקסן	Basse-Saxe
נארד ריין-וועסטפאליע	Rhénanie-du-Nord-Westphalie
העסע	Hesse (Land)
ריינלאנד-פאלץ	Rhénanie-Palatinat
זאקסן	Saxe (Land)
אילינוי	Illinois
טורינגיע	Thuringe
זאקסן-אנהאלט	Saxe-Anhalt
צפון דעקאטע	Dakota du Nord
בראנדנבורג	Brandebourg
דרום דעקאטע	Dakota du Sud
מאנטענע	Montana
וויאמינג	Wyoming
ירושלים	Jérusalem
איידעהא	Idaho
וואשינגטאן	Washington (État)
נעוואדא	Nevada
אינדישער אקעאן	Océan Indien
קאראיבישער ים	Mer des Caraïbes
קורט וואלדהיים	Kurt Waldheim
קאלאראדא	Colorado
פרעדעריק שאפען	Frédéric Chopin
לענארד כהן	Leonard Cohen
קאַטעגאָריע:אינהאלט	Catégorie:Accueil
אלפן	Alpes
קארפאטן בערג	Carpates
גרענאבלע	Grenoble
שיקאגא	Chicago
די ביטלס	The Beatles
ווינטער	Hiver
פרילינג	Printemps
זומער	Été
הארבסט	Automne
סאדאם כוסעין	Saddam Hussein
אסאמא בין לאדען	Oussama ben Laden
שפאניש	Espagnol
מאנטעווידעא	Montevideo
יאהאן זעבאסטיאן באך	Johann Sebastian Bach
אנטאניא וויוואלדי	Antonio Vivaldi
פיטסבורג	Pittsburgh
אפערע	Opéra
פילאדעלפיע	Philadelphie
קאלקאטא	Calcutta
דעלהי	Delhi
דאקא	Dacca
שפין	Araneae
ארטראפאד	Arthropode
איסלאמאבאד	Islamabad
פרוכט	Fruit (botanique)
מאלפע	Singe
געלט	Monnaie
ווירדזשיניע	Virginie (État)
וועסט ווירדזשיניע	Virginie-Occidentale
מאטערהארן	Cervin
ניו יארק	État de New York
ראוד איילענד	Rhode Island
אינסעקט	Insecte
מארילאנד	Maryland
דעלעווער	Delaware
וולאדימיר לענין	Vladimir Ilitch Lénine
אהאיא	Ohio
ווערגיל	Virgile
ניקאלא מאקיאוועלי	Nicolas Machiavel
פענסילוועניע	Pennsylvanie
איטערזען	Uetersen
אויגוסטוס	Auguste
Windows	Microsoft Windows
ניו זשערסי	New Jersey
גיבראלטאר	Gibraltar
פיניש	Finnois
אינדיאנע	Indiana
אויטאמאביל	Automobile
טריאנוס	Trajan
דזשארדזיע	Géorgie (États-Unis)
זאגרעב	Zagreb
ראדזשאסטהאן	Rajasthan
טעקסאס	Texas
טאמיל נאדו	Tamil Nadu
יאנאווע (איטאליע)	Gênes
ברונא מארס	Bruno Mars
צפון קאראליינע	Caroline du Nord
דרום קאראליינע	Caroline du Sud
סיציליע	Sicile
מאנילא	Manille
סארדיניע	Sardaigne
סעבו	Cebu (ville)
בארדא	Bordeaux
קארי אקינא	Corazon Aquino
בוענאס איירעס	Buenos Aires
מעקסיקא שטאט	Mexico
טאקיא	Tokyo
לא פאז	La Paz
בארצעלאנע	Barcelone
אנאנאס	Ananas
מיסיסיפי	Mississippi (État)
פערדינאנד מאגעלאן	Fernand de Magellan
מיסיסיפי טייך	Mississippi (fleuve)
אוטאר פראדעש	Uttar Pradesh
אוטאראקהאנד	Uttarakhand
שווים באסיין	Piscine
טענעסי	Tennessee
ריכארד וואגנער	Richard Wagner
אבידזשאן	Abidjan
אסטאנא	Astana
ניו מעקסיקא	Nouveau-Mexique
אטען	Athènes
מינעסאטע	Minnesota
באגדאד	Bagdad
קאראקאס	Caracas
וויסקאנסין	Wisconsin
אייאווע	Iowa
נעבראסקא	Nebraska
גוואטעמאלע שטאט	Guatemala (ville)
קענזעס	Kansas
האוואנע	La Havane
טאבאק	Tabac
אינטערנעט עקספלארער	Internet Explorer
ציגאר	Cigare
פאפיראס	Cigarette
מיזורי	Missouri (État)
לואיזיאנא	Louisiane
קענטאקי	Kentucky
ארקענסא	Arkansas
ניל ארמסטראנג	Neil Armstrong
אורדו	Ourdou
עדיט פיאף	Édith Piaf
אקלעהאמע	Oklahoma
דוניי	Danube
צפון ים	Mer du Nord
האנאווער	Hanovre
מיינץ	Mayence
וויסבאדן	Wiesbaden
ראגוזא	Dubrovnik
זארבריקן	Sarrebruck
מינכן	Munich
ערפורט	Erfurt
דרעזדן	Dresde
וויען	Vienne (Autriche)
מאדאנא	Madonna
קאפנהאגן	Copenhague
קאלינינגראד אבלאסט	Oblast de Kaliningrad
שטאקהאלם	Stockholm
העלסינקי	Helsinki
דובלין	Dublin
רעקיאוויק	Reykjavik
טאלין	Tallinn
ריגע	Riga
לואי ארמסטראנג	Louis Armstrong
בראטיסלאווא	Bratislava
בודאפעשט	Budapest
דאנציג	Gdańsk
פראנקפורט	Francfort-sur-le-Main
ברעסלוי	Wrocław
קאטאליציזם	Catholicisme
ביבל	Bible
הא טשי מין שטאט	Hô-Chi-Minh-Ville
האנוי	Hanoï
ישוס ריכטיגע קירכע	Véritable Jésus Église
ענגליש	Anglais
באנגקאק	Bangkok
אדעס	Odessa
קאנסעפסיאן	Concepción (Chili)
דיפלאמאטיע	Diplomatie
קיעוו	Kiev
אנטעריא	Ontario
אטאווא	Ottawa
דזשובא	Djouba
מאניטאבא	Manitoba
אלבערטא	Alberta
נאווע סקאשע	Nouvelle-Écosse
יערעוואן	Erevan
קאנסקאוואלע	Końskowola
דאר עס סאלאאם	Dar es Salam
ניו בראנזוויק	Nouveau-Brunswick
בריטישע קאלומביע	Colombie-Britannique
2000	2000
2003	2003
2002	2002
2001	2001
סאסקאטשעווען	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
קוילן זייערס	Dioxyde de carbone
2013	2013
2014	2014
2015	2015
נייפונדלאנד און לאבראדאר	Terre-Neuve-et-Labrador
2008	2008
נארדוועסט טעריטאריעס	Territoires du Nord-Ouest
יוקאן	Yukon
2004	2004
וויקיטרעוול	Wikitravel
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
שארל דע גאל	Charles de Gaulle
1902	1902
פירענצע	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
נירנבערג	Nuremberg
1999	1999
1917	1917
1918	1918
עסנווארג	Nourriture
דיסבורג	Duisbourg
שלאנג	Serpentes
זשאק שיראק	Jacques Chirac
גיך פון ליכט	Vitesse de la lumière
ארעל סעקס	Sexualité orale
אשפג	LOL (argot internet)
1טן יאנואר	1er janvier
2טן יאנואר	2 janvier
1920	1920
3טן יאנואר	3 janvier
1919	1919
1921	1921
1922	1922
4טן יאנואר	4 janvier
1923	1923
ביאביא ראיאן	Région du Biobío
1924	1924
קארליק פלאנעט	Planète naine
5טן יאנואר	5 janvier
אריקא	Arica (Chili)
מאלמע	Malmö
6טן יאנואר	6 janvier
עלעקטראן	Électron
7טן יאנואר	7 janvier
8טן יאנואר	8 janvier
9טן יאנואר	9 janvier
10טן יאנואר	10 janvier
11טן יאנואר	11 janvier
12טן יאנואר	12 janvier
13טן יאנואר	13 janvier
בירמינגהאם	Birmingham
14טן יאנואר	14 janvier
15טן יאנואר	15 janvier
16טן יאנואר	16 janvier
17טן יאנואר	17 janvier
18טן יאנואר	18 janvier
19טן יאנואר	19 janvier
20סטן יאנואר	20 janvier
אינדוסטריעלע רעוואלוציע	Révolution industrielle
21סטן יאנואר	21 janvier
22סטן יאנואר	22 janvier
23סטן יאנואר	23 janvier
רוימישע אימפעריע	Empire romain
24סטן יאנואר	24 janvier
25סטן יאנואר	25 janvier
מינסק	Minsk
26סטן יאנואר	26 janvier
מייקראסאפט	Microsoft
27סטן יאנואר	27 janvier
28סטן יאנואר	28 janvier
29סטן יאנואר	29 janvier
30סטן יאנואר	30 janvier
31סטן יאנואר	31 janvier
פראטאן	Proton
2טן דעצעמבער	2 décembre
1טן דעצעמבער	1er décembre
3טן דעצעמבער	3 décembre
7טן דעצעמבער	7 décembre
5טן דעצעמבער	5 décembre
8טן דעצעמבער	8 décembre
10טן דעצעמבער	10 décembre
6טן דעצעמבער	6 décembre
9טן דעצעמבער	9 décembre
פינק פלויד	Pink Floyd
4טן דעצעמבער	4 décembre
1טן פעברואר	1er février
2טן פעברואר	2 février
3טן פעברואר	3 février
קאריוו	Kurów
4טן פעברואר	4 février
5טן פעברואר	5 février
6טן פעברואר	6 février
7טן פעברואר	7 février
8טן פעברואר	8 février
9טן פעברואר	9 février
10טן פעברואר	10 février
כעמיע	Chimie
14טן פעברואר	14 février
13טן פעברואר	13 février
15טן פעברואר	15 février
11טן פעברואר	11 février
12טן פעברואר	12 février
סמאלענסק	Smolensk
19טן פעברואר	19 février
17טן פעברואר	17 février
16טן פעברואר	16 février
18טן פעברואר	18 février
20סטן פעברואר	20 février
אנאליטישע כעמיע	Chimie analytique
נייטראן	Neutron
21סטן פעברואר	21 février
22סטן פעברואר	22 février
23סטן פעברואר	23 février
24סטן פעברואר	24 février
25סטן פעברואר	25 février
26סטן פעברואר	26 février
27	27
27סטן פעברואר	27 février
28סטן פעברואר	28 février
11טן דעצעמבער	11 décembre
29סטן פעברואר	29 février
12טן דעצעמבער	12 décembre
וויזועל בייסיק	Visual Basic
13טן דעצעמבער	13 décembre
14טן דעצעמבער	14 décembre
15טן דעצעמבער	15 décembre
2טן מערץ	2 mars
3טן מערץ	3 mars
5טן מערץ	5 mars
1טן מערץ	1er mars
7טן מערץ	7 mars
8טן מערץ	8 mars
4טן מערץ	4 mars
10טן מערץ	10 mars
11טן מערץ	11 mars
6טן מערץ	6 mars
13טן מערץ	13 mars
9טן מערץ	9 mars
12טן מערץ	12 mars
15טן מערץ	15 mars
14טן מערץ	14 mars
++C	C++
16טן דעצעמבער	16 décembre
17טן דעצעמבער	17 décembre
16טן מערץ	16 mars
17טן מערץ	17 mars
