Afrika	Afrique
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Kituruki	Turc
Afrika Kusini	Afrique du Sud
Algeria	Algérie
Uzbekistan	Ouzbékistan
Umande jua	Droséra
Tashkent	Tachkent
Warshawa	Varsovie
Modena	Modène
Divai	Vin
Maji	Eau
Ubao	Bois
Tours	Tours
Televisheni	Télévision
Jinsia	Sexe
Diego Velázquez	Diego Vélasquez
Chile	Chili
Yesu	Jésus-Christ
Elvis Presley	Elvis Presley
Galileo Galilei	Galilée (savant)
Utaridi	Mercure (planète)
Historia	Histoire
Zuhura	Vénus (planète)
Lugha	Langage
Pendo	Amour
Udikteta	Dictature
Galaksi	Galaxie
Mshtarii	Jupiter (planète)
Njia nyeupe	Voie lactée
Mlipuko mkuu	Big Bang
Uranus	Uranus (planète)
Bretagne	Bretagne
Wikipedia ya Kiingereza	Wikipédia en anglais
Nicolas Sarkozy	Nicolas Sarkozy
Neptun	Neptune (planète)
Astronomia	Astronomie
Singapuri	Singapour
Sayansi	Science
Pluto	Pluton (planète naine)
Montreal	Montréal
Quimper	Quimper
Bikira Maria	Marie (mère de Jésus)
Ludoviko IX	Louis IX
Liechtenstein	Liechtenstein
Michezo	Sport
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Vita Kuu ya Kwanza ya Dunia	Première Guerre mondiale
Vita Kuu ya Pili ya Dunia	Seconde Guerre mondiale
Köln	Cologne
Saa (ala)	Horloge
Skopje	Skopje
Bob Dylan	Bob Dylan
Hisabati	Mathématiques
U2	U2
Kilatini	Latin
Bahrain	Bahreïn
Armenia	Arménie
Mwandiko wa kikabari	Cunéiforme
Serbia	Serbie
Mwezi (gimba la angani)	Lune
Istanbul	Istanbul
Australia	Australie
Bob Marley	Bob Marley
Fizikia	Physique
Argentina	Argentine
Mawasilianoanga	Télécommunications
Peru	Pérou
Biolojia	Biologie
Korea Kaskazini	Corée du Nord
Kamboja	Cambodge
Ukanda wa Kuiper	Ceinture de Kuiper
Qurani	Coran
Dinosauri	Dinosaure
Zoolojia	Zoologie
Uislamu	Islam
Mpea	Pyrus
Maktaba ya Aleksandria	Bibliothèque d'Alexandrie
Lyublyana	Ljubljana
Botania	Botanique
Lech Wałęsa	Lech Wałęsa
Gurudumu	Roue
Amani	Paix
Encyclopedia Britannica	Encyclopædia Britannica
Lyon	Lyon
Poissy	Poissy
Umoja wa Ulaya	Union européenne
Rhône-Alpes	Rhône-Alpes
Mwanamke	Femme
Sofia	Sofia
Ushairi	Poésie
Virusi za kompyuta	Virus informatique
Milano	Milan
Arthur Rimbaud	Arthur Rimbaud
Torino	Turin
Mkundu	Anus
Kwapa	Aisselle
Limau	Citron
Ndizi	Banane
666	666
Ua	Fleur
Mfereji wa Mariana	Fosse des Mariannes
Vladimir Vysotsky	Vladimir Vyssotski
Everest (mlima)	Everest
Anatomia	Anatomie
Jiji	Ville
Napoleon Bonaparte	Napoléon Ier
Nyota	Étoile
Vesuvio	Vésuve
Jua	Soleil
Mbingu	Ciel
Louis Pasteur	Louis Pasteur
Mwaka wa nuru	Année-lumière
Victor Hugo	Victor Hugo
Australia na Pasifiki	Océanie
Riadha	Athlétisme
Mfumo wa jua na sayari zake	Système solaire
Bahari ya Baltiki	Mer Baltique
Trieste	Trieste
Vistula (mto)	Vistule
Champs-Élysées	Avenue des Champs-Élysées
Meno	Dent
Hidrojeni	Hydrogène
Patti Smith	Patti Smith
Heli	Hélium
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lithi	Lithium
Berili	Béryllium
Kitabu	Livre (document)
Siku	Jour
Timor ya Mashariki	Timor oriental
Usiku	Nuit
Mwaka	Année (calendrier)
Karne	Siècle
Villeurbanne	Villeurbanne
Mont Blanc	Mont Blanc
Rhine	Rhin
Oslo	Oslo
Bonn	Bonn
Shimo jeusi	Trou noir
Luís de Camões	Luís de Camões
1 Ceres	(1) Cérès
Lisbon	Lisbonne
Ichiro Suzuki	Ichiro Suzuki
Mto Rhône	Rhône
Makemake	(136472) Makémaké
Kateri Tekakwitha	Kateri Tekakwitha
Eris (sayari kibete)	(136199) Éris
Dubai	Dubaï (émirat)
Lionel Messi	Lionel Messi
Padova	Padoue
Boroni	Bore
Nicolaus Copernicus	Nicolas Copernic
Versailles	Versailles
Ludwigsburg	Ludwigsbourg
Kaboni	Carbone
Volga (mto)	Volga
Nitrojeni	Azote
Bergamo	Bergame
Oksijeni	Oxygène
Internazionale Milano	FC Internazionale Milano
Sayari	Planète
Kleopatra	Cléopâtre VII
Muziki	Musique
Venezia	Venise
Po (mto)	Pô
Kipimajoto	Thermomètre
Rennes	Rennes
Lille	Lille
Moscow	Moscou
Florini	Fluor
Kiitalia	Italien
Neoni	Néon
Chihuahua (jimbo)	État de Chihuahua
Sankt Peterburg	Saint-Pétersbourg
Chad	Tchad
Natiri	Sodium
Kaskazini	Nord
Magnesi	Magnésium
Alumini	Aluminium
New Zealand	Nouvelle-Zélande
Kusini	Sud
Uhindi	Inde
Silikoni	Silicium
Fransi	Francium
Tuvalu	Tuvalu
Posferi	Phosphore
André-Marie Ampère	André-Marie Ampère
Nathari	Prose
Chuma	Fer
Tonga	Tonga
Magharibi	Ouest
Sulfuri	Soufre
Samoa	Samoa
Mashariki	Est
Visiwa vya Solomon	Salomon (pays)
Vanuatu	Vanuatu
Molière	Molière
Chlorini	Chlore
Delft	Delft
Papua Guinea Mpya	Papouasie-Nouvelle-Guinée
William Shakespeare	William Shakespeare
Ngano (hadithi)	Fable
Zuid-Holland	Hollande-Méridionale
Palau	Palaos
Arigoni	Argon
Nauru	Nauru
Noord-Holland	Hollande-Septentrionale
Shirikisho la Mikronesia	Micronésie (pays)
Kali	Potassium
Zeeland	Zélande
Kalisi	Calcium
Flevoland	Flevoland
Risasi (metali)	Plomb
Visiwa vya Marshall	Îles Marshall
Kiribati	Kiribati
Mongolia	Mongolie
Fiji	Fidji
Skandi	Scandium
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Titani	Titane
Venezuela	Venezuela
Sataranji	Échecs
Chingis Khan	Gengis Khan
Vanadi	Vanadium
Maine	Maine (État)
Chromi	Chrome
Farasi	Cheval
Amsterdam	Amsterdam
Silaha	Arme
Mnyama	Animal
Surinam	Suriname
Manganisi	Manganèse
Paraguay	Paraguay
Guyana	Guyana
Usanii	Art
Ekuador	Équateur (pays)
Reni	Rhénium
Kolombia	Colombie
Kobalti	Cobalt
Wolframi	Tungstène
Nikeli	Nickel
Ubuddha	Bouddhisme
Groningen	Groningue (ville)
Bolivia	Bolivie
Mkoa wa Groningen	Groningue (province)
Shaba	Cuivre
Trinidad na Tobago	Trinité-et-Tobago
Mmea	Plante
Saint Vincent na Grenadini	Saint-Vincent-et-les-Grenadines
Zinki	Zinc
New Hampshire	New Hampshire
Saint Lucia	Sainte-Lucie
Leonardo da Vinci	Léonard de Vinci
Saint Kitts na Nevis	Saint-Christophe-et-Niévès
Kuvu	Fungi
Dario Fo	Dario Fo
Jamaika	Jamaïque
Grenada	Grenade (pays)
Friesland	Frise (province)
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Gueldre (province)
Mkoa wa Utrecht	Utrecht (province)
Bahamas	Bahamas
Connecticut	Connecticut
Kuku	Gallus gallus domesticus
Antigua na Barbuda	Antigua-et-Barbuda
Hawaii	Hawaï
Honduras	Honduras
Dominica	Dominique (pays)
Jersey	Jersey
Jamhuri ya Dominika	République dominicaine
Nguruwe-kaya	Porc
Bahari ya Aktiki	Océan Arctique
Haiti	Haïti
El Salvador	Salvador
Zwolle	Zwolle
Uajemi	Iran
Iraq	Irak
Alaska	Alaska
Assen	Assen
Hekima	Sagesse
Kosta Rika	Costa Rica
Israel	Israël
Utrecht	Utrecht
Panama	Panama
Yemen	Yémen
Virusi	Virus
Kipoland	Polonais
Yordani	Jordanie
Nikaragua	Nicaragua
Florida	Floride
Kirgizia	Kirghizistan
Arizona	Arizona
Kuwait	Koweït
Laos	Laos
Lebanoni	Liban
Oregon	Oregon
Maldivi	Maldives
Amerika	Amérique
Utah	Utah
Ng'ombe	Bos taurus
Malaysia	Malaisie
Valais	Canton du Valais
Myanmar	Birmanie
Nepal	Népal
Andrei Rublev	Andreï Roublev
Omani	Oman
Pakistan	Pakistan
James Bond	James Bond
Qatar	Qatar
Saudia	Arabie saoudite
Sri Lanka	Sri Lanka
Josef Stalin	Joseph Staline
Syria	Syrie
Plato	Platon
Gali	Gallium
Joseph Brodsky	Joseph Brodsky
Tajikistan	Tadjikistan
Jamhuri ya China	Taïwan
YouTube	YouTube
Gerimani	Germanium
Aristoteli	Aristote
Uthai	Thaïlande
Treni	Train
Asenia	Arsenic
Redio	Radiodiffusion
Turkmenistan	Turkménistan
Seleni	Sélénium
Iridi	Iridium
Falme za Kiarabu	Émirats arabes unis
Bromi	Brome
Platini	Platine
Vietnam	Viêt Nam
Charlie Chaplin	Charlie Chaplin
Korea Kusini	Corée du Sud
The Simpsons	Les Simpson
Kriptoni	Krypton
Afghanistan	Afghanistan
J.R.R. Tolkien	J. R. R. Tolkien
Rubidi	Rubidium
Dhahabu	Or
Mfereji wa Suez	Canal de Suez
Bangladesh	Bangladesh
Franz Kafka	Franz Kafka
Chelyabinsk	Tcheliabinsk
Jorge Luis Borges	Jorge Luis Borges
Mali	Mali
Sokrates	Socrate
Angola	Angola
Bhutan	Bhoutan
Brunei	Brunei
Tanzania	Tanzanie
Zebaki	Mercure (chimie)
Roald Amundsen	Roald Amundsen
Ufilipino	Philippines
Jamhuri ya Afrika ya Kati	République centrafricaine
Tali	Thallium
Ncha ya kusini	Pôle Sud
Ncha ya kaskazini	Pôle Nord
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stronti	Strontium
Ytri	Yttrium
Bismuthi	Bismuth
Togo	Togo
Tunisia	Tunisie
John Bardeen	John Bardeen
Zambia	Zambie
Zimbabwe	Zimbabwe
Beijing	Pékin
Sudan Kusini	Soudan du Sud
Benin	Bénin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komori	Comores (pays)
Jamhuri ya Kongo	République du Congo
Alkmaar	Alkmaar
Jamhuri ya Kidemokrasia ya Kongo	République démocratique du Congo
San Antonio, Texas	San Antonio
Jibuti	Djibouti
Poloni	Polonium
Bavaria	Bavière
Guinea ya Ikweta	Guinée équatoriale
Baden-Württemberg	Bade-Wurtemberg
Eritrea	Érythrée
New Delhi	New Delhi
Papa Yohane Paulo II	Jean-Paul II
Fyodor Dostoyevski	Fiodor Dostoïevski
Amersfoort	Amersfoort
Tbilisi	Tbilissi
Astatini	Astate
Gabon	Gabon
Mohandas Karamchand Gandhi	Mohandas Karamchand Gandhi
Solidarity	Solidarność
Kibonzo	Bande dessinée
Gambia	Gambie
Guinea	Guinée
Guinea Bisau	Guinée-Bissau
Cote d'Ivoire	Côte d'Ivoire
Kamerun	Cameroun
Cabo Verde	Cap-Vert
Lesotho	Lesotho
Liberia	Liberia
Libya	Libye
Aachen	Aix-la-Chapelle
Madagaska	Madagascar
Malawi	Malawi
Stuttgart	Stuttgart
Mauritania	Mauritanie
Morisi	Maurice (pays)
Moroko	Maroc
Msumbiji	Mozambique
Namibia	Namibie
Niger	Niger
Nigeria	Nigeria
Charles Darwin	Charles Darwin
Uganda	Ouganda
Rwanda	Rwanda
Zirikoni	Zirconium
Sao Tome na Principe	Sao Tomé-et-Principe
Karlsruhe	Karlsruhe
Senegal	Sénégal
Shelisheli	Seychelles
Carl Linnaeus	Carl von Linné
Sierra Leone	Sierra Leone
Somalia	Somalie
Niobi	Niobium
Jawaharlal Nehru	Jawaharlal Nehru
Julius Caesar	Jules César
Sudan	Soudan
Uswazi	Swaziland
Molibdeni	Molybdène
Tekineti	Technétium
Hamburg	Hambourg
Gujarat	Gujarat
Ziwa Ontario	Lac Ontario
Mageuko ya spishi	Évolution (biologie)
Umoja wa Mataifa	Organisation des Nations unies
Ziwa Superior	Lac Supérieur
Dante Alighieri	Dante Alighieri
Jiolojia	Géologie
Jiografia	Géographie
Moyo	Cœur
Ubongo	Cerveau
Ngozi	Peau
Rangi	Couleur
Salerno	Salerne
Nomino	Substantif
Praha	Prague
Rutheni	Ruthénium
Rodi	Rhodium
Buluu	Bleu
Paladi	Palladium (chimie)
Agenti (fedha)	Argent
Cadimi	Cadmium
Limburg, Uholanzi	Province de Limbourg (Pays-Bas)
Indi	Indium
Stani	Étain
Urani	Uranium
Stibi	Antimoine
Teluri	Tellure
Noord-Brabant	Brabant-Septentrional
Plutoni	Plutonium
Iodini	Iode
Neptuni (elementi)	Neptunium
Xenoni	Xénon
Anime	Anime
Caesi	Césium
Chaji ya umeme	Charge électrique
Bari	Baryum
Hafni	Hafnium
Tantali	Tantale (chimie)
Bill Clinton	Bill Clinton
Radi (elementi)	Radium
Iserlohn	Iserlohn
Radoni	Radon
Lorraine	Lorraine
Alsace	Alsace
Indira Gandhi	Indira Gandhi
Hector Berlioz	Hector Berlioz
Auvergne	Auvergne
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Limburg	Limburg
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Ziwa Michigan	Lac Michigan
Goa	Goa
Bourgogne	Bourgogne
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Aquitaine	Aquitaine
Puerto Rico	Porto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Limousin	Limousin
Maharashtra	Maharashtra
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Pomerini Magharibi	Mecklembourg-Poméranie-Occidentale
Saksonia Chini	Basse-Saxe
Rhine Kaskazini-Westfalia	Rhénanie-du-Nord-Westphalie
Hesse	Hesse (Land)
Rhine-Palatino	Rhénanie-Palatinat
Saar	Sarre (Land)
Saksonia	Saxe (Land)
John Lennon	John Lennon
Illinois	Illinois
Thuringia	Thuringe
Saksonia-Anhalt	Saxe-Anhalt
North Dakota	Dakota du Nord
Brandenburg	Brandebourg
Lombardia	Lombardie
South Dakota	Dakota du Sud
Montana	Montana
Wyoming	Wyoming
Piemonte	Piémont
Yerusalemu	Jérusalem
Idaho	Idaho
Valle d'Aosta	Vallée d'Aoste
Washington	Washington (État)
Bruce Springsteen	Bruce Springsteen
Rutherfordi	Rutherfordium
Nevada	Nevada
Trentino-Alto Adige	Trentin-Haut-Adige
Bahari ya Hindi	Océan Indien
Veneto	Vénétie
Kosovo	Kosovo
Bahari ya Karibi	Mer des Caraïbes
Bohri	Bohrium
Friuli-Venezia Giulia	Frioul-Vénétie julienne
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurie
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Colorado	Colorado
Emilia-Romagna	Émilie-Romagne
Mto Colorado	Colorado (fleuve)
Darmstadti	Darmstadtium
Frédéric Chopin	Frédéric Chopin
Roentgeni	Roentgenium
Toscana	Toscane
Ununbi	Copernicium
Marche	Marches
Umbria	Ombrie
Jamii:Jamii Kuu	Catégorie:Accueil
Lazio	Latium
Abruzzo	Abruzzes
Alpi	Alpes
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Bron	Bron
Dortmund	Dortmund
Gent	Gand
Chicago	Chicago
The Beatles	The Beatles
Ununheksi	Livermorium
Ununsepti	Ununseptium
Como	Côme
Maastricht	Maastricht
Arnhem	Arnhem
Kipindi cha Kiangazi	Été
Sikusare	Équinoxe
Saddam Hussein	Saddam Hussein
Osama bin Laden	Oussama ben Laden
Kihispania	Espagnol
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh, Pennsylvania	Pittsburgh
Opera	Opéra
Philadelphia, Pennsylvania	Philadelphie
Kolkata	Calcutta
Chennai	Chennai
Delhi	Delhi
Dhaka	Dacca
Bangalore	Bangalore
West Bengal	Bengale-Occidental
Buibui (Arithropodi)	Araneae
Arakinida	Arachnida
Arithropodi	Arthropode
Hyderabad	Hyderabad
Islamabad	Islamabad
Tripura	Tripura
Tunda	Fruit (botanique)
Kima	Singe
Pesa	Monnaie
Virginia	Virginie (État)
West Virginia	Virginie-Occidentale
Ziwa Huron	Lac Huron
New York (jimbo)	État de New York
Seri	Cérium
Rhode Island	Rhode Island
Wadudu	Insecte
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Ilitch Lénine
Ohio	Ohio
Vergilio	Virgile
Niccolo Machiavelli	Nicolas Machiavel
Pennsylvania	Pennsylvanie
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augusto	Auguste
Tiberius	Tibère
New Jersey	New Jersey
Kaisari Kaligula	Caligula
Gibraltar	Gibraltar
Kaisari Klaudio	Claude (empereur romain)
Kifini	Finnois
Kaisari Nero	Néron
Galba	Galba
Indiana	Indiana
Kaizari Otho	Othon (empereur romain)
Vitellius	Vitellius
Vespasian	Vespasien
Motokaa	Automobile
Kaizari Titus	Titus (empereur romain)
Domitian	Domitien
Kaizari Nerva	Nerva
Kaizari Traian	Trajan
Roger Federer	Roger Federer
Kaizari Hadrian	Hadrien
Georgia (jimbo)	Géorgie (États-Unis)
Antoninus Pius	Antonin le Pieux
Marcus Aurelius	Marc Aurèle
Commodus	Commode (empereur)
Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rajasthan
Campania	Campanie
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septime Sévère
Molise	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Puglia	Pouilles
Genova	Gênes
Basilicata	Basilicate
North Carolina	Caroline du Nord
South Carolina	Caroline du Sud
Calabria	Calabre
Sisilia	Sicile
Manila	Manille
Sardinia	Sardaigne
Eschwege	Eschwege
Mto Loire	Loire
Mto Seine	Seine
Le Mans	Le Mans
Bordeaux	Bordeaux
Corazon Aquino	Corazon Aquino
Buenos Aires	Buenos Aires
Mexico (mji)	Mexico
Tokyo	Tokyo
La Paz	La Paz
Barcelona	Barcelone
Mississippi	Mississippi (État)
Ferdinand Magellan	Fernand de Magellan
Mto Mississippi	Mississippi (fleuve)
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
José Rizal	José Rizal
Mizoram	Mizoram
Sikkim	Sikkim
Patagonia	Patagonie
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Abidjan	Abidjan
Abu Dhabi	Abou Dabi (ville)
Astana	Astana
New Mexico	Nouveau-Mexique
Athens	Athènes
Minnesota	Minnesota
Baghdad	Bagdad
Caracas	Caracas
Muda sanifu wa dunia	Temps universel coordonné
Wisconsin	Wisconsin
Pune	Pune
Iowa	Iowa
Nebraska	Nebraska
Guatemala City	Guatemala (ville)
Kansas	Kansas
Havana	La Havane
Tumbaku	Tabac
Kihindi	Hindi
Missouri	Missouri (État)
Louisiana	Louisiane
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Édith Piaf	Édith Piaf
Osijek	Osijek
Elbe	Elbe (fleuve)
Rijeka	Rijeka
Oklahoma	Oklahoma
Danubi (mto)	Danube
David Rudisha	David Rudisha
Split	Split
Ezekiel Kemboi	Ezekiel Kemboi
Bahari ya Kaskazini	Mer du Nord
Skagerak	Skagerrak
Moscow Oblast	Oblast de Moscou
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hanovre
Düsseldorf	Düsseldorf
Mainz	Mayence
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Sarrebruck
München	Munich
Samara Oblast	Oblast de Samara
Erfurt	Erfurt
Dresden	Dresde
Magdeburg	Magdebourg
Innsbruck	Innsbruck
Bregenz	Bregenz
Vienna	Vienne (Autriche)
Kopenhagen	Copenhague
Kaliningrad Oblast	Oblast de Kaliningrad
Kaizari Macrinus	Macrin
Stockholm	Stockholm
Helsinki	Helsinki
Murmansk Oblast	Oblast de Mourmansk
Dublin	Dublin
Elagabalus	Héliogabale
Reykjavík	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Sévère Alexandre
Tallinn	Tallinn
Riga	Riga
Maximinus Thrax	Maximin Ier le Thrace
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian I	Gordien Ier
Frankfurt am Main	Francfort-sur-le-Main
Pupienus	Maxime Pupien
Gordian II	Gordien II
Balbinus	Balbin
Kizio astronomia	Unité astronomique
Gordian III	Gordien III
Philippus Mwarabu	Philippe l'Arabe
Kaizari Decius	Dèce
Luxemburg (mji)	Luxembourg (ville)
Disprosi	Dysprosium
Vaduz	Vaduz
Biblia ya Kikristo	Bible
Phnom Penh	Phnom Penh
Mji wa Ho Chi Minh	Hô-Chi-Minh-Ville
Hanoi	Hanoï
True Jesus Church	Véritable Jésus Église
Kiingereza	Anglais
Bangkok	Bangkok
Andorra la Vella	Andorre-la-Vieille
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Arkhangelsk Oblast	Oblast d'Arkhangelsk
Curi	Curium
Dong Hoi	Đồng Hới
Concepción, Chile	Concepción (Chili)
Düren	Düren
Diplomasia	Diplomatie
Bologna	Bologne
Cagliari	Cagliari
Kiev	Kiev
Catania	Catane
Ontario	Ontario
Patrice Evra	Patrice Évra
Samir Nasri	Samir Nasri
Blaise Matuidi	Blaise Matuidi
Ottawa	Ottawa
Nicolas Anelka	Nicolas Anelka
Juba, Sudan	Djouba
Manitoba	Manitoba
Alberta	Alberta
Nova Scotia	Nouvelle-Écosse
Yerevan	Erevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salam
Khartoum	Khartoum
New Brunswick	Nouveau-Brunswick
British Kolumbia	Colombie-Britannique
Prince Edward Island	Île-du-Prince-Édouard
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Dioksidi kabonia	Dioxyde de carbone
2013	2013
2014	2014
2015	2015
Newfoundland and Labrador	Terre-Neuve-et-Labrador
2008	2008
Northwest Territories	Territoires du Nord-Ouest
Yukon	Yukon
2004	2004
Vologda Oblast	Oblast de Vologda
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Verona	Vérone
Iqaluit	Iqaluit
1900	1900
1901	1901
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
Yellowknife	Yellowknife
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
St. John's, Newfoundland and Labrador	Saint-Jean de Terre-Neuve
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Chakula	Nourriture
Edmonton	Edmonton
Duisburg	Duisbourg
Nyoka	Serpentes
Bochum	Bochum
Wuppertal	Wuppertal
Mkoa wa Arica na Parinacota	Région d'Arica et Parinacota
