Afirik	Afrique
Catégorie:User sk-N	Catégorie:Utilisateur sk-M
Catégorie:User de	Catégorie:Utilisateur de
Catégorie:User de-2	Catégorie:Utilisateur de-2
Catégorie:User de-3	Catégorie:Utilisateur de-3
Catégorie:User de-N	Catégorie:Utilisateur de-M
Catégorie:User en-3	Catégorie:Utilisateur en-3
Catégorie:User en-N	Catégorie:Utilisateur en-M
Catégorie:User eo-1	Catégorie:Utilisateur eo-1
Catégorie:User eo-3	Catégorie:Utilisateur eo-3
Catégorie:User eo-N	Catégorie:Utilisateur eo-M
Catégorie:User es	Catégorie:Utilisateur es
Catégorie:User es-1	Catégorie:Utilisateur es-1
Catégorie:User es-2	Catégorie:Utilisateur es-2
Catégorie:User es-4	Catégorie:Utilisateur es-4
Catégorie:User es-N	Catégorie:Utilisateur es-M
Catégorie:User hr-1	Catégorie:Utilisateur hr-1
Catégorie:User pl-N	Catégorie:Utilisateur pl-M
Catégorie:User it	Catégorie:Utilisateur it
Catégorie:User it-1	Catégorie:Utilisateur it-1
Catégorie:User ja-1	Catégorie:Utilisateur ja-1
Catégorie:Wikipedia articles needing translation	Catégorie:Traduction incomplète
Catégorie:User ru-1	Catégorie:Utilisateur ru-1
Modèle:User sv-1	Modèle:Utilisateur sv-1
Catégorie:Njuɓɓudi naangeyankoori	Catégorie:Système solaire
Modèle:User pt-4	Modèle:Utilisateur pt-4
Modèle:User cs	Modèle:Utilisateur cs
Modèle:User ru-2	Modèle:Utilisateur ru-2
Modèle:User ko-3	Modèle:Utilisateur ko-3
Catégorie:User pt-0	Catégorie:Utilisateur pt-0
Catégorie:User pt-N	Catégorie:Utilisateur pt-M
Catégorie:User ru	Catégorie:Utilisateur ru
Catégorie:User ru-2	Catégorie:Utilisateur ru-2
Catégorie:User ru-4	Catégorie:Utilisateur ru-4
Catégorie:User sr	Catégorie:Utilisateur sr
Catégorie:User sr-1	Catégorie:Utilisateur sr-1
Catégorie:User sv-1	Catégorie:Utilisateur sv-1
Catégorie:User sv-3	Catégorie:Utilisateur sv-3
Catégorie:User tr	Catégorie:Utilisateur tr
Catégorie:User tr-N	Catégorie:Utilisateur tr-M
Catégorie:User uk-4	Catégorie:Utilisateur uk-4
Catégorie:User vi	Catégorie:Utilisateur vi
Catégorie:User vi-N	Catégorie:Utilisateur vi-M
Modèle:User sv-3	Modèle:Utilisateur sv-3
Catégorie:Gine	Catégorie:Guinée
Catégorie:Maali	Catégorie:Mali
Catégorie:Muritani	Catégorie:Mauritanie
Modèle:User ar-0	Modèle:Utilisateur ar-0
Modèle:User ar-4	Modèle:Utilisateur ar-4
Modèle:User ko	Modèle:Utilisateur ko
Modèle:User mk-1	Modèle:Utilisateur mk-1
Modèle:User no-1	Modèle:Utilisateur no-1
Modèle:User pt	Modèle:Utilisateur pt
Modèle:User ru-1	Modèle:Utilisateur ru-1
Modèle:User sr-1	Modèle:Utilisateur sr-1
Modèle:User uk-4	Modèle:Utilisateur uk-4
Modèle:User zh-1	Modèle:Utilisateur zh-1
Modèle:User zh-2	Modèle:Utilisateur zh-2
Modèle:User zh-3	Modèle:Utilisateur zh-3
Catégorie:Senegal	Catégorie:Sénégal
Catégorie:User nl	Catégorie:Utilisateur nl
Catégorie:User no-1	Catégorie:Utilisateur no-1
Catégorie:User no-2	Catégorie:Utilisateur no-2
Catégorie:User no	Catégorie:Utilisateur no
Catégorie:User zh-1	Catégorie:Utilisateur zh-1
Catégorie:User zh-2	Catégorie:Utilisateur zh-2
Catégorie:East Timor	Catégorie:Timor oriental
Catégorie:Dabbaji	Catégorie:Animal
Catégorie:Ndenndaandi	Catégorie:République
Catégorie:Alqur'aana	Catégorie:Coran
Catégorie:User pl	Catégorie:Utilisateur pl
Trojany	Trojany (Mazovie)
Kappe	Igname
Modèle:User ia	Modèle:Utilisateur ia
Modèle:User et	Modèle:Utilisateur et
Modèle:User bm-1	Modèle:Utilisateur bm-1
Modèle:User vi	Modèle:Utilisateur vi
Catégorie:User en-1	Catégorie:Utilisateur en-1
Catégorie:User de-1	Catégorie:Utilisateur de-1
Catégorie:User da-N	Catégorie:Utilisateur da-M
Modèle:User ru-3	Modèle:Utilisateur ru-3
Modèle:User li	Modèle:Utilisateur li
Modèle:User hi	Modèle:Utilisateur hi
Wikipedia:Proposed deletions	Wikipédia:Demande de suppression immédiate
Spécial:Modifications récentes	Spécial:Modifications récentes
Catégorie:User ja-4	Catégorie:Utilisateur ja-4
