Mo'hetaneho'e	Afrique
Oomâhóoné-mâhéó'o	Maison
Ó'he'e	Rivière
Eschweiler	Eschweiler (Allemagne)
Dong Hoi Airport	Aéroport de Đồng Hới
Curitiba	Curitiba
Talca	Talca
Corbin Bleu	Corbin Bleu
Vôhe'so	Nid
Ve'kese	Oiseau
Almazán	Almazán
Va'ohtama	Wikipédia:Accueil principal
Hohtsemo	Basket-ball
Ho'honáá'e Tsé'amoo'êse	Montagnes Rocheuses
Hóoma	Couverture (literie)
Category:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Véhpotséhohpe	Thé
Axenôhonestôtse	Guitare
Hotohke tséana'ôhtse	Météoroïde
Mâhtovoo'ôtse	Oreille
Kosa	Mouton
Pa'e'pa'onáhe	Camelus
Tsêhe'êseeséhe	Éléphant
Háhnoma	Abeille
Hésta'se	Neige
Ka'êškone	Enfant
Kóhkonêhëö'o	Pain
O'êhnémâhéó'o	Toilettes
Nelson Mandela	Nelson Mandela
Vo'e	Nuage
Ma'xêhevovetäso	Tornade
Mahpe hevovetäso	Cyclone tropical
Category:Némenestôtse	Catégorie:Musique
Mó'soonêó'he'e	Arkansas (rivière)
Ma'êhóóhe	Renard roux
Mo'ôhtávêhohpe	Café
Matana	Lait
Bilbao	Bilbao
Sevilla	Séville
Valencia	Valence (Espagne)
Vohkoohe	Lapin
No'kéeho	Sciuridae
Ronald Reagan	Ronald Reagan
Ma'xetoeneško	Grande Casserole
Éškôseeséhotame	Sus (genre)
Hoohtsêstse	Arbre
Hohpâháa'éheme	Raisin
Háhnomápano'êhasëö	Miel
Aéstomemésêhestôtse	Pomme de terre
Vé'keemahpe	Sucre
Hóo'xevávôxe'êstoo'o	Journal
Aseéestsestôtse	Téléphone
Lugo	Lugo (Espagne)
Vóhpoma'ôhtse	Sel alimentaire
Onéhavo'e	Tambour (instrument)
Amo'a'óvâhtsestôtse	Bicyclette
Vóhpeeva	Coton
Môxe'êstoo'o	Papier
Ová'kemâhaemenôtse	Maïs
Náhkohe	Ursidae
Hoéstoneéše'he	Calendrier
E'kôsé'haseo'o	Crêpe
Hóxovôho'o	Pont
Hualpén	Hualpén
Jalisco	Jalisco
Hohpâhtsenámenôtse	Raisin sec
Tsétóno	Crème glacée
Vé'keekóhkonôhëö'o	Cookie (cuisine)
Vé'keahonoo'o	Gâteau
Asêséoneo'amestôtse	Lance-pierre
Tsé'ôhke -évo'sóévôse ka'êškóneho	Gymnase (sport)
Santiago de Compostela	Saint-Jacques-de-Compostelle
Oviedo	Oviedo
Heškóvemata	Cactaceae
Hoohëö'o	Drapeau
Táxemésêhestôtse	Table
Heóvâhá'enëö'o	Grille-pain
Táxe'êséestôtse	Chaise
Tsêhe'êsenotováhe	Girafe
E'ôsé'hasëö'o	Spatule (cuisine)
Nuevo León	Nuevo León
Freddie Mercury	Freddie Mercury
Denver	Denver
Austin (Texas)	Austin (Texas)
Naa'émâhéó'o	Hôpital
Sacramento	Sacramento
Vonomóhtâhestôtse	Acide acétylsalicylique
Hó'nehe	Canis lupus
Henenéva'ôhease	Tétras à queue fine
Bien Hoa	Biên Hòa
Manëhe	Pélican
Nha Trang	Nha Trang
Breinigerberg	Breinigerberg
He'kone'éemâsono	Macaroni
Vung Tau	Vũng Tàu
Aruba	Aruba
Néške'ësta	Tamia
Mo'kêhanôtse	Chaussure
Hestaahtsémeno	Groseillier
Váótséva	Cervidae
Má'ome	Glace
Heškóvemâhöö'o	Concombre
Xaóenêhéstâhévo	Oignon
Moshchena	Mochtchena
Paltoga	Paltoga
Mérida (Venezuela)	Mérida (Venezuela)
Ho'ose	Charbon
Vé'kêséhemêstaa'e	Strigiformes
Ca Mau	Cà Mau
Poeso	Felidae
Curaçao	Curaçao
Tôhohko	Marteau (outil)
Tâhpe'âséhahnoma	Bombus
He'haéheséeo'ôtse	Achillée millefeuille
Vó'ho'kâsénoma'ne	Lampyridae
Tsêhe'êsevotoná	Faisan de Colchide
Sint Maarten	Saint-Martin (Royaume des Pays-Bas)
Heo'këso	Rat musqué
Héna'e	Bernache du Canada
Sósone'e	Shoshones
Mâhóomoehá-vé'késo	Laridae
Nanomóne-éšeëva	Jour du Souvenir
Ôhtaenémâhéó'o	Hôtel
Mâhpé-aénohe	Goéland argenté
Hevavâhkema	Lepidoptera
Méšenonetsénóne	Chiroptera
Tsé-tó'hovane	Sandwich
Heóvêstséávó'êstse	Taraxacum
Ónonevóneške	Chien de prairie
Avril Lavigne	Avril Lavigne
Hoéstónéó'o	Calculatrice
Motšêške	Couteau
Nêškovávo'ha	Zèbre
Tsêhesenêstsestôtse	Cheyenne (langue)
Vóhpenáhkohe	Ours blanc
Oaxaca	État de Oaxaca
Heóveamêške	Beurre
Meo'o	Route
Anastacia	Anastacia
Henenó'e	Rosier
Albuquerque	Albuquerque
Tequixquiac	Tequixquiac
Ma'xepóno'e	Oklahoma City
Môxe'êstóonémâhéó'o	Bureau de poste
Nanóse'hame	Puma
Mâhpémo'éhe	Alces alces
Vo'kome-mâheo'o	Maison-Blanche
Boise	Boise
Semo	Bateau
Vóhkooheme	Ficus carica
Thanh Hoa	Thanh Hóa
Puerto Montt	Puerto Montt
Mo'otsenahkohe	Ours brun
Toóneohëö'o	Clou
Ma'aataéve'éxanéstotôtse	Lunettes
Campora San Giovanni	Campora San Giovanni
Tono'sëö'o	Réfrigérateur
Ka'énêhótame	Bulldog anglais
Éškôsénéhe	Lévrier greyhound
Nêxo'mévéhe	Pastèque
Vótâháéno tsénéma'ó'á'ha	Moulin à vent
Péhpe'éoeškëso	Caniche
Hóhkeehe	Mus (genre)
Heséeotséve'ho'e	Médecin
Ma'o'hoáá'e	Brique (matériau)
Tó'too'he	Aigle royal
Môxe'a'xémâhéó'o	Salle de cinéma
Ma'xêheóvema'xemeno	Citrus ×paradisi
Hohpe	Soupe
Hovéo'kôheo'	Parapluie
Talcahuano	Talcahuano
Šéeše-stôtse	Lit (mobilier)
Ma'emonêškeho	Haricot
Tsé-éškôsa'évetováto	Cône (géométrie)
Péhpe'épóéso	Persan (chat)
Johnny Cash	Johnny Cash
Homôse-mâheo'o	Cuisine (pièce)
Ma'xeamóvôhtó'hestôtse	Camion
Ókohke	Corvus
Háestôheóhtáhe	Chilopoda
Vótâháéno	Puits à eau
Hotóa'ôxhoo'êstse	Sitting Bull
Ma'kaataevé'késo	Trochilidae
Ma'xêhë'ne	Dinde
Ó'kôhóme	Coyote
Jim Morrison	Jim Morrison
Sonora	Sonora
Guanajuato	État de Guanajuato
Ma'kaatohko	Seau
Ována'xaetanohtôtse	Prière de la Sérénité
Móxêšéne	Menthe
Héne'enovâhétane	Étudiant
Hahpenó'estôtse	Machine à coudre
Mo'ôhtameöhtsêstse	Afro-Américains
Coahuila	Coahuila
Baja California	Basse-Californie (État)
Ȧxeohōva	Siluriformes
Chiapas	Chiapas
Guerrero	Guerrero
Yucatán	Yucatán
Colima	État de Colima
Hovë'še	Bécassine de Wilson
Morelos	Morelos
Kémeöna	Dentalium
San Luis Potosí	État de San Luis Potosí
Sóhkomevó'ho'kâsenestôtse	Bougie
Querétaro	Querétaro
Michoacán	Michoacán
Durango	État de Durango
Nayarit	Nayarit
Puebla	État de Puebla
Aguascalientes	Aguascalientes (État)
Tamaulipas	Tamaulipas
Quintana Roo	Quintana Roo
Sinaloa	Sinaloa
Zacatecas	État de Zacatecas
Alla Pugacheva	Alla Pougatcheva
Hidalgo	État d'Hidalgo
Campeche	État de Campeche
Tabasco	Tabasco (État)
Monterrey	Monterrey
Hóma'e	Castor du Canada
Ma'xeméstaa'e	Grand-duc d'Amérique
Tlaxcala	État de Tlaxcala
Hotoa'e	Bison d'Amérique du Nord
Xäö'o	Mouffette
Grand Theft Auto: San Andreas	Grand Theft Auto: San Andreas
Háhkota	Caelifera
Môhtséheonetane	Apaches
É'koo'óhtotôtse	Jumelles
Sena'kaneo'o	Cherokees
Oo'kóhtâxová-mâhéó'o	Barbier (métier)
Ho'óhomö'e	Sioux
Jaltenco	Jaltenco
Man o' War	Man o'War
Óova'e	Mica
Vétapâhaetó'eo'o	Kiowas
Šé'šenovotsétaneo'o	Comanches
Matšeškome	Raton laveur
Mo'ôhtáenáhkohe	Ours noir
Hohtâhé-noma'he	Poisson rouge
Ho'éméhne	Lumbricina
Vóaxáa'e	Pygargue à tête blanche
Tónovâhonónestôtse	Poêle (cuisine)
Nêševâhá'eneo'o	Four à micro-ondes
Ame	Pemmican
Vétaneo'hé'e	South Platte (rivière)
Tamena'éveéstse'he	Tee-shirt
Mohkave	Lynx roux
Ta'ta'ôhëö'o	Clef (serrurerie)
Grand Theft Auto	Grand Theft Auto
Vée'e	Tipi
Hóo'kôhévénéhe	Rain In The Face
Vé'ho'êškóovo'hestôtse	Aiguille à coudre
He'konö'êstse	Bouteloua dactyloides
Vétánó'êstse	Massette à larges feuilles
Oó'omêše	Chêne rouge d'Amérique
Oó'xôseonéame	Beurre d'arachide
Hóxâhtsenáesëö'o	Bride (équitation)
Tsé'amóneane	Clôture
Xamaehoohtsêstse	Populus deltoides
Glória Pires	Glória Pires
Onéma'ó'aneo'o	Clé (outil)
Vé'ôhkemahpe	Rivière Rouge (Mississippi)
Otá'tavö'êstse	Luzerne cultivée
Heóvemo'ôhta'e	Rutabaga
Pachuca de Soto	Pachuca
Onéma'táo'aneo'o	Tournevis
Motsé'eonôtse	Hierochloe odorata
Mótó'e	Fraxinus pennsylvanica
Me'êškema	Acer negundo
Hohnóhkâ-heséeo'ôtse	Dasiphora fruticosa
Mo'ôhtáemâhoo'o	Potiron
Menôtse	Cerisier de Virginie
Hetanemenôtse	Amélanchier à feuilles d'aulne
Hoóxe'e	Pin tordu
Pó'po'êho'hémâhaemenôtse	Pop-corn
Hoxo'ôhtséveotá'tavo'honáá'e	Turquoise (pierre)
Hevéesénoma'ne	Grand brochet
É'êxováhtóva	Billings (Montana)
Caselle Landi	Caselle Landi
Vé'ho'éome	Tente
Vóhpâhtse-náhkohe	Grizzli
Hoeseonó'e	Matelas
Xamaesémo	Canoë
Môxéhéó'o	Balai
Veracruz	Veracruz (Veracruz)
Tootómôhéó'o	Climatisation
Ho'êstásémo	Bateau à vapeur
Tséx-háenaotséstove	Grippe de 1918
Mo'éhe	Wapiti
Vóetséna'évôxe'êstónestôtse	Craie
Heškóvoneanëö'o	Fil de fer barbelé
Hova'ó'xestôtse	Selle (équitation)
Terry	Terry (Montana)
Vé'ho'éotóaho'évohkôtse	Viande bovine
Hevá'xameško	Louche
Ma'xeamâho'hestôtse	Camionnette
Banovci (Nijemci)	Banovci (Nijemci)
Otá'tavâho'hé-vé'késo	Geai bleu
Mo'e'évetoo'o	Panier
Hoho	Bracelet
Mo'e'évôhkêha'e	Chapeau de paille
Âxeetoo'é'hasëö'o	Hameçon
Tsé'ôhke-énâhenéstove	Station-service
Ama'éno'hamémôxe'êstoo'o	Permis de conduire
Nøtterøy	Nøtterøy
Tôhé'kêsaéve'ho'éamo'eétâhestôtse	Rodéo
Trpinja	Trpinja
Háeohémahpe	Rapid City
Tooxo'hamëso	Shetland (cheval)
Hesto'tono'kêhanôtse	Raquette à neige
Vé'keehoohtsêstse	Érable à sucre
Amóvôhtó'hestôtse	Pick-up
Hoóneanatóe-vó'ho'kâsénâhnestôtse	Lampe à pétrole
Oómêsta'hasené-váótséva	Cerf de Virginie
Séavóneške	Marmota monax
Ma'ëno	Tortue
Ma'evé'éso	Cardinalidae
Nêhpo'aneo'o	Serrure
Apaxco	Apaxco
Ma'háhko'e	Blaireau d'Amérique
Asêséeéstse'he	Pull-over
Vé'ho'e	Blanc (humain)
Vó'ho'êho'hóvahtôtse	Lampe torche
Mo'ôhtávo'honáéva	Black Hills
Ôxa'ôhévo'kêhanôtse	Mocassin
He'ohko	Calumet
Mo'ë'ha	Pie d'Amérique
Sáhea'eo'o	Ojibwés
Mámaa'e	Coiffe amérindienne
Oo'kó'êxovahtôtse	Tondeuse à gazon
Kóhkonôheonané-mâhéó'o	Boulangerie
Tâhpeno	Siyotanka
Hestóhkáhne	Phrynosoma
He'óonéma'ëno	Tortue serpentine
Náhkôhevee'e	Devils Tower
Tsétsêhéstâhese	Cheyennes
Óoetaneo'o	Crows
Ne'potátse	Grand Héron
Hoxomôho'haméstotôtse	Foin
Mo'éheo'hé'e	Yellowstone (rivière)
Monêškeho	Haricot (homonymie)
Ben Harper	Ben Harper
Mo'ôhtávêhahtátaneo'o	Confédération des Pieds-Noirs
Tó'êsevêséhotoa'e	Texas Longhorn
Amo'xestôtse	Camping
Ma'êšenévé'késo	Merle d'Amérique
Ve'ho'evo'ha	American Horse
Buffy Sainte-Marie	Buffy Sainte-Marie
A'o'tsémêstaa'e	Chevêche des terriers
Homenó'e	Orme d'Amérique
Ma'xemenó'e	Prunus americana
Vé'škee'e	Peuplier faux-tremble
Mâhöhko	Cantaloup
Hesó'xôhéó'o	Fer à repasser
Vétapâhaeto'e-mâhoéve'ho'éno	Anadarko (Oklahoma)
Woqini	Roman Nose
Kâhkoestséatane	Têtes-Plates
Aésto'épeeneo'o	Mixeur (appareil ménager)
Vóhkoohévoomâheo'o	Païutes
Hestóetane	Atsinas
Tsé-heše'émâheónese	Mandans
Hoehasené-amó'eneo'o	Chariot bâché
Vé'evêšéstótó'e	Genévrier des Rocheuses
Hesó'xêšé'hóno	Nappe de table
Heškóvêstséávó'êstse	Chardon
Ma'xêhestâhtötse	Baloney
Hotóhkêsono	Oglalas
Vóo'kooma	Pic à tête rouge
Jimmy Carl Black	Jimmy Carl Black
Ma'xemené-mahpe	Jus de pomme
He'hemêšéonávo'ha	Appaloosa
Pénôheoné-mâhéó'o	Minoterie
Hetanevö'e	Arapahos
Aéstomevé'keemahpe	Édulcorant
Ma'xekôsáeho'honáéva	Monts Big Horn
Éškôseeséma'ëno	Apalone spinifera
Meneo'hé'e	Platte (rivière)
Vó'aehno'xâhtóhonôtse	Legging
Oévêheséeo'ôtse	Ericameria nauseosa
Ma'êhóóhévâhtseo'hé'e	Republican
Ama'éno'hamestôtse	Volant directionnel
Mo'ôhtáevánó'êstse	Ambrosia artemisiifolia
Mö'ôhvovó'haestse	Big Foot
Hóheeheo'o	Assiniboines
Dobra	Dobra (powiat de Bolesławiec)
Nextlalpan	Nextlalpan
Hótôxámâhéó'o	Cabane
Amêsema'ëno	Terrapene
Tahlequah, Heévâhetanéno	Tahlequah (Oklahoma)
Ma'eókoke	Floyd Westerman
Mo'ôhtávetoo'o	Black Kettle
Heovese'tahe	Sylvilagus
Ho'néhetane	Pawnees
Pigazzano	Pigazzano
Panâhke'eo'o	Bannock
Hetóhkoné-hohtóvá-mâhéó'o	Quincaillerie
Háestôhe'šeméhe	Moqueur polyglotte
Mâhaemenépénôhéó'o	Farine de maïs
Aenohe	Buse (oiseau)
Otaesémenôtse	Noyer noir
Mo'óhkonavekóhkonôheo'o	Cracker (biscuit)
Méná'ó'e	Enclos
Hese	Mouche
Blackfire	Blackfire (groupe)
Tsévó'névóvâtse	Bai (cheval)
Mo'e'éšé'hóno	Toile de jute
Ma'e'oo'o	Catlinite
Pe'e	Chordeilinae
Méstahke	Megascops
Oo'kóhtâxétaneo'o	Osages
Amêsto'eeseo'o	Travois
Tsêheta'éno'haméstotôtse	Harnachement
Mâhtä'soeo'hé'e	Green River (Utah)
Tony Ramos	Tony Ramos
Broadus	Broadus
Red Lodge	Red Lodge
Ma'xemâhoévé'ho'eno	Miles City
Tšêške'mâhoéve'ho'éno	Forsyth (Montana)
Meaveʼhoʼeno	Lame Deer (Montana)
Óoetanéno	Crow Agency
He'konemâhoeve'ho'eno	Hardin (Montana)
Vó'komêšéstótó'e	Sapin subalpin
Ho'xó'mâhoéve'ho'éno	Sheridan (Wyoming)
Pono'e	El Reno
Sonic The Hedgehog	Sonic (série)
Heškóvó'êstse	Virevoltant
Heóvôhkâho'hé-vé'késo	Moucherolle à ventre jaune
Honóvóhko	Jerky
Vó'omeoó'omêše	Quercus macrocarpa
Hotóao'hé'e	Cimarron (rivière)
Otaesétaneo'o	Nez-Percés
Tsé'ôhkê-hóhta'hanéstove	Palais de justice
Tó'êstó'ono	Santiag
Utsunomiya Line	Ligne Utsunomiya
Ónonevonêške-móxêšéne	Matricaire odorante
Heškovêstse	Porc-épic
Rhodesia	Rhodésie
A'kêstséahe	Agkistrodon contortrix
Môxôhe'êstámenôtse	Prunus pumila
Heséeotséhohtóvamâhëö'o	Drugstore
Mo'éhemóxêšéne	Agastache foeniculum
Mo'éhno'hamémâhéó'o	Hangar agricole
Atlacomulco	Atlacomulco
Honóxeäse	Sturnelle de l'Ouest
O'kohomoxhaahketa	Little Wolf (chef cheyenne du nord)
Category:Ma'evé'ho'éno	Catégorie:Allemagne
Category:Italy	Catégorie:Italie
Category:Russia	Catégorie:Russie
Category:Canada	Catégorie:Canada
Category:United Kingdom	Catégorie:Royaume-Uni
Category:Spain	Catégorie:Espagne
Category:Meško	Catégorie:Mexique
Category:Mo'hetaneho'e hánêsóvóne	Catégorie:Afrique du Sud
Category:Egypt	Catégorie:Égypte
Ho'óma'oestôtse	Tapis de selle
Ó'óéséó'o	Corde à linge
Hóxovéstavestôtse	Maison mobile
Category:Austria	Catégorie:Autriche
Category:Democratic Republic of the Congo	Catégorie:République démocratique du Congo
Category:Poland	Catégorie:Pologne
Category:Switzerland	Catégorie:Suisse
Category:Tanzania	Catégorie:Tanzanie
Category:Ukraine	Catégorie:Ukraine
Category:Vietnam	Catégorie:Viêt Nam
Category:Ve'kêseho	Catégorie:Oiseau
Category:Buildings	Catégorie:Bâtiment
Hetótóhne	Crevette
Ma'ováhe	Rouan
Mahpe tsé'ôhkêhó'	Radiateur
Ma'kestsêstse	Sardine (tente)
Hesóva'kove	Filet de bœuf
Tonôhené-mâhéó'o	Forgeron
Mo'xôhtse	Pointe de flèche
Tsé-nonomö'ta	Jell-O
John Trudell	John Trudell
Héstoomaestôtse	Literie
Khirlepposi	Khirleppossi
Vétanovéo'hé'e	Tongue (rivière)
Regina Duarte	Regina Duarte
Tsévovó'hásêstse	Pie (cheval)
Netse	Aigle
Susan Aglukark	Susan Aglukark
Vánó'êstse	Artemisia tridentata
Sásêškóvéta	Couleuvre d'eau
Sanápevóoma	Sarape
Tsé-pónoma'eéxoo'êstse	Monte à cru
A'kêstséašé'šenovôtse	Cobra
Ireland	Ireland
Ma'emenôtse	Shepherdia argentea
Vóóhéhéve	Dull Knife
Péékáne	Pikunis
Ma'nomá'ne	Saumon
Séno'êhaseo'o	Barrette (accessoire)
Náhkôhévóse	Bear Butte
Heóvonêheo'hé'e	Big Muddy Creek (Montana)
Hótsêha'xévo'ha	Bronco
Tó'êsemónêškeho	Haricot vert
Hoóxe'eo'hé'e	Washita (rivière)
Edmond debeaumarché	Edmond Debeaumarché
Tséh-ma'êho'a'ë'ta	Watonga
Tsé-váno'émeeotse	Vicks VapoRub
No'aneonó'e	Sumac à bois glabre
Tsé-tšêške'óomoëha	Étang
Nomá'héškéso	Méné
Northern Cheyenne Indian Reservation	Réserve des Cheyennes du Nord
Ová'kemene	Abricot
Oo'kó'ôheo'o	Faucheuse (machine agricole)
Category:Manȧhého'e	Catégorie:Pays
Category:Héstanêheo'o	Catégorie:Personnalité
Egypt	Égypte
Tónovêšé'hóno	Toile (peinture)
Template:Bot	Modèle:Bot
Canada	Canada
Category:Slovakia	Catégorie:Slovaquie
Category:Slovenia	Catégorie:Slovénie
Category:Hóxovê-hooma	Catégorie:Europe
Category:Wikipedia help	Catégorie:Espace Aide
Template:Documentation	Modèle:Documentation
Wikipedia:Community Portal	Wikipédia:Bot/Statut
Sung Jae-ki	Sung Jae-ki
Template:Softredirect	Modèle:Redirection douce
Template:Delete	Modèle:Suppression Immédiate
Wikipedia:Statistics	Wikipédia:Statistiques
Template:!	Modèle:!
Category:Mo'hetaneho'e	Catégorie:Afrique
Template:Babel	Modèle:Boîte Babel
Template:Reflist	Modèle:Références
Template:Stub	Modèle:Ébauche
Template:User en-2	Modèle:Utilisateur en-2
Template:User en	Modèle:Utilisateur en
Category:Asia	Catégorie:Asie
Category:Chile	Catégorie:Chili
Category:Máhtáme	Catégorie:Aliment
Template:Mod	Modèle:Mod
Template:User es-2	Modèle:Utilisateur es-2
Category:User en	Catégorie:Utilisateur en
Template:Template other	Modèle:Template other
Category:Máhtáme naa tsémâhpév-oom	Catégorie:Alimentation
Template:Pp-template	Modèle:Protection
Category:Vose	Catégorie:Montagne
Template:IPA	Modèle:Prononciation API
Category:Amérika	Catégorie:Amérique
Wikipedia:Nospam	Wikipédia:Pages protégées à la création
Template:Coord/link	Modèle:Coord/link
Template:Coord	Modèle:Coord
Category:Wyoming	Catégorie:Wyoming
Category:User en-N	Catégorie:Utilisateur en-M
Mâ-htáeme	Phthiraptera
Template:Userdraft	Modèle:Userspace draft
Category:Mahpe	Catégorie:Eau
Category:Tsémâhpév-oom	Catégorie:Boisson
Category:Heévȧhetanéno	Catégorie:Oklahoma
Pano'êhasëö'o	Sirop
Category:Hoohtsêstse	Catégorie:Arbre
Category:Category-ne'tahe	Catégorie:Article
Náhkôhematôtse	Pruneau
Template:Coord/dec2dms/dm	Modèle:Coord/dec2dms/dm
Category:Nebraska	Catégorie:Nebraska
Category:North Dakota	Catégorie:Dakota du Nord
Category:South Dakota	Catégorie:Dakota du Sud
Category:Idaho	Catégorie:Idaho
Category:Alaska	Catégorie:Alaska
Category:Oregon	Catégorie:Oregon
Category:Kansas	Catégorie:Kansas
Category:Colorado	Catégorie:Colorado
Category:Toháano'ého'ëva	Catégorie:Texas
Category:Šé'hóno	Catégorie:Textile
Category:Poeso	Catégorie:Felidae
Category:Malawi	Catégorie:Malawi
Category:Namibia	Catégorie:Namibie
Category:Republic of the Congo	Catégorie:République du Congo
Category:Ho'honáéšé'e	Catégorie:Montana
Category:Ó'he'e	Catégorie:Rivière
Category:Zambia	Catégorie:Zambie
Category:Zimbabwe	Catégorie:Zimbabwe
Category:Nomá'ne	Catégorie:Poisson
Category:Énano'émâhtáme	Catégorie:Légume
Category:Mene	Catégorie:Fruit alimentaire
Category:Mo'éhno'häme	Catégorie:Cheval
Category:Hovahne	Catégorie:Animal
Vétšêškévâhonoo'o	Frybread
Category:Še'šenovôtse	Catégorie:Serpent
Category:Hoohëö'o	Catégorie:Drapeau
Ménôhe'éhestatseo'o	Pelle (outil)
Category:Váótséva	Catégorie:Cervidae
Anonévee'tose (énano'émâhtáme)	Carotte
Template:Coord/sub doc	Modèle:Coord/display/inline,title
Template:Coord/prec dec	Modèle:Coord/prec dec
China	China
Trojany	Trojany (Mazovie)
Category:Vášêtaëno	Catégorie:Washington (district de Columbia)
Category:Náhkohe	Catégorie:Ursidae
Category:User chy-0	Catégorie:Utilisateur chy-0
Category:User chy	Catégorie:Utilisateur chy
Heóvêháhnoma	Guêpe
Ma'xetôhoo'e	Masse (outil)
Special:RecentChanges	Spécial:Modifications récentes
