Africa	Afrique
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
130	130
226	226
207	207
475	475
454	454
495	495
206	206
468	468
461	461
460	460
194	194
210	210
Caracalmiztli	Caracal
225	225
311	311
220	220
541	541
642	642
390 xihuitl	Années 390
313	313
180	180
794	794
587	587
530	530
609	609
497	497
540	540
428	428
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
350 xihuitl	Années 350
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
Ё	Ё
291	291
48	48
Toloatzin	Datura stramonium
97	97
56	56
93	93
57	57
503	503
510	510
509	509
474	474
484	484
576	576
493	493
479	479
287	287
El Alto	El Alto
407	407
485	485
547	547
546	546
544	544
537	537
535	535
502	502
527	527
508	508
Mecatl	Corde (outil)
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
630	630
614	614
505	505
446	446
791	791
557	557
656	656
657	657
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
Nāuhpōhualmahtlāctli omēyi	93 (nombre)
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
Reinhard Bütikofer	Reinhard Bütikofer
233	233
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
521	521
92	92
597	597
329	329
Cracovia	Cracovie
133	133
413	413
258	258
Tehuitztli	Bec
259	259
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
Garou	Garou
131	131
191	191
450	450
612	612
635	635
611	611
534	534
488	488
607	607
524	524
282	282
472	472
471	471
Tonantzin Guadalupe	Notre-Dame de Guadalupe
490	490
316	316
Ahtēpacholiztli	Anarchie
797	797
511	511
295	295
598	598
303	303
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
Tlacempōhualiztli	Addition
284	284
283	283
241	241
243	243
262	262
498	498
336	336
334	334
266	266
Māīxnāmiquiliztli	Boxe anglaise
261	261
470	470
349	349
271	271
275	275
292	292
296	296
345	345
431	431
380 xihuitl	Années 380
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
288	288
278	278
455	455
577	577
575	575
482	482
486	486
580	580
567	567
564	564
561	561
328	328
325	325
317	317
574	574
566	566
249	249
348	348
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
Vendatlahtōlli	Venda (langue)
590	590
269	269
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Cebra	Zèbre
276	276
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
528	528
506	506
526	526
507	507
Valery Leontiev	Valery Leontiev
214	214
213	213
212	212
228	228
227	227
149	149
174	174
189	189
199	199
141	141
132	132
125	125
123	123
147	147
144	144
198	198
178	178
177	177
187	187
195	195
186	186
347	347
620	620
624	624
605	605
629	629
Tlālocēlōtl	Ocelot
616	616
Las Cruces, Yancuīc Mēxihco	Las Cruces
615	615
644	644
646	646
633	633
637	637
436	436
434	434
Hererotlahtōlli	Héréro (langue)
293	293
427	427
185	185
360 xihuitl	Années 360
321	321
327	327
430	430
447	447
569	569
568	568
444	444
796	796
798	798
Buon Ma Thuot	Buôn Ma Thuột
793	793
685	685
Hartford	Hartford (Connecticut)
799	799
683	683
274	274
579	579
281	281
306	306
438	438
297	297
421	421
298	298
Hawaitlahtōlli	Hawaïen
351	351
352	352
355	355
Pandatlācamāyeh	Panda géant
Ātlācamāyeh	Ours blanc
95	95
94	94
594	594
Lozitlahtōlli	Lozi (langue)
542	542
448	448
445	445
305	305
234	234
565	565
Otommanguetlahtōlli	Langues oto-mangues
381	381
385	385
553	553
307	307
584	584
346	346
257	257
Mayatlahtōlli	Langues mayas
Tlahuītequiliztli	Foudre
285	285
591	591
Lombardotlahtōlli	Lombard (langue)
289	289
Māitl	Main
563	563
252	252
595	595
246	246
596	596
593	593
Mictlāmpa Sototlahtōlli	Sotho du Nord
357	357
573	573
Simón Pedro	Pierre (apôtre)
Tel Aviv	Tel Aviv-Jaffa
Tepēitzcuintli	Cuniculus paca
Tēpēhuanitlahtōlli	Tepehuan du Nord
Izhuatl	Feuille
Valparaíso	Valparaiso
Xonatlahtōlli	Shona (langue)
Hollywood	Hollywood
Marlon Brando	Marlon Brando
Suatitlahtōlli	Swati
559	559
599	599
326	326
341	341
322	322
Yutanāhuatlahtōlli	Langues uto-aztèques
Nathalia Dill	Nathalia Dill
Huāxyacac	État de Oaxaca
386	386
Tzhuanatlahtōlli	Tswana
374	374
380	380
Yaquitlahtōlli	Yaqui (langue)
Oxford, Oxfordshire	Oxford
136	136
Port-au-Prince	Port-au-Prince
Hutlahtōlli	Wu (langue)
370 xihuitl	Années 370
Tsongatlahtōlli	Tsonga (langue)
Sototlahtōlli	Sotho du Sud
Rotterdam	Rotterdam
Tlatzotzonalli	Instrument de musique
Quetzalcanauhtli	Cygne
Āmōlli	Savon
Yancuīc Orleans	La Nouvelle-Orléans
Scarlett Johansson	Scarlett Johansson
Gwyneth Paltrow	Gwyneth Paltrow
Yahualtōntli	Disque compact
Tepozmōyōtl	Hélicoptère
382	382
342	342
373	373
372	372
1980s	Années 1980
J. K. Rowling	J. K. Rowling
Xālli	Sable
Caxtillān tlapalpopozōn	Rosier
Xācocēlōtl	Léopard
Salzburg	Salzbourg
Albuquerque	Albuquerque
Yancuīc xihuitl	Jour de l'an
Santo Domingo	Saint-Domingue (ville)
Tequixquiāc	Tequixquiac
Huēyāltepētl	Province
Ochonetli	Papayer
375	375
Isaac Asimov	Isaac Asimov
Trinidad, Bolivia	Trinidad (Bolivie)
Cobija	Cobija
Tarixa	Tarija
1970s	Années 1970
2000 xiuhtin	Années 2000
Copacabana	Copacabana (homonymie)
Iglesia Ortodoxa	Église orthodoxe
Potosí	Potosí
Col	Chou cabus
Agatha Christie	Agatha Christie
Āhuacatēcatlahtōlli	Awakateko
Chatinotlahtōlli	Langues chatino
Āltepētl Cuhuait	Koweït (ville)
Chollahtōlli	Ch'ol
Tezcatl	Miroir
Oruro	Oruro
Miztli	Puma
-44	44 av. J.-C.
Tēmelāhuanimeh Jehová	Témoins de Jéhovah
387	387
Brad Pitt	Brad Pitt
Kia	Kia Motors
Cuextēcatlahtōlli	Huastèque (langue)
Huitzollahtōlli	Huichol (langue)
Arthur Conan Doyle	Arthur Conan Doyle
Ndebeletlahtōlli mictlāmpa	Sindebele
Mitohtli @@@u0026Catalunya, nou estat d'Europa"	Manifestation « Catalunya, nou estat d'Europa »
Ocēlōtl	Jaguar
1930s	Années 1930
1960s	Années 1960
1920s	Années 1920
Osaka	Osaka
Chināntēcatlahtōlli	Langues chinantèques
Guaranitlahtōlli	Guarani (langue)
Lamborghini	Lamborghini
Huāxcuahuitl	Leucaena leucocephala
Emmy Rossum	Emmy Rossum
Lotus	Lotus Cars
Maserati	Maserati
Mazda	Mazda (automobiles)
Mercedes-Benz	Mercedes-Benz
Mitsubishi Motors	Mitsubishi Motors
Huexōtl	Saule
Charles Bronson	Charles Bronson
Tlālpantli	Sol (pédologie)
Hicoxcuahuitl	Ficus carica
Bridgetown	Bridgetown
Āmatlahcuilo	Écrivain
Siligo	Siligo
Xapon tlālolīniliztli īhuān huēyāolīniliztli īpan 2011	Séisme de 2011 de la côte Pacifique du Tōhoku
Puerto Montt	Puerto Montt
Tlapatiliztōcāitl	Pronom
Mazāhuahtlahtōlli	Mazahua
Mazātēcatlahtōlli	Langues mazatèques
Tzilīnitl	Voyelle
Saint John	Saint John's
Roseau	Roseau (Dominique)
1950s	Années 1950
Salta	Salta
Otontlahtōlli	Langues otomies
Mixtēcatlahtōlli	Langues mixtèques
Caxtillān quimichin	Rattus
Porto	Porto
Yōltextli	Farine
The Lion King	Le Roi lion
.ru	.ru
.ad	.ad
1940s	Années 1940
1910s	Années 1910
Mamut	Mammouth
Mācēhualtlācatl	Amérindiens
Tojolaballahtōlli	Tojolabal
Ndebeletlahtōlli huitztlāmpa	Nrebele
Calīxtli	Porte (architecture)
Michhuahcatlahtōlli	Langue purépecha
Raramuritlahtōlli	Tarahumara central
Tzeltallahtōlli	Tzeltal
Tzotzillahtōlli	Tzotzil
Tlahtohcāpilli William of Wales	William de Cambridge
Toquelau	Tokelau
Cuīcapixqui	Compositeur
Ātōnahuiztli Influenza A H1N1	Grippe porcine
Tlāppanēcatlahtōlli	Tlapanèque
Salvador de Bahia	Salvador (Bahia)
Mahtlāctli omōme	12 (nombre)
Toshirō Mifune	Toshirō Mifune
Thomas Mann	Thomas Mann
Tallahassee	Tallahassee
José Saramago	José Saramago
Pop	Pop (musique)
Alajuela	Alajuela
331	331
Mahtlāctli oncē	11 (nombre)
365	365
Mahtlāctli omēyi	13 (nombre)
Koenigsegg	Koenigsegg
Āhuacacuahuitl	Avocatier
379	379
.fi	.fi
Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva
.ae	.ae
.am	.am
.de	.de
Āmatlalcāyōtl	Écriture
.fr	.fr
Lublin	Lublin
John Michael Talbot	John Michael Talbot
Tlālcacahuatl	Arachide
.af	.af
Mācuīlpōhualli	100 (nombre)
.au	.au
Ixtezcatl	Lunettes
.cz	.cz
.ag	.ag
Texihuitl	Grêle
Luciano Pavarotti	Luciano Pavarotti
Mila Kunis	Mila Kunis
-43	43 av. J.-C.
Campora San Giovanni	Campora San Giovanni
Bloemfontein	Bloemfontein
.at	.at
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Camohtli	Patate douce
Gregor Mendel	Gregor Mendel
Herta Müller	Herta Müller
Daniel Radcliffe	Daniel Radcliffe
Samurai	Samouraï
-31	31 av. J.-C.
Enya	Enya
.al	.al
.ar	.ar
Alexandre Dumas, père	Alexandre Dumas
.az	.az
Xena: Warrior Princess	Xena, la guerrière
Santa Fe Ānalco	Santa Fe (Nouveau-Mexique)
Mahtlāctli onnāhui	14 (nombre)
Caxtōlli	15 (nombre)
Caxtōlomēyi	18 (nombre)
Universidad del Bío-Bío	Université du Bío-Bío
Suva	Suva
Xōlōitzcuintli	Xoloitzcuintle
Tōnēhuiliztli	Fièvre
-4	4 av. J.-C.
Teide	Teide
1890s	Années 1890
.ao	.ao
.jp	.jp
.bd	.bd
.it	.it
-8	8 av. J.-C.
Ācalquīxōhuayān Caxtillān	Port-d'Espagne
Quimichin	Mus (genre)
Xopaltic	Orange (couleur)
Anquichichi	Lévrier
Sochi	Sotchi
Emma Watson	Emma Watson
.bb	.bb
1800 xiuhtin	Années 1800
.ca	.ca
Nicolas Appert	Nicolas Appert
Eyjafjallajökull	Eyjafjallajökull
.co	.co
.ba	.ba
Penélope Cruz	Penélope Cruz
-14	14 av. J.-C.
-27	27 av. J.-C.
-19	19 av. J.-C.
Mario Vargas Llosa	Mario Vargas Llosa
-3	3 av. J.-C.
Radio Studio 54 Network	Radio Studio 54 Network
Caxtōlonnāhui	19 (nombre)
Āhuacātzin	Hirundinidae
Xōchipaxcua	Pentecôte
.br	.br
.is	.is
.cg	.cg
Mezquentli	Pantalon
Mahtlācxihuitl	Décennie
.pt	.pt
Huēyāltepētl Concepción	Province de Concepción (Chili)
Rio Grande do Sul	Rio Grande do Sul
Amazonas (Brasil)	Amazonas (Brésil)
-6	6 av. J.-C.
-34	34 av. J.-C.
Ilhuicaatentli	Plage
Caxtōlomōme	17 (nombre)
Amapá	Amapá
Mazātlān	Mazatlán
Manaus	Manaus
Caxtōloncē	16 (nombre)
Porto Alegre	Porto Alegre
Cempōhualli	20 (nombre)
Tlācatlahtohcāyōtl Sahara	République arabe sahraouie démocratique
.eg	.eg
-5	5 av. J.-C.
-23	23 av. J.-C.
Bahia	Bahia
.se	.se
A (kana)	あ
I (kana)	い
U (kana)	う
E (kana)	え
O (kana)	お
Ka (kana)	か
Jim Carrey	Jim Carrey
.bo	.bo
Julia Roberts	Julia Roberts
Ki (kana)	き
Ku (kana)	く
Ke (kana)	け
Ko (kana)	こ
Sa (kana)	さ
Shi (kana)	し
30 Seconds to Mars	Thirty Seconds to Mars
Su (kana)	す
Se (kana)	せ
So (kana)	そ
Ta (kana)	た
Tacloban	Tacloban
Chi (kana)	ち
Ray Bradbury	Ray Bradbury
Tsu (kana)	つ
Te (kana)	て
Cristina Fernández	Cristina Fernández de Kirchner
To (kana)	と
Na (kana)	な
Ni (kana)	に
Nu (kana)	ぬ
Ne (kana)	ね
No (kana)	の
Ha (kana)	は
Hi (kana)	ひ
Fu (kana)	ふ
He (kana)	へ
Dilma Rousseff	Dilma Rousseff
Ho (kana)	ほ
Ma (kana)	ま
Mi (kana)	み
Mu (kana)	む
Me (kana)	め
Mo (kana)	も
Ya (kana)	や
Yu (kana)	ゆ
Acre	Acre (Brésil)
Yo (kana)	よ
Ra (kana)	ら
Ri (kana)	り
Ru (kana)	る
Tecuicihtli	Brachyura
Re (kana)	れ
Ro (kana)	ろ
Wa (kana)	わ
Wo (kana)	を
N (kana)	ん
Texotlaticiliztli	Chirurgie
We (kana)	ゑ
Wi (kana)	ゐ
-29	29 av. J.-C.
Āltepētl Carson	Carson City
Alagoas	Alagoas
Anna Maria Jopek	Anna Maria Jopek
Frank Sinatra	Frank Sinatra
-7	7 av. J.-C.
-9	9 av. J.-C.
Eva Perón	Eva Perón
-32	32 av. J.-C.
Opel	Opel
.mx	.mx
Porsche	Porsche
.hn	.hn
Jorge Ibargüengoitia	Jorge Ibargüengoitia
Arthur Penn	Arthur Penn
-48	48 av. J.-C.
Táchira	État de Táchira
-26	26 av. J.-C.
Apure	État d'Apure
Santiago ohtli	Pèlerinage de Saint-Jacques-de-Compostelle
-11	11 av. J.-C.
Jonathan Swift	Jonathan Swift
Calli	Bâtiment (construction)
Sony	Sony
Tomīn	Pièce de monnaie
-16	16 av. J.-C.
-35	35 av. J.-C.
-13	13 av. J.-C.
Īxīptlayōlmatiliztli	Salle de cinéma
Franz Liszt	Franz Liszt
-17	17 av. J.-C.
-24	24 av. J.-C.
José Luis Rodríguez Zapatero	José Luis Rodríguez Zapatero
Federico García Lorca	Federico García Lorca
Mark Ruffalo	Mark Ruffalo
.sa	.sa
Kingstown	Kingstown
Tlanelhuatl	Racine (botanique)
Saint George	Saint-Georges (Grenade)
Julia Gillard	Julia Gillard
Haifa	Haïfa
Emiliano Zapata	Emiliano Zapata
Joseph Goebbels	Joseph Goebbels
Klagenfurt	Klagenfurt
Beersheba	Beer-Sheva
-50	50 av. J.-C.
.jm	.jm
.pa	.pa
.pe	.pe
Talcahuano	Talcahuano
1347 Tlīltic Miquiztli	Peste noire
.nz	.nz
In ītlahpalōlōcatzin María	Je vous salue Marie
Mirante do Vale	Mirante do Vale
Ōmpōhualli	40 (nombre)
Ichcatohmitl	Laine
Huehcāuh Inglatlahtōlli	Vieil anglais
Cacahuacuahuitl	Cacaoyer
Evo Morales	Evo Morales
Īpān Polonia	Drapeau de la Pologne
Sheffield	Sheffield
Nextic	Gris
Īpān Tlacetilīlli Tlahtohcāyōtl	Drapeau des États-Unis
Yama	Lama (animal)
Keira Knightley	Keira Knightley
Teōpixqui	Prêtre
Piauí	Piauí
Santiago de los Caballeros	Santiago de los Caballeros
Johnny Cash	Johnny Cash
Audrey Hepburn	Audrey Hepburn
Tlācamichin	Lamantin
Belo Horizonte	Belo Horizonte
Cēmpōhualmahtlāctli	30 (nombre)
Īpān Italia	Drapeau de l'Italie
Calmanani	Architecte
1600 xiuhtin	Années 1600
Franz Ferdinand	François-Ferdinand d'Autriche
Heinrich Himmler	Heinrich Himmler
Donetsk	Donetsk
Caxtillān chīlli	Poivrier noir
Huiquipedia:Yequihcuilōtl	Orthographe
Īpān Xapon	Drapeau du Japon
Īpān Francia	Drapeau de la France
Zacatl	Poaceae
Manoel de Oliveira	Manoel de Oliveira
Zulia	État de Zulia
Barinas	État de Barinas
Membrillocuahuitl	Cognassier
Fresno	Fresno (Californie)
Folk	Musique folk
Harry Potter and the Philosopher's Stone	Harry Potter à l'école des sorciers
1700 xiuhtin	Années 1700
Ocomiztli	Lynx boréal
Petlazolcoatl	Chilopoda
Fortaleza	Fortaleza
Cuāuhtohtli	Faucon
Guayaquil	Guayaquil
Quetzalitztli	Émeraude
Gerhart Hauptmann	Gerhart Hauptmann
Tehuilotl	Cristal
Huitzilli	Trochilidae
Xīctli	Nombril
Eddie Murphy	Eddie Murphy
Azahuad	Azawad
Matt Groening	Matt Groening
Das Lied der Deutschen	Deutschlandlied
La Plata	La Plata
Reese Witherspoon	Reese Witherspoon
Ciruelacuahuitl	Prunier
1500 xiuhtin	Années 1500
San Fernando del Valle de Catamarca	San Fernando del Valle de Catamarca
Tepozyōllōtl	Moteur
Radiohead	Radiohead
Resistencia, Argentina	Resistencia
Rawson	Rawson
Córdoba, Argentina	Córdoba (Argentine)
Corrientes	Corrientes (ville)
Paraná, Argentina	Paraná (Argentine)
Formosa, Argentina	Formosa (ville)
Santa Rosa, Argentina	Santa Rosa (Argentine)
San Salvador de Jujuy	San Salvador de Jujuy
La Rioja, Argentina	La Rioja (Argentine)
Mendoza	Mendoza (ville)
Posadas	Posadas (Argentine)
Neuquén	Neuquén (ville)
Viedma	Viedma
San Juan, Argentina	San Juan (Argentine)
Río Gallegos	Río Gallegos
San Luis, Argentina	San Luis (Argentine)
Santa Fe, Argentina	Santa Fe (Argentine)
Santiago del Estero	Santiago del Estero (ville)
Ushuaia	Ushuaïa
San Miguel de Tucumán	San Miguel de Tucumán
Jörg Haider	Jörg Haider
Ford Motor Company	Ford
Coyōtl	Coyote
Jim Morrison	Jim Morrison
Ronald Golias	Ronald Golias
Quechquentli	Cravate
Dan Castallaneta	Dan Castellaneta
Anne Brontë	Anne Brontë
GNU	GNU
1820s	Années 1820
Amazonas (Colombia)	Amazonas (Colombie)
Heinz-Christian Strache	Heinz-Christian Strache
Francisco Pizarro	Francisco Pizarro
Huēyāltepētl Buenos Aires	Province de Buenos Aires
Catamarca	Province de Catamarca
Tzacuapanyan	Port
Tucuman	Province de Tucumán
Chubut	Province de Chubut
Michhuahqueh	Tarasques
Lino	Lin cultivé
Coldplay	Coldplay
The Hound of the Baskervilles	Le Chien des Baskerville
Coimbra	Coimbra
Tlācanēxquimilli	Fantôme
Migueltzin Huēyahtlapāleh	Michel (archange)
Tlazōlli	Déchet
John Cale	John Cale
Mayātēcah	Mayas
Clive Dunn	Clive Dunn
Cihtli	Lièvre
Tlāhuīlnāuhmecatl	Guitare basse
Sonora	Sonora
Guanajuato	État de Guanajuato
Osiris	Osiris
Tlani California Huitztlāmpa	Basse-Californie du Sud
Īpān Tlanitlālpan	Drapeau des Pays-Bas
Charles Babbage	Charles Babbage
Tlācatzinācantli	Vampire
Octavio Paz	Octavio Paz
Harry Potter and the Goblet of Fire	Harry Potter et la Coupe de feu
Īpān Austria	Drapeau de l'Autriche
Harry Potter and the Half-Blood Prince	Harry Potter et le Prince de sang-mêlé
Tepotzohcuacuahueh	Zébu
TVR	TVR (entreprise)
Televisa	Televisa
Harry Potter and the Chamber of Secrets	Harry Potter et la Chambre des secrets
Elfriede Jelinek	Elfriede Jelinek
Ocuilin	Ver
Kepler-22b	Kepler-22 b
Cetepētl	Iceberg
Harry Potter and the Prisoner of Azkaban	Harry Potter et le Prisonnier d'Azkaban
Rudolf Eucken	Rudolf Christoph Eucken
Jubrān Khalīl Jubrān	Gibran Khalil Gibran
Caxtillān epazōtl	Menthe
Āyōtōchtli	Dasypodidae
Robbie Williams	Robbie Williams
339	339
340	340
354	354
356	356
358	358
361	361
363	363
364	364
368	368
369	369
370	370
371	371
Nemachiyōtīlli:Commonscat	Modèle:Commonscat
376	376
377	377
378	378
383	383
384	384
388	388
389	389
390	390
391	391
392	392
393	393
394	394
395	395
396	396
397	397
398	398
399	399
Īpān Alemania	Drapeau de l'Allemagne
Cēmpōhualomēyi	23 (nombre)
Medellín, Colombia	Medellín
Villa Carlos Paz	Villa Carlos Paz
Kōbe	Kobe
Hiragana	Hiragana
Cesarea de Capadocia	Kayseri
Recife	Recife
Ohohuihcan	Labyrinthe
Ú	Ú
Ý	Ý
279	279
Bridgeport	Bridgeport (Connecticut)
440	440
517	517
572	572
Scottsdale, Arizona	Scottsdale (Arizona)
Reno	Reno (Nevada)
Aurora, Colorado	Aurora (Colorado)
Anaheim	Anaheim
Colorado Springs	Colorado Springs
Mesa, Arizona	Mesa (Arizona)
Henderson, Nevada	Henderson (Nevada)
Peer Steinbrück	Peer Steinbrück
2026	2026
Ontetocaitl	Surnom
2025	2025
2024	2024
2023	2023
2022	2022
2021	2021
Schaan	Schaan
Hoobastank	Hoobastank
2041	2041
2042	2042
2043	2043
2044	2044
2045	2045
2046	2046
2047	2047
2048	2048
2049	2049
2050	2050
2051	2051
2052	2052
2053	2053
2054	2054
2055	2055
2056	2056
2057	2057
2058	2058
2059	2059
Hordaland	Comté de Hordaland
Sogn og Fjordane	Comté de Sogn og Fjordane
Tepētzallāntli Mēxihco	Vallée de Mexico
Penco	Penco
Santiago de Cali	Cali
David Wark Griffith	D. W. Griffith
William Wyler	William Wyler
Luis Buñuel	Luis Buñuel
Billy Wilder	Billy Wilder
Roman Polanski	Roman Polanski
Punta Arenas	Punta Arenas
Putre	Putre
Tempe, Arizona	Tempe (Arizona)
Gaspar Fernández	Gaspar Fernandes
Nemachiyōtīlli:Taxobox	Modèle:Taxobox
Rosario, Argentina	Rosario
Mar del Plata	Mar del Plata
Jean-Luc Godard	Jean-Luc Godard
Giovanni Pastrone	Giovanni Pastrone
Saltillo	Saltillo
Cōāhuillān Zaragoza	Coahuila
Mexicana de Aviación	Mexicana
Acura	Acura
Ōmmalacapayīnaliztli	Cyclisme
Toyota	Toyota
Werner Faymann	Werner Faymann
San Mango d'Aquino	San Mango d'Aquino
Calatl	Hylidae
Itztli	Obsidienne
Paola, Italia	Paola (Italie)
Cuenca, Ecuador	Cuenca (Équateur)
Tamazolin	Bufonidae
Robert Bresson	Robert Bresson
Hayao Miyazaki	Hayao Miyazaki
Nagisa Ōshima	Nagisa Ōshima
Ж	Ж
Miguel Hidalgo	Miguel Hidalgo
Colonia del Sacramento	Colonia del Sacramento
Punta del Este	Punta del Este
Ò	Ò
Ù	Ù
Vilamoviatlahtōlli	Wilamowicien
Mayotlahtōlli	Mayo (langue)
Nelly Sachs	Nelly Sachs
Ollanta Humala	Ollanta Humala
Felipe Calderón	Felipe Calderón
Mauricio Funes	Mauricio Funes
Thomas de Maizière	Thomas de Maizière
Norbert Lammert	Norbert Lammert
Otto Ernst Remer	Otto-Ernst Remer
Franz Josef Jung	Franz Josef Jung
Jóhanna Sigurðardóttir	Jóhanna Sigurðardóttir
Philipp Rösler	Philipp Rösler
Guido Westerwelle	Guido Westerwelle
Duran Duran	Duran Duran
Tēucyōtl Greenlee	Comté de Greenlee
Tēucyōtl Coconino	Comté de Coconino
Tēucyōtl Gila	Comté de Gila
Tēucyōtl Pima	Comté de Pima
Tēucyōtl Santa Cruz (Arizona)	Comté de Santa Cruz (Arizona)
Tēucyōtl Maricopa	Comté de Maricopa
Tēucyōtl Graham (Arizona)	Comté de Graham (Arizona)
Tēucyōtl Navajo	Comté de Navajo
Tēucyōtl Mohave	Comté de Mohave
Tēucyōtl Yuma (Arizona)	Comté de Yuma (Arizona)
Tēucyōtl Yavapai	Comté de Yavapai
Tēucyōtl Pinal	Comté de Pinal
Tlani California	Basse-Californie (État)
Tēucyōtl La Paz	Comté de La Paz
Tēucyōtl Apache	Comté d'Apache
Tēucyōtl Cochise	Comté de Cochise
Cuitlatexohtli	Aigue-marine
Chiyapan	Chiapas
Veracruz de Ignacio de la Llave	Veracruz (État)
1150 xihuitl	Années 1150
Īpān Dinamarca	Drapeau du Danemark
Guerrero	Guerrero
Yucatān	Yucatán
Cītlalmītl	Météorite
1030 xiuhtin	Années 1030
1050 xiuhtin	Années 1050
Constantinopla Tēpachoteōpīxqui	Patriarche de Constantinople
Ursula von der Leyen	Ursula von der Leyen
Kristina Schröder	Kristina Schröder
Winfried Kretschmann	Winfried Kretschmann
San Francisco Campeche	Campeche (ville)
Chihuahhua, Chihuahhua	Chihuahua (ville)
Pachtitlan (āltepēcalpōlli)	Guanajuato
Cōlimān	État de Colima
Cōlimān, Cōlimān	Colima
Nehnemiliztli	Voyage
Erika Mann	Erika Mann
Ronald Pofalla	Ronald Pofalla
Caxtillān quetzaltōtōtl	Paon bleu
Norbert Röttgen	Norbert Röttgen
Sabine Leutheusser-Schnarrenberger	Sabine Leutheusser-Schnarrenberger
Peter Struck	Peter Struck
Björn Engholm	Björn Engholm
Johannes Heesters	Johannes Heesters
Huehcāuh Tlācatiyān	Liste des États disparus
Daniel Bahr	Daniel Bahr
Barranquilla	Barranquilla
Dirk Niebel	Dirk Niebel
Peter Ramsauer	Peter Ramsauer
Alfred Hugenberg	Alfred Hugenberg
Harald Ringstorff	Harald Ringstorff
Peter Altmaier	Peter Altmaier
Edelgard Bulmahn	Edelgard Bulmahn
Morelos	Morelos
Manfred Stolpe	Manfred Stolpe
Hans-Peter Friedrich	Hans-Peter Friedrich
Otto Sander	Otto Sander
Mēxihco ītlācaxoxouhcāyō	Guerre d'indépendance du Mexique
Willy Hellpach	Willy Hellpach
Michael Kühnen	Michael Kühnen
Hermann Gröhe	Hermann Gröhe
Garfield	Garfield (bande dessinée)
Cueyatl	Rana (genre)
Futurama	Futurama
Heinz Riesenhuber	Heinz Riesenhuber
Trinidad, Colorado	Trinidad (Colorado)
Āyohpālli	Rose shocking
Claudia Roth	Claudia Roth
Karl Dönitz	Karl Dönitz
Heinrich Mann	Heinrich Mann
Johann Pachelbel	Johann Pachelbel
Paul Heyse	Paul Johann Ludwig von Heyse
Horst Mahler	Horst Mahler
Gregor Strasser	Gregor Strasser
Margot Honecker	Margot Honecker
Karl-Theodor zu Guttenberg	Karl-Theodor zu Guttenberg
Ernst Thälmann	Ernst Thälmann
Paul van Dyk	Paul van Dyk
Klaus Mann	Klaus Mann
Golo Mann	Golo Mann
Wilhelm Marx	Wilhelm Marx
Angelika Beer	Angelika Beer
Susanne Riess	Susanne Riess-Passer
Centzīntiliztica	Monocotylédone
San Luis Potosí	État de San Luis Potosí
Tlapaltehuilōtl	Améthyste
Andreas Mölzer	Andreas Mölzer
Querétaro	Querétaro
Nogales, Arizona	Nogales (Arizona)
930 xihuitl	Années 930
Cuātōchtli	Cavia porcellus
Yuma	Yuma (Arizona)
Flagstaff	Flagstaff (Arizona)
Michhuahcān	Michoacán
Īpān Afganistan	Drapeau de l'Afghanistan
Isis	Isis
Durango	État de Durango
Nayarit	Nayarit
1130 xihuitl	Années 1130
Puebla	État de Puebla
Aguascalientes	Aguascalientes (État)
Cēmpōhualmācuīlli	25 (nombre)
Cēmpōhualonnāhui	24 (nombre)
Tamaulipas	Tamaulipas
Apipiyalotl	Anisoptera
Eloy, Arizona	Eloy (Arizona)
Caxtillān mexcalmetl	Aloe vera
Īpān Canada	Drapeau du Canada
Emily Brontë	Emily Brontë
Watlasecawiloni	Chapeau
Techalōmiztli	Chat marbré
Tecontli	Bouteille
Quintana Roo	Quintana Roo
Sinaloa	Sinaloa
Zacatēcapan	État de Zacatecas
