Afrika	Afrique
Liechtenstein	Liechtenstein
Sport	Sport
Cambridge	Cambridge
Yellowstone Nasionale Park	Parc national de Yellowstone
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Eerste Wêreldoorlog	Première Guerre mondiale
Tweede Wêreldoorlog	Seconde Guerre mondiale
Keulen	Cologne
Wikibooks	Wikibooks
Wikiquote	Wikiquote
Wikiversity	Wikiversité
Wikivoyage	Wikivoyage
Wodka	Vodka
Ubuntu (Linux)	Ubuntu
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Wiskunde	Mathématiques
U2	U2
Latyn	Latin
Bahrein	Bahreïn
Armenië	Arménie
Wigskrif	Cunéiforme
Higgs-boson	Boson de Higgs
Serwië	Serbie
Maan	Lune
Istanboel	Istanbul
Australië	Australie
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologie	Exobiologie
Pioneer-plaat	Plaque de Pioneer
Fisika	Physique
Argentinië	Argentine
Telekommunikasie	Télécommunications
Peru	Pérou
Biologie	Biologie
Vreemde vlieënde voorwerp	Objet volant non identifié
Noord-Korea	Corée du Nord
Kambodja	Cambodge
Kuiper-gordel	Ceinture de Kuiper
Koran	Coran
Dinosourus	Dinosaure
Dierkunde	Zoologie
Islam	Islam
Ljubljana	Ljubljana
Plantkunde	Botanique
Lech Wałęsa	Lech Wałęsa
Wiel	Roue
Denis Diderot	Denis Diderot
Vrede	Paix
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Europese Unie	Union européenne
Rhône-Alpes	Rhône-Alpes
Wêreldwye web	World Wide Web
Vrou	Femme
Sofia	Sofia
Akwaduk	Aqueduc
Poësie	Poésie
Rekenaarvirus	Virus informatique
Milaan	Milan
Turyn	Turin
Ontlasting	Matière fécale
Anus	Anus
Suurlemoen	Citron
Piesang	Banane
Émile Zola	Émile Zola
666	666
Blom	Fleur
Wladimir Wisotski	Vladimir Vyssotski
Berg Everest	Everest
Anatomie	Anatomie
Stad	Ville
Napoleon Bonaparte	Napoléon Ier
Olympus Mons	Olympus Mons
Fisiologie	Physiologie
Ster	Étoile
Vesuvius	Vésuve
Son	Soleil
Louis Pasteur	Louis Pasteur
Ligjaar	Année-lumière
Victor Hugo	Victor Hugo
Oseanië	Océanie
Atletiek	Athlétisme
Sonnestelsel	Système solaire
Oossee	Mer Baltique
Triëst	Trieste
Vistula	Vistule
Avenue des Champs-Élysées	Avenue des Champs-Élysées
Oder	Oder
Tand	Dent
Waterstof	Hydrogène
Helium	Hélium
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litium	Lithium
Berillium	Béryllium
Luidspreker	Haut-parleur
Boek	Livre (document)
Dag	Jour
Oos-Timor	Timor oriental
Nag	Nuit
Jaar	Année (calendrier)
Eeue	Siècle
Łódź	Łódź
Mont Blanc	Mont Blanc
Ryn	Rhin
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Swartkolk	Trou noir
Gay	Gay (homosexualité)
Ceres (dwergplaneet)	(1) Cérès
Lissabon	Lisbonne
Rzeszów	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Haumea	(136108) Hauméa
Rhône	Rhône
Makemake	(136472) Makémaké
Eris (dwergplaneet)	(136199) Éris
Doebai (stad)	Dubaï (ville)
Doebai (emiraat)	Dubaï (émirat)
Lionel Messi	Lionel Messi
Boor (element)	Bore
Nicolaas Copernicus	Nicolas Copernic
Versailles	Versailles
Koolstof	Carbone
Wolga	Volga
Stikstof	Azote
Suurstof	Oxygène
FC Internazionale Milano	FC Internazionale Milano
Planeet	Planète
Cleopatra VII	Cléopâtre VII
Kate Bush	Kate Bush
Musiek	Musique
Venesië	Venise
Po (rivier)	Pô
Newarivier	Neva
Termometer	Thermomètre
Rennes	Rennes
Lille	Lille
Moskou	Moscou
Fluoor	Fluor
Italiaans	Italien
Chihuahua (hond)	Chihuahua (chien)
Neon	Néon
Chihuahua (deelstaat)	État de Chihuahua
Sint Petersburg	Saint-Pétersbourg
Tsjad	Tchad
Natrium	Sodium
Noord	Nord
Magnesium	Magnésium
Aluminium	Aluminium
Nieu-Seeland	Nouvelle-Zélande
Suid	Sud
Indië	Inde
Silikon	Silicium
Tuvalu	Tuvalu
Fosfor	Phosphore
André-Marie Ampère	André-Marie Ampère
Prosa	Prose
Yster	Fer
Tonga	Tonga
Wes	Ouest
Swawel	Soufre
Samoa	Samoa
Oos	Est
Solomoneilande	Salomon (pays)
Vanuatu	Vanuatu
Molière	Molière
Chloor	Chlore
Bastille (musiekgroep)	Bastille (groupe)
Delft, Nederland	Delft
Papoea-Nieu-Guinee	Papouasie-Nouvelle-Guinée
William Shakespeare	William Shakespeare
Suid-Holland	Hollande-Méridionale
Palau	Palaos
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Noord-Holland	Hollande-Septentrionale
Gefedereerde State van Mikronesië	Micronésie (pays)
Kalium	Potassium
Zeeland	Zélande
Kalsium	Calcium
Flevoland	Flevoland
Lood	Plomb
Marshalleilande	Îles Marshall
Kiribati	Kiribati
Mongolië	Mongolie
Fidji	Fidji
Skandium	Scandium
Heilbronn	Heilbronn
Titaan (element)	Titane
Venezuela	Venezuela
Skaak	Échecs
Saginaw	Saginaw (Michigan)
Djengis Khan	Gengis Khan
Vanadium	Vanadium
Maine	Maine (État)
Chroom	Chrome
Perd	Cheval
Amsterdam	Amsterdam
Gevegswapen	Arme
Dier	Animal
Suriname	Suriname
Mangaan	Manganèse
Paraguay	Paraguay
Guyana	Guyana
Kuns	Art
Ecuador	Équateur (pays)
Colombia	Colombie
Kobalt	Cobalt
Wolfram	Tungstène
Nikkel	Nickel
Aarbei	Fragaria
Boeddhisme	Bouddhisme
Groningen (munisipaliteit)	Groningue (ville)
Bolivië	Bolivie
Groningen (provinsie)	Groningue (province)
Koper	Cuivre
Trinidad en Tobago	Trinité-et-Tobago
Plant	Plante
St. Vincent en die Grenadines	Saint-Vincent-et-les-Grenadines
Sink	Zinc
New Hampshire	New Hampshire
St. Lucia	Sainte-Lucie
Białystok	Białystok
Leonardo da Vinci	Léonard de Vinci
St. Kitts en Nevis	Saint-Christophe-et-Niévès
Swam	Fungi
Jamaika	Jamaïque
Grenada	Grenade (pays)
Friesland	Frise (province)
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Gueldre (province)
Utrecht (provinsie)	Utrecht (province)
Google Chrome	Google Chrome
Bahamas	Bahamas
Connecticut	Connecticut
Hoender	Gallus gallus domesticus
Antigua en Barbuda	Antigua-et-Barbuda
Hawaii	Hawaï
Honduras	Honduras
Dominica	Dominique (pays)
Jersey	Jersey
Dominikaanse Republiek	République dominicaine
Vark	Porc
Arktiese Oseaan	Océan Arctique
Haïti	Haïti
El Salvador	Salvador
Zwolle	Zwolle
Iran	Iran
Irak	Irak
Alaska	Alaska
Assen	Assen
Costa Rica	Costa Rica
Israel	Israël
Utrecht (munisipaliteit)	Utrecht
Panama	Panama
Jemen	Yémen
Lausanne	Lausanne
Virus	Virus
Pools	Polonais
Jordanië	Jordanie
Nicaragua	Nicaragua
Florida	Floride
Kirgisië	Kirghizistan
Arizona	Arizona
Koeweit	Koweït
Laos	Laos
Libanon	Liban
Oregon	Oregon
Maledive	Maldives
Amerikas	Amérique
Utah	Utah
Bees	Bos taurus
Maleisië	Malaisie
Mianmar	Birmanie
Nepal	Népal
Oman	Oman
Pakistan	Pakistan
Katar	Qatar
Tennis	Tennis
MySQL	MySQL
Saoedi-Arabië	Arabie saoudite
Lockheed L-1011 TriStar	Lockheed L-1011 TriStar
Andrei Tarkofski	Andreï Tarkovski
Sri Lanka	Sri Lanka
Josef Stalin	Joseph Staline
Sirië	Syrie
Plato	Platon
Gallium	Gallium
Tadjikistan	Tadjikistan
Pokémon	Pokémon
Republiek van Sjina	Taïwan
YouTube	YouTube
Germanium	Germanium
Aristoteles	Aristote
Thailand	Thaïlande
Trein	Train
Arseen	Arsenic
Radio	Radiodiffusion
Meryl Streep	Meryl Streep
Turkmenistan	Turkménistan
Abakan	Abakan
Selenium	Sélénium
Iridium	Iridium
Verenigde Arabiese Emirate	Émirats arabes unis
Broom	Brome
Platinum	Platine
Viëtnam	Viêt Nam
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Novossibirsk
Suid-Korea	Corée du Sud
Józef Piłsudski	Józef Piłsudski
The Simpsons	Les Simpson
Jekaterinburg	Iekaterinbourg
Kripton	Krypton
Afghanistan	Afghanistan
Nizjni Nowgorod	Nijni Novgorod
J.R.R. Tolkien	J. R. R. Tolkien
Samara	Samara (Russie)
Rubidium	Rubidium
Goud	Or
Omsk	Omsk
Suezkanaal	Canal de Suez
Kazan	Kazan
Bangladesj	Bangladesh
Franz Kafka	Franz Kafka
Tsjeljabinsk	Tcheliabinsk
Rostof aan die Don	Rostov-sur-le-Don
Jorge Luis Borges	Jorge Luis Borges
Oefa	Oufa
Mali	Mali
Sokrates	Socrate
Wolgograd	Volgograd
Angola	Angola
Perm	Perm
Bhoetan	Bhoutan
Twitter	Twitter
Krasnojarsk	Krasnoïarsk
Broenei	Brunei
Tanzanië	Tanzanie
Kwik	Mercure (chimie)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filippyne	Philippines
Sentraal-Afrikaanse Republiek	République centrafricaine
Suidpool	Pôle Sud
Noordpool	Pôle Nord
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stronsium	Strontium
Pedro I van Brasilië	Pierre Ier (empereur du Brésil)
Yttrium	Yttrium
Bismut	Bismuth
Geel	Jaune
Kwantummeganika	Mécanique quantique
Togo	Togo
Donald Tusk	Donald Tusk
Tunisië	Tunisie
Zambië	Zambie
Zimbabwe	Zimbabwe
Beijing	Pékin
Suid-Soedan	Soudan du Sud
Wladiwostok	Vladivostok
Tiwa	Touva
Benin	Bénin
Botswana	Botswana
Wikinews	Wikinews
Burkina Faso	Burkina Faso
Burundi	Burundi
Comore-eilande	Comores (pays)
Republiek van die Kongo	République du Congo
Alkmaar	Alkmaar
Ob	Ob
Demokratiese Republiek van die Kongo	République démocratique du Congo
San Antonio	San Antonio
Djiboeti	Djibouti
Meem	Mème
Polonium	Polonium
Beiere	Bavière
Ekwatoriaal-Guinee	Guinée équatoriale
Baden-Württemberg	Bade-Wurtemberg
Eritrea	Érythrée
Nieu-Delhi	New Delhi
Almelo	Almelo
Pous Johannes Paulus II	Jean-Paul II
Fjodor Dostojefski	Fiodor Dostoïevski
Amersfoort, Nederland	Amersfoort
Kamtsjatka-skiereiland	Kamtchatka
Tbilisi	Tbilissi
Appingedam	Appingedam
Astaat	Astate
Gaboen	Gabon
Mahatma Gandhi	Mohandas Karamchand Gandhi
Solidarność	Solidarność
Strokiesverhaal	Bande dessinée
Gambië	Gambie
Guinee	Guinée
Guinee-Bissau	Guinée-Bissau
Ivoorkus	Côte d'Ivoire
Kameroen	Cameroun
Kaap Verde	Cap-Vert
Lesotho	Lesotho
Liberië	Liberia
Libië	Libye
Aken	Aix-la-Chapelle
Madagaskar	Madagascar
Malawi	Malawi
Stuttgart	Stuttgart
Mauritanië	Mauritanie
Mauritius	Maurice (pays)
Marokko	Maroc
Mosambiek	Mozambique
Namibië	Namibie
France Prešeren	France Prešeren
Niger	Niger
Nigerië	Nigeria
Charles Darwin	Charles Darwin
Uganda	Ouganda
Rwanda	Rwanda
Sirkonium	Zirconium
São Tomé en Príncipe	Sao Tomé-et-Principe
Karlsruhe	Karlsruhe
Senegal	Sénégal
Seychelle	Seychelles
Carolus Linnaeus	Carl von Linné
Sierra Leone	Sierra Leone
Somalië	Somalie
Niobium	Niobium
Julius Caesar	Jules César
Soedan	Soudan
Swaziland	Swaziland
Reënboog	Arc-en-ciel
Molibdeen	Molybdène
Tegnesium	Technétium
Hamburg	Hambourg
Ontariomeer	Lac Ontario
Evolusie	Évolution (biologie)
Verenigde Nasies	Organisation des Nations unies
Bowemeer	Lac Supérieur
Dante Alighieri	Dante Alighieri
Geologie	Géologie
Ahmedabad	Ahmedabad
Geografie	Géographie
Hart	Cœur
Brein	Cerveau
Vel	Peau
Kleur	Couleur
Selfstandige naamwoord	Substantif
Praag	Prague
Rutenium	Ruthénium
Rodium	Rhodium
Blou	Bleu
Palladium	Palladium (chimie)
Silwer	Argent
Kadmium	Cadmium
Star Trek	Star Trek
Limburg, Nederland	Province de Limbourg (Pays-Bas)
Indium	Indium
Limburg, België	Province de Limbourg (Belgique)
Tin	Étain
Uraan	Uranium
Antimoon	Antimoine
Telluur	Tellure
Noord-Brabant	Brabant-Septentrional
Jodium	Iode
Hemer	Hemer
Xenon	Xénon
Sesium	Césium
Elektriese lading	Charge électrique
Barium	Baryum
Wes-Vlaandere	Province de Flandre-Occidentale
Oos-Vlaandere	Province de Flandre-Orientale
Antwerpen (provinsie)	Province d'Anvers
Vlaams-Brabant	Province du Brabant flamand
Hafnium	Hafnium
Aktinium	Actinium
Waals-Brabant	Province du Brabant wallon
Tantaal	Tantale (chimie)
Bill Clinton	Bill Clinton
Namur (provinsie)	Province de Namur
Luxemburg (provinsie)	Province de Luxembourg
Luik (provinsie)	Province de Liège
Radium	Radium
Hainaut	Province de Hainaut
Iserlohn	Iserlohn
Radon	Radon
Lotaringe	Lorraine
Elsas	Alsace
Indira Gandhi	Indira Gandhi
Hector Berlioz	Hector Berlioz
Auvergne	Auvergne
Moembaai	Bombay
Internasionale Vereniging van Atletiekfederasies	Association internationale des fédérations d'athlétisme
Limburg	Limburg
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Michiganmeer	Lac Michigan
Goa	Goa
Boergondië (gewes)	Bourgogne
Harjana	Haryana
Akwitanië	Aquitaine
Puerto Rico	Porto Rico
Karnataka	Karnataka
Kerala	Kerala
Limousin	Limousin
Manipoer	Manipur
Sleeswyk-Holstein	Schleswig-Holstein
Mecklenburg-Voorpommere	Mecklembourg-Poméranie-Occidentale
Nedersakse	Basse-Saxe
Noordryn-Wesfale	Rhénanie-du-Nord-Westphalie
Hesse	Hesse (Land)
Rynland-Palts	Rhénanie-Palatinat
Saarland	Sarre (Land)
Sakse	Saxe (Land)
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Thuringe
Sakse-Anhalt	Saxe-Anhalt
Noord-Dakota	Dakota du Nord
Brandenburg	Brandebourg
Vrye Hansestad Bremen	Brême (Land)
Suid-Dakota	Dakota du Sud
Montana	Montana
Wyoming	Wyoming
Piëmont	Piémont
Jerusalem	Jérusalem
Alster	Alster
Idaho	Idaho
Washington (deelstaat)	Washington (État)
Nevada	Nevada
Don	Don (fleuve)
Trentino-Suid-Tirool	Trentin-Haut-Adige
Indiese Oseaan	Océan Indien
Kosowo	Kosovo
Karibiese See	Mer des Caraïbes
Kofi Annan	Kofi Annan
Ligurië	Ligurie
Colorado	Colorado
Emilia-Romagna	Émilie-Romagne
Coloradorivier	Colorado (fleuve)
Frédéric Chopin	Frédéric Chopin
Konfyt	Confiture
Trygve Lie	Trygve Lie
Toskane	Toscane
Leonard Cohen	Leonard Cohen
Umbrië	Ombrie
Kategorie:Alles	Catégorie:Accueil
Latium	Latium
Abruzze	Abruzzes
Alpe	Alpes
Karpate	Carpates
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Dortmund	Dortmund
Gent	Gand
Chicago	Chicago
The Beatles	The Beatles
Flerovium	Flérovium
Wageningen	Wageningue
Ununoctium	Ununoctium
Maastricht	Maastricht
Arnhem	Arnhem
Dag-en-nag-ewening	Équinoxe
Saddam Hoesein	Saddam Hussein
Osama bin Laden	Oussama ben Laden
Spaans	Espagnol
Friedrich August Hayek	Friedrich Hayek
Montevideo	Montevideo
Rimouski	Rimouski
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh
Opera	Opéra
Philadelphia	Philadelphie
Kalkutta	Calcutta
Chennai	Chennai
Delhi	Delhi
Dhaka	Dacca
Bangalore	Bangalore
Wes-Bengale	Bengale-Occidental
Spinnekop	Araneae
Geleedpotiges	Arthropode
Hyderabad, Indië	Hyderabad
Islamabad	Islamabad
Tripoera	Tripura
Vrug	Fruit (botanique)
Kategorie:Porto	Catégorie:Porto
Aap	Singe
Geld	Monnaie
Virginië	Virginie (État)
Wes-Virginië	Virginie-Occidentale
Paprika (plant)	Capsicum annuum
Huronmeer	Lac Huron
New York (deelstaat)	État de New York
Rhode Island	Rhode Island
Insek	Insecte
Maryland	Maryland
Delaware	Delaware
Wladimir Lenin	Vladimir Ilitch Lénine
Europium	Europium
Ohio	Ohio
Vergilius	Virgile
Niccolò Machiavelli	Nicolas Machiavel
Pennsilvanië	Pennsylvanie
Uetersen	Uetersen
Augustus Octavianus	Auguste
Microsoft Windows	Microsoft Windows
Tiberius	Tibère
New Jersey	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claude (empereur romain)
Fins	Finnois
Nero	Néron
Galba (keiser)	Galba
Indiana	Indiana
Nokia	Nokia
Vespasianus	Vespasien
Motorvoertuig	Automobile
Juventus Football Club	Juventus Football Club
Domitianus	Domitien
Trajanus	Trajan
Roger Federer	Roger Federer
Hadrianus	Hadrien
Georgia	Géorgie (États-Unis)
Antoninus Pius	Antonin le Pieux
Markus Aurelius	Marc Aurèle
KDE	KDE
Lucius Verus	Lucius Aurelius Verus
Commodus	Commode (empereur)
Zagreb	Zagreb
Kampanië	Campanie
Texas	Texas
Septimius Severus	Septime Sévère
Tamil Nadu	Tamil Nadu
Genua	Gênes
Noord-Carolina	Caroline du Nord
Hokkie	Hockey sur gazon
Suid-Carolina	Caroline du Sud
Kalabrië	Calabre
Sisilië	Sicile
Manila	Manille
Sardinië	Sardaigne
Ferdinand Marcos	Ferdinand Marcos
Cebu Stad	Cebu (ville)
Loire (rivier)	Loire
Seine	Seine
Davao Stad	Davao
Quezon Stad	Quezon City
Le Mans	Le Mans
Caloocan	Caloocan
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Meksikostad	Mexico
Tokio	Tokyo
La Paz	La Paz
Barcelona	Barcelone
Pynappel	Ananas
Mississippi	Mississippi (État)
Ferdinand Magellaan	Fernand de Magellan
Mississippirivier	Mississippi (fleuve)
Oetarpradesj	Uttar Pradesh
José Rizal	José Rizal
Swembad	Piscine
Sikkim	Sikkim
Patagonië	Patagonie
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Abidjan	Abidjan
Aboe Dhabi	Abou Dabi (ville)
Astana	Astana
Nieu-Meksiko	Nouveau-Mexique
Ramses II	Ramsès II
Athene	Athènes
Minnesota	Minnesota
Bagdad	Bagdad
Caracas	Caracas
Gekoördineerde Universele Tyd	Temps universel coordonné
Wisconsin	Wisconsin
Pune	Pune
Cicero	Cicéron
AC Milan	Associazione Calcio Milan
Iowa	Iowa
Nebraska	Nebraska
Guatemala-stad	Guatemala (ville)
Kansas	Kansas
Havana	La Havane
Tabak	Tabac
Hindi	Hindi
Marathi	Marathi (langue)
Windows Internet Explorer	Internet Explorer
Sigaret	Cigarette
Ganesja	Ganesh
Missouri	Missouri (État)
Louisiana	Louisiane
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Oerdoe	Ourdou
Édith Piaf	Édith Piaf
Elbe	Elbe (fleuve)
Rijeka	Rijeka
Eems	Ems
Oklahoma	Oklahoma
Weser	Weser
Donau	Danube
Gedig	Vers
Jacques Brel	Jacques Brel
Main	Main (rivière)
Neckar	Neckar
Havel	Havel
Noordsee	Mer du Nord
Skagerrak	Skagerrak
Moskou-oblast	Oblast de Moscou
Kiel, Duitsland	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hanovre
Düsseldorf	Düsseldorf
Mainz	Mayence
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Sarrebruck
München	Munich
Samara-oblast	Oblast de Samara
Erfurt	Erfurt
Dresden	Dresde
Maagdenburg	Magdebourg
Vlugbal	Volley-ball
Innsbruck	Innsbruck
Bregenz	Bregenz
Wene	Vienne (Autriche)
Madonna	Madonna
Kopenhagen	Copenhague
Kaliningrad-oblast	Oblast de Kaliningrad
Stockholm	Stockholm
Helsinki	Helsinki
Moermansk-oblast	Oblast de Mourmansk
Dublin	Dublin
Moermansk	Mourmansk
Reykjavik	Reykjavik
Tallinn	Tallinn
Epitaaf	Épitaphe
Riga	Riga
Bratislava	Bratislava
Boedapest	Budapest
Charles Aznavour	Charles Aznavour
Gdansk	Gdańsk
Frankfurt am Main	Francfort-sur-le-Main
Wrocław	Wrocław
Lantaan	Lanthane
Astronomiese eenheid	Unité astronomique
Saint-Tropez	Saint-Tropez
Rooiwyn	Vin rouge
Kaliningrad	Kaliningrad
Zinedine Zidane	Zinédine Zidane
Veenendaal	Veenendaal
Luxemburg (stad)	Luxembourg (ville)
Vaduz	Vaduz
Bybel	Bible
San Marino (stad)	Ville de Saint-Marin
Phnom Penh	Phnom Penh
Archangelsk	Arkhangelsk
Ho Chi Minh-stad	Hô-Chi-Minh-Ville
Lutetium	Lutécium
Hanoi	Hanoï
Ware Jesuskerk	Véritable Jésus Église
