Africa	Afrique
Skopje	Skopje
Masvomhu	Mathématiques
Bahrain	Bahreïn
Armenia	Arménie
Serbia	Serbie
Mwedzi (mutumbi)	Lune
Australia	Australie
Fundoyetsimba	Physique
Argentina	Argentine
Peru	Pérou
Ketaupenyu	Biologie
North Korea	Corée du Nord
Cambodia	Cambodge
Ketamhuka	Zoologie
Islam	Islam
Ljubljana	Ljubljana
Rugare	Paix
Mukadzi	Femme
Sofia	Sofia
Husimbe	Paresse
Nyemwerera	Sourire
Milan	Milan
Dhodhi	Matière fécale
Mukosho	Anus
Ruva	Fleur
Guta	Ville
Nyenyedzi	Étoile
Zuva	Soleil
Dandira reMushana	Système solaire
Mazino	Dent humaine
Bhuku	Livre (document)
Musi	Jour
East Timor	Timor oriental
Husiku	Nuit
Gore	Année (calendrier)
Mwaka wechizana	Siècle
Oslo	Oslo
Lisbon	Lisbonne
Nyeredzi	Planète
Mimhanzi	Musique
Moscow	Moscou
Chad	Tchad
Maodzanyemba	Nord
New Zealand	Nouvelle-Zélande
Chamhembe	Sud
India	Inde
Tuvalu	Tuvalu
Tonga	Tonga
Madokero	Ouest
Samoa	Samoa
Mabvazuva	Est
Solomon Islands	Salomon (pays)
Vanuatu	Vanuatu
Papua New Guinea	Papouasie-Nouvelle-Guinée
Palau	Palaos
Nauru	Nauru
Federated States of Micronesia	Micronésie (pays)
Marshall Islands	Îles Marshall
Kiribati	Kiribati
Mongolia	Mongolie
Fiji	Fidji
Venezuela	Venezuela
Bhiza	Cheval
Amsterdam	Amsterdam
Zvombo	Arme
Mhuka	Animal
Suriname	Suriname
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Équateur (pays)
Colombia	Colombie
Bolivia	Bolivie
Trinidad and Tobago	Trinité-et-Tobago
Madzinde	Plante
Saint Vincent and the Grenadines	Saint-Vincent-et-les-Grenadines
Zeng'e	Zinc
Saint Lucia	Sainte-Lucie
Saint Kitts and Nevis	Saint-Christophe-et-Niévès
Jamaica	Jamaïque
Grenada	Grenade (pays)
Guatemala	Guatemala
The Bahamas	Bahamas
Huku	Gallus gallus domesticus
Antigua and Barbuda	Antigua-et-Barbuda
Honduras	Honduras
Dominica	Dominique (pays)
Dominican Republic	République dominicaine
Nguruve	Porc
Haiti	Haïti
El Salvador	Salvador
Iran	Iran
Iraq	Irak
Costa Rica	Costa Rica
Israel	Israël
Panama	Panama
Yemen	Yémen
Jordan	Jordanie
Nicaragua	Nicaragua
Florida	Floride
Kyrgyzstan	Kirghizistan
Kuwait	Koweït
Laos	Laos
Lebanon	Liban
Maldives	Maldives
America (dzose)	Amérique
Malaysia	Malaisie
Burma	Birmanie
Nepal	Népal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi Arabia	Arabie saoudite
Sri Lanka	Sri Lanka
Syria	Syrie
Tajikistan	Tadjikistan
Taiwan	Taïwan
Thailand	Thaïlande
Chitima	Train
Turkmenistan	Turkménistan
United Arab Emirates	Émirats arabes unis
Vietnam	Viêt Nam
South Korea	Corée du Sud
Afghanistan	Afghanistan
Muronga Suez Canal	Canal de Suez
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhoutan
Brunei	Brunei
Tanzania	Tanzanie
Philippines	Philippines
Central African Republic	République centrafricaine
Isaac Newton	Isaac Newton
Togo	Togo
Tunisia	Tunisie
Zambia (nyika)	Zambie
Zimbabwe	Zimbabwe
Beijing	Pékin
South Sudan	Soudan du Sud
Benin	Bénin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Comores (pays)
Republic of the Congo	République du Congo
Democratic Republic of the Congo	République démocratique du Congo
Djibouti	Djibouti
Equatorial Guinea	Guinée équatoriale
Eritrea	Érythrée
New Delhi	New Delhi
Tbilisi	Tbilissi
Gabon	Gabon
Gambia	Gambie
Guinea	Guinée
Guinea-Bissau	Guinée-Bissau
Côte d'Ivoire	Côte d'Ivoire
Cameroon	Cameroun
Cape Verde	Cap-Vert
Lesotho	Lesotho
Liberia	Liberia
Libya	Libye
Madagascar	Madagascar
Malawi	Malawi
Mauritania	Mauritanie
Mauritius	Maurice (pays)
Morocco	Maroc
Mozambique	Mozambique
Namibia	Namibie
Niger	Niger
Nigeria	Nigeria
Uganda	Ouganda
Rwanda	Rwanda
Sao Tome and Principe	Sao Tomé-et-Principe
Senegal	Sénégal
Seychelles	Seychelles
Sierra Leone	Sierra Leone
Somalia	Somalie
Julius Caesar	Jules César
Sudan	Soudan
Swaziland	Swaziland
Mubatanidzwa weNyika Pasirose	Organisation des Nations unies
Ketanyika	Géologie
Taranyika	Géographie
Moyo	Cœur
Huropi	Cerveau
Prague	Prague
Jerusalem	Jérusalem
Kosovo	Kosovo
Chicago	Chicago
Chirimo	Printemps
Tsazahusiku	Équinoxe
Montevideo	Montevideo
Dhaka	Dacca
Buwe	Araneae
Islamabad	Islamabad
Muchero	Fruit (botanique)
Shoko	Singe
Mari	Monnaie
Zagreb	Zagreb
Manila	Manille
Buenos Aires	Buenos Aires
Mexico City	Mexico
Tokyo	Tokyo
La Paz	La Paz
Dziva rokushambira	Piscine
Abu Dhabi	Abou Dabi (ville)
Astana	Astana
Athens	Athènes
Baghdad	Bagdad
Caracas	Caracas
Guatemala City	Guatemala (ville)
Havana	La Havane
Fodya	Tabac
Vienna	Vienne (Autriche)
Copenhagen	Copenhague
Stockholm	Stockholm
Helsinki	Helsinki
Dublin	Dublin
Reykjavík	Reykjavik
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Vaduz	Vaduz
Bhaibheri	Bible
City of San Marino	Ville de Saint-Marin
Phnom Penh	Phnom Penh
Guta reHo Chi Minh	Hô-Chi-Minh-Ville
Hanoi	Hanoï
True Jesus Church	Véritable Jésus Église
Chirungu	Anglais
Bangkok	Bangkok
Andorra la Vella	Andorre-la-Vieille
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Dong Hoi	Đồng Hới
Kyiv	Kiev
Ottawa	Ottawa
Juba	Djouba
Yerevan	Erevan
Dar es Salaam	Dar es Salam
Khartoum	Khartoum
Kudya	Nourriture
Nyoka	Serpentes
Nhanzvi	Sexualité orale
Minsk	Minsk
Chemishonga	Chimie
Mogadishu	Mogadiscio
Nassau	Nassau (Bahamas)
Sana'a	Sanaa
Nhabvu	Football
Rutsvamhumburu	Shoah
Madrid	Madrid
Bogotá	Bogota
Brasília	Brasilia
Lima	Lima
Santiago	Santiago
Quito	Quito
Asunción	Asuncion
Mbudzi	Chèvre
Mhuru	Veau
Paramaribo	Paramaribo
Mukomana	Garçon
Musikana	Fille
Kathmandu	Katmandou
Belmopan	Belmopan
San José	San José (Costa Rica)
San Salvador	San Salvador (Salvador)
Canberra	Canberra
Moto	Feu
Tegucigalpa	Tegucigalpa
Managua	Managua
Panama City	Panama (ville)
Rwizi Nile	Nil
Rabat	Rabat
Algiers	Alger
Tunis	Tunis
Tripoli	Tripoli (Libye)
Djibouti (city)	Djibouti (ville)
Tehran	Téhéran
Addis Ababa	Addis-Abeba
Jakarta	Jakarta
Ankara	Ankara
Asmara	Asmara
N'Djamena	N'Djaména
Nouakchott	Nouakchott
Riyadh	Riyad
Bamako	Bamako
Belgrade	Belgrade
Dakar	Dakar
Banjul	Banjul
Conakry	Conakry
Bissau	Bissau
Monrovia	Monrovia
Praia	Praia
Accra	Accra
Damascus	Damas
Yamoussoukro	Yamoussoukro
French Guiana	Guyane
Ouagadougou	Ouagadougou
Freetown	Freetown
Abuja	Abuja
Lomé	Lomé
Porto-Novo	Porto-Novo
Amman	Amman
Yaoundé	Yaoundé
Malabo	Malabo
Beirut	Beyrouth
Libreville	Libreville
Muscat	Mascate
Bangui	Bangui
Kinshasa	Kinshasa
Brazzaville	Brazzaville
Bujumbura	Bujumbura
Nicosia	Nicosie
Kigali	Kigali
Doha	Doha
Dodoma	Dodoma
Nairobi	Nairobi
Lilongwe	Lilongwe
Lusaka	Lusaka
Manama	Manama
Kudzikatidzwa kwezuva	Éclipse solaire
Maputo	Maputo
Kampala	Kampala
Luanda	Luanda
Moroni	Moroni (Comores)
Mbabane	Mbabane
Maseru	Maseru
Muravanembiri	Système binaire
Chikoro	École
Antananarivo	Antananarivo
Gaborone	Gaborone
Harare	Harare
Pretoria	Pretoria
Port Louis	Port-Louis (Maurice)
São Tomé	São Tomé (ville)
Windhoek	Windhoek
Victoria (Seychelles)	Victoria (Seychelles)
Imba	Maison
Rwizi	Rivière
Boterekwa	Orbite
Dong Hoi Airport	Aéroport de Đồng Hới
Mukaha weChadenga	Espace (cosmologie)
Chiringakure	Télescope
Curitiba	Curitiba
Sango	Forêt
Category:Masvomhu	Catégorie:Mathématiques
Mbiru	Colonne (architecture)
Gungwa Mediterranean	Mer Méditerranée
Chitendero chechiKristu	Christianisme
Mupunga	Riz
Ziwumbe	Continent
Shiri	Oiseau
Mwedzi (Mwaka)	Mois
Peji Rekutanga	Wikipédia:Accueil principal
Cape Town	Le Cap
Durban	Durban
Bhazi	Autobus
Kabul	Kaboul
Gumbeze	Couverture (literie)
Kusvira	Rapport sexuel
Mbutu	Vagin
Category:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Shambira	Natation
Category:Zvechadenga	Catégorie:Astronomie
Mbayo	Matérialisme
Matongerwo eNyika	Politique
Kupatsanura zvipenyu	Taxinomie étendue
Baradzira	Propagande
Kilimanjaro	Kilimandjaro
Kutsvoda	Baiser
Rudzi rwaIsrael	Juifs
Nzeve	Oreille
Mhuno	Nez
Ziso	Œil
Humhutu	Culicidae
Hwayi	Mouton
Nghamera	Camelus
Dzinoyamwisa	Mammifère
Nzou	Éléphant
Nyuchi	Abeille
Amai (vakakubereka)	Mère
Sinowo	Neige
Baba	Père
Vabereki	Parent (famille)
Vana	Enfant
Ngongoni	Gnou
Chingwa	Pain
Sangano reHutano Pasirose	Organisation mondiale de la santé
Chimbuzi	Toilettes
Sera (rezvinorarama)	Cellule (biologie)
Ropa	Sang
Mapapu	Poumon
Casablanca	Casablanca
Kundengenyeka kwenyika	Séisme
Muchegwa	Minéral
Chokwadi	Vérité
Mashandiro eZvinhu Zvisingararami	Science de la nature
Dombo	Roche
Chikwatamabwe	Volcan
Pimagonyonhatu	Trigonométrie
Pimanyika	Géométrie
Mhepo	Vent
Gute romweya	Atmosphère (astronomie)
Muchenga Pfuma	Sciences économiques
Hushangazhi	Industrie
Misambo paBonde	Position sexuelle
Bonyora	Masturbation
Chita	Société (sciences sociales)
Mhuri	Famille
Murume	Homme
Rusaruraganda	Racisme
Muranda	Esclavage
Mukaka	Lait
Gomo	Montagne
Gwenga	Désert
Lagos	Lagos (Nigeria)
Seoul	Séoul
Ruzivo	Connaissance
Zamu	Sein
Chiedza	Lumière
Chinamato	Religion
Genesisi	Livre de la Genèse
Eksodo	Livre de l'Exode
Baku	Bakou
Thimphu	Thimphou
Bandar Seri Begawan	Bandar Seri Begawan
Dili	Dili
Vientiane	Vientiane
Malé	Malé
Bishkek	Bichkek
Dushanbe	Douchanbé
Chitaka	Foie
Itsvo	Rein
Jende	Testicule
Tsuro	Lapin
Gungwa	Océan
Tsindi	Sciuridae
Kufema	Haleine
Muzongoza	Moelle épinière
Chibereko	Utérus
Rurimi	Langue (anatomie humaine)
Dzira (nhengo)	Nerf
Makandiro	Ovaire (anatomie)
Mutsipa	Cou
Matumbu	Intestin
Chipfuva	Torse
Tsatsadzi	Glande
Muronga wechikafu	Appareil digestif humain
Huronyo	Sperme
Nouméa	Nouméa
Ronald Reagan	Ronald Reagan
Cardiff	Cardiff
Robert Gabriel Mugabe	Robert Mugabe
Georgetown	Georgetown (Guyana)
Bununu	Nudité
Dzinokambaira	Reptile
Muti	Arbre
Dzehugaro huviri	Amphibia
Huchi	Miel
Nyama	Viande
Mbatatisi	Pomme de terre
Shuga	Sucre
Muriwo	Légume
Pepanhau	Journal
Runhare	Téléphone
Tsika	Culture
Sarajevo	Sarajevo
Mhetapawa	Logarithme
Huwandu	Arithmétique
Zviringani	Système de coordonnées
Munyu	Sel alimentaire
Enzane	Équation
Munangatire	Fonction (mathématiques)
Gonyo	Angle
Chidenhi	Hormone
Rufangu	Accélération
Simba	Énergie
Manikidzo	Force (physique)
Ngoma	Tambour (instrument)
Chinyenze	Flûte
Gunganidzo	Gravitation
Huremu	Masse
Simbi	Métal
Misandu yeSebhe	État de la matière
Gasi	Gaz
Mutuvi	Liquide
Godo	État solide
Kurima	Agriculture
Donje	Coton
Zvipfeko	Vêtement
Kurima neMombe	Charrue
Hujoto	Température
Kukorora Simbi	Métallurgie
Nguva	Temps
Nharaunda	Aire (géométrie)
Dudzirazivo raPythagoras	Théorème de Pythagore
Nhamba	Nombre
Chibage	Maïs
Kudzana	Danse
Rufuvha (magetsi)	Courant électrique
Hwiriro	Fréquence
Sikarudzi	Reproduction (biologie)
Nhumbu	Grossesse
Gorosi	Blé
Mapfunde	Sorghum
Hutano	Santé
Kufuta	Obésité
Zambuko	Pont
Dhamu	Barrage
Kupimirana	Symétrie
Nhamba mhumburu	Entier relatif
Mburungwa	Sphère
Danhiko	Escalier
Munondo	Épée
Zvombo zveShomwe	Arme nucléaire
Majuro	Majuro
Dehenya	Crâne
Ranjisi	Orange (fruit)
Ruomba	Crème (produit laitier)
Chindau	Ndau
Bhodhi	Soutien-gorge
Penzura	Crayon
Tafura	Table
Template:Location map Zimbabwe	Modèle:Géolocalisation/Zimbabwe
Twiza	Girafe
Muromo	Lèvre
Tsoka	Pied (anatomie humaine)
Dzvinyu	Lacertilia
Pahuro	Gorge (anatomie)
Pasirose	Monde (univers)
Wikipedia:Community Portal	Wikipédia:Le Bistro
Guam	Guam
American Samoa	Samoa américaines
Northern Mariana Islands	Îles Mariannes du Nord
Lolol	Lolol
Chipatara	Hôpital
Kereke	Église (édifice)
Zai	Œuf (biologie)
Denderedzwa	Cercle
Mutsendo	Plan (mathématiques)
Chizinganhare	Téléphone mobile
Mhou (shiri)	Autruche d'Afrique
Dudzirazivo	Théorie
Pyongyang	Pyongyang
Pfumbamwe	9 (nombre)
Tirana	Tirana
Mbongoro	Âne commun
Gonyonhatu	Triangle
Cecil John Rhodes	Cecil Rhodes
Chișinău	Chișinău
Gumbapamwe reZviringani ZveTaranyika	Coordonnées géographiques
Njanji	Chemin de fer
Shangu	Chaussure
Nomwe	7 (nombre)
Nhuta	Chrysochloridae
Sere	8 (nombre)
Vhiki	Semaine
Nyanza	Lac
Ulaanbaatar	Oulan-Bator
Edinburgh	Édimbourg
Ashgabat	Achgabat
Chitsuwa	Île
Tanhatu	6 (nombre)
Madomasi	Tomate
Muenzanisi	Équateur terrestre
Podgorica	Podgorica
Duramahwi	Dictionnaire
Musoro	Tête (anatomie)
Wellington	Wellington
Valletta	La Valette
Gumi	10 (nombre)
Dindingwe	Guépard
Mwaka yepaNyika	Saison
Zizi	Strigiformes
Nguva dzezuva	Heure
Dzemuzongoza	Vertébrés
Nowy Dwór Królewski	Nowy Dwór Królewski
Pristina	Pristina
Nyundo	Marteau (outil)
Pichilemu	Pichilemu
Bete	Blattaria
Pawa	Puissance (physique)
Shuramurove	Cigogne blanche
Mukweso	Résistance (électricité)
Haka	Pangolin
Mukwava	Sommet (géométrie)
Cook Islands	Îles Cook
Chipo (huwandu)	Approximation
Vhudzi	Poil
Pimamuganhu	Périmètre
Jira	Textile
Huduma	Masse volumique
Mbiti	Loutre d'Europe
Mafuro	Pâture
Twana	Caracal
Alofi	Alofi (Niue)
Jamestown	Jamestown (Sainte-Hélène)
French Polynesia	Polynésie française
Hagåtña	Hagåtña
Mata-Utu	Mata-Utu
Yaren	Yaren
Tambo	Corde (outil)
Hanzvadzi	Fratrie
Mwenda porepore	Grève perlée
Wedzaniso	Addition
Tsiva	Boxe anglaise
Banga	Couteau
Mbizi	Zèbre
ChiBantu	Langues bantoues
Muradanuro	Exponentiation
Mheni	Foudre
New Caledonia	Nouvelle-Calédonie
Hugari hwevanhu	Population
Shizha	Feuille
ChiShona	Shona (langue)
Niue	Niue
Rumbariro	Latitude
Mapopoma	Chute d'eau
Funafuti	Funafuti
Humburumbira	Cylindre
Port-au-Prince	Port-au-Prince
Chitendero	Croyance
Sipo	Savon
Mugwagwa	Route
Mvuu	Hippopotamus amphibius
Munwe	Doigt
Mirairo gumi yaMwari	Décalogue
Johannesburg	Johannesburg
Jecha	Sable
Kingston	Kingston (Jamaïque)
Mbada	Léopard
Chipembere	Rhinocéros
Santo Domingo	Saint-Domingue (ville)
Kuwait City	Koweït (ville)
Arab	Arabes
Colombo	Colombo
Bako	Grotte
Wallis and Futuna	Wallis-et-Futuna
Mhakatwa	Matière
Huni	Bois énergie
Kukotsira	Sommeil
Kubhabhatidza	Baptême
Igwa	Bateau
Mushenjere	Bambou
Ivhu (Dhaga)	Sol (pédologie)
Bridgetown	Bridgetown
Hurefu	Longueur
Apia	Apia
Saint John's	Saint John's
Roseau	Roseau (Dominique)
Chiroto	Rêve
Hunhungo	Longitude
Port Moresby	Port Moresby
Kupirimuka kwemishonga	Réaction chimique
Chipfambi	Prostitution
Gonhi	Porte (architecture)
Gonyoina	Quadrilatère
Tokelau	Tokelau
Nzimbe	Canne à sucre
Gumi nembiri	12 (nombre)
Chiso	Visage
Shambadza	Publicité
Mutsetse	Droite (mathématiques)
Gumi neimwe	11 (nombre)
Gumi nenhatu	13 (nombre)
Masaisai	Onde
Gurapakati	Diamètre
Mudzidzisi	Instituteur
Mweya Mutsvene	Saint-Esprit
Nzungu	Arachide
Naypyidaw	Naypyidaw
Zana	100 (nombre)
Mabvi	Genou
Bvungapfunga	Brouillard
Gonyozhinji	Polygone
Chivhuramabwe	Grêle
Musika (Kunotengeswa)	Marché
Rwavhi	Chamaeleonidae
Bloemfontein	Bloemfontein
Mawuto ehondo	Armée de terre
Port Vila	Port-Vila
Firiji	Réfrigérateur
Mbambaira	Patate douce
Mitemo yeruhambo yaNewton	Lois du mouvement de Newton
Gumi neina	14 (nombre)
Nwiwa	Pastèque
Gumi neshanu	15 (nombre)
Gumi nesere	18 (nombre)
Suva	Suva
Nukuʻalofa	Nukuʻalofa
Port of Spain	Port-d'Espagne
Mbeva	Mus (genre)
Mumhu	Volume
Puresha	Pression
Chiremba	Médecin
Mupata	Vallée
Kuverengwa kweVanhu	Recensement de la population
Gumi nepfumbamwe	19 (nombre)
Mudhebhe	Pantalon
Mwaka wechikumi	Décennie
Zvidhinha	Brique (matériau)
Denderende	Ellipse (mathématiques)
Gumi nenomwe	17 (nombre)
Gumi nenhanhatu	16 (nombre)
Kuunga huwandu	Multiplication
Makumi maviri	20 (nombre)
Gweta	Avocat (métier)
Kubvisa	Soustraction
Mbeu	Graine
Mhando	Kata
Gakanje	Brachyura
Honiara	Honiara
Mutundo	Urine
Huma	Front (anatomie)
Mapisarema	Livre des Psaumes
Dova	Rosée
Gonyoina tsazamativi	Losange
Mburungwagama rekuchamhembe	Hémisphère sud
Runhanhira	Quantité de mouvement
Basseterre	Basseterre
Kingstown	Kingstown
St. George's, Grenada	Saint-Georges (Grenade)
Castries	Castries (Sainte-Lucie)
Rudzi	Ethnie
Fanza	Ébullition
Chisumamunyati	Hypothèse
Zvakazarurwa	Apocalypse
Bere	Hyaenidae
Magaro	Fesse
Mubhedha	Lit (mobilier)
Basa	Travail d'une force
Gwenzi	Arbrisseau
Munyakwe	Argile
Makumi mana	40 (nombre)
Charaka	Cône (géométrie)
Mutsimba	Lutte
Nzunza	Serval
Palikir	Palikir
Ndebvu	Barbe
Makumi matatu	30 (nombre)
Muchovha	Véhicule
Muduso	Finance
Shangwa	Sécheresse
Rwizi Zambezi	Zambèze
Garwe	Crocodylidae
Tsivatsaona	Assurance
Gonyeti	Camion
Victoria Falls	Chutes Victoria
Gunguwo	Corvus
Nzvari	Femelle
Ruwoko	Bras (segment de membre)
Tsime	Puits à eau
Cotonou	Cotonou
Sokisi	Chaussette
Ngarikuni	Dinde
Guvhu	Nombril
Hono	Mâle (biologie)
Injini	Moteur
Kudzikatidzwa kwemwedzi	Éclipse lunaire
Cayenne	Cayenne
Madziya	Chaleur (sensation)
Pfumo	Lance
Chigayo	Moulin
Mugodhi	Industrie minière
Poyindi	Point (géométrie)
Gonyoina sambamba	Parallélogramme
Museve	Flèche (arme)
Annaba	Annaba
Hweru	Oryctérope du Cap
Dandare remagetsi	Champ électrique
Simba reNhekairo	Énergie cinétique
Gonyoina sambambiri	Trapèze
Uta	Arc (arme)
Kamba	Testudinidae
Mandundu	Chaîne de montagnes
Chindori	Bague
Saint-Denis	Saint-Denis (La Réunion)
Mugomo	Seau
Chiyero chekupimisa	Unité de mesure
Bhoni	Lampe à incandescence classique
Chitupa	Carte d'identité
Template:Commons category	Modèle:Commonscat
Chitunha	Cadavre
Kennedy Space Center	Centre spatial Kennedy
Penti	Culotte (vêtement)
Kuramwa Basa	Grève
Muchato	Noces
Gwaro	Document
Muzasedimbu	Proportionnalité
Pago Pago	Pago Pago
Saipan	Saipan
Chirwere cheEbola	Maladie à virus Ebola
Hurukuro	Conversation
Datya	Anoures
Sambamba	Parallélisme (géométrie)
Musenerera	Osmose
Choya	Pilosité pubienne
Ndiro (yokudyira)	Assiette (vaisselle)
Morgan Tsvangirai	Morgan Tsvangirai
Nhare	Fortification
Dandira (zvakarongeka)	Système
Swakopmund	Swakopmund
Chivi (kutadza)	Péché
Pakati	Center
Marudzi aShem	Sémites
Chanduru	Vésicule biliaire
Kugetsenura	Électrolyse
Dimbu	Fraction (mathématiques)
Rutsaudzo rwechiedza	Réfraction
Doworume	Spermatozoïde
Duvurwi	Plateau (géographie)
Misodzi	Larme
Alfred Beit	Alfred Beit
Mushonga	Substance chimique
Makumi matanhatu	60 (nombre)
Mukonikoni	Anisoptera
Bhodhoro	Bouteille
Jerenyenje	Herpestidae
Derere	Gombo
Fes	Fès
Nhevedzwa dzeMvura	Cycle de l'eau
Mupurwa	Varanus
Muravanegumi	Système décimal
Chikara (mhuka)	Carnivore (régime alimentaire)
Kurwadziwa	Douleur
Nyanga	Corne (biologie)
Mhesvi	Catalyse
Rudzindi	Frottement
Dunhu	Zone géographique
Zita	Nom
Gonyonhanhatu	Hexagone
Denga (Remba)	Toit
Chidembo	Mouffette
Dzingiswa	Circoncision
Huchenjeri	Intelligence
Honha	Lingot
Mazita eMhuri	Nom de famille
Dare	Cloche
Lobamba	Lobamba
Marrakesh	Marrakech
Mhopo	Verrue
Chitofu (mugodhi)	Minerai (roche)
Nyauka	Fusion (physique)
Kayiti	Cerf-volant (géométrie)
Dendera	Rotation vectorielle
Gwamba	Solidification
Marin County	Comté de Marin
Kuperekera magetsi	Résistivité
Bumha	Essaim
Chinepfu (ruhambo)	Inertie
Tsika yekurava nhamba	Système de numération
Gora	Vautour
Huyu	Alvéole d'abeille
Zuvaragodza	Solstice
Mhanda (Kurwa)	Violence
Chisipiti	Source (hydrologie)
Chindunduma	Révolte
Port Elizabeth	Port Elizabeth
Nhambwe	Distance (mathématiques)
Tangier	Tanger
Kurutsa	Vomissement
Gavakava	Aloès
Bhomba	Bombe (militaire)
Makunakuna	Inceste
Tsanga (ziso)	Cataracte (maladie)
Mafuta	Graisse
Zvidya	Cuisse
Papeetē	Papeete
Jekanyika	Géodésie
Badza	Houe
South Tarawa	Tarawa-Sud
Chidzayo	Coin (machine simple)
2 Johane	Deuxième épître de Jean
Muprofita Isaya	Livre d'Isaïe
3 Johane	Troisième épître de Jean
Judi	Épître de Jude
Nhoo	Bouclier (arme)
Muprofita Jeremia	Livre de Jérémie
Menduru	Médaille
Sandhuru	Sandale
Kuverereka	Sublimation (physique)
Oran	Oran
Zano	Idée
Mhara	Impala
Mamoudzou	Mamoudzou
Sasauka	Évaporation
Mhondi	Assassinat
Africa Zasi kweSahara	Afrique subsaharienne
Haro	Col de montagne
Bvurunuro	Diffraction
Bhande (chipfeko)	Ceinture (vêtement)
Chikero	Balance (instrument)
Pombi	Pompe
Kun'ura	Corrosion
Nhoro	Grand koudou
Tsono (kusona)	Aiguille à coudre
Gwaya	Brème commune
Munyungu	Solvant
Kisangani	Kisangani
Dovi	Beurre d'arachide
Rumanda	Clôture
Mufundisi	Pasteur chrétien
Chisuvi chemvura	Ligne de partage des eaux
Dota	Cendre
Kamba dzenhapwa	Camp de concentration
Gomo reNyangani	Nyangani
Kamba dzekuuraya	Camps d'extermination nazis
Chidzudzani	Congruence (géométrie)
Simba reChakunga	Énergie potentielle
Gonyonhatu tsazakose	Triangle équilatéral
Zenda	Fiançailles
Garoua	Garoua
Ramallah	Ramallah
Gonyonhatu yakarurama	Triangle rectangle
Nhokwe	Cyperus papyrus
Gonje	Sisal
Chiwundudzi	Moisissure
Gudo	Babouin
Mapatya	Jumeau
Mureza weZimbabwe	Drapeau du Zimbabwe
Mumvuri	Ombre
Nyati	Buffle d'Afrique
Mhene	Plaine
Ruchichinuko	Convection
Keetmanshoop	Keetmanshoop
